"Date","buy.ED","Price"
2008-05-23,44,41.09
2008-05-30,48,41.3
2008-06-06,69,40.04
2008-06-13,33,40.36
2008-06-20,63,39.69
2008-06-27,76,38.42
2008-07-11,65,38.77
2008-07-18,53,38.48
2008-07-25,63,38.28
2008-08-01,60,38.8
2008-08-08,76,41.5
2008-08-15,56,40.76
2008-08-22,59,41.26
2008-08-29,92,40.9
2008-09-05,71,40.56
2008-09-12,60,43.58
2008-09-19,68,44.31
2008-09-26,75,43.66
2008-10-03,73,43.16
2008-10-10,77,37.61
2008-10-17,50,39.15
2008-10-24,67,40.21
2008-10-31,65,43.32
2008-11-07,76,42.13
2008-11-14,77,39.19
2008-11-21,71,40
2008-11-28,99,40.39
2008-12-05,70,38.97
2008-12-12,78,38.88
2008-12-19,92,38.64
2008-12-26,77,38.31
2009-01-02,62,39.26
2009-01-09,79,39.66
2009-01-16,62,40.07
2009-01-23,73,40.05
2009-01-30,70,40.75
2009-02-06,47,41.28
2009-02-13,57,39.37
2009-02-20,58,37.54
2009-02-27,51,36.21
2009-03-06,65,33.94
2009-03-13,53,35.06
2009-03-20,66,37.79
2009-03-27,63,38.38
2009-04-03,55,39.25
2009-04-17,62,38.76
2009-04-24,64,37.45
2009-05-01,71,37.37
2009-05-08,82,37.58
2009-05-15,60,34.86
2009-05-22,56,34.6
2009-05-29,61,35.46
2009-06-05,81,35.78
2009-06-12,65,37.08
2009-06-19,67,36.79
2009-06-26,92,37.04
2009-07-10,74,36.63
2009-07-17,74,37.39
2009-07-24,71,39.01
2009-07-31,61,39.36
2009-08-07,89,39.86
2009-08-14,79,40.64
2009-08-21,82,40.5
2009-08-28,75,40.39
2009-09-04,85,39.87
2009-09-11,56,39.63
2009-09-18,60,41.48
2009-09-25,65,41.07
2009-10-02,50,40.35
2009-10-09,66,41.09
2009-10-16,61,41.33
2009-10-23,73,41.81
2009-10-30,75,40.68
2009-11-06,64,41.53
2009-11-13,74,42.46
2009-11-20,70,41.9
2009-11-27,100,42.44
2009-12-04,76,44.05
2009-12-11,77,45.18
2009-12-18,89,45.37
2010-01-08,76,45.25
2010-01-15,99,45.72
2010-01-22,73,43.51
2010-01-29,71,43.74
2010-02-05,59,43.18
2010-02-12,60,42.22
2010-02-19,61,43.13
2010-02-26,52,42.75
2010-03-05,70,43.62
2010-03-12,70,43.7
2010-03-19,58,44.3
2010-03-26,56,44.18
2010-04-09,65,44.85
2010-04-16,48,44.54
2010-04-23,54,45.41
2010-04-30,53,45.2
2010-05-07,50,44.34
2010-05-14,49,44.44
2010-05-21,56,43.29
2010-05-28,68,42.59
2010-06-04,47,41.66
2010-06-11,65,43.13
2010-06-18,47,44.89
2010-06-25,70,43.84
2010-07-02,53,43.19
2010-07-09,57,45.27
2010-07-16,55,45.06
2010-07-23,50,46.3
2010-07-30,60,46.12
2010-08-06,49,47.57
2010-08-13,58,47.55
2010-08-20,63,46.7
2010-08-27,63,47.88
2010-09-03,64,48.44
2010-09-10,73,47.69
2010-09-17,62,47.92
2010-09-24,56,48.79
2010-10-01,59,48.33
2010-10-08,60,48.27
2010-10-15,49,48.6
2010-10-22,62,49.12
2010-10-29,44,49.72
2010-11-05,44,51
2010-11-12,45,49.74
2010-11-19,65,48.63
2010-11-26,64,48.18
2010-12-03,73,49.02
2010-12-10,80,48.88
2010-12-17,95,49.34
2010-12-31,74,49.57
2011-01-07,53,49.54
2011-01-14,67,49.83
2011-01-21,55,49.87
2011-01-28,51,50.07
2011-02-04,57,49.59
2011-02-11,53,50.1
2011-02-18,52,49.02
2011-02-25,58,49.41
2011-03-04,50,49.71
2011-03-11,42,50.27
2011-03-18,52,49.51
2011-03-25,58,50.01
2011-04-01,62,51.05
2011-04-08,62,50.9
2011-04-15,54,50.71
2011-04-29,56,52.12
2011-05-06,39,53.1
2011-05-13,52,54.12
2011-05-20,49,53.91
2011-05-27,44,52.73
2011-06-03,56,52.32
2011-06-10,44,51.83
2011-06-17,51,52.78
2011-06-24,41,52.4
2011-07-01,53,54.06
2011-07-08,49,53.56
2011-07-15,43,53.25
2011-07-22,45,53.58
2011-07-29,51,52.6
2011-08-05,48,53.27
2011-08-12,64,53.73
2011-08-19,63,54.36
2011-08-26,54,55.59
2011-09-02,52,56.07
2011-09-09,46,55.12
2011-09-16,54,57.42
2011-09-23,48,56.74
2011-09-30,40,57.02
2011-10-07,41,56.11
2011-10-14,42,57.55
2011-10-21,49,59.76
2011-10-28,52,58.04
2011-11-04,45,58.56
2011-11-11,54,59.64
2011-11-18,48,58.14
2011-11-25,53,57.16
2011-12-02,60,58.61
2011-12-09,57,59.24
2011-12-16,69,59.78
2011-12-23,62,61.98
2011-12-30,54,62.03
2012-01-06,51,59.1
2012-01-13,49,59.18
2012-01-20,51,58.76
2012-01-27,64,58.89
2012-02-03,58,58.82
2012-02-10,54,59.13
2012-02-17,49,57.87
2012-02-24,50,58.84
2012-03-02,52,58.31
2012-03-09,50,58.39
2012-03-16,48,57.62
2012-03-23,40,57.13
2012-03-30,34,58.42
2012-04-13,38,57.75
2012-04-20,48,58.61
2012-04-27,46,59.31
2012-05-04,53,59.38
2012-05-11,45,59.81
2012-05-18,39,58.67
2012-05-25,42,59.61
2012-06-01,38,60.29
2012-06-08,37,62.24
2012-06-15,46,63.1
2012-06-22,46,61.5
2012-06-29,49,62.19
2012-07-06,38,62.14
2012-07-13,44,63.42
2012-07-20,44,63.77
2012-07-27,46,64.9
2012-08-03,49,64.66
2012-08-10,53,63.87
2012-08-17,43,61.68
2012-08-24,42,61.42
2012-08-31,45,60.62
2012-09-07,47,60.63
2012-09-14,49,59.81
2012-09-21,42,59.1
2012-09-28,52,59.89
2012-10-05,48,60.22
2012-10-12,43,59.83
2012-10-19,54,60.47
2012-10-26,42,59.97
2012-11-02,44,59.2
2012-11-09,47,55.74
2012-11-16,45,54.98
2012-11-23,60,54.1
2012-11-30,50,55.79
2012-12-07,48,56.03
2012-12-14,57,56.12
2012-12-21,59,56.05
2012-12-28,45,54.93
2013-01-04,58,56.9
2013-01-11,54,55.91
2013-01-18,55,55.78
2013-01-25,47,56.51
2013-02-01,45,57.05
2013-02-08,51,57.15
2013-02-15,46,56.58
2013-02-22,43,58.48
2013-03-01,39,59.02
2013-03-08,37,58.95
2013-03-15,41,59.17
2013-03-22,53,59.09
2013-04-05,38,61.31
2013-04-12,38,61.91
2013-04-19,31,62.48
2013-04-26,48,62.84
2013-05-03,43,63.66
2013-05-10,39,61.57
2013-05-17,33,60.79
2013-05-24,36,58.66
2013-05-31,33,57.07
2013-06-07,34,57.43
2013-06-14,38,57.82
2013-06-21,37,56.39
2013-06-28,39,58.31
2013-07-05,35,57.16
2013-07-12,39,59.2
2013-07-19,50,60.48
2013-07-26,40,59.93
2013-08-02,37,60.37
2013-08-09,48,60.3
2013-08-16,33,56.64
2013-08-23,44,56.59
2013-08-30,51,56.23
2013-09-06,38,55.59
2013-09-13,35,54.88
2013-09-20,30,55.97
2013-09-27,29,55.15
2013-10-04,43,54.51
2013-10-11,31,56.26
2013-10-18,47,56.86
2013-10-25,40,58.59
2013-11-01,36,58.41
2013-11-08,36,57.27
2013-11-15,44,58.07
2013-11-22,40,55.92
2013-11-29,45,55.21
2013-12-06,46,55.85
2013-12-13,47,54.33
2013-12-20,39,54.77
2013-12-27,40,55.05
2014-01-03,33,53.45
2014-01-10,44,54.33
2014-01-17,31,53.96
2014-01-24,41,53.65
2014-01-31,42,54.41
2014-02-07,33,54.02
2014-02-14,44,55.16
2014-02-21,40,55.29
2014-02-28,32,56.05
2014-03-07,40,55.44
2014-03-14,37,54.66
2014-03-21,35,52.46
2014-03-28,31,53.17
2014-04-04,42,54.36
2014-04-11,38,55.6
2014-04-25,35,57.74
