"Date","INTU","Price"
2010-04-09,6,34.53
2010-04-16,7,35.47
2010-04-23,6,36.19
2010-04-30,8,36.19
2010-05-07,8,34.01
2010-05-14,8,35.53
2010-05-21,9,35.01
2010-05-28,7,35.74
2010-06-04,5,35.41
2010-06-11,6,36.32
2010-06-18,7,37.56
2010-06-25,7,36.35
2010-07-02,6,34.3
2010-07-09,4,36.28
2010-07-16,6,36.61
2010-07-23,7,38.65
2010-07-30,8,39.75
2010-08-06,9,40.67
2010-08-13,12,38.56
2010-08-20,11,44.6
2010-08-27,12,42.94
2010-09-03,7,44.01
2010-09-10,7,43.47
2010-09-17,7,44.88
2010-09-24,6,45.46
2010-10-01,9,44.91
2010-10-08,9,45.83
2010-10-15,6,46.63
2010-10-22,7,47.21
2010-10-29,8,47.98
2010-11-05,8,48.45
2010-11-12,5,48.04
2010-11-19,8,44.93
2010-11-26,6,45.55
2010-12-03,7,46.93
2010-12-10,7,48.39
2010-12-17,6,49.39
2010-12-31,6,49.3
2011-01-07,6,48.39
2011-01-14,9,46.98
2011-01-21,8,46.86
2011-01-28,8,46.77
2011-02-04,7,48.4
2011-02-11,6,50.62
2011-02-18,10,54.11
2011-02-25,8,52.4
2011-03-04,6,52.81
2011-03-11,9,49.46
2011-03-18,8,49.92
2011-03-25,6,51.37
2011-04-01,4,53.95
2011-04-08,8,53.14
2011-04-15,8,54.46
2011-04-29,8,55.56
2011-05-06,8,53.78
2011-05-13,8,55.35
2011-05-20,5,54.98
2011-05-27,6,53.37
2011-06-03,7,51.42
2011-06-10,5,50.36
2011-06-17,5,49.16
2011-06-24,7,50.5
2011-07-01,7,52.24
2011-07-08,7,51.69
2011-07-15,5,49.35
2011-07-22,5,47.96
2011-07-29,8,46.7
2011-08-05,8,43.6
2011-08-12,8,42.39
2011-08-19,9,43.65
2011-08-26,7,46.56
2011-09-02,9,47.35
2011-09-09,5,46.24
2011-09-16,9,49.31
2011-09-23,8,47.27
2011-09-30,8,47.44
2011-10-07,6,48.53
2011-10-14,8,53.01
2011-10-21,6,53.5
2011-10-28,7,54.61
2011-11-04,8,53.72
2011-11-11,6,54.02
2011-11-18,6,52.04
2011-11-25,7,49.27
2011-12-02,7,52.72
2011-12-09,7,53.27
2011-12-16,6,51.78
2011-12-23,6,53.1
2011-12-30,6,52.59
2012-01-06,5,53.12
2012-01-13,9,54.83
2012-01-20,7,57.09
2012-01-27,7,57.35
2012-02-03,8,58.47
2012-02-10,9,56.68
2012-02-17,9,57.38
2012-02-24,11,58.06
2012-03-02,6,57.27
2012-03-09,7,58.17
2012-03-16,8,60.14
2012-03-23,8,57.71
2012-03-30,7,60.16
2012-04-13,8,60.34
2012-04-20,8,57.25
2012-04-27,8,57.98
2012-05-04,5,56.9
2012-05-11,6,55.83
2012-05-18,9,54.51
2012-05-25,7,56.45
2012-06-01,5,54.8
2012-06-08,7,57
2012-06-15,8,58.32
2012-06-22,8,57.66
2012-06-29,10,59.35
2012-07-06,8,57.9
2012-07-13,9,57.22
2012-07-20,7,58.69
2012-07-27,7,58.88
2012-08-03,9,59.07
2012-08-10,12,59.03
2012-08-17,16,59.76
2012-08-24,14,58.43
2012-08-31,9,58.54
2012-09-07,13,59.46
2012-09-14,9,60.28
2012-09-21,9,58.38
2012-09-28,9,58.88
2012-10-05,7,61.12
2012-10-12,9,59.89
2012-10-19,9,59.82
2012-10-26,7,59.39
2012-11-02,8,61.19
2012-11-09,12,59.96
2012-11-16,8,59.28
2012-11-23,7,59.16
2012-11-30,8,59.91
2012-12-07,10,59.56
2012-12-14,10,60.18
2012-12-21,11,61.44
2012-12-28,9,59.33
2013-01-04,8,62.22
2013-01-11,11,62.62
2013-01-18,21,63.68
2013-01-25,13,63.71
2013-02-01,9,62.9
2013-02-08,12,61.51
2013-02-15,10,62.07
2013-02-22,12,62.78
2013-03-01,15,65.04
2013-03-08,18,67.75
2013-03-15,13,65.43
2013-03-22,14,65.54
2013-04-05,12,64.46
2013-04-12,13,64.7
2013-04-19,14,62.97
2013-04-26,19,59.35
2013-05-03,17,60.26
2013-05-10,17,60.2
2013-05-17,14,60.63
2013-05-24,19,57.9
2013-05-31,23,58.44
2013-06-07,18,59.46
2013-06-14,20,57.5
2013-06-21,25,57.86
2013-06-28,25,61.04
2013-07-05,26,62.55
2013-07-12,24,64.72
2013-07-19,25,64.08
2013-07-26,27,63.92
2013-08-02,30,63.89
2013-08-09,38,64.45
2013-08-16,42,64.24
2013-08-23,36,64.18
2013-08-30,34,63.53
2013-09-06,35,64.45
2013-09-13,33,65.95
2013-09-20,33,66.84
2013-09-27,36,66.51
2013-10-04,35,66.3
2013-10-11,39,66.93
2013-10-18,40,68.74
2013-10-25,37,70.44
2013-11-01,37,71.33
2013-11-08,41,72.48
2013-11-15,38,73.67
2013-11-22,42,72.03
2013-11-29,50,74.23
2013-12-06,52,74.91
2013-12-13,55,75.02
2013-12-20,67,75.28
2013-12-27,100,76.09
2014-01-03,72,75.8
2014-01-10,40,76.24
2014-01-17,43,76.99
2014-01-24,44,73.24
2014-01-31,41,73.25
2014-02-07,37,71.45
2014-02-14,39,71.69
2014-02-21,40,77.24
2014-02-28,40,78.15
2014-03-07,39,82.2
2014-03-14,29,79.91
2014-03-21,39,79.44
2014-03-28,43,77.77
2014-04-04,43,77.19
2014-04-11,44,72.52
2014-04-25,52,75.34
