"Date","SLB","Price"
2006-12-15,27,67.55
2006-12-22,32,62.89
2006-12-29,26,63.16
2007-01-05,32,59.2
2007-01-12,30,57.89
2007-01-19,36,61
2007-01-26,38,62.65
2007-02-02,39,65.12
2007-02-09,36,64.46
2007-02-16,34,63.33
2007-02-23,36,64.58
2007-03-02,42,62.25
2007-03-09,30,65.1
2007-03-16,49,64.48
2007-03-23,45,69.1
2007-03-30,39,69.1
2007-04-13,38,76
2007-04-20,37,75.23
2007-04-27,36,75.64
2007-05-04,37,74.61
2007-05-11,26,74.38
2007-05-18,31,79.4
2007-05-25,40,79.24
2007-06-01,30,78.19
2007-06-08,33,78.76
2007-06-15,35,84.6
2007-06-22,41,89.2
2007-06-29,40,84.94
2007-07-06,48,88.33
2007-07-13,36,89.64
2007-07-20,39,96.68
2007-07-27,47,93.02
2007-08-03,41,87.74
2007-08-10,35,92.1
2007-08-17,42,88.56
2007-08-24,55,94.23
2007-08-31,40,96.5
2007-09-07,35,97.47
2007-09-14,37,100.37
2007-09-21,38,106.2
2007-09-28,37,105
2007-10-05,33,104.93
2007-10-12,30,109.84
2007-10-19,32,99.32
2007-10-26,35,99.51
2007-11-02,36,98.82
2007-11-09,33,94.76
2007-11-16,32,93.46
2007-11-23,33,94.11
2007-11-30,35,93.45
2007-12-07,29,97.19
2007-12-14,27,94.57
2007-12-21,26,94.64
2007-12-28,24,98.8
2008-01-04,28,98
2008-01-11,27,94.01
2008-01-18,29,79.52
2008-01-25,33,77.7
2008-02-01,30,78.28
2008-02-08,27,77.37
2008-02-15,30,84.08
2008-02-22,33,85.45
2008-02-29,33,86.45
2008-03-07,36,85.61
2008-03-14,33,83.9
2008-03-28,24,85.66
2008-04-04,29,91.37
2008-04-11,30,90.61
2008-04-18,34,101.85
2008-04-25,35,102.74
2008-05-02,25,99.63
2008-05-09,29,105.01
2008-05-16,32,105.31
2008-05-23,32,100.03
2008-05-30,32,101.13
2008-06-06,29,101.94
2008-06-13,29,99.69
2008-06-20,33,104.1
2008-06-27,38,105.9
2008-07-11,50,99.16
2008-07-18,47,100.55
2008-07-25,34,98.96
2008-08-01,34,100.2
2008-08-08,41,92.28
2008-08-15,37,91.47
2008-08-22,33,97.26
2008-08-29,39,94.22
2008-09-05,28,85.79
2008-09-12,28,88.68
2008-09-19,35,90.71
2008-09-26,37,86.03
2008-10-03,54,72.53
2008-10-10,30,60.5
2008-10-17,33,49.99
2008-10-24,34,47.52
2008-10-31,36,51.65
2008-11-07,42,51.38
2008-11-14,30,48.76
2008-11-21,30,45
2008-11-28,34,50.74
2008-12-05,27,39.08
2008-12-12,29,41.1
2008-12-19,30,40.44
2008-12-26,23,39.47
2009-01-02,19,45.62
2009-01-09,28,43
2009-01-16,36,39.9
2009-01-23,29,41.09
2009-01-30,25,40.81
2009-02-06,26,45.29
2009-02-13,29,41.52
2009-02-20,31,36.88
2009-02-27,28,38.06
2009-03-06,23,36.73
2009-03-13,28,39.3
2009-03-20,26,41.52
2009-03-27,25,43.52
2009-04-03,20,45.07
2009-04-17,24,46.57
2009-04-24,22,49.73
2009-05-01,24,50.67
2009-05-08,22,56.53
2009-05-15,28,52.05
2009-05-22,28,51.75
2009-05-29,27,57.23
2009-06-05,25,57.27
2009-06-12,28,60.27
2009-06-19,28,55.35
2009-06-26,26,54.48
2009-07-10,32,50.51
2009-07-17,31,56.01
2009-07-24,37,57.34
2009-07-31,29,53.5
2009-08-07,30,53.25
2009-08-14,25,53.38
2009-08-21,32,56.56
2009-08-28,28,57.36
2009-09-04,35,55.87
2009-09-11,22,60.39
2009-09-18,29,61.85
2009-09-25,23,59.48
2009-10-02,25,56.83
2009-10-09,24,62.89
2009-10-16,21,69.08
2009-10-23,28,65.2
2009-10-30,32,62.2
2009-11-06,25,64.4
2009-11-13,33,65.52
2009-11-20,22,63.34
2009-11-27,24,63.14
2009-12-04,23,61.37
2009-12-11,24,61.38
2009-12-18,24,62.95
2010-01-08,22,70.65
2010-01-15,20,70.83
2010-01-22,26,65.24
2010-01-29,25,63.46
2010-02-05,28,62.06
2010-02-12,25,64.3
2010-02-19,21,63.9
2010-02-26,26,61.1
2010-03-05,24,63.81
2010-03-12,26,64.54
2010-03-19,28,64.32
2010-03-26,31,61.67
2010-04-09,25,66.53
2010-04-16,31,65.8
2010-04-23,33,72.68
2010-04-30,38,71.42
2010-05-07,35,62.86
2010-05-14,46,64.88
2010-05-21,24,60.5
2010-05-28,20,56.15
2010-06-04,23,55.74
2010-06-11,21,59.48
2010-06-18,21,60.53
2010-06-25,19,58.22
2010-07-02,24,54.96
2010-07-09,22,58.56
2010-07-16,22,56.68
2010-07-23,27,59.35
2010-07-30,23,59.66
2010-08-06,27,62.34
2010-08-13,23,58.76
2010-08-20,24,56.46
2010-08-27,27,55.76
2010-09-03,22,57.37
2010-09-10,19,59.31
2010-09-17,24,58.1
2010-09-24,23,60.64
2010-10-01,21,62.43
2010-10-08,23,63.56
2010-10-15,19,64.5
2010-10-22,20,67.77
2010-10-29,23,69.89
2010-11-05,24,75.66
2010-11-12,26,74.11
2010-11-19,18,76.43
2010-11-26,22,75.98
2010-12-03,22,82.74
2010-12-10,18,81.54
2010-12-17,23,81.34
2010-12-31,16,83.5
2011-01-07,19,81.56
2011-01-14,22,86.91
2011-01-21,25,83.48
2011-01-28,22,86.67
2011-02-04,29,89.33
2011-02-11,21,90.37
2011-02-18,24,95.04
2011-02-25,28,92.85
2011-03-04,25,91.4
2011-03-11,25,86.24
2011-03-18,22,85.93
2011-03-25,25,86.89
2011-04-01,24,93.7
2011-04-08,28,90.85
2011-04-15,23,86.66
2011-04-29,27,89.75
2011-05-06,20,82.66
2011-05-13,19,82.71
2011-05-20,20,83.5
2011-05-27,21,84.71
2011-06-03,20,85.04
2011-06-10,22,83.66
2011-06-17,20,81.79
2011-06-24,20,80.92
2011-07-01,21,87.6
2011-07-08,23,89.96
2011-07-15,23,87.99
2011-07-22,25,93.81
2011-07-29,21,90.37
2011-08-05,25,80.88
2011-08-12,23,77.99
2011-08-19,22,73.12
2011-08-26,23,74.84
2011-09-02,24,74.42
2011-09-09,22,71.8
2011-09-16,25,72.84
2011-09-23,26,61.2
2011-09-30,23,59.73
2011-10-07,20,62.64
2011-10-14,21,70.94
2011-10-21,20,67.38
2011-10-28,19,75.96
2011-11-04,22,74.97
2011-11-11,20,76.54
2011-11-18,20,71.32
2011-11-25,25,66.37
2011-12-02,22,75.01
2011-12-09,19,74.15
2011-12-16,20,66.91
2011-12-23,17,69.14
2011-12-30,17,68.31
2012-01-06,20,67.78
2012-01-13,23,67.99
2012-01-20,20,73.8
2012-01-27,19,76.66
2012-02-03,24,78.66
2012-02-10,21,77.17
2012-02-17,21,77.74
2012-02-24,20,79.85
2012-03-02,27,77.19
2012-03-09,22,75.84
2012-03-16,23,76.76
2012-03-23,28,73.18
2012-03-30,27,69.93
2012-04-13,21,68.38
2012-04-20,22,71.7
2012-04-27,20,73.95
2012-05-04,22,69.96
2012-05-11,19,68.8
2012-05-18,19,64.06
2012-05-25,23,65.41
2012-06-01,19,62.07
2012-06-08,20,64.54
2012-06-15,18,66.46
2012-06-22,19,61.56
2012-06-29,17,64.91
2012-07-06,22,65.17
2012-07-13,22,66.72
2012-07-20,22,69.33
2012-07-27,21,72.96
2012-08-03,22,72.39
2012-08-10,20,75.35
2012-08-17,21,74.78
2012-08-24,19,74.59
2012-08-31,28,72.38
2012-09-07,24,73.17
2012-09-14,21,77.6
2012-09-21,21,75.02
2012-09-28,22,72.33
2012-10-05,18,71.49
2012-10-12,18,72.19
2012-10-19,18,74
2012-10-26,22,70.1
2012-11-02,19,68.77
2012-11-09,18,68.37
2012-11-16,18,68.22
2012-11-23,19,71.18
2012-11-30,17,71.62
2012-12-07,18,71.83
2012-12-14,21,68.91
2012-12-21,17,69.69
2012-12-28,14,67.96
2013-01-04,18,72.01
2013-01-11,20,73.75
2013-01-18,23,76.5
2013-01-25,19,79.51
2013-02-01,20,79.7
2013-02-08,20,79.07
2013-02-15,19,80.03
2013-02-22,20,77.79
2013-03-01,19,77.64
2013-03-08,19,77.96
2013-03-15,18,79.4
2013-03-22,19,74.37
2013-04-05,20,74.35
2013-04-12,22,75.66
2013-04-19,22,69.95
2013-04-26,22,73.34
2013-05-03,27,75.72
2013-05-10,27,76.82
2013-05-17,28,75.74
2013-05-24,21,74.66
2013-05-31,22,73.03
2013-06-07,19,73.93
2013-06-14,17,71.6
2013-06-21,17,72.83
2013-06-28,16,71.66
2013-07-05,18,74.09
2013-07-12,21,76.84
2013-07-19,21,82.74
2013-07-26,21,81.91
2013-08-02,18,82.89
2013-08-09,16,80.49
2013-08-16,17,81.92
2013-08-23,19,81.67
2013-08-30,21,80.94
2013-09-06,19,85.14
2013-09-13,18,86.72
2013-09-20,19,87.44
2013-09-27,20,88.82
2013-10-04,20,90.01
2013-10-11,18,90.02
2013-10-18,17,93.99
2013-10-25,19,92.9
2013-11-01,21,93
2013-11-08,21,93.79
2013-11-15,21,92.98
2013-11-22,19,92.73
2013-11-29,19,88.42
2013-12-06,20,88.15
2013-12-13,19,86.37
2013-12-20,18,87.27
2013-12-27,13,89.9
2014-01-03,15,88.35
2014-01-10,24,88.17
2014-01-17,27,90.21
2014-01-24,21,88.15
2014-01-31,20,87.57
2014-02-07,19,89.5
2014-02-14,26,90.45
2014-02-21,20,90.07
2014-02-28,24,93
2014-03-07,22,92.98
2014-03-14,22,89.09
2014-03-21,24,92.67
2014-03-28,24,97.57
2014-04-04,25,98.03
2014-04-11,29,97.1
2014-04-25,36,101.75
