"Date","Ball.Corp","Price"
2011-01-28,10,70.92
2011-02-04,13,73.72
2011-02-11,18,74.05
2011-02-18,18,37
2011-02-25,15,36.1
2011-03-04,11,35.83
2011-03-11,12,34.99
2011-03-18,11,34.29
2011-03-25,13,35.51
2011-04-01,9,35.77
2011-04-08,14,36.01
2011-04-15,14,36.79
2011-04-29,10,37.31
2011-05-06,11,38.03
2011-05-13,10,38.46
2011-05-20,7,39.04
2011-05-27,13,39.08
2011-06-03,14,38.06
2011-06-10,9,38.1
2011-06-17,16,37.82
2011-06-24,15,37.49
2011-07-01,9,39.14
2011-07-08,15,40.36
2011-07-15,53,39.44
2011-07-22,65,39.31
2011-07-29,30,38.8
2011-08-05,20,35.44
2011-08-12,11,35.93
2011-08-19,18,34
2011-08-26,21,35.01
2011-09-02,16,35.02
2011-09-09,17,34.03
2011-09-16,22,34.31
2011-09-23,18,30.95
2011-09-30,23,31.02
2011-10-07,21,32.45
2011-10-14,29,33.96
2011-10-21,30,34.82
2011-10-28,30,35.66
2011-11-04,37,34.87
2011-11-11,52,35.41
2011-11-18,100,33.91
2011-11-25,40,33.18
2011-12-02,16,34.92
2011-12-09,10,34.92
2011-12-16,9,34.63
2011-12-23,16,35.8
2011-12-30,6,35.71
2012-01-06,7,37.12
2012-01-13,18,37.64
2012-01-20,12,37.91
2012-01-27,17,39.44
2012-02-03,11,39.8
2012-02-10,9,39.81
2012-02-17,17,40.11
2012-02-24,10,39.78
2012-03-02,9,39.81
2012-03-09,14,39.72
2012-03-16,14,41.39
2012-03-23,12,41.09
2012-03-30,8,42.88
2012-04-13,11,42.77
2012-04-20,11,43.52
2012-04-27,12,41.78
2012-05-04,14,40.76
2012-05-11,8,40.96
2012-05-18,11,38.66
2012-05-25,10,39.88
2012-06-01,7,39.33
2012-06-08,12,41.15
2012-06-15,17,42.75
2012-06-22,10,41.64
2012-06-29,12,41.05
2012-07-06,8,40.58
2012-07-13,16,41.23
2012-07-20,14,41.77
2012-07-27,11,41.89
2012-08-03,11,41.1
2012-08-10,17,42.01
2012-08-17,16,43.06
2012-08-24,17,42.13
2012-08-31,12,42.17
2012-09-07,9,42.78
2012-09-14,16,43.28
2012-09-21,22,42.51
2012-09-28,16,42.31
2012-10-05,28,42.79
2012-10-12,18,41.31
2012-10-19,23,42.66
2012-10-26,22,42.81
2012-11-02,30,43.38
2012-11-09,50,43.85
2012-11-16,33,43.34
2012-11-23,18,45.07
2012-11-30,14,44.69
2012-12-07,9,44.15
2012-12-14,11,44.25
2012-12-21,8,44.8
2012-12-28,9,44.29
2013-01-04,9,46.5
2013-01-11,8,45.4
2013-01-18,9,46.65
2013-01-25,8,46.61
2013-02-01,6,45.59
2013-02-08,10,45.36
2013-02-15,10,45.54
2013-02-22,10,44.34
2013-03-01,9,44.22
2013-03-08,9,44.85
2013-03-15,8,46.01
2013-03-22,12,45.87
2013-04-05,10,46.99
2013-04-12,13,47.89
2013-04-19,10,46.43
2013-04-26,9,44.03
2013-05-03,8,45.34
2013-05-10,9,45.97
2013-05-17,7,45.75
2013-05-24,9,44.39
2013-05-31,5,43.16
2013-06-07,10,43.58
2013-06-14,9,43.34
2013-06-21,7,42.55
2013-06-28,8,41.54
2013-07-05,7,42.54
2013-07-12,12,45.38
2013-07-19,10,45.17
2013-07-26,13,44.95
2013-08-02,20,45.85
2013-08-09,15,44.67
2013-08-16,12,45.01
2013-08-23,12,45.7
2013-08-30,13,44.42
2013-09-06,13,44.4
2013-09-13,19,44.46
2013-09-20,18,45.79
2013-09-27,15,45
2013-10-04,22,45.19
2013-10-11,22,45.48
2013-10-18,23,46.17
2013-10-25,25,48.6
2013-11-01,31,48.88
2013-11-08,36,49.5
2013-11-15,35,50.17
2013-11-22,13,50.01
2013-11-29,9,49.98
2013-12-06,5,50.05
2013-12-13,7,49.91
2013-12-20,7,50.93
2013-12-27,8,51.58
2014-01-03,5,51.65
2014-01-10,10,51.93
2014-01-17,10,50.53
2014-01-24,9,48.6
2014-01-31,8,51.19
2014-02-07,9,52.8
2014-02-14,11,54.63
2014-02-21,9,54.92
2014-02-28,8,55.56
2014-03-07,6,56.09
2014-03-14,10,54.03
2014-03-21,8,54.04
2014-03-28,8,53.97
2014-04-04,5,55.18
2014-04-11,8,53.94
2014-04-25,8,55.95
