"Date","sell.NE","Price"
2011-12-09,51,33.04
2011-12-16,45,30.6
2011-12-23,71,31.63
2011-12-30,64,30.22
2012-01-06,84,30.29
2012-01-13,46,31.9
2012-01-20,51,34.69
2012-01-27,69,35.38
2012-02-03,36,36.9
2012-02-10,45,38.95
2012-02-17,36,38.36
2012-02-24,51,38.94
2012-03-02,48,40.29
2012-03-09,69,39.19
2012-03-16,74,41.25
2012-03-23,48,38.36
2012-03-30,36,37.47
2012-04-13,46,35.75
2012-04-20,47,37.67
2012-04-27,50,37.94
2012-05-04,42,36.57
2012-05-11,44,34.38
2012-05-18,61,32.23
2012-05-25,65,33.75
2012-06-01,44,30.59
2012-06-08,32,31.88
2012-06-15,52,31.57
2012-06-22,53,30.18
2012-06-29,62,32.53
2012-07-06,61,33.13
2012-07-13,61,34.48
2012-07-20,53,36.96
2012-07-27,51,37.61
2012-08-03,65,37.91
2012-08-10,66,38.39
2012-08-17,57,38.56
2012-08-24,54,38.45
2012-08-31,52,38.14
2012-09-07,77,37.02
2012-09-14,56,38.52
2012-09-21,73,37.74
2012-09-28,63,35.78
2012-10-05,47,35.17
2012-10-12,62,36
2012-10-19,56,39.81
2012-10-26,67,38.09
2012-11-02,59,37.13
2012-11-09,47,35.24
2012-11-16,55,33.51
2012-11-23,45,34.44
2012-11-30,49,34.49
2012-12-07,67,34.85
2012-12-14,62,33.87
2012-12-21,50,35.87
2012-12-28,44,34.05
2013-01-04,75,37.34
2013-01-11,67,36.42
2013-01-18,51,39.87
2013-01-25,34,38.23
2013-02-01,70,41.42
2013-02-08,85,39.76
2013-02-15,59,39.11
2013-02-22,52,37.23
2013-03-01,49,35.37
2013-03-08,66,35.85
2013-03-15,44,37.82
2013-03-22,42,36.63
2013-04-05,43,37.7
2013-04-12,54,36.7
2013-04-19,57,36.02
2013-04-26,52,37.11
2013-05-03,55,38.86
2013-05-10,48,40.03
2013-05-17,52,40.66
2013-05-24,52,40.61
2013-05-31,52,38.75
2013-06-07,56,39.23
2013-06-14,54,37.55
2013-06-21,33,37.17
2013-06-28,71,37.58
2013-07-05,36,38.6
2013-07-12,46,40.25
2013-07-19,62,41.14
2013-07-26,63,38.58
2013-08-02,62,39.76
2013-08-09,78,39.92
2013-08-16,66,38.66
2013-08-23,60,38.81
2013-08-30,68,37.2
2013-09-06,69,39
2013-09-13,74,38.8
2013-09-20,56,38.25
2013-09-27,52,37.6
2013-10-04,42,38.7
2013-10-11,50,37.7
2013-10-18,56,37.98
2013-10-25,57,38.08
2013-11-01,60,37.15
2013-11-08,43,39.56
2013-11-15,60,39.74
2013-11-22,56,39.56
2013-11-29,37,38.12
2013-12-06,51,37.85
2013-12-13,57,36.55
2013-12-20,51,36.32
2013-12-27,66,36.97
2014-01-03,40,36.72
2014-01-10,55,36.51
2014-01-17,60,35.39
2014-01-24,70,32.94
2014-01-31,64,31.03
2014-02-07,69,30.7
2014-02-14,74,31.16
2014-02-21,83,31.16
2014-02-28,53,31.05
2014-03-07,39,31.68
2014-03-14,78,29.08
2014-03-21,63,31.62
2014-03-28,61,32.47
2014-04-04,77,31.3
2014-04-11,77,29.7
2014-04-25,57,31.49
