"Date","buy.JBL","Price"
2009-12-18,34,14.8
2010-01-08,29,17.54
2010-01-15,28,17.04
2010-01-22,33,15.69
2010-01-29,29,14.48
2010-02-05,38,14.36
2010-02-12,34,14.74
2010-02-19,31,15.16
2010-02-26,25,15.17
2010-03-05,24,16.72
2010-03-12,36,17.62
2010-03-19,24,17.34
2010-03-26,23,16.37
2010-04-09,36,16.8
2010-04-16,20,16.45
2010-04-23,18,17.02
2010-04-30,18,15.32
2010-05-07,22,14.09
2010-05-14,19,14.12
2010-05-21,36,13.15
2010-05-28,16,13.69
2010-06-04,32,12.66
2010-06-11,28,13.09
2010-06-18,25,13.96
2010-06-25,22,14.4
2010-07-02,32,13.02
2010-07-09,18,13.97
2010-07-16,24,14.79
2010-07-23,28,15.31
2010-07-30,40,14.51
2010-08-06,28,13.29
2010-08-13,25,11.55
2010-08-20,21,11.17
2010-08-27,37,10.82
2010-09-03,25,11.73
2010-09-10,20,12.22
2010-09-17,24,12.79
2010-09-24,15,13.57
2010-10-01,16,14.3
2010-10-08,17,14.71
2010-10-15,30,14.75
2010-10-22,27,14.18
2010-10-29,21,15.34
2010-11-05,23,15.63
2010-11-12,29,14.39
2010-11-19,29,15.03
2010-11-26,45,14.59
2010-12-03,33,16.16
2010-12-10,32,16.71
2010-12-17,42,17.47
2010-12-31,47,20.09
2011-01-07,33,21.07
2011-01-14,25,21.34
2011-01-21,41,19.84
2011-01-28,17,19.81
2011-02-04,26,21.22
2011-02-11,24,21.66
2011-02-18,26,22.57
2011-02-25,16,20.93
2011-03-04,20,21.79
2011-03-11,32,20.48
2011-03-18,18,18.59
2011-03-25,26,21.28
2011-04-01,14,20.04
2011-04-08,24,19.79
2011-04-15,15,19.18
2011-04-29,20,19.84
2011-05-06,23,20.99
2011-05-13,21,21.58
2011-05-20,24,20.74
2011-05-27,23,21.22
2011-06-03,26,19.95
2011-06-10,17,19.08
2011-06-17,28,18.29
2011-06-24,19,19.14
2011-07-01,22,20.77
2011-07-08,16,21.35
2011-07-15,23,19.79
2011-07-22,21,20.26
2011-07-29,25,18.31
2011-08-05,24,15.54
2011-08-12,17,16.25
2011-08-19,13,14.22
2011-08-26,23,15.46
2011-09-02,13,16.37
2011-09-09,31,15.76
2011-09-16,20,17.66
2011-09-23,25,16.28
2011-09-30,22,17.79
2011-10-07,19,18.6
2011-10-14,16,20.07
2011-10-21,13,19.92
2011-10-28,17,21.32
2011-11-04,20,20.59
2011-11-11,22,20.91
2011-11-18,30,20.32
2011-11-25,33,18.34
2011-12-02,29,20.71
2011-12-09,41,20.65
2011-12-16,33,19.42
2011-12-23,40,19.91
2011-12-30,33,19.66
2012-01-06,24,20.87
2012-01-13,20,21.04
2012-01-20,24,23
2012-01-27,24,22.8
2012-02-03,23,24.12
2012-02-10,21,24.72
2012-02-17,25,26.03
2012-02-24,23,26.01
2012-03-02,25,25.98
2012-03-09,28,26.16
2012-03-16,20,26.82
2012-03-23,21,25.5
2012-03-30,25,25.12
2012-04-13,19,23.03
2012-04-20,21,22.58
2012-04-27,25,23.58
2012-05-04,13,21.66
2012-05-11,27,20.04
2012-05-18,25,18.91
2012-05-25,20,19.25
2012-06-01,28,18.19
2012-06-08,24,19.1
2012-06-15,23,19.13
2012-06-22,30,19.76
2012-06-29,16,20.33
2012-07-06,22,19.85
2012-07-13,24,19.02
2012-07-20,17,20.55
2012-07-27,25,21.22
2012-08-03,17,22.02
2012-08-10,25,22.67
2012-08-17,26,23.16
2012-08-24,25,23.27
2012-08-31,19,22.78
2012-09-07,20,21.9
2012-09-14,19,22.7
2012-09-21,19,21.55
2012-09-28,19,18.72
2012-10-05,26,18.05
2012-10-12,21,17.03
2012-10-19,24,17.19
2012-10-26,24,17.28
2012-11-02,27,17.4
2012-11-09,21,17.62
2012-11-16,26,17.63
2012-11-23,41,18.95
2012-11-30,36,19
2012-12-07,39,18.37
2012-12-14,49,17.51
2012-12-21,63,19.39
2012-12-28,61,18.61
2013-01-04,45,19.44
2013-01-11,45,19.92
2013-01-18,36,19.63
2013-01-25,45,19.94
2013-02-01,41,19.36
2013-02-08,23,19.36
2013-02-15,32,19.77
2013-02-22,27,19.07
2013-03-01,33,18.47
2013-03-08,30,18.89
2013-03-15,26,19.25
2013-03-22,33,18.56
2013-04-05,35,18.31
2013-04-12,27,18.01
2013-04-19,36,16.57
2013-04-26,33,17.31
2013-05-03,31,18.23
2013-05-10,30,19.28
2013-05-17,34,20.05
2013-05-24,36,19.25
2013-05-31,35,20.06
2013-06-07,41,19.44
2013-06-14,36,19.42
2013-06-21,42,20.23
2013-06-28,32,20.38
2013-07-05,47,20.93
2013-07-12,31,21.95
2013-07-19,38,22.25
2013-07-26,45,22.6
2013-08-02,36,23.39
2013-08-09,45,23.63
2013-08-16,50,23.36
2013-08-23,43,23.39
2013-08-30,40,22.82
2013-09-06,38,23
2013-09-13,36,23.67
2013-09-20,38,23.11
2013-09-27,31,21.42
2013-10-04,40,22.11
2013-10-11,31,21.99
2013-10-18,33,22.52
2013-10-25,34,22.52
2013-11-01,30,20.71
2013-11-08,33,20.51
2013-11-15,43,19.82
2013-11-22,46,19.62
2013-11-29,54,20.27
2013-12-06,48,20.42
2013-12-13,59,19.07
2013-12-20,69,16.12
2013-12-27,100,17.01
2014-01-03,64,17.19
2014-01-10,54,17.02
2014-01-17,37,18.01
2014-01-24,34,17.96
2014-01-31,41,17.97
2014-02-07,37,18.01
2014-02-14,55,18.49
2014-02-21,36,18.48
2014-02-28,42,18.51
2014-03-07,44,18.39
2014-03-14,47,17.73
2014-03-21,38,17.72
2014-03-28,37,17.76
2014-04-04,36,18.44
2014-04-11,52,17.23
2014-04-25,35,17.64
