"Date","Franklin.Resources","Price"
2012-11-30,9,132.02
2012-12-07,8,127.68
2012-12-14,6,126.99
2012-12-21,7,128.33
2012-12-28,5,124.66
2013-01-04,8,131.47
2013-01-11,7,135.66
2013-01-18,10,133.39
2013-01-25,7,134.48
2013-02-01,12,139.77
2013-02-08,10,140.2
2013-02-15,10,144.56
2013-02-22,12,143.24
2013-03-01,8,140.83
2013-03-08,10,146.84
2013-03-15,11,149.9
2013-03-22,9,148.64
2013-04-05,7,148.07
2013-04-12,6,155.27
2013-04-19,8,146.83
2013-04-26,5,153.61
2013-05-03,9,156.41
2013-05-10,8,161.21
2013-05-17,10,168.32
2013-05-24,9,162.94
2013-05-31,4,154.81
2013-06-07,7,150.46
2013-06-14,7,147.13
2013-06-21,10,137.02
2013-06-28,9,136.02
2013-07-05,6,136.95
2013-07-12,9,143.49
2013-07-19,10,145.83
2013-07-26,12,48.66
2013-08-02,11,49.89
2013-08-09,11,49.31
2013-08-16,11,46.68
2013-08-23,9,46.97
2013-08-30,10,46.16
2013-09-06,7,47.11
2013-09-13,9,48.55
2013-09-20,6,51.69
2013-09-27,11,50.82
2013-10-04,13,51.67
2013-10-11,8,51.27
2013-10-18,5,53.85
2013-10-25,8,54.5
2013-11-01,7,53.98
2013-11-08,9,52.27
2013-11-15,8,54.15
2013-11-22,11,55.65
2013-11-29,4,55.39
2013-12-06,5,54.58
2013-12-13,9,54.02
2013-12-20,6,56.25
2013-12-27,5,57.23
2014-01-03,5,57.08
2014-01-10,9,57.8
2014-01-17,7,58.51
2014-01-24,9,53.6
2014-01-31,10,52.01
2014-02-07,9,52.15
2014-02-14,10,52.81
2014-02-21,7,52.48
2014-02-28,12,53.25
2014-03-07,11,53.81
2014-03-14,7,51.12
2014-03-21,9,52.34
2014-03-28,7,53.67
2014-04-04,9,53.41
2014-04-11,11,51.8
2014-04-25,6,52.77
