"Date","Ameriprise.Financial","Price"
2007-11-02,41,60.41
2007-11-09,41,57.63
2007-11-16,39,58.5
2007-11-23,18,57.98
2007-11-30,29,58.69
2007-12-07,34,59.34
2007-12-14,33,54.43
2007-12-21,31,56.07
2007-12-28,29,54.71
2008-01-04,32,53.65
2008-01-11,35,53.58
2008-01-18,39,49.44
2008-01-25,32,49.61
2008-02-01,37,57.12
2008-02-08,42,51.69
2008-02-15,47,52.27
2008-02-22,41,52.45
2008-02-29,41,50.64
2008-03-07,45,48.78
2008-03-14,35,48.78
2008-03-28,36,50.57
2008-04-04,38,54.57
2008-04-11,41,51.12
2008-04-18,36,52.16
2008-04-25,34,47.9
2008-05-02,29,50.46
2008-05-09,34,48.58
2008-05-16,35,49.83
2008-05-23,28,46.18
2008-05-30,26,47.26
2008-06-06,28,45.77
2008-06-13,24,46.53
2008-06-20,27,44.58
2008-06-27,27,41.82
2008-07-11,33,39.11
2008-07-18,29,39.79
2008-07-25,30,41.19
2008-08-01,25,42.8
2008-08-08,20,43.38
2008-08-15,24,44.67
2008-08-22,25,44.4
2008-08-29,28,44.95
2008-09-05,20,44.37
2008-09-12,22,44.7
2008-09-19,34,43.5
2008-09-26,31,40.4
2008-10-03,31,32.95
2008-10-10,37,21.62
2008-10-17,29,24.79
2008-10-24,22,21.43
2008-10-31,24,21.6
2008-11-07,18,21.03
2008-11-14,16,18
2008-11-21,22,12.37
2008-11-28,15,18.46
2008-12-05,22,21.31
2008-12-12,18,20.47
2008-12-19,22,22.85
2008-12-26,15,20.05
2009-01-02,24,24
2009-01-09,20,22.8
2009-01-16,21,21.31
2009-01-23,19,19.46
2009-01-30,19,20.15
2009-02-06,24,21.68
2009-02-13,19,20.46
2009-02-20,21,17.15
2009-02-27,26,15.94
2009-03-06,31,14.2
2009-03-13,31,17.91
2009-03-20,30,18.73
2009-03-27,31,20.71
2009-04-03,31,22.84
2009-04-17,24,24.86
2009-04-24,20,26.44
2009-05-01,22,26.45
2009-05-08,22,29.02
2009-05-15,22,25.4
2009-05-22,20,28.73
2009-05-29,14,30.2
2009-06-05,15,29.65
2009-06-12,21,24.32
2009-06-19,23,24
2009-06-26,21,23.89
2009-07-10,21,22.14
2009-07-17,27,24.63
2009-07-24,29,25.77
2009-07-31,24,27.8
2009-08-07,25,29.6
2009-08-14,27,28.86
2009-08-21,33,29.82
2009-08-28,32,30.2
2009-09-04,25,29
2009-09-11,26,30.25
2009-09-18,28,32.76
2009-09-25,22,30.94
2009-10-02,26,36.43
2009-10-09,23,36.67
2009-10-16,25,36.1
2009-10-23,27,37.07
2009-10-30,19,34.67
2009-11-06,22,37.83
2009-11-13,25,39.09
2009-11-20,24,37.57
2009-11-27,21,37.05
2009-12-04,25,38.39
2009-12-11,25,38.44
2009-12-18,25,37.99
2010-01-08,24,41.84
2010-01-15,26,41.62
2010-01-22,27,39.76
2010-01-29,26,38.24
2010-02-05,31,37.93
2010-02-12,26,38.26
2010-02-19,32,40.14
2010-02-26,28,40.03
2010-03-05,34,42.9
2010-03-12,25,43.33
2010-03-19,30,44.18
2010-03-26,28,43.96
2010-04-09,35,46.16
2010-04-16,30,47.12
2010-04-23,28,49.05
2010-04-30,24,46.36
2010-05-07,26,42.54
2010-05-14,20,43.39
2010-05-21,19,40.41
2010-05-28,19,39.79
2010-06-04,15,38.41
2010-06-11,15,39.47
2010-06-18,14,39.76
2010-06-25,17,38.49
2010-07-02,15,36.18
2010-07-09,17,39
2010-07-16,18,37.55
2010-07-23,16,38.65
2010-07-30,18,42.39
2010-08-06,20,42.95
2010-08-13,20,42.2
2010-08-20,16,43.13
2010-08-27,15,43.71
2010-09-03,17,47.22
2010-09-10,13,47.21
2010-09-17,13,47.62
2010-09-24,19,47.24
2010-10-01,17,47.76
2010-10-08,19,49.93
2010-10-15,14,49.93
2010-10-22,17,51.02
2010-10-29,17,51.69
2010-11-05,15,55.02
2010-11-12,14,52.93
2010-11-19,16,52.41
2010-11-26,12,51.81
2010-12-03,17,54.14
2010-12-10,15,55.67
2010-12-17,16,55.2
2010-12-31,12,57.55
2011-01-07,17,60.26
2011-01-14,16,60.88
2011-01-21,17,60.36
2011-01-28,18,60.31
2011-02-04,16,58.08
2011-02-11,20,63.87
2011-02-18,20,64.73
2011-02-25,15,63.52
2011-03-04,17,63.27
2011-03-11,18,62.18
2011-03-18,17,61.22
2011-03-25,18,60.86
2011-04-01,17,62.48
2011-04-08,20,62.93
2011-04-15,20,61.61
2011-04-29,16,62.06
2011-05-06,14,61.2
2011-05-13,15,62.4
2011-05-20,14,62.17
2011-05-27,12,60.37
2011-06-03,9,58.23
2011-06-10,14,56.04
2011-06-17,14,56.66
2011-06-24,12,55.4
2011-07-01,16,58.39
2011-07-08,13,58.14
2011-07-15,15,54.05
2011-07-22,14,55.38
2011-07-29,15,54.1
2011-08-05,17,47.18
2011-08-12,19,44.21
2011-08-19,17,39.04
2011-08-26,13,43.45
2011-09-02,14,42.37
2011-09-09,13,41.73
2011-09-16,12,45.07
2011-09-23,14,39.77
2011-09-30,15,39.36
2011-10-07,14,39.06
2011-10-14,15,42.88
2011-10-21,14,43.46
2011-10-28,14,48.74
2011-11-04,12,46.26
2011-11-11,14,47.22
2011-11-18,12,44.21
2011-11-25,9,41.51
2011-12-02,15,45.98
2011-12-09,14,47.1
2011-12-16,12,46.55
2011-12-23,11,50.61
2011-12-30,10,49.64
2012-01-06,12,51.09
2012-01-13,16,51.4
2012-01-20,12,54.68
2012-01-27,15,53.67
2012-02-03,16,53.65
2012-02-10,17,54.19
2012-02-17,14,56.54
2012-02-24,16,56.41
2012-03-02,16,55.84
2012-03-09,15,56.08
2012-03-16,16,57.72
2012-03-23,15,57.1
2012-03-30,14,57.13
2012-04-13,13,53.13
2012-04-20,15,53.45
2012-04-27,15,54.08
2012-05-04,14,52
2012-05-11,11,50.47
2012-05-18,11,46.41
2012-05-25,14,47.78
2012-06-01,17,45.81
2012-06-08,19,48.53
2012-06-15,18,49.75
2012-06-22,16,50.82
2012-06-29,11,52.26
2012-07-06,12,50.96
2012-07-13,13,51.11
2012-07-20,13,50.3
2012-07-27,15,52.53
2012-08-03,15,52.63
2012-08-10,12,54.5
2012-08-17,14,55.3
2012-08-24,12,55.18
2012-08-31,12,54.91
2012-09-07,14,56.47
2012-09-14,13,59.2
2012-09-21,15,57.6
2012-09-28,13,56.69
2012-10-05,14,57.83
2012-10-12,11,55.96
2012-10-19,11,57.8
2012-10-26,11,59.3
2012-11-02,15,60.12
2012-11-09,12,58.05
2012-11-16,14,58.38
2012-11-23,13,61
2012-11-30,13,60.67
2012-12-07,15,62.35
2012-12-14,11,61.22
2012-12-21,10,62.67
2012-12-28,8,62.19
2013-01-04,12,65.95
2013-01-11,13,65.07
2013-01-18,14,65.9
2013-01-25,11,67.38
2013-02-01,11,67.15
2013-02-08,20,66.49
2013-02-15,18,68.77
2013-02-22,21,67.93
2013-03-01,19,68.08
2013-03-08,18,72.09
2013-03-15,16,74.33
2013-03-22,12,73.65
2013-04-05,15,71.48
2013-04-12,14,74.73
2013-04-19,15,72.18
2013-04-26,13,73.48
2013-05-03,13,75.8
2013-05-10,12,78.2
2013-05-17,16,81.69
2013-05-24,12,80.2
2013-05-31,14,81.52
2013-06-07,12,83.07
2013-06-14,13,81.86
2013-06-21,11,79.16
2013-06-28,11,80.88
2013-07-05,9,83.1
2013-07-12,13,86.6
2013-07-19,14,86.31
2013-07-26,18,88.18
2013-08-02,20,91.21
2013-08-09,12,90.08
2013-08-16,14,88.23
2013-08-23,12,89.03
2013-08-30,12,86.15
2013-09-06,12,87.59
2013-09-13,15,90.8
2013-09-20,17,92.22
2013-09-27,17,91.43
2013-10-04,18,92.89
2013-10-11,19,94.3
2013-10-18,15,99.75
2013-10-25,12,99.56
2013-11-01,14,101.06
2013-11-08,13,103.12
2013-11-15,14,105.47
2013-11-22,11,107.58
2013-11-29,10,108.25
2013-12-06,10,108.99
2013-12-13,10,106.68
2013-12-20,12,111.81
2013-12-27,9,113.94
2014-01-03,11,113.9
2014-01-10,13,115.06
2014-01-17,11,113.37
2014-01-24,13,106.79
2014-01-31,14,105.64
2014-02-07,12,107.61
2014-02-14,13,107.09
2014-02-21,20,106.81
2014-02-28,21,108.99
2014-03-07,14,112.65
2014-03-14,14,108.25
2014-03-21,12,111.78
2014-03-28,13,108.81
2014-04-04,15,111.42
2014-04-11,15,101.74
2014-04-25,11,103.53
