"Date","ADSK","Price"
2010-09-17,24,32.56
2010-09-24,32,31.97
2010-10-01,35,31.88
2010-10-08,25,31.43
2010-10-15,37,33.32
2010-10-22,33,34.84
2010-10-29,37,36.2
2010-11-05,31,35.68
2010-11-12,18,35.25
2010-11-19,27,33.77
2010-11-26,18,35.2
2010-12-03,24,37.99
2010-12-10,22,39.11
2010-12-17,27,39.13
2010-12-31,22,38.2
2011-01-07,32,40.76
2011-01-14,16,41.44
2011-01-21,27,41.5
2011-01-28,20,39.97
2011-02-04,21,43.69
2011-02-11,23,42.69
2011-02-18,20,43.4
2011-02-25,26,42.75
2011-03-04,20,40.71
2011-03-11,20,40.11
2011-03-18,21,39.4
2011-03-25,26,43.27
2011-04-01,31,43.83
2011-04-08,21,42.79
2011-04-15,21,43.09
2011-04-29,23,44.98
2011-05-06,25,44.31
2011-05-13,16,45.57
2011-05-20,23,42.35
2011-05-27,21,42.5
2011-06-03,15,40.84
2011-06-10,21,37.9
2011-06-17,19,35.69
2011-06-24,16,36.69
2011-07-01,25,38.7
2011-07-08,20,40.12
2011-07-15,22,36.15
2011-07-22,20,37.07
2011-07-29,18,34.4
2011-08-05,23,30.92
2011-08-12,34,29.18
2011-08-19,28,23.41
2011-08-26,28,26.63
2011-09-02,18,26.38
2011-09-09,24,25.41
2011-09-16,14,29.45
2011-09-23,17,28.34
2011-09-30,32,27.79
2011-10-07,36,28.29
2011-10-14,17,32.42
2011-10-21,17,31.78
2011-10-28,22,35.83
2011-11-04,22,35.02
2011-11-11,13,34.2
2011-11-18,19,33.5
2011-11-25,15,29.8
2011-12-02,14,33.97
2011-12-09,15,34.39
2011-12-16,13,31.2
2011-12-23,15,30.81
2011-12-30,11,30.33
2012-01-06,12,30.96
2012-01-13,17,31.92
2012-01-20,16,35.04
2012-01-27,22,36.6
2012-02-03,20,37.85
2012-02-10,21,37.53
2012-02-17,18,38.91
2012-02-24,19,37.62
2012-03-02,14,37.09
2012-03-09,15,36.81
2012-03-16,22,40.9
2012-03-23,22,41.08
2012-03-30,20,42.32
2012-04-13,19,41.25
2012-04-20,21,40.42
2012-04-27,18,39.63
2012-05-04,24,37.46
2012-05-11,16,36.25
2012-05-18,23,30.26
2012-05-25,17,32.12
2012-06-01,15,30.84
2012-06-08,16,32.78
2012-06-15,15,33.37
2012-06-22,14,33.81
2012-06-29,17,34.99
2012-07-06,12,32.31
2012-07-13,17,31.72
2012-07-20,11,32.16
2012-07-27,20,34.6
2012-08-03,18,34.98
2012-08-10,14,35.01
2012-08-17,14,34.97
2012-08-24,50,30.13
2012-08-31,23,31.05
2012-09-07,20,32.22
2012-09-14,17,33.47
2012-09-21,23,33.68
2012-09-28,16,33.35
2012-10-05,24,33.1
2012-10-12,21,31.2
2012-10-19,16,30.47
2012-10-26,18,32.31
2012-11-02,14,32.14
2012-11-09,19,30.94
2012-11-16,26,31.48
2012-11-23,15,31.8
2012-11-30,21,33.13
2012-12-07,17,33.76
2012-12-14,24,34.21
2012-12-21,27,35.49
2012-12-28,13,34.99
2013-01-04,22,36.36
2013-01-11,22,36.8
2013-01-18,20,37.5
2013-01-25,17,38.99
2013-02-01,22,38.94
2013-02-08,19,38.89
2013-02-15,17,39
2013-02-22,17,37.91
2013-03-01,24,37.36
2013-03-08,25,40.17
2013-03-15,13,40.14
2013-03-22,28,41.39
2013-04-05,30,38.35
2013-04-12,24,38.36
2013-04-19,16,36.12
2013-04-26,24,37.31
2013-05-03,19,39.52
2013-05-10,24,39.75
2013-05-17,39,37.11
2013-05-24,28,36.08
2013-05-31,15,37.73
2013-06-07,18,36.65
2013-06-14,15,35.09
2013-06-21,16,34.21
2013-06-28,16,33.94
2013-07-05,11,34.16
2013-07-12,20,36.01
2013-07-19,18,36.49
2013-07-26,14,36.51
2013-08-02,16,35.03
2013-08-09,15,35.85
2013-08-16,15,35.94
2013-08-23,33,38.91
2013-08-30,21,36.75
2013-09-06,16,37.14
2013-09-13,25,38.18
2013-09-20,22,41
2013-09-27,29,41.79
2013-10-04,38,42.49
2013-10-11,22,41.05
2013-10-18,18,40.28
2013-10-25,18,39.87
2013-11-01,19,41.89
2013-11-08,22,42.76
2013-11-15,27,44.11
2013-11-22,34,45.86
2013-11-29,27,45.25
2013-12-06,25,46.42
2013-12-13,29,47.74
2013-12-20,25,49.19
2013-12-27,23,49.54
2014-01-03,20,48.9
2014-01-10,21,51.47
2014-01-17,24,53.24
2014-01-24,25,50.44
2014-01-31,21,51.25
2014-02-07,30,51.99
2014-02-14,25,54.17
2014-02-21,21,55.4
2014-02-28,34,52.48
2014-03-07,37,53.61
2014-03-14,17,50.47
2014-03-21,16,50.04
2014-03-28,19,48.34
2014-04-04,25,47.32
2014-04-11,20,45.19
2014-04-25,17,47
