"Date","buy.LOW","Price"
2005-12-30,58,66.66
2006-01-06,60,64.7
2006-01-13,61,66.24
2006-01-20,52,63.13
2006-01-27,45,65.11
2006-02-03,67,63.52
2006-02-10,44,62.62
2006-02-17,49,66.27
2006-02-24,57,65.52
2006-03-03,47,67.39
2006-03-10,48,65.4
2006-03-17,44,68.63
2006-03-24,54,66.16
2006-03-31,45,64.44
2006-04-07,50,65.39
2006-04-21,47,63.28
2006-04-28,47,63.05
2006-05-05,50,65.32
2006-05-12,58,63.27
2006-05-19,47,62.64
2006-05-26,60,61.85
2006-06-02,34,63.46
2006-06-09,55,62.23
2006-06-16,50,62.24
2006-06-23,38,60.86
2006-06-30,44,60.67
2006-07-07,42,28.96
2006-07-14,55,27.88
2006-07-21,44,28.11
2006-07-28,49,28.7
2006-08-04,48,28.78
2006-08-11,46,28.1
2006-08-18,55,29.52
2006-08-25,46,26.75
2006-09-01,56,27.33
2006-09-08,49,27.24
2006-09-15,55,29.35
2006-09-22,39,28.33
2006-09-29,44,28.06
2006-10-06,33,29.21
2006-10-13,39,30.95
2006-10-20,47,30.25
2006-10-27,49,30.34
2006-11-03,39,29.05
2006-11-10,38,29.17
2006-11-17,53,30.48
2006-11-24,58,30
2006-12-01,49,30.89
2006-12-08,34,30.81
2006-12-15,53,31.41
2006-12-22,38,30.43
2006-12-29,52,31.15
2007-01-05,49,31.79
2007-01-12,48,33.06
2007-01-19,52,33.71
2007-01-26,44,32.58
2007-02-02,49,34.15
2007-02-09,45,33.42
2007-02-16,43,33.27
2007-02-23,50,34.93
2007-03-02,44,31.94
2007-03-09,52,32.34
2007-03-16,44,30.93
2007-03-23,47,32.37
2007-03-30,44,31.49
2007-04-13,60,31.14
2007-04-20,49,32.02
2007-04-27,64,30.85
2007-05-04,68,30.45
2007-05-11,52,30.87
2007-05-18,56,32.67
2007-05-25,48,32.13
2007-06-01,47,32.66
2007-06-08,60,32.05
2007-06-15,53,31.55
2007-06-22,55,31.04
2007-06-29,55,30.69
2007-07-06,48,31.11
2007-07-13,46,30.76
2007-07-20,53,29.63
2007-07-27,56,27.77
2007-08-03,49,27.45
2007-08-10,55,27.76
2007-08-17,65,26.87
2007-08-24,44,30.2
2007-08-31,63,31.06
2007-09-07,48,29.43
2007-09-14,52,30.8
2007-09-21,48,30.62
2007-09-28,55,28.02
2007-10-05,54,29.29
2007-10-12,52,28.93
2007-10-19,48,26.13
2007-10-26,55,27.15
2007-11-02,56,26
2007-11-09,57,23.92
2007-11-16,53,25.01
2007-11-23,68,22.27
2007-11-30,62,24.41
2007-12-07,53,25.08
2007-12-14,63,22.72
2007-12-21,53,23.35
2007-12-28,62,22.66
2008-01-04,68,21.08
2008-01-11,74,20.31
2008-01-18,64,22.19
2008-01-25,61,24.71
2008-02-01,66,25.55
2008-02-08,67,23.61
2008-02-15,63,23.33
2008-02-22,55,23.59
2008-02-29,55,23.97
2008-03-07,61,22.4
2008-03-14,60,21.12
2008-03-28,59,22.67
2008-04-04,56,24.26
2008-04-11,57,23.99
2008-04-18,66,24.85
2008-04-25,65,26.02
2008-05-02,69,26.13
2008-05-09,64,24.2
2008-05-16,48,24.89
2008-05-23,58,23.3
2008-05-30,62,24
2008-06-06,62,23.52
2008-06-13,57,24.14
2008-06-20,51,22.83
2008-06-27,68,20.87
2008-07-11,60,18.9
2008-07-18,60,19.93
2008-07-25,68,19.98
2008-08-01,59,20.3
2008-08-08,69,22.78
2008-08-15,73,24.5
2008-08-22,61,24.86
2008-08-29,63,24.64
2008-09-05,53,25.75
2008-09-12,59,25.42
2008-09-19,60,25.53
2008-09-26,63,24.46
2008-10-03,58,21.52
2008-10-10,71,17.9
2008-10-17,62,19.31
2008-10-24,59,17.2
2008-10-31,50,21.7
2008-11-07,61,19.66
2008-11-14,58,18.23
2008-11-21,59,17.15
2008-11-28,63,20.66
2008-12-05,65,22.34
2008-12-12,75,21.99
2008-12-19,53,22.54
2008-12-26,61,21.13
2009-01-02,71,22.64
2009-01-09,60,21.19
2009-01-16,66,21.04
2009-01-23,57,20.05
2009-01-30,76,18.27
2009-02-06,60,19.24
2009-02-13,53,17.8
2009-02-20,54,15.86
2009-02-27,63,15.84
2009-03-06,78,13.39
2009-03-13,55,15.89
2009-03-20,71,17.03
2009-03-27,73,18.81
2009-04-03,58,19.12
2009-04-17,62,20.73
2009-04-24,56,21.09
2009-05-01,64,20.85
2009-05-08,68,19.8
2009-05-15,60,18.45
2009-05-22,62,19.37
2009-05-29,69,19.01
2009-06-05,69,20.04
2009-06-12,68,19.85
2009-06-19,57,18.78
2009-06-26,60,19.22
2009-07-10,68,18.85
2009-07-17,67,20.42
2009-07-24,67,22
2009-07-31,73,22.46
2009-08-07,69,23.85
2009-08-14,75,22.83
2009-08-21,66,21.16
2009-08-28,68,21.7
2009-09-04,59,21.62
2009-09-11,68,21.43
2009-09-18,66,21.97
2009-09-25,75,21.05
2009-10-02,66,20.03
2009-10-09,69,20.94
2009-10-16,72,21.36
2009-10-23,81,20.71
2009-10-30,61,19.57
2009-11-06,60,20.94
2009-11-13,73,21.85
2009-11-20,72,21.35
2009-11-27,71,21.96
2009-12-04,68,22.88
2009-12-11,68,23.88
2009-12-18,58,23.62
2010-01-08,75,23.59
2010-01-15,66,23.13
2010-01-22,67,22.31
2010-01-29,71,21.65
2010-02-05,68,21.59
2010-02-12,57,22.16
2010-02-19,67,23.13
2010-02-26,58,23.71
2010-03-05,69,24.05
2010-03-12,73,24.95
2010-03-19,61,24.78
2010-03-26,69,24.48
2010-04-09,72,25.63
2010-04-16,60,26.29
2010-04-23,69,28.22
2010-04-30,70,27.12
2010-05-07,79,25.31
2010-05-14,59,26.07
2010-05-21,69,24.2
2010-05-28,61,24.75
2010-06-04,65,23.52
2010-06-11,67,23.48
2010-06-18,68,22.62
2010-06-25,64,21.33
2010-07-02,62,20.27
2010-07-09,73,20.43
2010-07-16,72,20.04
2010-07-23,63,21.11
2010-07-30,74,20.74
2010-08-06,75,20.28
2010-08-13,75,19.59
2010-08-20,64,20.64
2010-08-27,68,21.1
2010-09-03,65,21.96
2010-09-10,61,21.52
2010-09-17,60,21.02
2010-09-24,66,22.48
2010-10-01,68,22.35
2010-10-08,67,22.7
2010-10-15,64,21.56
2010-10-22,64,22
2010-10-29,66,21.34
2010-11-05,75,22.29
2010-11-12,71,21.69
2010-11-19,66,22.09
2010-11-26,65,22.24
2010-12-03,65,24.86
2010-12-10,65,25.22
2010-12-17,66,25.17
2010-12-31,74,25.08
2011-01-07,72,23.99
2011-01-14,77,25
2011-01-21,77,25.01
2011-01-28,64,25.25
2011-02-04,71,24.71
2011-02-11,71,25.09
2011-02-18,67,26.3
2011-02-25,66,25.27
2011-03-04,65,26.24
2011-03-11,64,26.94
2011-03-18,57,26.2
2011-03-25,71,27.19
2011-04-01,71,26.74
2011-04-08,67,26.82
2011-04-15,68,27.05
2011-04-29,72,26.25
2011-05-06,74,25.64
2011-05-13,76,25.76
2011-05-20,68,24.46
2011-05-27,70,24.25
2011-06-03,68,23.4
2011-06-10,74,22.26
2011-06-17,77,22.83
2011-06-24,65,23.25
2011-07-01,66,23.82
2011-07-08,69,23.61
2011-07-15,68,22.86
2011-07-22,68,22.62
2011-07-29,68,21.58
2011-08-05,72,20.15
2011-08-12,74,19.51
2011-08-19,76,19.31
2011-08-26,68,20.24
2011-09-02,63,18.94
2011-09-09,64,18.96
2011-09-16,69,20.38
2011-09-23,68,19.74
2011-09-30,68,19.34
2011-10-07,70,20.34
2011-10-14,68,20.93
2011-10-21,74,22.13
2011-10-28,65,21.37
2011-11-04,68,21.54
2011-11-11,66,23.11
2011-11-18,69,23.31
2011-11-25,69,22.68
2011-12-02,63,24.31
2011-12-09,61,24.97
2011-12-16,64,25.02
2011-12-23,63,25.27
2011-12-30,70,25.38
2012-01-06,74,26.34
2012-01-13,72,26.32
2012-01-20,73,26.53
2012-01-27,73,26.91
2012-02-03,77,27.2
2012-02-10,74,27.09
2012-02-17,69,27.68
2012-02-24,71,27.16
2012-03-02,71,28.13
2012-03-09,69,29.77
2012-03-16,76,30.41
2012-03-23,70,30.74
2012-03-30,72,31.38
2012-04-13,68,31.69
2012-04-20,69,31.65
2012-04-27,71,31.61
2012-05-04,78,31.09
2012-05-11,72,29.62
2012-05-18,71,28.48
2012-05-25,85,27.24
2012-06-01,76,26.36
2012-06-08,79,27.92
2012-06-15,76,28.05
2012-06-22,74,27.31
2012-06-29,78,28.44
2012-07-06,79,27.85
2012-07-13,76,26.72
2012-07-20,79,25.79
2012-07-27,77,27.07
2012-08-03,78,25.49
2012-08-10,81,26.77
2012-08-17,80,27.87
2012-08-24,77,27.73
2012-08-31,80,28.48
2012-09-07,77,28.32
2012-09-14,73,29.4
2012-09-21,78,30.19
2012-09-28,73,30.24
2012-10-05,77,31.77
2012-10-12,73,31.18
2012-10-19,76,32.64
2012-10-26,79,31.36
2012-11-02,72,33.15
2012-11-09,72,31.47
2012-11-16,79,31.98
2012-11-23,79,35.15
2012-11-30,73,36.09
2012-12-07,72,35.11
2012-12-14,73,34.46
2012-12-21,64,35.04
2012-12-28,76,34.98
2013-01-04,83,35.58
2013-01-11,73,35.83
2013-01-18,72,36.99
2013-01-25,72,38.58
2013-02-01,75,38.56
2013-02-08,76,39.03
2013-02-15,66,39.14
2013-02-22,75,37.67
2013-03-01,69,38.38
2013-03-08,73,39.31
2013-03-15,66,38.81
2013-03-22,76,37.83
2013-04-05,66,38.39
2013-04-12,75,38.92
2013-04-19,78,38.12
2013-04-26,72,37.7
2013-05-03,78,39.59
2013-05-10,74,42.07
2013-05-17,70,42.67
2013-05-24,80,42.64
2013-05-31,80,42.11
2013-06-07,74,41.6
2013-06-14,74,41.16
2013-06-21,77,39.55
2013-06-28,68,40.9
2013-07-05,72,42.78
2013-07-12,76,43.83
2013-07-19,82,44.27
2013-07-26,79,43.97
2013-08-02,78,44.99
2013-08-09,76,45.68
2013-08-16,76,43.96
2013-08-23,75,46.98
2013-08-30,74,45.82
2013-09-06,73,45.6
2013-09-13,76,46.86
2013-09-20,80,47.84
2013-09-27,76,47.77
2013-10-04,78,48.14
2013-10-11,77,48.8
2013-10-18,76,47.66
2013-10-25,74,50.59
2013-11-01,79,49.18
2013-11-08,70,48.72
2013-11-15,76,51.77
2013-11-22,73,47.9
2013-11-29,76,47.48
2013-12-06,71,47.98
2013-12-13,68,47.11
2013-12-20,66,47.97
2013-12-27,75,48.83
2014-01-03,77,48.95
2014-01-10,80,49.68
2014-01-17,76,47.61
2014-01-24,78,47.83
2014-01-31,72,46.29
2014-02-07,72,46.07
2014-02-14,72,47.28
2014-02-21,74,47.06
2014-02-28,69,50.03
2014-03-07,76,50.42
2014-03-14,77,49.09
2014-03-21,75,49.25
2014-03-28,76,48.92
2014-04-04,76,48.44
2014-04-11,72,46.31
2014-04-25,77,46.38
