"Date","United.Technologies","Price"
2006-01-27,65,58.75
2006-02-03,53,57.18
2006-02-10,44,57.13
2006-02-17,49,58
2006-02-24,44,58.89
2006-03-03,56,57.86
2006-03-10,40,57.82
2006-03-17,56,58.8
2006-03-24,42,59.28
2006-03-31,45,57.97
2006-04-07,46,57.62
2006-04-21,67,64.22
2006-04-28,48,62.81
2006-05-05,52,64.91
2006-05-12,46,64.9
2006-05-19,48,62.7
2006-05-26,38,62.6
2006-06-02,45,63.03
2006-06-09,43,60.05
2006-06-16,45,61.75
2006-06-23,36,62.28
2006-06-30,45,63.42
2006-07-07,49,63.1
2006-07-14,39,58.81
2006-07-21,67,59.96
2006-07-28,31,62.15
2006-08-04,45,62.57
2006-08-11,50,60.15
2006-08-18,43,61.84
2006-08-25,45,60.67
2006-09-01,43,63.26
2006-09-08,41,63.34
2006-09-15,54,64.61
2006-09-22,45,62.3
2006-09-29,47,63.35
2006-10-06,52,65.41
2006-10-13,49,66.5
2006-10-20,45,65.02
2006-10-27,48,64.94
2006-11-03,46,63.97
2006-11-10,39,65.06
2006-11-17,46,66.09
2006-11-24,36,65.99
2006-12-01,36,63.86
2006-12-08,44,64.72
2006-12-15,42,62.45
2006-12-22,36,62.56
2006-12-29,32,62.52
2007-01-05,32,62.68
2007-01-12,41,64.42
2007-01-19,37,65.18
2007-01-26,45,66.04
2007-02-02,43,68
2007-02-09,42,67.58
2007-02-16,45,68.68
2007-02-23,42,67.55
2007-03-02,43,64.35
2007-03-09,51,64.5
2007-03-16,44,64.6
2007-03-23,32,66.73
2007-03-30,43,65
2007-04-13,50,65.05
2007-04-20,34,67.48
2007-04-27,33,67.69
2007-05-04,32,68
2007-05-11,37,68.39
2007-05-18,32,69.19
2007-05-25,42,68.62
2007-06-01,26,70.78
2007-06-08,33,70.23
2007-06-15,33,72.01
2007-06-22,40,71.38
2007-06-29,34,70.93
2007-07-06,29,72.6
2007-07-13,43,75
2007-07-20,49,76.03
2007-07-27,37,73.29
2007-08-03,34,73.93
2007-08-10,39,73.08
2007-08-17,31,73.82
2007-08-24,41,74.33
2007-08-31,29,74.63
2007-09-07,36,73.79
2007-09-14,35,76.14
2007-09-21,38,79.43
2007-09-28,35,80.48
2007-10-05,37,80.84
2007-10-12,33,80.32
2007-10-19,48,76
2007-10-26,35,75.44
2007-11-02,38,75.65
2007-11-09,34,73.51
2007-11-16,31,74.3
2007-11-23,29,73.46
2007-11-30,34,74.77
2007-12-07,41,78.07
2007-12-14,30,76.69
2007-12-21,29,77.83
2007-12-28,33,76.87
2008-01-04,28,75.02
2008-01-11,39,71.68
2008-01-18,35,68.05
2008-01-25,35,72.75
2008-02-01,36,74.12
2008-02-08,35,71.35
2008-02-15,38,71.53
2008-02-22,36,72.23
2008-02-29,34,70.51
2008-03-07,62,67.49
2008-03-14,43,67.71
2008-03-28,38,68.55
2008-04-04,41,71.73
2008-04-11,35,69.53
2008-04-18,40,72.51
2008-04-25,38,72.68
2008-05-02,29,75.1
2008-05-09,34,73.13
2008-05-16,35,73.96
2008-05-23,38,70.01
2008-05-30,29,71.04
2008-06-06,35,67.01
2008-06-13,27,68.56
2008-06-20,28,68.8
2008-06-27,32,61.15
2008-07-11,29,60.69
2008-07-18,42,64.09
2008-07-25,30,65.23
2008-08-01,34,63.56
2008-08-08,31,66.86
2008-08-15,36,66.8
2008-08-22,30,65.98
2008-08-29,27,65.59
2008-09-05,31,64.08
2008-09-12,33,64.46
2008-09-19,28,64.3
2008-09-26,28,60.86
2008-10-03,31,54.86
2008-10-10,38,47.63
2008-10-17,45,50.71
2008-10-24,38,47.31
2008-10-31,34,54.96
2008-11-07,27,51.81
2008-11-14,34,50.23
2008-11-21,33,46.67
2008-11-28,24,48.53
2008-12-05,38,49.01
2008-12-12,33,48.82
2008-12-19,28,51.37
2008-12-26,19,51.13
2009-01-02,20,54.95
2009-01-09,36,52.7
2009-01-16,29,51.1
2009-01-23,30,47.41
2009-01-30,37,47.99
2009-02-06,33,49.03
2009-02-13,38,47.09
2009-02-20,38,43.99
2009-02-27,31,40.83
2009-03-06,31,38.54
2009-03-13,90,40.57
2009-03-20,41,40.53
2009-03-27,42,44.48
2009-04-03,38,45.63
2009-04-17,26,47.32
2009-04-24,32,49.37
2009-05-01,23,49.52
2009-05-08,31,53.55
2009-05-15,23,51.28
2009-05-22,28,51.04
2009-05-29,18,52.61
2009-06-05,25,56.39
2009-06-12,26,55.84
2009-06-19,29,54.2
2009-06-26,29,51.55
2009-07-10,33,49.64
2009-07-17,32,53.8
2009-07-24,32,52.23
2009-07-31,36,54.47
2009-08-07,26,55.59
2009-08-14,27,57.21
2009-08-21,29,58.71
2009-08-28,25,59.64
2009-09-04,28,60.52
2009-09-11,23,61.99
2009-09-18,31,62.82
2009-09-25,23,61.54
2009-10-02,29,59.63
2009-10-09,30,62.17
2009-10-16,30,64.89
2009-10-23,31,65.81
2009-10-30,30,61.45
2009-11-06,31,65.07
2009-11-13,38,67.99
2009-11-20,30,67.97
2009-11-27,24,67.2
2009-12-04,24,68.32
2009-12-11,31,69.4
2009-12-18,31,69.46
2010-01-08,28,70.63
2010-01-15,30,71.99
2010-01-22,30,69.08
2010-01-29,30,67.48
2010-02-05,29,66.5
2010-02-12,31,65.69
2010-02-19,25,68.52
2010-02-26,27,68.65
2010-03-05,30,71.25
2010-03-12,31,71.53
2010-03-19,30,73.24
2010-03-26,26,73.62
2010-04-09,28,73.99
2010-04-16,24,73.69
2010-04-23,22,76.47
2010-04-30,31,74.95
2010-05-07,26,69.46
2010-05-14,28,71.58
2010-05-21,23,66.44
2010-05-28,26,67.38
2010-06-04,22,65.14
2010-06-11,26,66.23
2010-06-18,24,69.18
2010-06-25,19,67.86
2010-07-02,28,64.29
2010-07-09,20,67.51
2010-07-16,27,66.03
2010-07-23,31,70.9
2010-07-30,27,71.1
2010-08-06,21,72.73
2010-08-13,21,70.7
2010-08-20,24,68.12
2010-08-27,24,66.57
2010-09-03,25,68.26
2010-09-10,20,68.89
2010-09-17,25,69.53
2010-09-24,26,71.5
2010-10-01,24,71.13
2010-10-08,24,72.91
2010-10-15,21,74.1
2010-10-22,24,74.94
2010-10-29,24,74.77
2010-11-05,21,76.75
2010-11-12,21,74.88
2010-11-19,25,75.31
2010-11-26,18,75.28
2010-12-03,24,78.74
2010-12-10,24,78.4
2010-12-17,24,78.8
2010-12-31,15,78.72
2011-01-07,20,79.08
2011-01-14,24,79.08
2011-01-21,25,80.2
2011-01-28,25,81.43
2011-02-04,21,82.52
2011-02-11,27,85.2
2011-02-18,22,85.01
2011-02-25,21,83.37
2011-03-04,26,82.86
2011-03-11,25,81.28
2011-03-18,22,80.16
2011-03-25,26,83.52
2011-04-01,27,85.32
2011-04-08,25,84.81
2011-04-15,24,83.45
2011-04-29,22,89.58
2011-05-06,21,89.21
2011-05-13,22,88.98
2011-05-20,25,87.5
2011-05-27,26,86.33
2011-06-03,23,83.24
2011-06-10,22,82.7
2011-06-17,22,84.57
2011-06-24,24,84.33
2011-07-01,26,90.13
2011-07-08,15,90.35
2011-07-15,21,88.32
2011-07-22,26,87.7
2011-07-29,21,82.84
2011-08-05,24,74.14
2011-08-12,23,72.45
2011-08-19,21,67.45
2011-08-26,21,71.56
2011-09-02,19,71.04
2011-09-09,18,70.53
2011-09-16,31,75.5
2011-09-23,79,68.92
2011-09-30,33,70.36
2011-10-07,27,71.46
2011-10-14,25,74.64
2011-10-21,30,75.56
2011-10-28,28,79.51
2011-11-04,22,77.8
2011-11-11,23,79.83
2011-11-18,22,76.11
2011-11-25,15,71.04
2011-12-02,24,76.54
2011-12-09,21,76.31
2011-12-16,20,72.39
2011-12-23,18,74.18
2011-12-30,16,73.09
2012-01-06,22,73.9
2012-01-13,23,76.08
2012-01-20,22,76.69
2012-01-27,23,77.62
2012-02-03,24,81.05
2012-02-10,24,83.5
2012-02-17,27,83.78
2012-02-24,23,83.97
2012-03-02,26,84.54
2012-03-09,20,83.55
2012-03-16,25,85.48
2012-03-23,24,81.8
2012-03-30,20,82.94
2012-04-13,18,79.8
2012-04-20,21,81
2012-04-27,23,82
2012-05-04,29,79.48
2012-05-11,24,77.18
2012-05-18,24,72.38
2012-05-25,25,73.02
2012-06-01,21,72.02
2012-06-08,23,75.5
2012-06-15,22,74.49
2012-06-22,26,75.2
2012-06-29,30,75.53
2012-07-06,22,74.09
2012-07-13,29,73.59
2012-07-20,29,74.23
2012-07-27,41,74.28
2012-08-03,29,76.81
2012-08-10,30,77.89
2012-08-17,30,80.37
2012-08-24,30,80.08
2012-08-31,26,79.85
2012-09-07,26,79.41
2012-09-14,30,82.45
2012-09-21,24,80.75
2012-09-28,24,78.29
2012-10-05,26,78.51
2012-10-12,26,75.96
2012-10-19,27,77.99
2012-10-26,27,78.2
2012-11-02,23,78.07
2012-11-09,25,75.84
2012-11-16,24,75.25
2012-11-23,20,78.61
2012-11-30,23,80.11
2012-12-07,25,80.99
2012-12-14,32,79.98
2012-12-21,20,82.54
2012-12-28,15,80.81
2013-01-04,19,84.98
2013-01-11,26,85.18
2013-01-18,22,86.95
2013-01-25,26,89.79
2013-02-01,24,89.84
2013-02-08,24,90.09
2013-02-15,28,90.78
2013-02-22,24,90.49
2013-03-01,24,90.13
2013-03-08,24,92.07
2013-03-15,23,93.28
2013-03-22,24,93.59
2013-04-05,21,92.64
2013-04-12,25,95.69
2013-04-19,22,93.22
2013-04-26,24,91.15
2013-05-03,22,93.11
2013-05-10,20,95.25
2013-05-17,23,97.35
2013-05-24,21,95.04
2013-05-31,16,94.9
2013-06-07,19,94.5
2013-06-14,20,94.02
2013-06-21,21,92.18
2013-06-28,23,92.94
2013-07-05,17,96.53
2013-07-12,21,99.83
2013-07-19,23,102.48
2013-07-26,24,104.97
2013-08-02,22,107.77
2013-08-09,23,105.62
2013-08-16,21,103.08
2013-08-23,18,102.8
2013-08-30,23,100.1
2013-09-06,20,103.23
2013-09-13,22,108.39
2013-09-20,25,109.58
2013-09-27,23,109.36
2013-10-04,23,104.27
2013-10-11,23,107.01
2013-10-18,22,107.74
2013-10-25,23,107.52
2013-11-01,22,107.51
2013-11-08,19,108.55
2013-11-15,20,108.59
2013-11-22,18,110.2
2013-11-29,16,110.86
2013-12-06,20,111.12
2013-12-13,21,107.35
2013-12-20,18,110.66
2013-12-27,12,112.8
2014-01-03,15,112.9
2014-01-10,18,113.83
2014-01-17,18,114.21
2014-01-24,25,111.8
2014-01-31,27,114.02
2014-02-07,22,110.73
2014-02-14,20,113.87
2014-02-21,20,115.38
2014-02-28,20,117.02
2014-03-07,22,118.31
2014-03-14,20,112.6
2014-03-21,18,114.57
2014-03-28,22,114.81
2014-04-04,20,118.18
2014-04-11,22,113.93
2014-04-25,21,117.21
