"Date","Kansas.City.Southern","Price"
2008-04-25,59,43.66
2008-05-02,51,46.79
2008-05-09,69,45.9
2008-05-16,35,47
2008-05-23,44,46.31
2008-05-30,53,49.96
2008-06-06,54,48.67
2008-06-13,66,47.01
2008-06-20,66,47.52
2008-06-27,55,43.53
2008-07-11,57,43.88
2008-07-18,45,46.48
2008-07-25,41,48
2008-08-01,33,53.3
2008-08-08,62,52.8
2008-08-15,51,50.48
2008-08-22,54,50.53
2008-08-29,38,51.43
2008-09-05,39,46.96
2008-09-12,45,47.22
2008-09-19,45,51.17
2008-09-26,38,47.57
2008-10-03,44,36.17
2008-10-10,55,28.67
2008-10-17,53,30.29
2008-10-24,54,27.01
2008-10-31,75,30.87
2008-11-07,33,28.15
2008-11-14,39,22.74
2008-11-21,53,18.31
2008-11-28,45,21.92
2008-12-05,54,18.81
2008-12-12,38,17.58
2008-12-19,65,19.02
2008-12-26,31,18.47
2009-01-02,49,20.39
2009-01-09,59,21.38
2009-01-16,58,17.79
2009-01-23,48,16.9
2009-01-30,53,18.16
2009-02-06,59,21.46
2009-02-13,41,19.73
2009-02-20,32,18.8
2009-02-27,92,17.69
2009-03-06,69,13.53
2009-03-13,44,14.38
2009-03-20,39,13.52
2009-03-27,42,13.97
2009-04-03,51,14.2
2009-04-17,42,16.85
2009-04-24,42,16.7
2009-05-01,35,15.39
2009-05-08,38,17.01
2009-05-15,48,14.79
2009-05-22,27,15.77
2009-05-29,45,16.49
2009-06-05,41,15.97
2009-06-12,52,17.94
2009-06-19,35,16.6
2009-06-26,48,16.32
2009-07-10,40,15.46
2009-07-17,37,18.36
2009-07-24,31,20.35
2009-07-31,47,20.31
2009-08-07,25,23.18
2009-08-14,50,23.33
2009-08-21,36,24
2009-08-28,32,24.99
2009-09-04,34,26
2009-09-11,29,27.56
2009-09-18,41,28.11
2009-09-25,49,25.91
2009-10-02,57,25.12
2009-10-09,43,27.5
2009-10-16,49,28.66
2009-10-23,40,26.8
2009-10-30,36,24.23
2009-11-06,53,27.93
2009-11-13,55,28.92
2009-11-20,55,28.37
2009-11-27,39,28.36
2009-12-04,54,29.56
2009-12-11,42,29.61
2009-12-18,27,31.68
2010-01-08,47,33.86
2010-01-15,55,32.92
2010-01-22,38,31.01
2010-01-29,35,29.7
2010-02-05,45,30.27
2010-02-12,38,32.39
2010-02-19,44,33.92
2010-02-26,42,34.3
2010-03-05,33,35.45
2010-03-12,37,35.75
2010-03-19,48,35.75
2010-03-26,45,36.2
2010-04-09,38,38.37
2010-04-16,45,38.18
2010-04-23,38,38.28
2010-04-30,39,40.55
2010-05-07,43,35.93
2010-05-14,37,38.85
2010-05-21,29,34.88
2010-05-28,30,38.17
2010-06-04,39,36.75
2010-06-11,57,39.22
2010-06-18,42,41.11
2010-06-25,32,39.29
2010-07-02,42,34.94
2010-07-09,42,37.24
2010-07-16,31,34.72
2010-07-23,46,38.35
2010-07-30,51,36.7
2010-08-06,35,37.75
2010-08-13,33,34.44
2010-08-20,29,33.71
2010-08-27,43,33.77
2010-09-03,44,37.16
2010-09-10,38,38.18
2010-09-17,40,38.56
2010-09-24,38,39.14
2010-10-01,32,37.26
2010-10-08,33,39.47
2010-10-15,28,41.42
2010-10-22,50,42.06
2010-10-29,37,43.82
2010-11-05,34,46.53
2010-11-12,27,44.74
2010-11-19,33,46.9
2010-11-26,33,47.84
2010-12-03,54,49.29
2010-12-10,49,49.98
2010-12-17,43,48.02
2010-12-31,31,47.86
2011-01-07,35,51.25
2011-01-14,30,52.04
2011-01-21,33,47.71
2011-01-28,44,48.87
2011-02-04,29,51.11
2011-02-11,36,54.75
2011-02-18,34,55.47
2011-02-25,45,54.09
2011-03-04,48,53.95
2011-03-11,39,53.03
2011-03-18,45,50.71
2011-03-25,36,54.23
2011-04-01,23,54.47
2011-04-08,43,52.01
2011-04-15,43,52.6
2011-04-29,39,58.11
2011-05-06,37,56.44
2011-05-13,37,54.66
2011-05-20,43,56.8
2011-05-27,40,58.48
2011-06-03,44,56.57
2011-06-10,36,52.37
2011-06-17,40,53.53
2011-06-24,38,55.59
2011-07-01,41,60.61
2011-07-08,34,59.54
2011-07-15,39,57.07
2011-07-22,43,61.74
2011-07-29,37,59.35
2011-08-05,39,52.13
2011-08-12,34,54.47
2011-08-19,34,46
2011-08-26,49,50.68
2011-09-02,40,50.98
2011-09-09,45,49.62
2011-09-16,38,54.71
2011-09-23,29,49.41
2011-09-30,38,49.96
2011-10-07,42,54.55
2011-10-14,43,58.36
2011-10-21,44,59.54
2011-10-28,38,65.03
2011-11-04,44,66.32
2011-11-11,37,67.23
2011-11-18,49,68.02
2011-11-25,33,62.81
2011-12-02,51,67.86
2011-12-09,44,66.38
2011-12-16,49,63.81
2011-12-23,35,67.83
2011-12-30,29,68.01
2012-01-06,33,69.68
2012-01-13,36,72.04
2012-01-20,38,73.39
2012-01-27,46,68.6
2012-02-03,42,70.51
2012-02-10,48,68.42
2012-02-17,41,66.24
2012-02-24,42,69.24
2012-03-02,32,69.75
2012-03-09,42,69.25
2012-03-16,31,74.67
2012-03-23,38,70.45
2012-03-30,40,71.69
2012-04-13,34,72.59
2012-04-20,41,71.41
2012-04-27,43,78.36
2012-05-04,36,75.1
2012-05-11,36,71.66
2012-05-18,37,64.72
2012-05-25,38,66.44
2012-06-01,45,63.26
2012-06-08,50,67.13
2012-06-15,37,68.29
2012-06-22,46,67.7
2012-06-29,40,69.56
2012-07-06,35,69.89
2012-07-13,39,70.09
2012-07-20,41,70.79
2012-07-27,36,74.66
2012-08-03,38,74.13
2012-08-10,32,74.16
2012-08-17,35,77.77
2012-08-24,50,77.7
2012-08-31,39,77.33
2012-09-07,43,79.82
2012-09-14,40,83.63
2012-09-21,46,76
2012-09-28,42,75.78
2012-10-05,35,76.28
2012-10-12,27,75.15
2012-10-19,43,78.43
2012-10-26,34,81.25
2012-11-02,25,81.1
2012-11-09,36,76.91
2012-11-16,31,73.85
2012-11-23,32,77.61
2012-11-30,52,78.15
2012-12-07,59,79.78
2012-12-14,44,81.89
2012-12-21,36,83.82
2012-12-28,24,82.06
2013-01-04,29,88.82
2013-01-11,37,85.54
2013-01-18,36,87.63
2013-01-25,40,94.02
2013-02-01,44,94.34
2013-02-08,28,95.09
2013-02-15,35,97.77
2013-02-22,29,98.78
2013-03-01,41,102.02
2013-03-08,36,105.32
2013-03-15,27,107.98
2013-03-22,38,107.56
2013-04-05,28,104.73
2013-04-12,35,107.77
2013-04-19,38,106.46
2013-04-26,28,106.64
2013-05-03,28,110.15
2013-05-10,23,109.93
2013-05-17,43,117.16
2013-05-24,43,111.37
2013-05-31,34,110.7
2013-06-07,38,110.47
2013-06-14,33,110.6
2013-06-21,44,107.07
2013-06-28,32,105.96
2013-07-05,30,112.59
2013-07-12,31,113.81
2013-07-19,40,118.3
2013-07-26,39,110.13
2013-08-02,33,110.06
2013-08-09,42,108.1
2013-08-16,45,106.52
2013-08-23,32,108.5
2013-08-30,42,105.42
2013-09-06,36,108.05
2013-09-13,30,110.29
2013-09-20,39,111.42
2013-09-27,40,110.11
2013-10-04,28,111.99
2013-10-11,25,113.29
2013-10-18,42,117.35
2013-10-25,44,123.49
2013-11-01,40,122.61
2013-11-08,33,123.32
2013-11-15,35,125.02
2013-11-22,37,121.8
2013-11-29,32,121.02
2013-12-06,48,118.15
2013-12-13,34,117.44
2013-12-20,34,121.73
2013-12-27,23,122.04
2014-01-03,39,119.77
2014-01-10,38,116.38
2014-01-17,42,116.31
2014-01-24,46,99.49
2014-01-31,46,105.59
2014-02-07,33,102.59
2014-02-14,34,95.96
2014-02-21,42,95.58
2014-02-28,37,93.92
2014-03-07,38,98.37
2014-03-14,35,96.6
2014-03-21,38,98.58
2014-03-28,38,99.61
2014-04-04,36,100.73
2014-04-11,29,95.54
2014-04-25,40,99.27
