"Date","Eastman.Chemical","Price"
2007-02-23,45,60.62
2007-03-02,32,58.54
2007-03-09,40,60.48
2007-03-16,46,60.36
2007-03-23,32,64.09
2007-03-30,31,63.33
2007-04-13,44,64.97
2007-04-20,27,66.12
2007-04-27,35,69.42
2007-05-04,30,66.19
2007-05-11,25,65.9
2007-05-18,18,66.3
2007-05-25,28,66.09
2007-06-01,27,66.34
2007-06-08,17,63.89
2007-06-15,33,64.65
2007-06-22,36,64.94
2007-06-29,18,64.33
2007-07-06,23,67.94
2007-07-13,28,68.11
2007-07-20,44,69.05
2007-07-27,43,66.06
2007-08-03,35,68.45
2007-08-10,30,67.7
2007-08-17,26,64.14
2007-08-24,30,68.14
2007-08-31,27,66.76
2007-09-07,31,63.96
2007-09-14,27,64.25
2007-09-21,27,67.61
2007-09-28,32,66.73
2007-10-05,19,68.54
2007-10-12,32,68.02
2007-10-19,39,64.88
2007-10-26,42,66.43
2007-11-02,31,65.98
2007-11-09,43,64.49
2007-11-16,23,61.4
2007-11-23,26,60.41
2007-11-30,35,64.21
2007-12-07,23,65.29
2007-12-14,26,62.74
2007-12-21,21,63.09
2007-12-28,20,61.36
2008-01-04,20,58.85
2008-01-11,25,62.14
2008-01-18,30,59.85
2008-01-25,26,64.31
2008-02-01,34,66.87
2008-02-08,32,65.85
2008-02-15,40,65.85
2008-02-22,38,66.21
2008-02-29,26,65.81
2008-03-07,32,63.3
2008-03-14,15,65.55
2008-03-28,29,62.07
2008-04-04,34,66.33
2008-04-11,34,68.83
2008-04-18,32,72.3
2008-04-25,24,75.06
2008-05-02,22,73.91
2008-05-09,30,72.13
2008-05-16,35,77.09
2008-05-23,23,74.79
2008-05-30,15,76.61
2008-06-06,24,74.99
2008-06-13,12,75.63
2008-06-20,25,72.09
2008-06-27,25,68.71
2008-07-11,18,66.76
2008-07-18,25,68.49
2008-07-25,32,60.14
2008-08-01,29,59.55
2008-08-08,24,60.27
2008-08-15,27,60.86
2008-08-22,30,60.76
2008-08-29,23,60.32
2008-09-05,23,57.86
2008-09-12,38,59.08
2008-09-19,25,61.18
2008-09-26,25,57.98
2008-10-03,24,50.71
2008-10-10,19,41.33
2008-10-17,25,41.36
2008-10-24,24,36.49
2008-10-31,22,40.39
2008-11-07,31,40.34
2008-11-14,25,35.09
2008-11-21,18,27.35
2008-11-28,11,32.9
2008-12-05,23,28.82
2008-12-12,30,29.54
2008-12-19,17,29.54
2008-12-26,18,29.25
2009-01-02,26,33.04
2009-01-09,34,32.22
2009-01-16,22,30.2
2009-01-23,28,28.31
2009-01-30,32,25.95
2009-02-06,29,26.35
2009-02-13,31,24.79
2009-02-20,13,22.89
2009-02-27,18,20.54
2009-03-06,12,18.26
2009-03-13,26,23.36
2009-03-20,14,24.16
2009-03-27,29,27.31
2009-04-03,29,30.07
2009-04-17,20,32.35
2009-04-24,19,40.02
2009-05-01,21,39.8
2009-05-08,19,42.82
2009-05-15,18,38.02
2009-05-22,19,40.72
2009-05-29,18,41.44
2009-06-05,20,43.04
2009-06-12,16,40.65
2009-06-19,18,38.33
2009-06-26,16,37.41
2009-07-10,17,35.68
2009-07-17,20,40.15
2009-07-24,19,48.06
2009-07-31,17,49.66
2009-08-07,19,52.73
2009-08-14,17,54.12
2009-08-21,21,55.02
2009-08-28,23,53.51
2009-09-04,15,50.26
2009-09-11,14,52.91
2009-09-18,21,54.51
2009-09-25,34,52.99
2009-10-02,23,50.21
2009-10-09,13,53.61
2009-10-16,21,55.65
2009-10-23,17,55.14
2009-10-30,24,52.51
2009-11-06,22,56.49
2009-11-13,17,58.76
2009-11-20,24,58.76
2009-11-27,17,59.49
2009-12-04,20,59.73
2009-12-11,25,59.26
2009-12-18,16,58.72
2010-01-08,26,60.86
2010-01-15,16,60.42
2010-01-22,21,57.41
2010-01-29,29,56.53
2010-02-05,22,57.64
2010-02-12,23,57.99
2010-02-19,20,60.02
2010-02-26,21,59.55
2010-03-05,25,61.75
2010-03-12,25,61.93
2010-03-19,17,61.21
2010-03-26,13,63.37
2010-04-09,23,66.9
2010-04-16,23,65.3
2010-04-23,22,71.12
2010-04-30,20,66.92
2010-05-07,25,61.65
2010-05-14,18,62.78
2010-05-21,19,59.56
2010-05-28,13,60.39
2010-06-04,18,57.18
2010-06-11,16,60.71
2010-06-18,21,62.67
2010-06-25,12,57.98
2010-07-02,21,52.06
2010-07-09,20,56.32
2010-07-16,18,54.21
2010-07-23,18,58.97
2010-07-30,16,62.64
2010-08-06,21,63.68
2010-08-13,23,60.13
2010-08-20,27,60.94
2010-08-27,21,61.12
2010-09-03,17,65.92
2010-09-10,19,65.15
2010-09-17,26,70.07
2010-09-24,21,72.74
2010-10-01,22,74.57
2010-10-08,20,77.91
2010-10-15,23,78.5
2010-10-22,18,78.6
2010-10-29,24,78.57
2010-11-05,20,79.72
2010-11-12,21,77.39
2010-11-19,24,79.1
2010-11-26,10,79.51
2010-12-03,23,82.06
2010-12-10,17,81.17
2010-12-17,14,80.25
2010-12-31,11,84.08
2011-01-07,16,87.23
2011-01-14,17,92.76
2011-01-21,16,90.57
2011-01-28,21,91.85
2011-02-04,25,91.71
2011-02-11,14,93.32
2011-02-18,19,95.41
2011-02-25,20,91.35
2011-03-04,20,96.36
2011-03-11,14,94.14
2011-03-18,16,93.8
2011-03-25,20,98.12
2011-04-01,19,100.39
2011-04-08,15,99.99
2011-04-15,23,98.66
2011-04-29,21,107.25
2011-05-06,19,103.46
2011-05-13,18,104.55
2011-05-20,17,103.36
2011-05-27,17,104.46
2011-06-03,15,100.68
2011-06-10,18,99.72
2011-06-17,17,95.02
2011-06-24,19,98.58
2011-07-01,15,103.99
2011-07-08,13,104.66
2011-07-15,22,100.83
2011-07-22,14,104.44
2011-07-29,21,96.59
2011-08-05,18,86
2011-08-12,18,84.95
2011-08-19,23,76
2011-08-26,22,79.05
2011-09-02,14,78.22
2011-09-09,17,72.5
2011-09-16,19,76.24
2011-09-23,17,66.95
2011-09-30,24,68.53
2011-10-07,28,35.48
2011-10-14,24,38.19
2011-10-21,17,37.46
2011-10-28,17,41.92
2011-11-04,22,39.82
2011-11-11,19,40.59
2011-11-18,18,37.8
2011-11-25,16,35.47
2011-12-02,16,38.42
2011-12-09,12,38.5
2011-12-16,12,36.74
2011-12-23,18,39.44
2011-12-30,17,39.06
2012-01-06,20,41.32
2012-01-13,21,45.2
2012-01-20,21,45.99
2012-01-27,51,50.41
2012-02-03,33,53.67
2012-02-10,25,53.76
2012-02-17,17,54.61
2012-02-24,15,53.8
2012-03-02,18,53.55
2012-03-09,17,52.08
2012-03-16,17,52.03
2012-03-23,24,51.22
2012-03-30,24,51.69
2012-04-13,22,52.14
2012-04-20,16,52.76
2012-04-27,18,54.05
2012-05-04,16,50.71
2012-05-11,13,49.68
2012-05-18,16,44.24
2012-05-25,15,47.62
2012-06-01,17,43.61
2012-06-08,16,47.72
2012-06-15,15,47.36
2012-06-22,16,46.99
2012-06-29,16,50.37
2012-07-06,21,50.15
2012-07-13,21,48.79
2012-07-20,18,49.19
2012-07-27,23,51.74
2012-08-03,18,53.17
2012-08-10,18,54.54
2012-08-17,19,55.71
2012-08-24,20,55.27
2012-08-31,21,55.26
2012-09-07,23,57.37
2012-09-14,19,58.64
2012-09-21,15,57.18
2012-09-28,21,57.01
2012-10-05,15,59.13
2012-10-12,22,54.25
2012-10-19,14,56.08
2012-10-26,18,60.19
2012-11-02,16,59.3
2012-11-09,18,57.53
2012-11-16,16,55.69
2012-11-23,13,60.05
2012-11-30,16,60.85
2012-12-07,15,61.85
2012-12-14,15,64.68
2012-12-21,15,66
2012-12-28,11,66.05
2013-01-04,13,70.16
2013-01-11,16,70.52
2013-01-18,14,71.22
2013-01-25,18,71.9
2013-02-01,18,73.5
2013-02-08,21,73.31
2013-02-15,20,73.46
2013-02-22,19,71.69
2013-03-01,16,69.71
2013-03-08,17,72.23
2013-03-15,16,72.6
2013-03-22,15,70.11
2013-04-05,20,68.14
2013-04-12,18,68
2013-04-19,16,69.8
2013-04-26,19,68.97
2013-05-03,18,67.89
2013-05-10,23,67.24
2013-05-17,21,73.95
2013-05-24,16,71.9
2013-05-31,13,71.72
2013-06-07,20,70.42
2013-06-14,20,71.02
2013-06-21,18,70.79
2013-06-28,17,70.01
2013-07-05,13,72.01
2013-07-12,15,73.96
2013-07-19,18,75.71
2013-07-26,21,74.16
2013-08-02,21,82.41
2013-08-09,15,80.07
2013-08-16,19,77.85
2013-08-23,15,79.67
2013-08-30,17,76
2013-09-06,18,76.88
2013-09-13,15,76.5
2013-09-20,24,78.53
2013-09-27,20,77.7
2013-10-04,20,80.01
2013-10-11,16,77.98
2013-10-18,16,81.61
2013-10-25,18,77.94
2013-11-01,15,78.22
2013-11-08,17,79.11
2013-11-15,17,78.71
2013-11-22,22,76.43
2013-11-29,12,77.03
2013-12-06,14,76.21
2013-12-13,27,72.67
2013-12-20,19,75.93
2013-12-27,13,79.06
2014-01-03,17,80.17
2014-01-10,22,79.43
2014-01-17,27,79.88
2014-01-24,17,74.63
2014-01-31,17,77.96
2014-02-07,21,79.16
2014-02-14,19,82.84
2014-02-21,20,84.34
2014-02-28,20,87.43
2014-03-07,19,87.54
2014-03-14,18,83.7
2014-03-21,17,86.08
2014-03-28,17,85.6
2014-04-04,17,86.51
2014-04-11,20,84.66
2014-04-25,15,84.36
