"Date","General.Dynamics","Price"
2008-04-18,43,88.98
2008-04-25,44,90.92
2008-05-02,45,90.69
2008-05-09,46,90.92
2008-05-16,41,92.93
2008-05-23,45,90.37
2008-05-30,41,92.15
2008-06-06,39,86.65
2008-06-13,35,86.45
2008-06-20,41,85.5
2008-06-27,37,83.28
2008-07-11,41,81.05
2008-07-18,41,82.07
2008-07-25,41,89.19
2008-08-01,42,89.58
2008-08-08,48,92.81
2008-08-15,43,93.41
2008-08-22,50,92
2008-08-29,39,92.3
2008-09-05,35,85.64
2008-09-12,36,84.93
2008-09-19,39,82.39
2008-09-26,41,74.92
2008-10-03,41,68.2
2008-10-10,43,57.39
2008-10-17,38,57.12
2008-10-24,43,54.7
2008-10-31,42,60.32
2008-11-07,36,61.43
2008-11-14,40,55.51
2008-11-21,38,51.95
2008-11-28,27,51.67
2008-12-05,41,51.5
2008-12-12,37,53.28
2008-12-19,33,55.86
2008-12-26,24,55.91
2009-01-02,25,59.76
2009-01-09,47,57.92
2009-01-16,47,54.59
2009-01-23,60,53.32
2009-01-30,53,56.73
2009-02-06,45,57.21
2009-02-13,44,54.49
2009-02-20,44,50.82
2009-02-27,43,43.82
2009-03-06,49,36.49
2009-03-13,42,37.6
2009-03-20,42,37.65
2009-03-27,44,43.12
2009-04-03,40,42.66
2009-04-17,38,46.55
2009-04-24,46,49.18
2009-05-01,49,52.38
2009-05-08,40,55.88
2009-05-15,40,55.01
2009-05-22,35,55.7
2009-05-29,33,56.9
2009-06-05,39,60.45
2009-06-12,37,59.76
2009-06-19,39,58.74
2009-06-26,35,55.46
2009-07-10,37,51.59
2009-07-17,39,53.56
2009-07-24,41,52.49
2009-07-31,40,55.39
2009-08-07,39,57.54
2009-08-14,38,56.24
2009-08-21,41,58.49
2009-08-28,36,59.77
2009-09-04,41,60.48
2009-09-11,37,63.34
2009-09-18,36,64.61
2009-09-25,39,62.99
2009-10-02,36,63.08
2009-10-09,37,66.16
2009-10-16,34,67.75
2009-10-23,40,66.6
2009-10-30,37,62.7
2009-11-06,37,65.58
2009-11-13,35,67.68
2009-11-20,36,66.47
2009-11-27,23,67.08
2009-12-04,33,67.54
2009-12-11,32,69.01
2009-12-18,33,68.24
2010-01-08,39,69.44
2010-01-15,37,70.61
2010-01-22,33,67.02
2010-01-29,38,66.85
2010-02-05,37,66.66
2010-02-12,35,67.95
2010-02-19,33,72.61
2010-02-26,35,72.55
2010-03-05,35,73.73
2010-03-12,31,73.76
2010-03-19,34,75.49
2010-03-26,46,76.92
2010-04-09,35,77.54
2010-04-16,33,76.04
2010-04-23,34,78.6
2010-04-30,33,76.36
2010-05-07,31,70.5
2010-05-14,34,71.71
2010-05-21,31,67.45
2010-05-28,30,67.9
2010-06-04,30,65.18
2010-06-11,35,64.58
2010-06-18,33,66.9
2010-06-25,30,63.22
2010-07-02,33,58.7
2010-07-09,30,60.84
2010-07-16,32,58.9
2010-07-23,39,61.29
2010-07-30,32,61.25
2010-08-06,36,63.78
2010-08-13,35,60.67
2010-08-20,34,60.23
2010-08-27,36,57.37
2010-09-03,29,59.72
2010-09-10,30,61.13
2010-09-17,37,62.69
2010-09-24,31,63.68
2010-10-01,37,62.46
2010-10-08,29,63.37
2010-10-15,31,63.93
2010-10-22,34,64.5
2010-10-29,31,68.12
2010-11-05,30,69.66
2010-11-12,30,66.5
2010-11-19,33,66.6
2010-11-26,21,67.12
2010-12-03,32,67.58
2010-12-10,28,69.56
2010-12-17,28,70.28
2010-12-31,23,70.96
2011-01-07,37,72.01
2011-01-14,33,72.18
2011-01-21,34,72.97
2011-01-28,33,74.13
2011-02-04,31,75.62
2011-02-11,32,77.45
2011-02-18,29,78.11
2011-02-25,32,75.94
2011-03-04,30,76.32
2011-03-11,32,76.13
2011-03-18,27,74.38
2011-03-25,34,76.51
2011-04-01,28,77.42
2011-04-08,33,74.51
2011-04-15,29,71.88
2011-04-29,26,72.82
2011-05-06,26,74.44
2011-05-13,27,74.37
2011-05-20,29,73.03
2011-05-27,25,71.26
2011-06-03,24,70.6
2011-06-10,29,69.37
2011-06-17,26,71.67
2011-06-24,31,72.29
2011-07-01,25,75.81
2011-07-08,23,74.66
2011-07-15,28,70.36
2011-07-22,26,70.8
2011-07-29,27,68.14
2011-08-05,27,64.44
2011-08-12,28,61.18
2011-08-19,30,57.47
2011-08-26,28,61.28
2011-09-02,27,60.94
2011-09-09,28,59
2011-09-16,27,60.6
2011-09-23,27,55.92
2011-09-30,28,56.89
2011-10-07,27,59.55
2011-10-14,27,62.04
2011-10-21,25,65.32
2011-10-28,21,65.47
2011-11-04,23,63.45
2011-11-11,26,65.72
2011-11-18,22,63.84
2011-11-25,17,61.13
2011-12-02,23,65.72
2011-12-09,23,65.07
2011-12-16,23,63.2
2011-12-23,20,66.36
2011-12-30,17,66.41
2012-01-06,23,67.62
2012-01-13,26,70.6
2012-01-20,25,72.47
2012-01-27,28,70.35
2012-02-03,25,70.51
2012-02-10,24,70.3
2012-02-17,24,70.88
2012-02-24,24,72.4
2012-03-02,25,72.65
2012-03-09,25,71.78
2012-03-16,22,72.9
2012-03-23,20,72.78
2012-03-30,23,73.38
2012-04-13,21,68.88
2012-04-20,24,69.76
2012-04-27,21,67.58
2012-05-04,22,67.05
2012-05-11,22,66.53
2012-05-18,22,63.34
2012-05-25,21,63.58
2012-06-01,23,62.72
2012-06-08,22,64.06
2012-06-15,23,64.86
2012-06-22,22,63.26
2012-06-29,21,65.96
2012-07-06,19,65.24
2012-07-13,24,64.86
2012-07-20,20,64.97
2012-07-27,22,63.83
2012-08-03,20,63.1
2012-08-10,23,63.58
2012-08-17,21,65.7
2012-08-24,23,66.09
2012-08-31,19,65.51
2012-09-07,21,67.2
2012-09-14,23,66.78
2012-09-21,24,66.15
2012-09-28,22,66.12
2012-10-05,21,67.29
2012-10-12,21,66.1
2012-10-19,22,67.17
2012-10-26,20,67.32
2012-11-02,20,68.81
2012-11-09,20,64.45
2012-11-16,19,62.13
2012-11-23,17,65.41
2012-11-30,19,66.5
2012-12-07,19,67.19
2012-12-14,19,67.49
2012-12-21,18,70.4
2012-12-28,13,67.88
2013-01-04,16,71.07
2013-01-11,21,70.74
2013-01-18,22,70.66
2013-01-25,24,70.96
2013-02-01,21,65.88
2013-02-08,22,66.82
2013-02-15,22,66.4
2013-02-22,24,67.32
2013-03-01,21,67.73
2013-03-08,22,68.89
2013-03-15,21,69.91
2013-03-22,19,69.29
2013-04-05,20,69.56
2013-04-12,22,70.6
2013-04-19,21,67
2013-04-26,24,73.3
2013-05-03,22,75.24
2013-05-10,22,75.7
2013-05-17,20,78.29
2013-05-24,18,77.34
2013-05-31,17,77.1
2013-06-07,22,79.12
2013-06-14,18,78
2013-06-21,20,76.2
2013-06-28,22,78.33
2013-07-05,19,79.42
2013-07-12,23,82.6
2013-07-19,23,84.4
2013-07-26,21,85.86
2013-08-02,22,87.49
2013-08-09,23,86.92
2013-08-16,22,83.75
2013-08-23,22,84.61
2013-08-30,21,83.25
2013-09-06,21,84.57
2013-09-13,24,87.13
2013-09-20,23,88.15
2013-09-27,22,88.29
2013-10-04,23,85.91
2013-10-11,21,87.76
2013-10-18,20,88.4
2013-10-25,19,88.26
2013-11-01,22,87.15
2013-11-08,20,87.2
2013-11-15,19,88.71
2013-11-22,19,92.15
2013-11-29,15,91.66
2013-12-06,20,90.79
2013-12-13,18,90.26
2013-12-20,16,93.37
2013-12-27,14,95
2014-01-03,16,94.74
2014-01-10,21,95.1
2014-01-17,22,95.47
2014-01-24,21,98.31
2014-01-31,22,101.31
2014-02-07,20,104.19
2014-02-14,24,106.35
2014-02-21,24,107.45
2014-02-28,21,109.54
2014-03-07,20,111.49
2014-03-14,22,107.63
2014-03-21,20,107.08
2014-03-28,19,107.7
2014-04-04,20,108.29
2014-04-11,18,104.99
2014-04-25,18,109.01
