"Date","Hewlett.Packard","Price"
2007-12-07,23,51.84
2007-12-14,24,52.14
2007-12-21,22,52.03
2007-12-28,23,51.36
2008-01-04,22,46.87
2008-01-11,29,45
2008-01-18,24,43.75
2008-01-25,29,43.74
2008-02-01,25,44.42
2008-02-08,21,41.88
2008-02-15,21,43.87
2008-02-22,24,47.4
2008-02-29,23,47.77
2008-03-07,25,47.31
2008-03-14,22,45.92
2008-03-28,20,46.09
2008-04-04,23,46.4
2008-04-11,23,45.47
2008-04-18,19,48.18
2008-04-25,19,47.45
2008-05-02,19,48.36
2008-05-09,15,49.13
2008-05-16,21,47.29
2008-05-23,19,44.96
2008-05-30,18,47.06
2008-06-06,18,47.63
2008-06-13,18,47.45
2008-06-20,21,45.64
2008-06-27,17,44.58
2008-07-11,19,41.59
2008-07-18,21,43.42
2008-07-25,20,43.71
2008-08-01,18,43.96
2008-08-08,20,45.82
2008-08-15,20,45.59
2008-08-22,20,47.06
2008-08-29,19,46.92
2008-09-05,16,44.96
2008-09-12,21,46.97
2008-09-19,26,48.26
2008-09-26,21,47.81
2008-10-03,21,43
2008-10-10,21,37
2008-10-17,23,39.71
2008-10-24,20,32.44
2008-10-31,21,38.28
2008-11-07,20,34.64
2008-11-14,22,30.46
2008-11-21,20,34.64
2008-11-28,20,35.28
2008-12-05,22,33.53
2008-12-12,23,35.97
2008-12-19,17,35.4
2008-12-26,17,34.97
2009-01-02,17,36.81
2009-01-09,20,37.49
2009-01-16,21,34.77
2009-01-23,20,35.79
2009-01-30,19,34.75
2009-02-06,21,36.85
2009-02-13,18,35.87
2009-02-20,19,31.24
2009-02-27,20,29.03
2009-03-06,19,26.98
2009-03-13,17,29.45
2009-03-20,17,28.85
2009-03-27,17,33.33
2009-04-03,17,34.15
2009-04-17,16,36.3
2009-04-24,17,35.8
2009-05-01,17,36.52
2009-05-08,17,34.68
2009-05-15,15,35.01
2009-05-22,16,34.14
2009-05-29,15,34.35
2009-06-05,15,37.35
2009-06-12,16,37.76
2009-06-19,14,38.35
2009-06-26,13,37.61
2009-07-10,15,37.24
2009-07-17,15,39.98
2009-07-24,13,41.72
2009-07-31,16,43.3
2009-08-07,14,43.54
2009-08-14,15,44.09
2009-08-21,14,44.78
2009-08-28,15,44.76
2009-09-04,12,45.1
2009-09-11,12,46.1
2009-09-18,14,46.15
2009-09-25,13,47.02
2009-10-02,13,45.28
2009-10-09,13,47.38
2009-10-16,14,48.37
2009-10-23,13,48.56
2009-10-30,13,47.46
2009-11-06,14,49.16
2009-11-13,15,49.91
2009-11-20,14,50.04
2009-11-27,15,49.07
2009-12-04,15,49.79
2009-12-11,15,50.05
2009-12-18,14,51.5
2010-01-08,12,52.59
2010-01-15,15,52.47
2010-01-22,13,49.29
2010-01-29,11,47.07
2010-02-05,14,47.32
2010-02-12,12,48.46
2010-02-19,12,50.79
2010-02-26,11,50.79
2010-03-05,11,52.03
2010-03-12,11,52.36
2010-03-19,12,52.49
2010-03-26,12,53.42
2010-04-09,12,53.87
2010-04-16,10,53.75
2010-04-23,13,53.9
2010-04-30,12,51.97
2010-05-07,10,46.73
2010-05-14,10,47.43
2010-05-21,11,46.58
2010-05-28,9,46.01
2010-06-04,12,46.05
2010-06-11,12,47.19
2010-06-18,11,47.98
2010-06-25,11,45.92
2010-07-02,11,42.81
2010-07-09,8,45.25
2010-07-16,8,46.2
2010-07-23,11,46.15
2010-07-30,10,46.04
2010-08-06,13,41.85
2010-08-13,14,40.45
2010-08-20,12,39.85
2010-08-27,12,38
2010-09-03,11,40.34
2010-09-10,10,38.28
2010-09-17,11,39.14
2010-09-24,10,40.98
2010-10-01,11,40.77
2010-10-08,10,41.15
2010-10-15,10,42.82
2010-10-22,9,42.87
2010-10-29,12,42.04
2010-11-05,11,43.72
2010-11-12,10,42.21
2010-11-19,11,42.49
2010-11-26,10,43.2
2010-12-03,11,43.03
2010-12-10,10,42.62
2010-12-17,9,41.96
2010-12-31,10,42.1
2011-01-07,10,45.09
2011-01-14,11,46.25
2011-01-21,8,47.23
2011-01-28,10,45.51
2011-02-04,10,47.43
2011-02-11,11,48.64
2011-02-18,10,48.67
2011-02-25,8,42.68
2011-03-04,9,42.61
2011-03-11,9,41.73
2011-03-18,10,41.32
2011-03-25,9,42.53
2011-04-01,9,40.98
2011-04-08,10,40.7
2011-04-15,9,40.26
2011-04-29,9,40.37
2011-05-06,9,40.81
2011-05-13,8,40.41
2011-05-20,9,35.98
2011-05-27,9,36.96
2011-06-03,10,36.11
2011-06-10,8,35.25
2011-06-17,9,35
2011-06-24,8,34.9
2011-07-01,8,37.05
2011-07-08,8,36.43
2011-07-15,9,35.09
2011-07-22,8,36.7
2011-07-29,7,35.17
2011-08-05,9,32.63
2011-08-12,8,32.32
2011-08-19,12,23.6
2011-08-26,12,24.82
2011-09-02,9,24.34
2011-09-09,9,22.65
2011-09-16,10,23.53
2011-09-23,11,22.32
2011-09-30,10,22.45
2011-10-07,9,24.88
2011-10-14,9,26.11
2011-10-21,9,25.38
2011-10-28,9,27.94
2011-11-04,9,26.97
2011-11-11,8,27.58
2011-11-18,8,27.99
2011-11-25,8,25.39
2011-12-02,9,27.68
2011-12-09,8,27.9
2011-12-16,9,25.84
2011-12-23,7,25.88
2011-12-30,7,25.76
2012-01-06,8,26.4
2012-01-13,9,26.49
2012-01-20,9,28.13
2012-01-27,8,27.88
2012-02-03,8,29.07
2012-02-10,8,28.7
2012-02-17,8,29.59
2012-02-24,10,26.64
2012-03-02,9,25.32
2012-03-09,8,24.18
2012-03-16,8,24.49
2012-03-23,8,23.63
2012-03-30,8,23.83
2012-04-13,7,24.57
2012-04-20,8,24.51
2012-04-27,9,24.75
2012-05-04,6,24.27
2012-05-11,8,23.15
2012-05-18,9,21.46
2012-05-25,9,22.33
2012-06-01,7,21.25
2012-06-08,8,22.31
2012-06-15,7,21.64
2012-06-22,7,20.37
2012-06-29,7,20.11
2012-07-06,7,19.57
2012-07-13,8,18.98
2012-07-20,8,18.61
2012-07-27,8,18.57
2012-08-03,7,18.26
2012-08-10,7,19.7
2012-08-17,9,19.52
2012-08-24,9,17.58
2012-08-31,8,16.88
2012-09-07,6,17.42
2012-09-14,8,18.17
2012-09-21,8,17.59
2012-09-28,7,17.06
2012-10-05,8,14.73
2012-10-12,7,14.41
2012-10-19,7,14.48
2012-10-26,7,14.09
2012-11-02,7,13.76
2012-11-09,7,13.61
2012-11-16,7,12.85
2012-11-23,9,12.44
2012-11-30,7,12.99
2012-12-07,7,13.94
2012-12-14,7,14.75
2012-12-21,6,14.34
2012-12-28,5,13.68
2013-01-04,5,15.14
2013-01-11,7,16.16
2013-01-18,7,17.11
2013-01-25,7,16.99
2013-02-01,7,16.46
2013-02-08,7,16.87
2013-02-15,6,16.79
2013-02-22,7,19.2
2013-03-01,6,20.15
2013-03-08,8,21
2013-03-15,6,22.18
2013-03-22,6,23.04
2013-04-05,6,21.97
2013-04-12,6,20.9
2013-04-19,6,19.56
2013-04-26,6,19.97
2013-05-03,6,20.63
2013-05-10,5,21.54
2013-05-17,5,21.27
2013-05-24,5,24.21
2013-05-31,6,24.42
2013-06-07,6,24.81
2013-06-14,5,24.74
2013-06-21,5,24.15
2013-06-28,5,24.8
2013-07-05,5,25.58
2013-07-12,5,26.19
2013-07-19,6,25.14
2013-07-26,7,25.99
2013-08-02,5,27
2013-08-09,5,26.77
2013-08-16,6,26.42
2013-08-23,6,22.4
2013-08-30,6,22.34
2013-09-06,5,22.42
2013-09-13,7,22.07
2013-09-20,5,21.22
2013-09-27,6,21.17
2013-10-04,5,21.26
2013-10-11,6,22.8
2013-10-18,6,23.48
2013-10-25,6,24
2013-11-01,6,25.92
2013-11-08,6,25.94
2013-11-15,5,25.21
2013-11-22,7,25.26
2013-11-29,5,27.35
2013-12-06,5,27.7
2013-12-13,6,26.77
2013-12-20,5,27.79
2013-12-27,5,28.19
2014-01-03,5,28.34
2014-01-10,6,27.7
2014-01-17,6,29.8
2014-01-24,5,28.49
2014-01-31,6,29
2014-02-07,6,29.07
2014-02-14,6,30.02
2014-02-21,6,29.79
2014-02-28,6,29.88
2014-03-07,6,30.34
2014-03-14,5,29.07
2014-03-21,6,31.95
2014-03-28,6,32.04
2014-04-04,6,32.64
2014-04-11,6,32.45
2014-04-25,6,31.58
