"Date","Alliance.Data.Systems","Price"
2010-01-15,13,65.64
2010-01-22,14,61.32
2010-01-29,14,59.46
2010-02-05,15,55.3
2010-02-12,11,53.86
2010-02-19,11,56.88
2010-02-26,11,55.44
2010-03-05,13,60.36
2010-03-12,14,62.75
2010-03-19,11,64.07
2010-03-26,12,64.12
2010-04-09,13,64.96
2010-04-16,13,66.87
2010-04-23,13,76.74
2010-04-30,13,75.06
2010-05-07,13,71.5
2010-05-14,14,69.93
2010-05-21,14,69.81
2010-05-28,14,70.66
2010-06-04,14,68.61
2010-06-11,14,69.39
2010-06-18,14,70.5
2010-06-25,14,63.9
2010-07-02,10,55.7
2010-07-09,10,58.2
2010-07-16,10,55.88
2010-07-23,10,56.66
2010-07-30,11,57.48
2010-08-06,11,61.42
2010-08-13,12,58.07
2010-08-20,12,56.59
2010-10-15,12,68.35
2010-10-22,9,64.24
2010-10-29,13,60.72
2010-12-17,9,70.07
2010-12-31,9,71.03
2011-01-07,10,71.2
2011-01-14,9,72.16
2011-02-25,8,78.35
2011-04-08,24,85
2011-04-15,8,83.66
2011-04-29,14,95
2011-05-06,9,90.79
2011-05-13,9,91.78
2011-06-24,10,89.35
2011-07-01,8,94.64
2011-07-08,8,97.73
2011-07-15,8,94.22
2011-07-22,8,97.65
2011-10-07,10,94.6
2011-10-14,8,94.15
2011-10-21,8,97.99
2011-10-28,7,104.97
2011-11-04,7,102.57
2011-11-11,7,101.95
2011-11-18,7,95.83
2011-11-25,8,93.08
2012-01-06,8,102.54
2012-01-13,7,106.03
2012-01-20,7,108.49
2012-01-27,7,110.4
2012-02-03,8,115.57
2012-02-10,7,117.93
2012-02-17,8,119.62
2012-02-24,8,121.88
2012-03-02,8,120.7
2012-03-09,6,122.9
2012-03-16,6,124.87
2012-03-23,6,125.98
2012-03-30,9,125.96
2012-04-13,6,124.32
2012-04-20,6,128.4
2012-04-27,7,130.28
2012-05-04,8,126.41
2012-05-11,8,127.2
2012-05-18,6,121.25
2012-05-25,9,127.18
2012-06-01,7,122.19
2012-06-08,7,124.8
2012-06-15,7,128.91
2012-06-22,6,129.4
2012-06-29,6,135
2012-07-06,6,135.92
2012-07-13,6,132.23
2012-07-20,6,130.55
2012-07-27,7,130.6
2012-08-03,6,129.29
2012-08-10,7,131.28
2012-08-17,8,137.47
2012-08-24,7,138.49
2012-08-31,6,137.65
2012-09-07,6,141.19
2012-09-14,6,140.91
2012-09-21,7,142.21
2012-09-28,8,141.95
2012-10-05,7,144.02
2012-10-12,7,137.84
2012-10-19,7,144.33
2012-10-26,6,142.64
2012-11-02,6,143.43
2012-11-09,6,142.32
2012-11-16,7,139.66
2012-11-23,6,140.83
2012-11-30,5,142.49
2012-12-07,5,142.96
2012-12-14,5,144.1
2012-12-21,6,146.31
2012-12-28,7,144.02
2013-01-04,8,151.1
2013-01-11,8,155.53
2013-01-18,8,155.8
2013-01-25,6,158.05
2013-02-01,5,156.75
2013-02-08,5,154.08
2013-02-15,5,155.41
2013-02-22,5,154.02
2013-03-01,8,158.58
2013-03-08,5,157.85
2013-03-15,5,157.84
2013-03-22,5,157.46
2013-04-05,5,155.35
2013-04-12,5,157.87
2013-04-19,6,160.07
2013-04-26,5,166.89
2013-05-03,5,173.95
2013-05-10,5,177.19
2013-05-17,5,178.08
2013-05-24,5,181.63
2013-05-31,6,177.09
2013-06-07,6,178.37
2013-06-14,5,177.79
2013-06-21,6,172.63
2013-06-28,5,181.03
2013-07-05,5,182.32
2013-07-12,6,190.51
2013-07-19,6,188.79
2013-07-26,7,191.76
2013-08-02,7,203.11
2013-08-09,11,206.01
2013-08-16,8,202.55
2013-08-23,5,202.3
2013-08-30,5,195.7
2013-09-06,5,199.43
2013-09-13,5,206.09
2013-09-20,5,209.75
2013-09-27,6,209.28
2013-10-04,6,217.86
2013-10-11,8,223.55
2013-10-18,9,231.08
2013-10-25,5,234.47
2013-11-01,6,236.78
2013-11-08,8,242.86
2013-11-15,6,249.11
2013-11-22,5,243.27
2013-11-29,5,242.26
2013-12-06,5,248.7
2013-12-13,6,250.87
2013-12-20,6,250.5
2013-12-27,5,258.15
2014-01-03,5,263.7
2014-01-10,5,258.26
2014-01-17,7,256.89
2014-01-24,5,249.72
2014-01-31,4,239.66
2014-02-07,6,265.08
2014-02-14,6,280.11
2014-02-21,4,282.95
2014-02-28,9,285.11
2014-03-07,7,287.78
2014-03-14,6,278.59
2014-03-21,7,286.5
2014-03-28,4,274.23
2014-04-04,6,262.69
2014-04-11,6,246.38
2014-04-25,7,236.12
