"Date","HAS","Price"
2009-02-06,59,23.54
2009-02-13,63,23.8
2009-02-20,59,23.2
2009-02-27,63,22.89
2009-03-06,62,22.07
2009-03-13,61,23.25
2009-03-20,60,23.3
2009-03-27,59,25.46
2009-04-03,60,26.74
2009-04-17,61,27.91
2009-04-24,62,27.75
2009-05-01,62,26.85
2009-05-08,61,26.06
2009-05-15,60,22.93
2009-05-22,58,22.74
2009-05-29,57,25.41
2009-06-05,59,25.4
2009-06-12,58,25.09
2009-06-19,56,25.14
2009-06-26,55,24.47
2009-07-10,55,23.19
2009-07-17,57,25.38
2009-07-24,58,26.49
2009-07-31,58,26.5
2009-08-07,57,26.97
2009-08-14,58,26.61
2009-08-21,59,27.01
2009-08-28,59,28.33
2009-09-04,60,28.69
2009-09-11,60,28.37
2009-09-18,63,28.9
2009-09-25,65,27.18
2009-10-02,63,27.07
2009-10-09,64,28.18
2009-10-16,65,29.52
2009-10-23,65,28.03
2009-10-30,64,27.27
2009-11-06,65,27.91
2009-11-13,65,29.1
2009-11-20,66,29.1
2009-11-27,60,29.34
2009-12-04,65,30.18
2009-12-11,66,30.83
2009-12-18,63,31.62
2010-01-08,61,31.77
2010-01-15,63,32.16
2010-01-22,62,31.29
2010-01-29,62,30.55
2010-02-05,64,30.8
2010-02-12,65,35.55
2010-02-19,62,35.8
2010-02-26,64,35.78
2010-03-05,68,37.47
2010-03-12,66,38.2
2010-03-19,64,37.89
2010-03-26,68,38.41
2010-04-09,67,38.93
2010-04-16,66,39.85
2010-04-23,68,40.53
2010-04-30,70,38.36
2010-05-07,67,38.97
2010-05-14,68,40.28
2010-05-21,66,39.53
2010-05-28,65,40.15
2010-06-04,64,39.14
2010-06-11,66,40.39
2010-06-18,63,42.88
2010-06-25,66,43
2010-07-02,65,40.45
2010-07-09,65,41.59
2010-07-16,64,39.5
2010-07-23,66,40.95
2010-07-30,65,42.15
2010-08-06,65,43.32
2010-08-13,64,42.78
2010-08-20,66,42.47
2010-08-27,64,40.94
2010-09-03,63,43.49
2010-09-10,66,43.34
2010-09-17,68,44.7
2010-09-24,70,44.38
2010-10-01,70,44.61
2010-10-08,70,45.64
2010-10-15,71,45.08
2010-10-22,70,46
2010-10-29,70,46.25
2010-11-05,73,47.26
2010-11-12,72,46.82
2010-11-19,71,47.79
2010-11-26,67,47.72
2010-12-03,71,49.39
2010-12-10,71,49.65
2010-12-17,69,49.44
2010-12-31,61,47.18
2011-01-07,69,46.07
2011-01-14,71,44.49
2011-01-21,72,44.61
2011-01-28,75,43.91
2011-02-04,74,44.82
2011-02-11,76,45.45
2011-02-18,74,45.74
2011-02-25,71,44.61
2011-03-04,75,46.59
2011-03-11,75,46.86
2011-03-18,72,46.28
2011-03-25,75,47.22
2011-04-01,76,47.39
2011-04-08,77,46.84
2011-04-15,77,44.8
2011-04-29,78,46.84
2011-05-06,78,47.34
2011-05-13,77,48.05
2011-05-20,79,47.49
2011-05-27,80,45.5
2011-06-03,74,44.36
2011-06-10,73,42.67
2011-06-17,73,43.36
2011-06-24,71,43.35
2011-07-01,68,45.26
2011-07-08,71,44.65
2011-07-15,71,41.37
2011-07-22,74,40.5
2011-07-29,70,39.56
2011-08-05,71,37.25
2011-08-12,71,37.45
2011-08-19,71,36.43
2011-08-26,70,36.82
2011-09-02,68,36.49
2011-09-09,72,36.28
2011-09-16,77,36.02
2011-09-23,77,34.45
2011-09-30,78,32.61
2011-10-07,78,33.25
2011-10-14,77,34.75
2011-10-21,80,35.08
2011-10-28,79,38.07
2011-11-04,79,38.66
2011-11-11,79,37.36
2011-11-18,80,36.03
2011-11-25,75,34.15
2011-12-02,81,36.04
2011-12-09,81,36.76
2011-12-16,79,34.02
2011-12-23,69,32.43
2011-12-30,68,31.89
2012-01-06,73,31.9
2012-01-13,79,32.69
2012-01-20,80,32.75
2012-01-27,81,35.06
2012-02-03,81,35.86
2012-02-10,83,36.84
2012-02-17,82,36.18
2012-02-24,83,34.86
2012-03-02,85,35.21
2012-03-09,82,35.18
2012-03-16,82,35.45
2012-03-23,82,36.38
2012-03-30,81,36.72
2012-04-13,84,36.18
2012-04-20,84,35.92
2012-04-27,86,36.68
2012-05-04,87,36.09
2012-05-11,86,35.68
2012-05-18,83,34.24
2012-05-25,82,34.91
2012-06-01,81,34.96
2012-06-08,80,34.5
2012-06-15,79,34.5
2012-06-22,80,33.87
2012-06-29,78,33.87
2012-07-06,75,34.17
2012-07-13,78,32.91
2012-07-20,79,33.84
2012-07-27,82,36.26
2012-08-03,84,36.07
2012-08-10,83,37.56
2012-08-17,81,38.24
2012-08-24,83,37.49
2012-08-31,85,37.51
2012-09-07,86,37.64
2012-09-14,91,39.96
2012-09-21,92,38.01
2012-09-28,88,38.17
2012-10-05,89,37.76
2012-10-12,90,39.3
2012-10-19,88,39.05
2012-10-26,91,36.35
2012-11-02,87,35.58
2012-11-09,97,37.22
2012-11-16,89,36.45
2012-11-23,83,38.25
2012-11-30,87,38.46
2012-12-07,90,37.46
2012-12-14,87,36.97
2012-12-21,81,36.04
2012-12-28,74,35.31
2013-01-04,81,35.74
2013-01-11,85,36.89
2013-01-18,83,39.01
2013-01-25,87,37.31
2013-02-01,93,37.65
2013-02-08,91,39.84
2013-02-15,88,40.53
2013-02-22,86,41.13
2013-03-01,92,40.11
2013-03-08,88,41.67
2013-03-15,90,42.38
2013-03-22,95,43.84
2013-04-05,95,43.33
2013-04-12,97,44.91
2013-04-19,95,45.02
2013-04-26,93,47.27
2013-05-03,95,47.22
2013-05-10,92,47.51
2013-05-17,86,47.91
2013-05-24,85,47.16
2013-05-31,81,44.48
2013-06-07,85,45
2013-06-14,90,44.09
2013-06-21,88,44.34
2013-06-28,91,44.83
2013-07-05,89,46.61
2013-07-12,89,47.64
2013-07-19,93,45.38
2013-07-26,90,47.08
2013-08-02,85,46.99
2013-08-09,85,45.96
2013-08-16,88,44.9
2013-08-23,87,46.11
2013-08-30,91,45.58
2013-09-06,89,47.99
2013-09-13,95,46.82
2013-09-20,96,48.79
2013-09-27,94,47.38
2013-10-04,94,47.43
2013-10-11,95,46.72
2013-10-18,93,47.24
2013-10-25,90,52.05
2013-11-01,94,51.84
2013-11-08,95,50.48
2013-11-15,98,52.73
2013-11-22,94,52.88
2013-11-29,88,53.82
2013-12-06,95,51.76
2013-12-13,92,51.76
2013-12-20,87,52.49
2013-12-27,78,54.4
2014-01-03,84,54.11
2014-01-10,89,53.04
2014-01-17,92,52
2014-01-24,94,51.27
2014-01-31,93,49.12
2014-02-07,100,50.09
2014-02-14,98,52.82
2014-02-21,94,54.3
2014-02-28,94,55.16
2014-03-07,97,54.77
2014-03-14,92,54.66
2014-03-21,95,55.2
2014-03-28,94,55.18
2014-04-04,92,54.99
2014-04-11,93,53.63
2014-04-25,94,54.72
