"Date","USB","Price"
2006-07-14,56,30.77
2006-07-21,56,31.81
2006-07-28,57,32
2006-08-04,59,32.31
2006-08-11,58,31.9
2006-08-18,59,32.5
2006-08-25,59,32.12
2006-09-01,60,32.05
2006-09-08,60,32.19
2006-09-15,59,33.26
2006-09-22,59,33.14
2006-09-29,59,33.22
2006-10-06,59,33.67
2006-10-13,58,33.76
2006-10-20,57,33.43
2006-10-27,57,34
2006-11-03,59,33.57
2006-11-10,58,33.66
2006-11-17,59,33.91
2006-11-24,63,33.72
2006-12-01,61,33.66
2006-12-08,61,33.96
2006-12-15,64,35.79
2006-12-22,65,36.65
2006-12-29,78,36.19
2007-01-05,68,35.77
2007-01-12,62,35.55
2007-01-19,59,35.46
2007-01-26,60,35.54
2007-02-02,61,35.81
2007-02-09,59,35.84
2007-02-16,60,36.62
2007-02-23,59,36.55
2007-03-02,56,35.39
2007-03-09,58,35.53
2007-03-16,57,35.1
2007-03-23,56,35.91
2007-03-30,55,34.97
2007-04-13,53,34.47
2007-04-20,52,34.55
2007-04-27,51,34.55
2007-05-04,51,34.49
2007-05-11,53,34.66
2007-05-18,53,34.78
2007-05-25,52,34.39
2007-06-01,51,34.63
2007-06-08,52,34.21
2007-06-15,52,34.12
2007-06-22,52,33.42
2007-06-29,52,32.95
2007-07-06,53,33.39
2007-07-13,54,33.18
2007-07-20,53,31.89
2007-07-27,53,29.99
2007-08-03,52,29.26
2007-08-10,53,29.96
2007-08-17,53,32.81
2007-08-24,55,33.05
2007-08-31,56,32.35
2007-09-07,55,31.46
2007-09-14,54,32.27
2007-09-21,54,33.1
2007-09-28,53,32.53
2007-10-05,53,33.71
2007-10-12,53,32.88
2007-10-19,53,31.27
2007-10-26,52,32.38
2007-11-02,56,31.3
2007-11-09,53,30.92
2007-11-16,54,31.43
2007-11-23,57,31.21
2007-11-30,57,33.09
2007-12-07,56,32.86
2007-12-14,57,32.68
2007-12-21,59,32.28
2007-12-28,70,31.81
2008-01-04,62,29.44
2008-01-11,61,29.85
2008-01-18,56,30.19
2008-01-25,56,32.96
2008-02-01,56,34
2008-02-08,54,32.34
2008-02-15,54,32.68
2008-02-22,56,32.91
2008-02-29,54,32.02
2008-03-07,53,30.88
2008-03-14,55,31.57
2008-03-28,52,32.66
2008-04-04,51,33.2
2008-04-11,50,32.62
2008-04-18,51,33.56
2008-04-25,51,34.89
2008-05-02,50,34.6
2008-05-09,48,33.55
2008-05-16,48,33.91
2008-05-23,49,32.68
2008-05-30,49,33.19
2008-06-06,49,32.07
2008-06-13,50,30.83
2008-06-20,50,29.67
2008-06-27,49,28.31
2008-07-11,50,25.74
2008-07-18,50,28.39
2008-07-25,51,28.9
2008-08-01,50,30.8
2008-08-08,51,31.46
2008-08-15,52,31.58
2008-08-22,52,31.44
2008-08-29,52,31.86
2008-09-05,50,32.74
2008-09-12,52,33.83
2008-09-19,52,37.99
2008-09-26,53,36.2
2008-10-03,52,35.06
2008-10-10,53,30.36
2008-10-17,52,30.55
2008-10-24,52,29.45
2008-10-31,52,29.81
2008-11-07,50,27.21
2008-11-14,52,26.3
2008-11-21,53,22.53
2008-11-28,55,26.98
2008-12-05,57,28.91
2008-12-12,59,25.84
2008-12-19,56,24.85
2008-12-26,66,24.25
2009-01-02,63,25.25
2009-01-09,58,22.35
2009-01-16,59,18.32
2009-01-23,57,14.64
2009-01-30,56,14.84
2009-02-06,55,16.19
2009-02-13,54,12.4
2009-02-20,55,10.58
2009-02-27,55,14.31
2009-03-06,55,8.82
2009-03-13,53,13.57
2009-03-20,52,13.42
2009-03-27,52,15.64
2009-04-03,53,15.97
2009-04-17,51,18.6
2009-04-24,49,18.97
2009-05-01,49,17.96
2009-05-08,50,20.54
2009-05-15,50,17.67
2009-05-22,49,17.83
2009-05-29,49,19.2
2009-06-05,50,18
2009-06-12,51,18.58
2009-06-19,50,17.95
2009-06-26,49,18.02
2009-07-10,52,16.59
2009-07-17,52,17.96
2009-07-24,53,19.77
2009-07-31,52,20.41
2009-08-07,51,23.25
2009-08-14,53,22.49
2009-08-21,53,22.28
2009-08-28,52,22.43
2009-09-04,52,21.45
2009-09-11,53,21.86
2009-09-18,52,22.76
2009-09-25,50,22.06
2009-10-02,51,21.23
2009-10-09,52,22.93
2009-10-16,51,23.41
2009-10-23,53,24.95
2009-10-30,53,23.22
2009-11-06,54,23.73
2009-11-13,56,23.48
2009-11-20,56,23.29
2009-11-27,58,22.95
2009-12-04,57,23.5
2009-12-11,59,23.05
2009-12-18,58,22.3
2010-01-08,61,24.21
2010-01-15,58,24.62
2010-01-22,58,24.67
2010-01-29,56,25.08
2010-02-05,57,23.97
2010-02-12,55,23.26
2010-02-19,54,24.14
2010-02-26,54,24.61
2010-03-05,53,25.2
2010-03-12,53,25.67
2010-03-19,51,26.14
2010-03-26,51,26.05
2010-04-09,52,27.16
2010-04-16,49,27.45
2010-04-23,49,27.3
2010-04-30,49,26.77
2010-05-07,48,25.15
2010-05-14,51,25.51
2010-05-21,50,23.98
2010-05-28,49,23.96
2010-06-04,49,22.85
2010-06-11,50,23.31
2010-06-18,49,23.57
2010-06-25,49,23.36
2010-07-02,47,21.88
2010-07-09,46,23.91
2010-07-16,47,23.04
2010-07-23,48,23.7
2010-07-30,47,23.9
2010-08-06,51,23.22
2010-08-13,49,22.22
2010-08-20,51,21.74
2010-08-27,50,21.66
2010-09-03,50,22.67
2010-09-10,51,22.63
2010-09-17,51,22.81
2010-09-24,50,22.41
2010-10-01,49,21.71
2010-10-08,49,22.31
2010-10-15,49,22.54
2010-10-22,48,23.59
2010-10-29,48,24.2
2010-11-05,50,26.1
2010-11-12,49,24.62
2010-11-19,50,24.87
2010-11-26,51,23.97
2010-12-03,51,24.76
2010-12-10,52,26.45
2010-12-17,53,26.2
2010-12-31,59,26.97
2011-01-07,54,26.09
2011-01-14,52,27.37
2011-01-21,52,26.96
2011-01-28,51,26.8
2011-02-04,49,27.42
2011-02-11,49,28.37
2011-02-18,49,28.56
2011-02-25,48,27.52
2011-03-04,48,27.04
2011-03-11,46,27.16
2011-03-18,44,26.65
2011-03-25,45,26.92
2011-04-01,44,26.68
2011-04-08,44,26.18
2011-04-15,45,25.93
2011-04-29,44,25.82
2011-05-06,43,25.19
2011-05-13,44,25.02
2011-05-20,45,25.2
2011-05-27,43,25.42
2011-06-03,43,24.55
2011-06-10,43,24.33
2011-06-17,43,24.49
2011-06-24,45,23.92
2011-07-01,44,26.06
2011-07-08,44,25.35
2011-07-15,44,24.74
2011-07-22,46,26.91
2011-07-29,46,26.06
2011-08-05,45,23.72
2011-08-12,45,21.91
2011-08-19,44,20.56
2011-08-26,46,22.42
2011-09-02,45,21.61
2011-09-09,43,22
2011-09-16,46,24.11
2011-09-23,45,23.21
2011-09-30,44,23.54
2011-10-07,44,23.33
2011-10-14,43,24.7
2011-10-21,44,25.39
2011-10-28,44,26.03
2011-11-04,43,25.53
2011-11-11,45,25.94
2011-11-18,45,25.38
2011-11-25,45,24.03
2011-12-02,47,25.72
2011-12-09,46,26.29
2011-12-16,46,26
2011-12-23,47,27.49
2011-12-30,53,27.05
2012-01-06,49,27.75
2012-01-13,47,29.03
2012-01-20,46,28.74
2012-01-27,44,27.86
2012-02-03,44,29.2
2012-02-10,45,29.01
2012-02-17,44,29.35
2012-02-24,43,28.73
2012-03-02,44,29.27
2012-03-09,44,29.72
2012-03-16,43,31.65
2012-03-23,41,31.7
2012-03-30,40,31.68
2012-04-13,40,30.9
2012-04-20,42,31.29
2012-04-27,41,32.43
2012-05-04,40,31.67
2012-05-11,40,32.21
2012-05-18,40,30.27
2012-05-25,40,30.93
2012-06-01,40,29.6
2012-06-08,40,30.1
2012-06-15,41,31.58
2012-06-22,41,31.72
2012-06-29,40,32.16
2012-07-06,41,32.01
2012-07-13,41,32.7
2012-07-20,42,33.6
2012-07-27,42,33.92
2012-08-03,41,33.49
2012-08-10,42,33.16
2012-08-17,43,33.11
2012-08-24,44,33.03
2012-08-31,43,33.41
2012-09-07,43,33.98
2012-09-14,43,34.93
2012-09-21,43,33.85
2012-09-28,43,34.3
2012-10-05,42,34.92
2012-10-12,42,33.72
2012-10-19,41,34.23
2012-10-26,42,33.15
2012-11-02,42,33.43
2012-11-09,42,32.1
2012-11-16,42,31.55
2012-11-23,45,32.58
2012-11-30,43,32.26
2012-12-07,44,32.02
2012-12-14,44,31.4
2012-12-21,44,32.48
2012-12-28,50,31.68
2013-01-04,46,33.22
2013-01-11,45,33.5
2013-01-18,44,32.87
2013-01-25,44,33.17
2013-02-01,43,33.4
2013-02-08,42,33.65
2013-02-15,41,33.91
2013-02-22,41,33.88
2013-03-01,40,34.01
2013-03-08,41,34.23
2013-03-15,40,34.22
2013-03-22,40,33.57
2013-04-05,40,33.36
2013-04-12,39,34.08
2013-04-19,39,32.51
2013-04-26,37,33.13
2013-05-03,38,32.77
2013-05-10,37,33.49
2013-05-17,37,34.67
2013-05-24,38,35.41
2013-05-31,38,35.06
2013-06-07,38,35.87
2013-06-14,38,35.01
2013-06-21,38,35.57
2013-06-28,38,36.15
2013-07-05,38,36.76
2013-07-12,38,37.66
2013-07-19,40,37.26
2013-07-26,38,37.54
2013-08-02,39,37.77
2013-08-09,40,37.17
2013-08-16,40,36.92
2013-08-23,40,37.32
2013-08-30,40,36.13
2013-09-06,39,36.47
2013-09-13,40,37.14
2013-09-20,41,37.85
2013-09-27,40,36.5
2013-10-04,40,36.62
2013-10-11,38,37.05
2013-10-18,40,37.92
2013-10-25,41,37.83
2013-11-01,41,37.37
2013-11-08,40,38.08
2013-11-15,42,38.31
2013-11-22,42,38.95
2013-11-29,41,39.22
2013-12-06,43,39.66
2013-12-13,43,39.06
2013-12-20,43,40.05
2013-12-27,47,40.37
2014-01-03,44,40.06
2014-01-10,44,41.02
2014-01-17,43,41.45
2014-01-24,42,40.14
2014-01-31,41,39.73
2014-02-07,39,40
2014-02-14,40,40.79
2014-02-21,41,40.34
2014-02-28,39,41.14
2014-03-07,40,42.17
2014-03-14,38,41.54
2014-03-21,37,43.02
2014-03-28,38,42.3
2014-04-04,38,42.55
2014-04-11,38,40.51
2014-04-25,38,40.22
