"Date","Bed.Bath...Beyond","Price"
2005-10-07,48,38.62
2005-10-14,50,37.8
2005-10-21,46,38.97
2005-10-28,48,39.52
2005-11-04,51,41.94
2005-11-11,58,41.75
2005-11-18,58,42.31
2005-11-25,69,43.18
2005-12-02,77,43.23
2005-12-09,85,41.99
2005-12-16,92,41.97
2005-12-23,95,36.54
2005-12-30,72,36.15
2006-01-06,59,35.73
2006-01-13,52,37.29
2006-01-20,47,35.97
2006-01-27,46,37.56
2006-02-03,47,36.65
2006-02-10,45,35.82
2006-02-17,44,35.55
2006-02-24,49,35.72
2006-03-03,50,36.01
2006-03-10,50,36.78
2006-03-17,52,36.81
2006-03-24,54,38.59
2006-03-31,49,38.4
2006-04-07,52,40.37
2006-04-21,56,38.03
2006-04-28,55,38.35
2006-05-05,57,38.33
2006-05-12,55,37.26
2006-05-19,54,36.1
2006-05-26,53,35.22
2006-06-02,58,36.19
2006-06-09,58,35.31
2006-06-16,61,36.47
2006-06-23,61,34.23
2006-06-30,64,33.17
2006-07-07,64,32.35
2006-07-14,74,31.74
2006-07-21,76,32.62
2006-07-28,77,33.78
2006-08-04,75,34.82
2006-08-11,77,34.74
2006-08-18,73,35.64
2006-08-25,69,33.01
2006-09-01,65,34.25
2006-09-08,60,34.11
2006-09-15,55,37.31
2006-09-22,51,38.4
2006-09-29,52,38.26
2006-10-06,52,39.53
2006-10-13,52,38.35
2006-10-20,51,38.9
2006-10-27,50,39.7
2006-11-03,55,38.56
2006-11-10,58,39.99
2006-11-17,63,40.53
2006-11-24,72,39.25
2006-12-01,78,38.95
2006-12-08,86,39.91
2006-12-15,94,40.68
2006-12-22,100,38.04
2006-12-29,82,38.1
2007-01-05,66,38.87
2007-01-12,53,41.59
2007-01-19,54,41.93
2007-01-26,52,40.7
2007-02-02,50,41.82
2007-02-09,47,41.86
2007-02-16,49,42.6
2007-02-23,53,42.57
2007-03-02,49,39.55
2007-03-09,52,40.09
2007-03-16,54,39.08
2007-03-23,55,41.2
2007-03-30,52,40.17
2007-04-13,56,40.73
2007-04-20,56,41.65
2007-04-27,59,41.33
2007-05-04,60,40.54
2007-05-11,59,41.15
2007-05-18,58,40.57
2007-05-25,55,40.66
2007-06-01,62,40.5
2007-06-08,63,37.62
2007-06-15,62,37.96
2007-06-22,57,37.14
2007-06-29,64,35.99
2007-07-06,68,36.72
2007-07-13,71,36.26
2007-07-20,78,36.83
2007-07-27,71,34.69
2007-08-03,74,34.23
2007-08-10,73,35.36
2007-08-17,68,34.25
2007-08-24,66,35.26
2007-08-31,59,34.64
2007-09-07,56,32.77
2007-09-14,54,33.43
2007-09-21,51,33.43
2007-09-28,51,34.12
2007-10-05,53,36.06
2007-10-12,50,35.06
2007-10-19,47,33.16
2007-10-26,48,33.52
2007-11-02,52,32.58
2007-11-09,57,30.64
2007-11-16,60,31.41
2007-11-23,79,30.62
2007-11-30,81,31.45
2007-12-07,80,32.34
2007-12-14,87,29.51
2007-12-21,97,29.15
2007-12-28,84,29.11
2008-01-04,73,26.19
2008-01-11,57,26.14
2008-01-18,51,27.05
2008-01-25,51,29.36
2008-02-01,48,32.38
2008-02-08,46,29.88
2008-02-15,48,29.25
2008-02-22,49,28.95
2008-02-29,50,28.34
2008-03-07,50,27.06
2008-03-14,53,28.86
2008-03-28,53,29.11
2008-04-04,55,31.6
2008-04-11,53,30.23
2008-04-18,52,32.39
2008-04-25,59,33.43
2008-05-02,63,33.1
2008-05-09,66,32.19
2008-05-16,58,33.78
2008-05-23,57,30.85
2008-05-30,57,31.86
2008-06-06,60,30.47
2008-06-13,58,30.03
2008-06-20,57,28.81
2008-06-27,61,29.06
2008-07-11,67,27.25
2008-07-18,75,29.26
2008-07-25,70,28.01
2008-08-01,69,27.57
2008-08-08,69,29.42
2008-08-15,63,29.97
2008-08-22,64,30.36
2008-08-29,56,30.66
2008-09-05,55,31.12
2008-09-12,48,32.06
2008-09-19,48,32.76
2008-09-26,49,32.24
2008-10-03,46,29.34
2008-10-10,45,26.19
2008-10-17,44,25.14
2008-10-24,46,23.41
2008-10-31,46,25.77
2008-11-07,51,22.98
2008-11-14,56,20.6
2008-11-21,58,17.54
2008-11-28,74,20.29
2008-12-05,74,24.59
2008-12-12,78,24.56
2008-12-19,83,26.01
2008-12-26,84,24.99
2009-01-02,72,26.49
2009-01-09,51,25.93
2009-01-16,47,25.94
2009-01-23,45,25.53
2009-01-30,44,23.23
2009-02-06,42,24
2009-02-13,41,22.01
2009-02-20,44,21.11
2009-02-27,45,21.3
2009-03-06,45,19.52
2009-03-13,48,22.93
2009-03-20,47,23.18
2009-03-27,46,25
2009-04-03,47,27.62
2009-04-17,47,31.37
2009-04-24,51,30.36
2009-05-01,48,29.3
2009-05-08,51,28.5
2009-05-15,45,27.83
2009-05-22,44,27.11
2009-05-29,44,28.11
2009-06-05,44,29.2
2009-06-12,45,28.36
2009-06-19,51,28.53
2009-06-26,48,31.03
2009-07-10,60,29.81
2009-07-17,66,32.65
2009-07-24,65,34.75
2009-07-31,67,34.75
2009-08-07,62,36.94
2009-08-14,60,34.88
2009-08-21,61,35.81
2009-08-28,56,37.14
2009-09-04,51,36.67
2009-09-11,52,36.71
2009-09-18,48,39.28
2009-09-25,49,36.8
2009-10-02,47,36.65
2009-10-09,46,37.39
2009-10-16,46,36.34
2009-10-23,44,36.17
2009-10-30,46,35.21
2009-11-06,49,37.14
2009-11-13,52,37.1
2009-11-20,55,37.24
2009-11-27,77,36.99
2009-12-04,75,39.15
2009-12-11,82,38.19
2009-12-18,89,37.49
2010-01-08,54,42.03
2010-01-15,49,40.67
2010-01-22,48,39.07
2010-01-29,44,38.7
2010-02-05,46,38.5
2010-02-12,44,39.78
2010-02-19,45,41.41
2010-02-26,45,41.61
2010-03-05,47,41.65
2010-03-12,51,42.28
2010-03-19,47,43.89
2010-03-26,48,44
2010-04-09,47,45.51
2010-04-16,47,45.33
2010-04-23,53,47.84
2010-04-30,55,45.96
2010-05-07,57,42.91
2010-05-14,51,44.46
2010-05-21,50,44.27
2010-05-28,44,44.87
2010-06-04,46,43.19
2010-06-11,43,44.44
2010-06-18,45,42.49
2010-06-25,44,39.34
2010-07-02,45,36.19
2010-07-09,50,37.45
2010-07-16,58,36.04
2010-07-23,59,38.72
2010-07-30,55,37.88
2010-08-06,56,38.83
2010-08-13,54,37.08
2010-08-20,56,38.34
2010-08-27,51,37
2010-09-03,46,39.02
2010-09-10,46,40.35
2010-09-17,47,41.1
2010-09-24,46,43.72
2010-10-01,43,43.4
2010-10-08,42,42.87
2010-10-15,39,43.64
2010-10-22,40,44.02
2010-10-29,43,43.9
2010-11-05,46,45.13
2010-11-12,51,44.11
2010-11-19,56,43.09
2010-11-26,78,44
2010-12-03,77,45.95
2010-12-10,77,46.76
2010-12-17,82,47.72
2010-12-31,69,49.15
2011-01-07,54,48.63
2011-01-14,48,49.51
2011-01-21,46,48.11
2011-01-28,43,48.6
2011-02-04,44,48.34
2011-02-11,43,50.04
2011-02-18,41,50.82
2011-02-25,42,47.85
2011-03-04,43,48.34
2011-03-11,45,45.82
2011-03-18,42,45.58
2011-03-25,46,47.28
2011-04-01,46,48.71
2011-04-08,45,53.82
2011-04-15,45,55.84
2011-04-29,48,56.13
2011-05-06,50,55.68
2011-05-13,46,55.65
2011-05-20,49,53.83
2011-05-27,47,53.46
2011-06-03,51,51.61
2011-06-10,48,52.91
2011-06-17,51,51.99
2011-06-24,52,56.59
2011-07-01,48,59.39
2011-07-08,51,60.14
2011-07-15,61,58.66
2011-07-22,60,59.7
2011-07-29,59,58.49
2011-08-05,61,52.9
2011-08-12,59,54.43
2011-08-19,58,50.64
2011-08-26,52,54.9
2011-09-02,48,56.44
2011-09-09,50,56.29
2011-09-16,46,59.94
2011-09-23,47,57.22
2011-09-30,44,57.31
2011-10-07,43,57.13
2011-10-14,40,61.17
2011-10-21,41,61.81
2011-10-28,46,61.15
2011-11-04,44,62.03
2011-11-11,53,61.92
2011-11-18,54,59.99
2011-11-25,77,57.9
2011-12-02,75,60.81
2011-12-09,75,63.22
2011-12-16,81,61.22
2011-12-23,89,57.46
2011-12-30,70,57.97
2012-01-06,53,59.94
2012-01-13,50,59.02
2012-01-20,47,61.72
2012-01-27,44,62.54
2012-02-03,44,63.15
2012-02-10,43,58.98
2012-02-17,43,59.47
2012-02-24,45,60.35
2012-03-02,46,60.84
2012-03-09,49,62.66
2012-03-16,46,66.03
2012-03-23,43,66.11
2012-03-30,45,65.77
2012-04-13,43,69.41
2012-04-20,44,68.56
2012-04-27,50,71.18
2012-05-04,50,68.05
2012-05-11,50,71.55
2012-05-18,46,68.84
2012-05-25,48,72.4
2012-06-01,50,70.78
2012-06-08,50,70.81
2012-06-15,51,72.67
2012-06-22,50,61.2
2012-06-29,51,61.8
2012-07-06,52,61.85
2012-07-13,58,60.94
2012-07-20,60,61.38
2012-07-27,58,63.62
2012-08-03,57,62.44
2012-08-10,58,62.78
2012-08-17,57,66.56
2012-08-24,55,66.4
2012-08-31,50,67.17
2012-09-07,51,69.17
2012-09-14,47,71.6
2012-09-21,45,61.57
2012-09-28,42,63
2012-10-05,41,61.6
2012-10-12,40,61.45
2012-10-19,40,60.24
2012-10-26,41,57.45
2012-11-02,41,57.1
2012-11-09,46,57.08
2012-11-16,53,56.4
2012-11-23,75,60.16
2012-11-30,70,58.72
2012-12-07,70,58.21
2012-12-14,75,58.22
2012-12-21,84,55.72
2012-12-28,71,54.91
2013-01-04,62,56.9
2013-01-11,48,56.27
2013-01-18,46,55.4
2013-01-25,45,59.78
2013-02-01,41,59.22
2013-02-08,40,59.44
2013-02-15,41,57.69
2013-02-22,43,57.6
2013-03-01,43,56.93
2013-03-08,45,59.37
2013-03-15,46,60.93
2013-03-22,45,64.59
2013-04-05,44,63.76
2013-04-12,43,66.76
2013-04-19,42,66.77
2013-04-26,47,67.09
2013-05-03,47,68.57
2013-05-10,48,69.83
2013-05-17,44,69.11
2013-05-24,45,68.72
2013-05-31,49,68.25
2013-06-07,47,69.36
2013-06-14,49,71.07
2013-06-21,46,69.99
2013-06-28,49,70.95
2013-07-05,51,72.76
2013-07-12,54,76.74
2013-07-19,59,76.18
2013-07-26,56,75.3
2013-08-02,56,77.51
2013-08-09,56,76.03
2013-08-16,56,73.45
2013-08-23,55,74.41
2013-08-30,50,73.74
2013-09-06,49,71.84
2013-09-13,45,73.63
2013-09-20,42,75.47
2013-09-27,41,77.23
2013-10-04,39,77.97
2013-10-11,40,77.33
2013-10-18,42,76.35
2013-10-25,41,76.75
2013-11-01,43,76.91
2013-11-08,45,75.76
2013-11-15,51,78.16
2013-11-22,56,77.46
2013-11-29,77,78.03
2013-12-06,74,78.13
2013-12-13,73,76.52
2013-12-20,82,77.41
2013-12-27,79,79.32
2014-01-03,63,80.48
2014-01-10,47,69.94
2014-01-17,44,66.05
2014-01-24,44,64.59
2014-01-31,41,63.85
2014-02-07,38,64.11
2014-02-14,42,65.96
2014-02-21,42,64.99
2014-02-28,43,67.82
2014-03-07,42,69.16
2014-03-14,44,68.3
2014-03-21,44,67.55
2014-03-28,45,68.43
2014-04-04,44,69.22
2014-04-11,42,63.72
2014-04-25,45,62.48
