"Date","sell.MAC","Price"
2008-12-19,51,20.84
2008-12-26,42,20.27
2009-01-02,41,18.41
2009-01-09,53,17.26
2009-01-16,55,16.77
2009-01-23,37,16.07
2009-01-30,39,14.74
2009-02-06,42,15.09
2009-02-13,52,13.54
2009-02-20,54,11.2
2009-02-27,50,11.42
2009-03-06,57,7.17
2009-03-13,55,8.54
2009-03-20,49,6.19
2009-03-27,44,5.8
2009-04-03,49,9.84
2009-04-17,46,15.36
2009-04-24,51,16.28
2009-05-01,43,16.67
2009-05-08,47,19.3
2009-05-15,36,15.02
2009-05-22,63,15.96
2009-05-29,43,16.88
2009-06-05,61,20.71
2009-06-12,55,19.62
2009-06-19,66,18.44
2009-06-26,52,17.61
2009-07-10,58,14.96
2009-07-17,63,17.13
2009-07-24,41,18.93
2009-07-31,48,19.67
2009-08-07,43,27.4
2009-08-14,55,26.33
2009-08-21,52,25.72
2009-08-28,62,30.04
2009-09-04,64,26.18
2009-09-11,56,29.45
2009-09-18,58,33.69
2009-09-25,46,30.52
2009-10-02,39,27.88
2009-10-09,60,29.99
2009-10-16,51,29.16
2009-10-23,65,31.02
2009-10-30,44,29.8
2009-11-06,58,29.99
2009-11-13,62,32.5
2009-11-20,49,30.02
2009-11-27,57,28.44
2009-12-04,60,30.34
2009-12-11,39,31.21
2009-12-18,47,32.89
2010-01-08,55,32.84
2010-01-15,45,32.78
2010-01-22,46,31.55
2010-01-29,58,30.85
2010-02-05,42,31.31
2010-02-12,53,30.85
2010-02-19,53,33.64
2010-02-26,59,35.64
2010-03-05,44,38.58
2010-03-12,50,39.19
2010-03-19,43,39.4
2010-03-26,49,39.28
2010-04-09,53,41.99
2010-04-16,54,39.83
2010-04-23,65,45
2010-04-30,59,44.71
2010-05-07,40,40.75
2010-05-14,55,43.31
2010-05-21,47,40.33
2010-05-28,68,41.36
2010-06-04,55,37.81
2010-06-11,57,40.96
2010-06-18,53,42.91
2010-06-25,48,40.27
2010-07-02,72,36.59
2010-07-09,58,39.58
2010-07-16,55,37.51
2010-07-23,70,40.12
2010-07-30,76,41.45
2010-08-06,64,41.73
2010-08-13,69,39.29
2010-08-20,55,39.79
2010-08-27,58,40.81
2010-09-03,59,44
2010-09-10,51,42.21
2010-09-17,59,43.34
2010-09-24,58,43.27
2010-10-01,60,43.87
2010-10-08,51,43.64
2010-10-15,53,43.45
2010-10-22,65,44.63
2010-10-29,66,44.58
2010-11-05,52,49.4
2010-11-12,60,45.73
2010-11-19,64,45.2
2010-11-26,66,46.32
2010-12-03,68,48.24
2010-12-10,72,44.94
2010-12-17,65,45.1
2010-12-31,72,47.37
2011-01-07,71,46.43
2011-01-14,72,47.14
2011-01-21,70,46.31
2011-01-28,72,47.91
2011-02-04,72,48.39
2011-02-11,70,49.37
2011-02-18,64,49.27
2011-02-25,77,48.62
2011-03-04,76,48.36
2011-03-11,75,48.24
2011-03-18,58,47.87
2011-03-25,73,48.01
2011-04-01,67,49.11
2011-04-08,65,47.67
2011-04-15,63,49.88
2011-04-29,61,52.82
2011-05-06,66,49.97
2011-05-13,78,50.66
2011-05-20,61,52.15
2011-05-27,71,52.89
2011-06-03,66,52.84
2011-06-10,75,49.91
2011-06-17,65,50.54
2011-06-24,67,51.49
2011-07-01,66,54.18
2011-07-08,67,56.2
2011-07-15,91,53.92
2011-07-22,84,54.86
2011-07-29,77,53.13
2011-08-05,81,45.94
2011-08-12,77,49
2011-08-19,83,45.28
2011-08-26,81,46.04
2011-09-02,75,45.67
2011-09-09,69,45.06
2011-09-16,61,48.05
2011-09-23,51,44.08
2011-09-30,57,42.63
2011-10-07,76,41.51
2011-10-14,68,44.53
2011-10-21,74,47.26
2011-10-28,78,50
2011-11-04,73,50.24
2011-11-11,72,50.45
2011-11-18,89,49.04
2011-11-25,79,46.04
2011-12-02,81,48.86
2011-12-09,78,49.96
2011-12-16,87,49.2
2011-12-23,62,51.18
2011-12-30,85,50.6
2012-01-06,70,51.68
2012-01-13,76,52
2012-01-20,67,54.5
2012-01-27,74,55.01
2012-02-03,67,55.12
2012-02-10,70,55.02
2012-02-17,73,55.47
2012-02-24,72,54.34
2012-03-02,74,54.9
2012-03-09,75,54.43
2012-03-16,77,56.01
2012-03-23,70,55.63
2012-03-30,71,57.75
2012-04-13,72,57.86
2012-04-20,71,59.54
2012-04-27,77,61.9
2012-05-04,70,61.96
2012-05-11,76,60.8
2012-05-18,64,55.86
2012-05-25,77,57.96
2012-06-01,61,55.38
2012-06-08,75,57.27
2012-06-15,98,56.17
2012-06-22,92,56.92
2012-06-29,72,59.05
2012-07-06,88,59.68
2012-07-13,80,58.82
2012-07-20,79,57.11
2012-07-27,85,58.36
2012-08-03,85,58.71
2012-08-10,84,57.27
2012-08-17,90,57.72
2012-08-24,90,59.65
2012-08-31,97,59.57
2012-09-07,93,60.82
2012-09-14,84,61.34
2012-09-21,85,58.92
2012-09-28,89,57.23
2012-10-05,74,58.43
2012-10-12,74,59.03
2012-10-19,71,58.91
2012-10-26,100,57.06
2012-11-02,81,57.54
2012-11-09,73,56
2012-11-16,93,55.38
2012-11-23,79,56.97
2012-11-30,78,56.5
2012-12-07,69,57.9
2012-12-14,82,57.85
2012-12-21,71,58.48
2012-12-28,81,57.6
2013-01-04,79,59
2013-01-11,80,57.94
2013-01-18,80,58.61
2013-01-25,79,59.34
2013-02-01,75,60.46
2013-02-08,79,61.64
2013-02-15,71,61.53
2013-02-22,77,60.5
2013-03-01,71,60.11
2013-03-08,91,62.01
2013-03-15,79,62.61
2013-03-22,68,62.87
2013-04-05,75,65.06
2013-04-12,61,67.54
2013-04-19,75,67.18
2013-04-26,60,68.8
2013-05-03,83,70.42
2013-05-10,68,70.24
2013-05-17,72,70.41
2013-05-24,66,66.86
2013-05-31,69,64.91
2013-06-07,74,62.75
2013-06-14,85,62.25
2013-06-21,69,58.45
2013-06-28,86,60.97
2013-07-05,82,61.4
2013-07-12,71,63.78
2013-07-19,79,65.35
2013-07-26,72,63.63
2013-08-02,73,61.85
2013-08-09,79,61.81
2013-08-16,81,56.72
2013-08-23,75,56.72
2013-08-30,77,56.28
2013-09-06,80,56.61
2013-09-13,74,57.2
2013-09-20,87,58.12
2013-09-27,84,57.26
2013-10-04,83,55.68
2013-10-11,59,56.25
2013-10-18,66,59.09
2013-10-25,95,59.76
2013-11-01,90,59.93
2013-11-08,77,56.56
2013-11-15,75,58.89
2013-11-22,76,57.67
2013-11-29,89,56.94
2013-12-06,85,60.49
2013-12-13,78,58.51
2013-12-20,80,58.96
2013-12-27,84,59.17
2014-01-03,83,58.69
2014-01-10,82,58.91
2014-01-17,68,58.04
2014-01-24,72,57.1
2014-01-31,78,56.6
2014-02-07,68,59.23
2014-02-14,75,60.9
2014-02-21,67,60.67
2014-02-28,64,60.13
2014-03-07,67,60.25
2014-03-14,65,59.97
2014-03-21,54,60.56
2014-03-28,63,61.69
2014-04-04,66,62.67
2014-04-11,62,63.09
2014-04-25,60,63.92
