"Date","PM","Price"
2011-01-07,77,56.42
2011-01-14,76,56.67
2011-01-21,77,56.7
2011-01-28,75,56.6
2011-02-04,75,58.67
2011-02-11,76,59.62
2011-02-18,77,61.43
2011-02-25,72,62.25
2011-03-04,74,63.5
2011-03-11,70,63.78
2011-03-18,72,61.72
2011-03-25,75,65.12
2011-04-01,74,64.93
2011-04-08,75,65.83
2011-04-15,76,66.56
2011-04-29,79,69.44
2011-05-06,76,68.6
2011-05-13,75,68.31
2011-05-20,79,70.19
2011-05-27,83,70.52
2011-06-03,76,68.99
2011-06-10,78,67.35
2011-06-17,72,68.48
2011-06-24,71,65.1
2011-07-01,73,66.75
2011-07-08,72,69.41
2011-07-15,74,66.93
2011-07-22,74,72.11
2011-07-29,73,71.17
2011-08-05,71,69.34
2011-08-12,76,66.63
2011-08-19,76,68.83
2011-08-26,78,69.2
2011-09-02,73,68.24
2011-09-09,71,65.9
2011-09-16,77,69.08
2011-09-23,73,63.81
2011-09-30,72,62.38
2011-10-07,72,65.13
2011-10-14,70,67.4
2011-10-21,76,70
2011-10-28,72,72.12
2011-11-04,74,70.21
2011-11-11,79,71.64
2011-11-18,76,73.09
2011-11-25,74,71.31
2011-12-02,75,75.47
2011-12-09,76,75.58
2011-12-16,76,75.6
2011-12-23,69,78.75
2011-12-30,70,78.48
2012-01-06,75,77.08
2012-01-13,79,77.32
2012-01-20,79,74.52
2012-01-27,79,75.46
2012-02-03,83,76.62
2012-02-10,100,80.44
2012-02-17,77,81.74
2012-02-24,76,83.02
2012-03-02,78,84.55
2012-03-09,77,84.61
2012-03-16,74,85.81
2012-03-23,77,86.83
2012-03-30,77,88.61
2012-04-13,73,87.84
2012-04-20,74,87.81
2012-04-27,76,89.81
2012-05-04,73,89.13
2012-05-11,75,86.15
2012-05-18,75,84.3
2012-05-25,77,85.38
2012-06-01,75,82.79
2012-06-08,75,83.97
2012-06-15,71,87.73
2012-06-22,77,86.01
2012-06-29,82,87.26
2012-07-06,79,89.45
2012-07-13,79,90.21
2012-07-20,87,88.89
2012-07-27,81,90.3
2012-08-03,77,91.93
2012-08-10,78,92.21
2012-08-17,76,93.38
2012-08-24,84,89.76
2012-08-31,79,89.3
2012-09-07,78,88.83
2012-09-14,83,89.48
2012-09-21,77,92.14
2012-09-28,76,89.94
2012-10-05,78,93.74
2012-10-12,76,91.7
2012-10-19,79,88.12
2012-10-26,76,88.28
2012-11-02,79,86.93
2012-11-09,80,85.42
2012-11-16,71,84.93
2012-11-23,74,90.41
2012-11-30,81,89.88
2012-12-07,79,89.47
2012-12-14,77,87.75
2012-12-21,78,84.95
2012-12-28,70,82.65
2013-01-04,73,86.52
2013-01-11,79,89.23
2013-01-18,82,89.98
2013-01-25,80,89.42
2013-02-01,82,88.13
2013-02-08,82,90.45
2013-02-15,73,89.99
2013-02-22,79,93.42
2013-03-01,78,91.44
2013-03-08,80,91.11
2013-03-15,80,91.37
2013-03-22,78,91.62
2013-04-05,76,92.72
2013-04-12,79,96.44
2013-04-19,75,91.95
2013-04-26,75,95.31
2013-05-03,78,94.26
2013-05-10,73,93.32
2013-05-17,77,95.68
2013-05-24,74,94.12
2013-05-31,68,90.91
2013-06-07,73,92.09
2013-06-14,76,92.12
2013-06-21,80,87.46
2013-06-28,78,86.62
2013-07-05,69,87.51
2013-07-12,70,89.7
2013-07-19,74,88.61
2013-07-26,73,88.88
2013-08-02,73,89.59
2013-08-09,86,88.7
2013-08-16,80,85.75
2013-08-23,78,85.37
2013-08-30,78,83.44
2013-09-06,77,84.19
2013-09-13,84,87.78
2013-09-20,79,90.47
2013-09-27,76,87.33
2013-10-04,79,87.04
2013-10-11,77,85.03
2013-10-18,80,86.93
2013-10-25,76,88.6
2013-11-01,79,89.76
2013-11-08,74,89.41
2013-11-15,76,91.36
2013-11-22,76,86.95
2013-11-29,76,85.54
2013-12-06,81,85.83
2013-12-13,83,85.24
2013-12-20,79,85.52
2013-12-27,66,86.74
2014-01-03,72,85.53
2014-01-10,81,82.57
2014-01-17,82,83.33
2014-01-24,76,81.5
2014-01-31,78,78.14
2014-02-07,77,80.25
2014-02-14,78,80.39
2014-02-21,80,78.97
2014-02-28,83,80.91
2014-03-07,76,80.34
2014-03-14,80,79.89
2014-03-21,83,81
2014-03-28,82,81.02
2014-04-04,81,82.81
2014-04-11,83,83.14
2014-04-25,80,84.11
