"Date","Wal.Mart.Stores","Price"
2008-07-25,26,56.83
2008-08-01,32,57.75
2008-08-08,27,57.86
2008-08-15,34,59.37
2008-08-22,28,59.44
2008-08-29,29,59.07
2008-09-05,24,60.74
2008-09-12,26,62.41
2008-09-19,25,59.7
2008-09-26,23,60.71
2008-10-03,34,59.73
2008-10-10,27,50.95
2008-10-17,25,53.77
2008-10-24,24,51.4
2008-10-31,23,55.81
2008-11-07,20,54.39
2008-11-14,38,52.71
2008-11-21,46,52.92
2008-11-28,43,55.88
2008-12-05,30,58.21
2008-12-12,34,54.63
2008-12-19,39,55.74
2008-12-26,45,55.35
2009-01-02,34,57.18
2009-01-09,20,51.58
2009-01-16,20,51.56
2009-01-23,21,48.35
2009-01-30,19,47.12
2009-02-06,31,49.63
2009-02-13,22,46.53
2009-02-20,25,50.02
2009-02-27,20,49.24
2009-03-06,20,48.91
2009-03-13,28,49.19
2009-03-20,31,49.59
2009-03-27,25,52.57
2009-04-03,19,53.8
2009-04-17,21,50.2
2009-04-24,20,47.87
2009-05-01,16,50.05
2009-05-08,24,50.14
2009-05-15,18,48.15
2009-05-22,20,49.25
2009-05-29,21,49.74
2009-06-05,16,51.07
2009-06-12,18,49.84
2009-06-19,20,48.17
2009-06-26,19,48.63
2009-07-10,21,47.57
2009-07-17,18,48.49
2009-07-24,17,48.94
2009-07-31,18,49.88
2009-08-07,22,49.29
2009-08-14,23,51.79
2009-08-21,21,51.36
2009-08-28,24,51.13
2009-09-04,21,51.68
2009-09-11,23,50.72
2009-09-18,24,50.11
2009-09-25,24,49.47
2009-10-02,27,49.08
2009-10-09,28,49.97
2009-10-16,22,51.22
2009-10-23,25,50.44
2009-10-30,33,49.68
2009-11-06,43,51.25
2009-11-13,42,53.2
2009-11-20,41,54.28
2009-11-27,49,54.63
2009-12-04,44,54.24
2009-12-11,38,54.65
2009-12-18,38,52.85
2010-01-08,27,53.33
2010-01-15,31,53.68
2010-01-22,24,52.94
2010-01-29,28,53.43
2010-02-05,25,53.45
2010-02-12,29,52.9
2010-02-19,35,53.49
2010-02-26,28,54.07
2010-03-05,25,54.14
2010-03-12,22,53.9
2010-03-19,25,55.34
2010-03-26,26,55.51
2010-04-09,30,55.07
2010-04-16,28,54.11
2010-04-23,25,54.53
2010-04-30,28,53.64
2010-05-07,30,52.4
2010-05-14,26,52.12
2010-05-21,22,51.37
2010-05-28,29,50.56
2010-06-04,22,50.4
2010-06-11,30,50.86
2010-06-18,24,51.55
2010-06-25,23,48.8
2010-07-02,26,48
2010-07-09,29,49.43
2010-07-16,30,49.67
2010-07-23,30,51.67
2010-07-30,23,51.19
2010-08-06,33,51.79
2010-08-13,27,50.4
2010-08-20,24,50.22
2010-08-27,25,51
2010-09-03,19,52.04
2010-09-10,22,51.97
2010-09-17,18,53.01
2010-09-24,23,54.08
2010-10-01,20,53.36
2010-10-08,22,54.41
2010-10-15,27,53.35
2010-10-22,24,54.06
2010-10-29,28,54.17
2010-11-05,22,55.2
2010-11-12,26,54.13
2010-11-19,30,54.39
2010-11-26,32,53.74
2010-12-03,26,54.62
2010-12-10,34,54.28
2010-12-17,31,54.41
2010-12-31,21,53.93
2011-01-07,20,54.08
2011-01-14,16,54.81
2011-01-21,14,55.73
2011-01-28,21,56.7
2011-02-04,19,56.03
2011-02-11,16,55.69
2011-02-18,17,55.38
2011-02-25,23,51.75
2011-03-04,23,52.07
2011-03-11,19,52.59
2011-03-18,21,51.52
2011-03-25,19,52.35
2011-04-01,26,52.13
2011-04-08,20,52.54
2011-04-15,22,53.55
2011-04-29,16,54.98
2011-05-06,20,55.02
2011-05-13,13,55.72
2011-05-20,18,55.29
2011-05-27,18,54.7
2011-06-03,17,53.66
2011-06-10,17,52.72
2011-06-17,16,52.82
2011-06-24,21,52.41
2011-07-01,23,53.51
2011-07-08,16,54.08
2011-07-15,17,53.63
2011-07-22,16,54.52
2011-07-29,14,52.71
2011-08-05,14,50.85
2011-08-12,13,49.75
2011-08-19,14,52.3
2011-08-26,14,52.9
2011-09-02,13,52.03
2011-09-09,15,51.36
2011-09-16,13,52.65
2011-09-23,14,50.8
2011-09-30,16,51.9
2011-10-07,11,53.7
2011-10-14,10,55.46
2011-10-21,14,56.92
2011-10-28,18,57.15
2011-11-04,11,57.5
2011-11-11,14,59.2
2011-11-18,16,57.23
2011-11-25,23,56.89
2011-12-02,20,58.09
2011-12-09,12,58.32
2011-12-16,13,58.27
2011-12-23,16,59.99
2011-12-30,18,59.76
2012-01-06,11,59
2012-01-13,6,59.54
2012-01-20,12,61.01
2012-01-27,11,60.71
2012-02-03,13,62.03
2012-02-10,14,61.9
2012-02-17,10,62.48
2012-02-24,12,58.79
2012-03-02,12,59.01
2012-03-09,13,60.08
2012-03-16,11,60.84
2012-03-23,12,60.75
2012-03-30,9,61.2
2012-04-13,11,59.77
2012-04-20,10,62.45
2012-04-27,13,59.03
2012-05-04,10,58.7
2012-05-11,15,59.42
2012-05-18,12,62.43
2012-05-25,16,65.31
2012-06-01,12,65.55
2012-06-08,15,68.22
2012-06-15,15,67.75
2012-06-22,13,67.3
2012-06-29,12,69.72
2012-07-06,17,71.36
2012-07-13,17,73.18
2012-07-20,14,72.25
2012-07-27,12,74.52
2012-08-03,12,74.55
2012-08-10,8,73.68
2012-08-17,11,71.99
2012-08-24,10,72.11
2012-08-31,12,72.6
2012-09-07,11,73.82
2012-09-14,11,74.5
2012-09-21,16,74.45
2012-09-28,13,73.8
2012-10-05,14,75.13
2012-10-12,15,75.81
2012-10-19,15,75.62
2012-10-26,14,75.11
2012-11-02,15,72.77
2012-11-09,16,72.31
2012-11-16,18,68.03
2012-11-23,18,70.2
2012-11-30,15,72.02
2012-12-07,15,72.29
2012-12-14,18,68.75
2012-12-21,14,68.65
2012-12-28,18,67.61
2013-01-04,9,69.06
2013-01-11,9,68.63
2013-01-18,11,69.2
2013-01-25,12,69
2013-02-01,11,70.49
2013-02-08,11,71.48
2013-02-15,9,69.3
2013-02-22,8,70.4
2013-03-01,9,71.74
2013-03-08,12,73.03
2013-03-15,11,72.5
2013-03-22,8,74.28
2013-04-05,13,76.39
2013-04-12,13,78.56
2013-04-19,10,78.29
2013-04-26,13,79.04
2013-05-03,11,79.25
2013-05-10,13,78.89
2013-05-17,11,77.87
2013-05-24,14,77.31
2013-05-31,12,74.84
2013-06-07,14,76.33
2013-06-14,11,74.87
2013-06-21,10,73.51
2013-06-28,11,74.49
2013-07-05,11,75.21
2013-07-12,13,77.63
2013-07-19,14,78.08
2013-07-26,12,78
2013-08-02,13,78.75
2013-08-09,12,76.9
2013-08-16,12,74.11
2013-08-23,11,73.44
2013-08-30,15,72.98
2013-09-06,16,72.59
2013-09-13,15,74.36
2013-09-20,15,75.83
2013-09-27,12,74.36
2013-10-04,12,72.8
2013-10-11,12,74.82
2013-10-18,14,75.71
2013-10-25,15,76.08
2013-11-01,14,77.07
2013-11-08,13,77.96
2013-11-15,15,79.22
2013-11-22,18,79.81
2013-11-29,22,81.01
2013-12-06,17,79.94
2013-12-13,16,78.08
2013-12-20,16,77.43
2013-12-27,20,78.47
2014-01-03,13,78.65
2014-01-10,11,78.04
2014-01-17,14,76.19
2014-01-24,11,74.42
2014-01-31,15,74.68
2014-02-07,12,73.75
2014-02-14,15,75.79
2014-02-21,13,73.12
2014-02-28,14,74.7
2014-03-07,14,74.58
2014-03-14,13,74.28
2014-03-21,12,76.1
2014-03-28,9,76.01
2014-04-04,11,77.31
2014-04-11,11,76.5
2014-04-25,8,78.62
