"Date","CERN","Price"
2005-11-18,3,96
2005-11-25,3,97.13
2005-12-02,3,96.61
2005-12-09,2,96.11
2005-12-16,2,86.68
2005-12-23,2,93.6
2005-12-30,2,90.91
2006-01-06,3,94.37
2006-01-13,3,46.27
2006-01-20,3,46.06
2006-01-27,3,44.8
2006-02-03,3,44.11
2006-02-10,2,42.96
2006-02-17,2,43.63
2006-02-24,2,41.8
2006-03-03,2,44.35
2006-03-10,2,43.62
2006-03-17,2,47.11
2006-03-24,2,46.68
2006-03-31,3,47.45
2006-04-07,2,46.26
2006-04-21,2,42.58
2006-04-28,3,39.65
2006-05-05,2,41.4
2006-05-12,2,37.1
2006-05-19,2,37.43
2006-05-26,3,36.61
2006-06-02,2,38.38
2006-06-09,2,38.07
2006-06-16,2,38.62
2006-06-23,2,38.08
2006-06-30,2,37.11
2006-07-07,2,36.99
2006-07-14,2,34
2006-07-21,2,39
2006-07-28,2,39.73
2006-08-04,2,42
2006-08-11,2,43.84
2006-08-18,2,46.25
2006-08-25,2,44.92
2006-09-01,2,46.39
2006-09-08,2,45.19
2006-09-15,2,46.33
2006-09-22,2,45.63
2006-09-29,2,45.4
2006-10-06,2,46.46
2006-10-13,2,46.63
2006-10-20,2,46.95
2006-10-27,2,47.66
2006-11-03,2,49.09
2006-11-10,2,49.03
2006-11-17,2,49.07
2006-11-24,2,48.2
2006-12-01,2,47.4
2006-12-08,2,47.67
2006-12-15,2,48.29
2006-12-22,2,46.03
2006-12-29,1,45.5
2007-01-05,2,45.46
2007-01-12,2,46.88
2007-01-19,2,46.02
2007-01-26,2,46.55
2007-02-02,2,50.61
2007-02-09,2,49.85
2007-02-16,2,52.27
2007-02-23,2,54.27
2007-03-02,3,50.67
2007-03-09,2,53.81
2007-03-16,2,55.64
2007-03-23,2,55.64
2007-03-30,2,54.45
2007-04-13,2,55.43
2007-04-20,2,55.09
2007-04-27,2,54.12
2007-05-04,2,53.78
2007-05-11,2,54.1
2007-05-18,2,53.96
2007-05-25,2,57.25
2007-06-01,2,56.66
2007-06-08,2,55.52
2007-06-15,2,55.91
2007-06-22,2,55.78
2007-06-29,2,55.47
2007-07-06,2,58.23
2007-07-13,2,58.51
2007-07-20,2,58.03
2007-07-27,2,53.2
2007-08-03,2,54.25
2007-08-10,2,58.4
2007-08-17,2,57.48
2007-08-24,2,57.46
2007-08-31,2,57.04
2007-09-07,1,55.16
2007-09-14,2,57.82
2007-09-21,2,60.1
2007-09-28,2,59.81
2007-10-05,2,61.41
2007-10-12,2,64.05
2007-10-19,2,59.52
2007-10-26,2,58.2
2007-11-02,2,58.79
2007-11-09,2,53.93
2007-11-16,2,54.14
2007-11-23,2,57.44
2007-11-30,2,59.75
2007-12-07,2,59.35
2007-12-14,2,57.06
2007-12-21,1,57.33
2007-12-28,1,57.58
2008-01-04,1,55.71
2008-01-11,2,57.71
2008-01-18,2,52.71
2008-01-25,2,52.33
2008-02-01,2,47.03
2008-02-08,2,47.87
2008-02-15,2,47.05
2008-02-22,2,45.94
2008-02-29,2,43.45
2008-03-07,2,42
2008-03-14,2,40.22
2008-03-28,2,38.4
2008-04-04,4,38.4
2008-04-11,5,38.05
2008-04-18,3,41.04
2008-04-25,2,46.32
2008-05-02,2,47.19
2008-05-09,3,46.25
2008-05-16,3,47.84
2008-05-23,3,45.91
2008-05-30,3,45.37
2008-06-06,3,47.3
2008-06-13,3,48
2008-06-20,2,48
2008-06-27,3,45.7
2008-07-11,4,44.46
2008-07-18,3,45.23
2008-07-25,3,45.84
2008-08-01,3,44.31
2008-08-08,5,47.1
2008-08-15,4,48.05
2008-08-22,3,47.28
2008-08-29,4,46.05
2008-09-05,12,46.42
2008-09-12,100,46.67
2008-09-19,18,49.34
2008-09-26,10,47.32
2008-10-03,6,40.47
2008-10-10,4,34.98
2008-10-17,3,34.54
2008-10-24,3,33.63
2008-10-31,3,37.23
2008-11-07,3,38.18
2008-11-14,2,36.19
2008-11-21,3,32.08
2008-11-28,2,35.98
2008-12-05,2,34.88
2008-12-12,2,38.66
2008-12-19,2,38
2008-12-26,2,38.54
2009-01-02,2,39.18
2009-01-09,2,36.12
2009-01-16,2,40.1
2009-01-23,2,35.38
2009-01-30,2,33.72
2009-02-06,2,35.88
2009-02-13,2,38.64
2009-02-20,2,37.94
2009-02-27,2,36.6
2009-03-06,2,36.72
2009-03-13,2,42.56
2009-03-20,2,42.97
2009-03-27,2,43.75
2009-04-03,2,43.29
2009-04-17,2,48.02
2009-04-24,2,47.42
2009-05-01,2,52.68
2009-05-08,2,57.03
2009-05-15,3,55.5
2009-05-22,3,56.52
2009-05-29,2,58.29
2009-06-05,2,57.5
2009-06-12,2,59.06
2009-06-19,2,59.67
2009-06-26,2,61.59
2009-07-10,2,57.61
2009-07-17,2,62.79
2009-07-24,2,65.89
2009-07-31,2,65.08
2009-08-07,2,63.82
2009-08-14,2,63.71
2009-08-21,2,64.94
2009-08-28,2,62.73
2009-09-04,2,63.71
2009-09-11,2,66.87
2009-09-18,2,70.93
2009-09-25,2,73.06
2009-10-02,2,72.5
2009-10-09,2,84.41
2009-10-16,3,84.37
2009-10-23,2,82.02
2009-10-30,2,76.04
2009-11-06,2,77.45
2009-11-13,3,80.14
2009-11-20,4,75.84
2009-11-27,5,75.38
2009-12-04,3,77.22
2009-12-11,3,76.95
2009-12-18,2,77.89
2010-01-08,2,90.53
2010-01-15,2,87.04
2010-01-22,2,83.5
2010-01-29,2,75.66
2010-02-05,2,76.54
2010-02-12,2,78.72
2010-02-19,2,81.72
2010-02-26,2,82.95
2010-03-05,2,84.62
2010-03-12,2,85.2
2010-03-19,2,87.19
2010-03-26,2,86.3
2010-04-09,3,88.19
2010-04-16,2,88.53
2010-04-23,2,91.58
2010-04-30,2,84.77
2010-05-07,2,81.97
2010-05-14,2,84.06
2010-05-21,2,83.13
2010-05-28,2,83.71
2010-06-04,2,81.58
2010-06-11,2,79.82
2010-06-18,2,80.62
2010-06-25,2,78.07
2010-07-02,2,76.1
2010-07-09,2,80.23
2010-07-16,2,74.62
2010-07-23,2,76.67
2010-07-30,2,77.45
2010-08-06,1,77.84
2010-08-13,1,76.08
2010-08-20,1,75.34
2010-08-27,1,74.67
2010-09-03,2,77.48
2010-09-10,2,79.63
2010-09-17,2,79.18
2010-09-24,2,79.96
2010-10-01,2,85.03
2010-10-08,2,86.24
2010-10-15,2,86.49
2010-10-22,2,88.11
2010-10-29,2,87.83
2010-11-05,2,87.82
2010-11-12,3,86.72
2010-11-19,4,86.87
2010-11-26,2,88.03
2010-12-03,2,91.22
2010-12-10,2,91.82
2010-12-17,2,97.01
2010-12-31,1,94.74
2011-01-07,1,94.88
2011-01-14,2,96.89
2011-01-21,2,96.39
2011-01-28,2,96.49
2011-02-04,1,98.88
2011-02-11,1,98.71
2011-02-18,1,99.78
2011-02-25,1,100.79
2011-03-04,2,104.29
2011-03-11,2,103.2
2011-03-18,2,103.1
2011-03-25,1,108.98
2011-04-01,2,112.9
2011-04-08,2,109.07
2011-04-15,2,111.72
2011-04-29,2,120.18
2011-05-06,2,119.14
2011-05-13,1,119.28
2011-05-20,2,123.56
2011-05-27,1,120.28
2011-06-03,2,116.27
2011-06-10,2,115.95
2011-06-17,2,117.08
2011-06-24,2,116.04
2011-07-01,1,62.54
2011-07-08,1,64.06
2011-07-15,1,61.9
2011-07-22,1,65.05
2011-07-29,2,66.49
2011-08-05,1,59.94
2011-08-12,2,58.18
2011-08-19,1,55.89
2011-08-26,2,65.02
2011-09-02,2,64
2011-09-09,2,63.4
2011-09-16,2,67.8
2011-09-23,10,69.16
2011-09-30,7,68.52
2011-10-07,3,66
2011-10-14,2,69.97
2011-10-21,2,66.83
2011-10-28,2,65.1
2011-11-04,2,63.73
2011-11-11,2,65.01
2011-11-18,2,57.95
2011-11-25,2,57.02
2011-12-02,2,60.99
2011-12-09,2,60.71
2011-12-16,6,56.35
2011-12-23,2,61.15
2011-12-30,1,61.25
2012-01-06,2,63.47
2012-01-13,2,61.56
2012-01-20,2,61.03
2012-01-27,2,60.49
2012-02-03,2,63.09
2012-02-10,1,69.27
2012-02-17,2,70.99
2012-02-24,2,73.76
2012-03-02,2,75.35
2012-03-09,2,76.86
2012-03-16,2,76.93
2012-03-23,2,76.71
2012-03-30,2,76.16
2012-04-13,1,72.93
2012-04-20,1,74.5
2012-04-27,1,77.51
2012-05-04,1,80.48
2012-05-11,1,79.92
2012-05-18,1,76.48
2012-05-25,1,79.01
2012-06-01,1,76.37
2012-06-08,1,78.95
2012-06-15,2,82.64
2012-06-22,1,80.8
2012-06-29,2,82.66
2012-07-06,14,82.02
2012-07-13,3,80.29
2012-07-20,2,77.02
2012-07-27,2,73.71
2012-08-03,1,73.68
2012-08-10,1,71.12
2012-08-17,1,72.56
2012-08-24,1,71.27
2012-08-31,1,73.14
2012-09-07,1,75.35
2012-09-14,2,72.03
2012-09-21,1,74.46
2012-09-28,2,77.39
2012-10-05,1,78.53
2012-10-12,1,72.42
2012-10-19,2,70.43
2012-10-26,1,77.37
2012-11-02,1,77.73
2012-11-09,1,78.59
2012-11-16,1,77.08
2012-11-23,1,78.06
2012-11-30,1,77.22
2012-12-07,1,78.11
2012-12-14,2,77.24
2012-12-21,2,78.28
2012-12-28,1,76.08
2013-01-04,1,81.07
2013-01-11,1,81.62
2013-01-18,1,81.19
2013-01-25,1,83.38
2013-02-01,1,84.12
2013-02-08,1,88.1
2013-02-15,1,87.93
2013-02-22,1,87.56
2013-03-01,1,89.23
2013-03-08,1,92.29
2013-03-15,2,92.78
2013-03-22,1,93.09
2013-04-05,1,92.13
2013-04-12,1,94.68
2013-04-19,1,91.8
2013-04-26,1,95.88
2013-05-03,2,96.67
2013-05-10,1,95.08
2013-05-17,1,98.83
2013-05-24,1,96.09
2013-05-31,1,98.16
2013-06-07,1,99.35
2013-06-14,1,98.22
2013-06-21,1,94.59
2013-06-28,1,96.09
2013-07-05,1,49.84
2013-07-12,1,49.56
2013-07-19,1,49.79
2013-07-26,1,48.66
2013-08-02,1,50.07
2013-08-09,1,48.74
2013-08-16,1,47.38
2013-08-23,1,47.44
2013-08-30,1,46.06
2013-09-06,1,46.7
2013-09-13,1,48.98
2013-09-20,1,49.82
2013-09-27,2,52.61
2013-10-04,2,54.71
2013-10-11,2,54.68
2013-10-18,1,57.77
2013-10-25,1,56.13
2013-11-01,1,56.17
2013-11-08,1,57.04
2013-11-15,1,57.34
2013-11-22,1,57.96
2013-11-29,1,57.47
2013-12-06,1,57.42
2013-12-13,1,54.17
2013-12-20,1,54.67
2013-12-27,1,55.58
2014-01-03,1,54.7
2014-01-10,1,55.18
2014-01-17,1,55.74
2014-01-24,1,54.71
2014-01-31,1,56.89
2014-02-07,1,55.46
2014-02-14,1,60.18
2014-02-21,1,62.08
2014-02-28,1,61.37
2014-03-07,1,60.37
2014-03-14,1,59.27
2014-03-21,1,58.29
2014-03-28,1,56.15
2014-04-04,2,53.67
2014-04-11,1,52.11
2014-04-25,1,49.51
