"Date","buy.HP","Price"
2005-09-16,7,59.92
2005-09-23,7,58.13
2005-09-30,7,60.39
2005-10-07,7,53.64
2005-10-14,8,51.71
2005-10-21,8,50.47
2005-10-28,7,54.47
2005-11-04,9,55.39
2005-11-11,9,53.79
2005-11-18,9,55.01
2005-11-25,13,58.32
2005-12-02,10,59.56
2005-12-09,10,63.45
2005-12-16,11,62.23
2005-12-23,9,62.66
2005-12-30,14,61.91
2006-01-06,9,66.4
2006-01-13,9,70.18
2006-01-20,9,72.07
2006-01-27,9,75.74
2006-02-03,9,75.92
2006-02-10,8,71.65
2006-02-17,7,64.94
2006-02-24,9,68.21
2006-03-03,6,67.95
2006-03-10,7,60.96
2006-03-17,8,66.56
2006-03-24,7,66.6
2006-03-31,6,69.82
2006-04-07,7,68.88
2006-04-21,6,75.39
2006-04-28,8,72.74
2006-05-05,7,76.3
2006-05-12,8,74.89
2006-05-19,8,65.4
2006-05-26,6,64.26
2006-06-02,8,67.11
2006-06-09,6,58.52
2006-06-16,6,58.11
2006-06-23,7,56.42
2006-06-30,8,60.26
2006-07-07,8,58.45
2006-07-14,8,27.88
2006-07-21,8,24.75
2006-07-28,10,27.03
2006-08-04,8,25.84
2006-08-11,9,25.25
2006-08-18,9,25.17
2006-08-25,11,25.83
2006-09-01,10,24.73
2006-09-08,9,23.73
2006-09-15,9,22.93
2006-09-22,9,22.02
2006-09-29,8,23.03
2006-10-06,8,22.45
2006-10-13,9,23.73
2006-10-20,9,23.98
2006-10-27,9,24.71
2006-11-03,9,23.9
2006-11-10,10,24.67
2006-11-17,9,24.94
2006-11-24,12,25.64
2006-12-01,10,27.11
2006-12-08,11,27.37
2006-12-15,12,26.86
2006-12-22,11,24.77
2006-12-29,13,24.47
2007-01-05,9,23.13
2007-01-12,9,24.34
2007-01-19,9,25.08
2007-01-26,8,25.89
2007-02-02,11,28.35
2007-02-09,10,27.54
2007-02-16,9,27.04
2007-02-23,10,27.55
2007-03-02,9,26.4
2007-03-09,10,28.09
2007-03-16,8,28.36
2007-03-23,8,30.65
2007-03-30,9,30.34
2007-04-13,10,31.92
2007-04-20,8,31.29
2007-04-27,8,32.74
2007-05-04,7,32.2
2007-05-11,10,32.2
2007-05-18,8,33.32
2007-05-25,8,32.57
2007-06-01,9,33.87
2007-06-08,9,33.05
2007-06-15,9,35.22
2007-06-22,9,36.11
2007-06-29,9,35.42
2007-07-06,9,36.13
2007-07-13,9,36.3
2007-07-20,10,35.59
2007-07-27,11,32.14
2007-08-03,11,32.14
2007-08-10,10,31.55
2007-08-17,13,29.87
2007-08-24,11,31.42
2007-08-31,11,31.49
2007-09-07,10,31.83
2007-09-14,10,33.15
2007-09-21,10,34.54
2007-09-28,10,32.83
2007-10-05,10,33.09
2007-10-12,10,32.98
2007-10-19,9,31.38
2007-10-26,8,30.65
2007-11-02,9,31.84
2007-11-09,9,32.16
2007-11-16,10,34.08
2007-11-23,14,34.83
2007-11-30,13,34.55
2007-12-07,14,36.43
2007-12-14,12,36.36
2007-12-21,11,39.01
2007-12-28,14,40.28
2008-01-04,11,40.11
2008-01-11,12,37.95
2008-01-18,11,35.47
2008-01-25,10,35.77
2008-02-01,10,40.32
2008-02-08,10,41.32
2008-02-15,11,41.95
2008-02-22,11,43.73
2008-02-29,10,44.83
2008-03-07,9,44.15
2008-03-14,9,45.91
2008-03-28,10,46.16
2008-04-04,11,49.41
2008-04-11,9,51.62
2008-04-18,10,56.53
2008-04-25,9,55.84
2008-05-02,10,54.61
2008-05-09,9,57.98
2008-05-16,12,61.26
2008-05-23,10,60.03
2008-05-30,9,62.65
2008-06-06,10,65.23
2008-06-13,10,65.76
2008-06-20,10,72.03
2008-06-27,10,71.89
2008-07-11,11,67.5
2008-07-18,11,60.19
2008-07-25,11,57.94
2008-08-01,11,61.32
2008-08-08,11,53
2008-08-15,13,53.38
2008-08-22,13,56.61
2008-08-29,13,57.12
2008-09-05,12,49.33
2008-09-12,11,47.97
2008-09-19,11,52.66
2008-09-26,11,45.71
2008-10-03,11,36.41
2008-10-10,10,24.11
2008-10-17,11,25.75
2008-10-24,10,27.42
2008-10-31,10,34.31
2008-11-07,11,29.08
2008-11-14,11,26
2008-11-21,13,20.72
2008-11-28,19,25.36
2008-12-05,15,18.85
2008-12-12,13,22.27
2008-12-19,12,21.05
2008-12-26,15,20.53
2009-01-02,15,25.06
2009-01-09,12,24.68
2009-01-16,12,23.34
2009-01-23,13,24.65
2009-01-30,13,22.46
2009-02-06,13,23.22
2009-02-13,11,22.82
2009-02-20,13,22.71
2009-02-27,12,23.66
2009-03-06,12,20.3
2009-03-13,11,22.25
2009-03-20,12,22.95
2009-03-27,11,24.39
2009-04-03,12,28.56
2009-04-17,11,32.92
2009-04-24,11,32.76
2009-05-01,10,31.33
2009-05-08,11,34.72
2009-05-15,11,29.72
2009-05-22,12,31.89
2009-05-29,12,34.97
2009-06-05,13,33.6
2009-06-12,13,34.92
2009-06-19,12,30.89
2009-06-26,10,31.53
2009-07-10,11,28.1
2009-07-17,11,32.07
2009-07-24,12,34.13
2009-07-31,12,34.36
2009-08-07,14,34.86
2009-08-14,14,33.05
2009-08-21,14,34.81
2009-08-28,13,34.18
2009-09-04,13,34.36
2009-09-11,12,37.68
2009-09-18,12,38.3
2009-09-25,11,36.95
2009-10-02,12,37.43
2009-10-09,12,41.52
2009-10-16,11,44.28
2009-10-23,13,43.07
2009-10-30,13,38.02
2009-11-06,13,38.08
2009-11-13,14,37.86
2009-11-20,15,37.41
2009-11-27,24,37.91
2009-12-04,18,36.8
2009-12-11,14,38.28
2009-12-18,15,40.23
2010-01-08,13,48
2010-01-15,14,47.49
2010-01-22,13,44.46
2010-01-29,12,41.83
2010-02-05,13,40.34
2010-02-12,11,41.64
2010-02-19,11,43.91
2010-02-26,12,40.52
2010-03-05,11,40.24
2010-03-12,11,40.88
2010-03-19,11,38.03
2010-03-26,10,36.5
2010-04-09,10,39
2010-04-16,10,39.75
2010-04-23,10,43.21
2010-04-30,11,40.62
2010-05-07,9,35.67
2010-05-14,10,37.56
2010-05-21,10,34.53
2010-05-28,10,37.68
2010-06-04,11,38.74
2010-06-11,10,41.97
2010-06-18,10,42.51
2010-06-25,10,39.07
2010-07-02,11,36.53
2010-07-09,11,40.45
2010-07-16,11,38.36
2010-07-23,12,41
2010-07-30,12,40.53
2010-08-06,13,40.62
2010-08-13,13,37.42
2010-08-20,12,36.33
2010-08-27,13,37.8
2010-09-03,12,39.39
2010-09-10,12,40.27
2010-09-17,11,38.56
2010-09-24,11,39.9
2010-10-01,10,40.26
2010-10-08,9,41.88
2010-10-15,9,44.14
2010-10-22,9,41.57
2010-10-29,11,42.78
2010-11-05,10,43.7
2010-11-12,12,45.69
2010-11-19,13,46.56
2010-11-26,19,45.39
2010-12-03,14,48.29
2010-12-10,13,47.74
2010-12-17,13,48.74
2010-12-31,15,48.48
2011-01-07,12,48.89
2011-01-14,11,50.76
2011-01-21,11,50.63
2011-01-28,10,56.37
2011-02-04,10,59.1
2011-02-11,12,59.24
2011-02-18,10,62.15
2011-02-25,10,64.78
2011-03-04,10,64.06
2011-03-11,9,61.65
2011-03-18,8,61.18
2011-03-25,9,65.43
2011-04-01,9,68.94
2011-04-08,9,68.94
2011-04-15,9,67.84
2011-04-29,9,66.34
2011-05-06,9,57.67
2011-05-13,9,59.03
2011-05-20,9,60.31
2011-05-27,9,62.57
2011-06-03,10,63.33
2011-06-10,8,60.54
2011-06-17,9,58.35
2011-06-24,9,60.68
2011-07-01,10,67.47
2011-07-08,9,68.45
2011-07-15,10,70.05
2011-07-22,10,72.56
2011-07-29,10,69.05
2011-08-05,12,56.84
2011-08-12,11,58.9
2011-08-19,24,49.34
2011-08-26,100,53.81
2011-09-02,28,54.71
2011-09-09,17,52.79
2011-09-16,14,53.5
2011-09-23,13,44.61
2011-09-30,13,40.6
2011-10-07,11,41.97
2011-10-14,10,48.52
2011-10-21,10,48.06
2011-10-28,11,56.89
2011-11-04,11,54.8
2011-11-11,11,55.34
2011-11-18,11,54.5
2011-11-25,16,50.7
2011-12-02,13,58.31
2011-12-09,11,60.58
2011-12-16,12,55.78
2011-12-23,10,59
2011-12-30,12,58.36
2012-01-06,10,63.62
2012-01-13,9,58.51
2012-01-20,9,59.54
2012-01-27,9,60.57
2012-02-03,10,61.62
2012-02-10,9,59.27
2012-02-17,10,63.28
2012-02-24,9,62.72
2012-03-02,8,60.77
2012-03-09,9,60.85
2012-03-16,8,59.32
2012-03-23,8,55.52
2012-03-30,8,53.95
2012-04-13,8,52.22
2012-04-20,7,51.5
2012-04-27,8,50.99
2012-05-04,8,47.47
2012-05-11,7,45.94
2012-05-18,8,43.47
2012-05-25,7,46.25
2012-06-01,7,44.32
2012-06-08,8,46.09
2012-06-15,8,44.52
2012-06-22,7,41.83
2012-06-29,9,43.48
2012-07-06,8,44
2012-07-13,8,43.19
2012-07-20,8,45.59
2012-07-27,9,48.59
2012-08-03,9,46.99
2012-08-10,10,49.92
2012-08-17,10,49.31
2012-08-24,10,46.87
2012-08-31,9,45.64
2012-09-07,9,48
2012-09-14,9,51.49
2012-09-21,8,49.15
2012-09-28,7,47.61
2012-10-05,7,47.05
2012-10-12,7,49.6
2012-10-19,8,50.17
2012-10-26,9,48.09
2012-11-02,7,47.65
2012-11-09,8,45.92
2012-11-16,9,49.92
2012-11-23,14,51.59
2012-11-30,11,52.2
2012-12-07,9,55.46
2012-12-14,9,53.67
2012-12-21,9,56.43
2012-12-28,11,54.56
2013-01-04,9,57.66
2013-01-11,8,58.54
2013-01-18,8,61
2013-01-25,9,62.2
2013-02-01,8,64.73
2013-02-08,8,64.39
2013-02-15,8,67.83
2013-02-22,8,65.54
2013-03-01,8,66.1
2013-03-08,8,64.28
2013-03-15,8,66.26
2013-03-22,7,60.57
2013-04-05,7,60.92
2013-04-12,7,61.35
2013-04-19,7,57.28
2013-04-26,7,57.99
2013-05-03,7,61.75
2013-05-10,7,62.46
2013-05-17,6,65.39
2013-05-24,6,63.02
2013-05-31,6,61.74
2013-06-07,7,64.12
2013-06-14,6,60.82
2013-06-21,7,61.69
2013-06-28,7,62.45
2013-07-05,7,65.48
2013-07-12,7,65.48
2013-07-19,8,67.39
2013-07-26,8,64.73
2013-08-02,9,65.59
2013-08-09,8,67.91
2013-08-16,9,64.76
2013-08-23,8,64.67
2013-08-30,8,63.04
2013-09-06,8,64.36
2013-09-13,8,68.99
2013-09-20,7,70.32
2013-09-27,7,69.07
2013-10-04,6,73.7
2013-10-11,7,73.98
2013-10-18,7,76.76
2013-10-25,7,76.57
2013-11-01,7,77.43
2013-11-08,7,78.02
2013-11-15,8,79.27
2013-11-22,9,78.97
2013-11-29,13,77
2013-12-06,11,79.83
2013-12-13,9,79.52
2013-12-20,9,82.03
2013-12-27,9,83.96
2014-01-03,8,83.05
2014-01-10,8,85.55
2014-01-17,8,85.65
2014-01-24,8,86.01
2014-01-31,7,88.04
2014-02-07,7,87.17
2014-02-14,7,90.59
2014-02-21,7,94.34
2014-02-28,7,98.75
2014-03-07,7,100.5
2014-03-14,7,97.95
2014-03-21,7,106.64
2014-03-28,7,107.7
2014-04-04,7,107.29
2014-04-11,7,105.91
2014-04-25,6,107
