"Date","sell.A","Price"
2006-02-10,40,35.87
2006-02-17,46,34.99
2006-02-24,49,35.92
2006-03-03,51,36.22
2006-03-10,44,36.38
2006-03-17,44,37.92
2006-03-24,47,37.37
2006-03-31,47,37.55
2006-04-07,51,37.86
2006-04-21,48,38.82
2006-04-28,48,38.42
2006-05-05,52,39.15
2006-05-12,49,37.25
2006-05-19,47,34.98
2006-05-26,50,34.63
2006-06-02,46,35.52
2006-06-09,48,33.73
2006-06-16,41,33.35
2006-06-23,46,31.19
2006-06-30,47,31.56
2006-07-07,47,31.02
2006-07-14,48,28.69
2006-07-21,49,27.86
2006-07-28,53,27.92
2006-08-04,50,28.05
2006-08-11,54,27.2
2006-08-18,47,31.8
2006-08-25,53,30.47
2006-09-01,47,31.52
2006-09-08,42,30.68
2006-09-15,47,30.92
2006-09-22,48,32.48
2006-09-29,43,32.69
2006-10-06,42,33.29
2006-10-13,47,34.5
2006-10-20,43,34.92
2006-10-27,45,34.88
2006-11-03,47,32.93
2006-11-10,44,34.34
2006-11-17,47,33.75
2006-11-24,38,33.56
2006-12-01,46,31.97
2006-12-08,39,33.43
2006-12-15,38,34.08
2006-12-22,37,33.72
2006-12-29,41,34.85
2007-01-05,44,34.09
2007-01-12,46,33.6
2007-01-19,47,32.8
2007-01-26,47,32.37
2007-02-02,44,31.61
2007-02-09,42,32.66
2007-02-16,43,32.77
2007-02-23,49,33.27
2007-03-02,45,30.72
2007-03-09,49,31.76
2007-03-16,48,31.75
2007-03-23,45,33.22
2007-03-30,46,33.69
2007-04-13,46,34.47
2007-04-20,49,35.48
2007-04-27,51,34.71
2007-05-04,46,37
2007-05-11,49,36.21
2007-05-18,49,38
2007-05-25,50,38.37
2007-06-01,48,38.28
2007-06-08,52,37.53
2007-06-15,54,38.72
2007-06-22,48,38.65
2007-06-29,50,38.44
2007-07-06,52,39.82
2007-07-13,57,39.96
2007-07-20,53,39.38
2007-07-27,55,37.64
2007-08-03,51,37.98
2007-08-10,58,35.75
2007-08-17,53,33.83
2007-08-24,51,35.2
2007-08-31,49,36.4
2007-09-07,46,36.28
2007-09-14,46,36.16
2007-09-21,51,36.91
2007-09-28,50,36.88
2007-10-05,52,37.79
2007-10-12,51,37.61
2007-10-19,53,37.3
2007-10-26,45,36.03
2007-11-02,49,36.02
2007-11-09,49,33.39
2007-11-16,47,36.72
2007-11-23,42,36.91
2007-11-30,49,37.83
2007-12-07,49,38.01
2007-12-14,44,36.31
2007-12-21,43,37.19
2007-12-28,41,37.49
2008-01-04,52,34.77
2008-01-11,52,36
2008-01-18,54,33.66
2008-01-25,52,33.19
2008-02-01,51,34.46
2008-02-08,53,32
2008-02-15,51,30.65
2008-02-22,52,31.41
2008-02-29,49,30.61
2008-03-07,50,30.07
2008-03-14,54,29.64
2008-03-28,57,29.58
2008-04-04,56,31.71
2008-04-11,54,30.13
2008-04-18,55,30.97
2008-04-25,57,31.53
2008-05-02,57,32.07
2008-05-09,55,31.9
2008-05-16,55,35.09
2008-05-23,55,35.93
2008-05-30,56,37.39
2008-06-06,53,36.51
2008-06-13,58,37.31
2008-06-20,56,37.57
2008-06-27,57,35.59
2008-07-11,63,35.69
2008-07-18,62,35.57
2008-07-25,64,36.21
2008-08-01,64,35.86
2008-08-08,60,37
2008-08-15,57,36.37
2008-08-22,55,35.38
2008-08-29,53,34.76
2008-09-05,55,32.79
2008-09-12,61,32.05
2008-09-19,55,32.91
2008-09-26,58,30.93
2008-10-03,58,28.28
2008-10-10,57,22.48
2008-10-17,54,22.61
2008-10-24,56,19.75
2008-10-31,55,22.19
2008-11-07,52,21.84
2008-11-14,56,20.75
2008-11-21,55,17.29
2008-11-28,54,18.83
2008-12-05,55,17.26
2008-12-12,54,17.39
2008-12-19,53,16.28
2008-12-26,45,15.45
2009-01-02,60,16.24
2009-01-09,57,18.52
2009-01-16,57,19.51
2009-01-23,58,18.64
2009-01-30,60,18.08
2009-02-06,58,19.3
2009-02-13,57,18.47
2009-02-20,61,15.18
2009-02-27,61,13.87
2009-03-06,64,12.65
2009-03-13,61,13.99
2009-03-20,60,14.43
2009-03-27,59,16.21
2009-04-03,64,16.46
2009-04-17,69,17.01
2009-04-24,62,16.9
2009-05-01,63,18.81
2009-05-08,65,19.34
2009-05-15,64,17.65
2009-05-22,60,17.69
2009-05-29,62,18.23
2009-06-05,64,19.9
2009-06-12,66,19.36
2009-06-19,65,18.89
2009-06-26,62,20.38
2009-07-10,68,18.96
2009-07-17,71,20.96
2009-07-24,74,22.27
2009-07-31,79,23.22
2009-08-07,74,23.73
2009-08-14,75,24.04
2009-08-21,74,25.55
2009-08-28,66,25.83
2009-09-04,68,25.86
2009-09-11,69,28.05
2009-09-18,67,28.37
2009-09-25,73,27.58
2009-10-02,64,26.31
2009-10-09,66,27.47
2009-10-16,67,27.21
2009-10-23,68,26.2
2009-10-30,66,24.74
2009-11-06,67,26.17
2009-11-13,70,28.61
2009-11-20,69,28.91
2009-11-27,61,28.85
2009-12-04,66,29.86
2009-12-11,62,29.64
2009-12-18,63,29.4
2010-01-08,67,30.8
2010-01-15,70,30.43
2010-01-22,71,29.17
2010-01-29,73,28.03
2010-02-05,70,29.17
2010-02-12,68,29.98
2010-02-19,71,31.2
2010-02-26,71,31.46
2010-03-05,74,33.16
2010-03-12,73,33.42
2010-03-19,69,33.42
2010-03-26,72,34.31
2010-04-09,74,34.23
2010-04-16,73,35.27
2010-04-23,72,36.64
2010-04-30,74,36.26
2010-05-07,73,31.87
2010-05-14,72,33.86
2010-05-21,73,31.34
2010-05-28,73,32.36
2010-06-04,71,30.34
2010-06-11,73,30.73
2010-06-18,74,32.61
2010-06-25,73,30.69
2010-07-02,76,27.79
2010-07-09,80,28.65
2010-07-16,86,27.03
2010-07-23,85,29.3
2010-07-30,87,27.93
2010-08-06,84,28.73
2010-08-13,82,27.35
2010-08-20,80,28.56
2010-08-27,79,27.96
2010-09-03,74,29.85
2010-09-10,79,28.91
2010-09-17,76,30.55
2010-09-24,77,32.09
2010-10-01,71,33.73
2010-10-08,70,33.8
2010-10-15,72,34.48
2010-10-22,76,34.75
2010-10-29,73,34.8
2010-11-05,75,36.38
2010-11-12,75,36.36
2010-11-19,77,36.46
2010-11-26,67,36.35
2010-12-03,73,37.48
2010-12-10,76,38.54
2010-12-17,70,40.54
2010-12-31,70,41.43
2011-01-07,77,41.62
2011-01-14,80,43.26
2011-01-21,80,42.11
2011-01-28,80,40.98
2011-02-04,76,42.99
2011-02-11,80,45.02
2011-02-18,80,43.92
2011-02-25,79,42.36
2011-03-04,78,46.75
2011-03-11,75,45.34
2011-03-18,74,42.94
2011-03-25,80,44.04
2011-04-01,85,45.14
2011-04-08,80,44.89
2011-04-15,81,47.5
2011-04-29,82,49.91
2011-05-06,80,49.73
2011-05-13,82,52.58
2011-05-20,84,50.7
2011-05-27,80,49.6
2011-06-03,86,47.43
2011-06-10,84,48.19
2011-06-17,84,47.43
2011-06-24,81,48.49
2011-07-01,82,52
2011-07-08,81,50.23
2011-07-15,87,47.08
2011-07-22,92,46.89
2011-07-29,86,42.16
2011-08-05,89,36.59
2011-08-12,85,36.21
2011-08-19,86,31.08
2011-08-26,86,34.87
2011-09-02,76,34.4
2011-09-09,78,33.36
2011-09-16,77,36.36
2011-09-23,77,31.68
2011-09-30,79,31.25
2011-10-07,78,31.37
2011-10-14,79,33.34
2011-10-21,80,35.27
2011-10-28,81,40.89
2011-11-04,78,36.91
2011-11-11,83,37.46
2011-11-18,80,36.81
2011-11-25,77,33.83
2011-12-02,81,36.76
2011-12-09,80,35.33
2011-12-16,80,33.46
2011-12-23,72,35.36
2011-12-30,79,34.93
2012-01-06,85,37.4
2012-01-13,83,39.06
2012-01-20,83,41
2012-01-27,90,42.68
2012-02-03,85,45.28
2012-02-10,87,44.14
2012-02-17,82,43.14
2012-02-24,89,43.02
2012-03-02,84,43.72
2012-03-09,87,44.55
2012-03-16,83,45.62
2012-03-23,83,44.3
2012-03-30,80,44.51
2012-04-13,86,42.24
2012-04-20,88,42.1
2012-04-27,88,42.56
2012-05-04,89,41.01
2012-05-11,86,39.45
2012-05-18,91,38.73
2012-05-25,87,41.01
2012-06-01,88,38.22
2012-06-08,91,39.6
2012-06-15,88,40.01
2012-06-22,87,39.03
2012-06-29,92,39.24
2012-07-06,86,37.97
2012-07-13,95,37.04
2012-07-20,94,37.56
2012-07-27,96,37.94
2012-08-03,95,39.11
2012-08-10,95,40.53
2012-08-17,97,37.22
2012-08-24,97,37.85
2012-08-31,94,37.16
2012-09-07,92,38.42
2012-09-14,91,39.73
2012-09-21,96,39
2012-09-28,88,38.45
2012-10-05,91,38.86
2012-10-12,86,37.22
2012-10-19,89,35.75
2012-10-26,90,35.94
2012-11-02,79,37
2012-11-09,85,36.91
2012-11-16,87,35.81
2012-11-23,83,36.88
2012-11-30,89,38.29
2012-12-07,85,37.81
2012-12-14,83,39.85
2012-12-21,78,41.05
2012-12-28,74,39.83
2013-01-04,86,42.86
2013-01-11,91,43.43
2013-01-18,88,44.15
2013-01-25,90,45.29
2013-02-01,90,45.29
2013-02-08,88,45.08
2013-02-15,88,42.25
2013-02-22,87,41.8
2013-03-01,89,41.93
2013-03-08,89,43.03
2013-03-15,87,43.01
2013-03-22,89,41.25
2013-04-05,88,41.54
2013-04-12,94,44.75
2013-04-19,89,42
2013-04-26,94,41.3
2013-05-03,92,41.55
2013-05-10,92,43.63
2013-05-17,90,45.56
2013-05-24,89,45.59
2013-05-31,89,45.45
2013-06-07,89,45.15
2013-06-14,94,44
2013-06-21,90,42.98
2013-06-28,89,42.76
2013-07-05,91,44.23
2013-07-12,94,45.75
2013-07-19,96,46.2
2013-07-26,97,45.6
2013-08-02,97,46.38
2013-08-09,93,46.22
2013-08-16,100,46.79
2013-08-23,95,47.68
2013-08-30,90,46.64
2013-09-06,88,47.43
2013-09-13,93,48.46
2013-09-20,92,52.15
2013-09-27,92,51.63
2013-10-04,87,51.78
2013-10-11,96,51.46
2013-10-18,97,52.99
2013-10-25,92,51.87
2013-11-01,94,51.1
2013-11-08,95,50.78
2013-11-15,95,54.93
2013-11-22,91,53.85
2013-11-29,82,53.57
2013-12-06,90,54.83
2013-12-13,87,55.16
2013-12-20,85,56.96
2013-12-27,78,57.17
2014-01-03,89,56.92
2014-01-10,94,58.93
2014-01-17,96,60.71
2014-01-24,96,57.87
2014-01-31,95,58.15
2014-02-07,89,59.42
2014-02-14,97,55.25
2014-02-21,98,56.34
2014-02-28,99,56.93
2014-03-07,96,58.42
2014-03-14,94,55.44
2014-03-21,97,56.09
2014-03-28,96,54.69
2014-04-04,95,55.57
2014-04-11,94,52.77
2014-04-25,97,54.39
