"Date","Carefusion","Price"
2014-01-31,55,40.77
2014-02-07,58,39.56
2014-02-14,58,40.95
2014-02-21,63,41.08
2014-02-28,62,40.53
2014-03-07,58,41.35
2014-03-14,62,40.24
2014-03-21,55,40.2
2014-03-28,50,39.47
2014-04-04,59,40.67
2014-04-11,65,38.34
2014-04-25,65,38.16
