"Date","DHI","Price"
2006-04-21,66,32.4
2006-04-28,59,30.02
2006-05-05,54,29.75
2006-05-12,67,29.05
2006-05-19,68,27.08
2006-05-26,74,27.41
2006-06-02,49,26.16
2006-06-09,67,23.87
2006-06-16,71,24.66
2006-06-23,43,23.66
2006-06-30,53,23.82
2006-07-07,55,23.9
2006-07-14,64,21.2
2006-07-21,69,20
2006-07-28,58,21.83
2006-08-04,52,22.71
2006-08-11,70,20.35
2006-08-18,81,21.95
2006-08-25,67,21.28
2006-09-01,69,22.05
2006-09-08,69,22.01
2006-09-15,60,24.34
2006-09-22,55,23.5
2006-09-29,60,23.95
2006-10-06,37,23.59
2006-10-13,51,23.89
2006-10-20,51,23.23
2006-10-27,57,23.75
2006-11-03,65,22.73
2006-11-10,51,22.47
2006-11-17,68,25.1
2006-11-24,46,25.56
2006-12-01,58,26.59
2006-12-08,51,26.67
2006-12-15,36,27.12
2006-12-22,54,25.99
2006-12-29,45,26.49
2007-01-05,55,25.84
2007-01-12,43,26.4
2007-01-19,62,27.53
2007-01-26,68,27.82
2007-02-02,56,30.86
2007-02-09,59,28.05
2007-02-16,48,28.21
2007-02-23,57,27.02
2007-03-02,59,25.31
2007-03-09,64,24.42
2007-03-16,59,22.83
2007-03-23,52,23.32
2007-03-30,63,22
2007-04-13,65,21.47
2007-04-20,62,23.39
2007-04-27,69,22.92
2007-05-04,58,22.41
2007-05-11,64,22.3
2007-05-18,54,22.55
2007-05-25,65,23.53
2007-06-01,68,22.98
2007-06-08,67,21.96
2007-06-15,49,21.36
2007-06-22,57,20.85
2007-06-29,71,19.93
2007-07-06,51,20.2
2007-07-13,56,20.43
2007-07-20,52,19.17
2007-07-27,74,16.61
2007-08-03,50,16.46
2007-08-10,44,17.44
2007-08-17,74,16.5
2007-08-24,76,16.01
2007-08-31,67,15.11
2007-09-07,53,14.02
2007-09-14,69,14.35
2007-09-21,68,14.1
2007-09-28,61,12.81
2007-10-05,51,14.65
2007-10-12,60,14.1
2007-10-19,61,11.95
2007-10-26,57,12.87
2007-11-02,66,11.76
2007-11-09,68,12.03
2007-11-16,54,12.16
2007-11-23,69,11.38
2007-11-30,65,11.97
2007-12-07,69,13.86
2007-12-14,51,13.31
2007-12-21,50,13.41
2007-12-28,46,13.1
2008-01-04,45,10.92
2008-01-11,53,11.05
2008-01-18,75,12.13
2008-01-25,66,15.43
2008-02-01,61,17.31
2008-02-08,67,14.17
2008-02-15,63,13.82
2008-02-22,64,15.22
2008-02-29,61,14.03
2008-03-07,61,12.96
2008-03-14,63,13.91
2008-03-28,56,15.36
2008-04-04,49,16.93
2008-04-11,56,15.72
2008-04-18,50,16.71
2008-04-25,64,17.03
2008-05-02,59,15.65
2008-05-09,55,14.83
2008-05-16,64,15.49
2008-05-23,57,13.04
2008-05-30,54,12.71
2008-06-06,56,11.64
2008-06-13,56,11.9
2008-06-20,61,12.2
2008-06-27,56,11.58
2008-07-11,60,9.62
2008-07-18,56,11.13
2008-07-25,55,10.8
2008-08-01,53,11.23
2008-08-08,65,12.04
2008-08-15,66,11.73
2008-08-22,49,11.35
2008-08-29,60,12.46
2008-09-05,54,12.58
2008-09-12,56,13.9
2008-09-19,57,15.04
2008-09-26,57,13.81
2008-10-03,59,11.07
2008-10-10,63,8.53
2008-10-17,50,6.77
2008-10-24,59,5.07
2008-10-31,51,7.38
2008-11-07,57,6.88
2008-11-14,52,5.79
2008-11-21,53,4.34
2008-11-28,53,6.87
2008-12-05,47,8.17
2008-12-12,55,7.78
2008-12-19,51,7.44
2008-12-26,49,6.58
2009-01-02,46,7.34
2009-01-09,62,7.88
2009-01-16,51,6.78
2009-01-23,49,6.38
2009-01-30,51,5.96
2009-02-06,58,9.14
2009-02-13,55,8.96
2009-02-20,57,7.62
2009-02-27,62,8.45
2009-03-06,50,6.93
2009-03-13,52,8.49
2009-03-20,50,8.37
2009-03-27,47,10.81
2009-04-03,59,11.53
2009-04-17,49,12.34
2009-04-24,52,12.99
2009-05-01,47,12.36
2009-05-08,52,10
2009-05-15,57,8.99
2009-05-22,54,9.01
2009-05-29,48,9.21
2009-06-05,48,9.21
2009-06-12,56,9.57
2009-06-19,55,9.39
2009-06-26,60,9.6
2009-07-10,46,8.5
2009-07-17,48,9.9
2009-07-24,59,11.13
2009-07-31,85,11.59
2009-08-07,60,13.52
2009-08-14,56,12.42
2009-08-21,59,12.66
2009-08-28,57,13.72
2009-09-04,54,12.45
2009-09-11,57,12.69
2009-09-18,58,13.25
2009-09-25,56,11.57
2009-10-02,60,10.53
2009-10-09,58,11.7
2009-10-16,50,12.2
2009-10-23,48,12.42
2009-10-30,66,10.96
2009-11-06,50,12.03
2009-11-13,53,11.94
2009-11-20,52,10.37
2009-11-27,52,10.54
2009-12-04,50,10.1
2009-12-11,47,9.86
2009-12-18,56,10.53
2010-01-08,53,12.17
2010-01-15,54,12.14
2010-01-22,53,11.2
2010-01-29,44,11.79
2010-02-05,51,12.67
2010-02-12,43,13.07
2010-02-19,42,12.95
2010-02-26,53,12.36
2010-03-05,60,12.87
2010-03-12,52,13
2010-03-19,47,12.51
2010-03-26,48,13.13
2010-04-09,47,12.14
2010-04-16,58,12.37
2010-04-23,52,14.17
2010-04-30,44,14.69
2010-05-07,49,13.06
2010-05-14,42,13.11
2010-05-21,55,12.26
2010-05-28,54,12.19
2010-06-04,49,11.34
2010-06-11,56,11.26
2010-06-18,49,10.75
2010-06-25,54,10.47
2010-07-02,53,9.71
2010-07-09,50,10.25
2010-07-16,42,10.1
2010-07-23,40,10.85
2010-07-30,45,11.02
2010-08-06,54,10.6
2010-08-13,54,10.24
2010-08-20,49,10.27
2010-08-27,51,10.47
2010-09-03,45,11.21
2010-09-10,47,11.06
2010-09-17,53,10.61
2010-09-24,48,10.92
2010-10-01,50,11.08
2010-10-08,43,10.75
2010-10-15,46,10.49
2010-10-22,39,10.61
2010-10-29,48,10.43
2010-11-05,47,11.98
2010-11-12,52,11.51
2010-11-19,47,10.48
2010-11-26,43,9.99
2010-12-03,46,11.11
2010-12-10,47,11.14
2010-12-17,38,11.39
2010-12-31,33,11.93
2011-01-07,43,13.02
2011-01-14,41,13.5
2011-01-21,46,12.69
2011-01-28,50,12.5
2011-02-04,45,11.73
2011-02-11,47,12.51
2011-02-18,49,12.8
2011-02-25,46,11.92
2011-03-04,42,11.46
2011-03-11,54,11.83
2011-03-18,47,11.9
2011-03-25,48,12.04
2011-04-01,49,11.74
2011-04-08,45,11.61
2011-04-15,51,11.53
2011-04-29,44,12.44
2011-05-06,50,11.93
2011-05-13,45,11.44
2011-05-20,52,11.8
2011-05-27,42,11.98
2011-06-03,47,11.59
2011-06-10,50,10.76
2011-06-17,43,11.09
2011-06-24,48,11.42
2011-07-01,52,11.68
2011-07-08,50,11.98
2011-07-15,48,11.48
2011-07-22,51,12.08
2011-07-29,47,11.88
2011-08-05,50,10.42
2011-08-12,47,9.52
2011-08-19,52,8.95
2011-08-26,48,9.68
2011-09-02,57,9.97
2011-09-09,53,9.58
2011-09-16,53,9.65
2011-09-23,53,9.17
2011-09-30,52,9.04
2011-10-07,46,9.17
2011-10-14,49,9.96
2011-10-21,45,10.83
2011-10-28,47,11.61
2011-11-04,40,11.55
2011-11-11,48,11.46
2011-11-18,44,11.25
2011-11-25,45,10.86
2011-12-02,49,11.89
2011-12-09,47,12.66
2011-12-16,44,12
2011-12-23,49,12.45
2011-12-30,37,12.61
2012-01-06,44,12.98
2012-01-13,59,13.91
2012-01-20,47,13.82
2012-01-27,46,14.39
2012-02-03,54,14.66
2012-02-10,51,14.33
2012-02-17,67,14.33
2012-02-24,49,13.98
2012-03-02,48,13.93
2012-03-09,57,15.47
2012-03-16,48,16.03
2012-03-23,49,15.43
2012-03-30,47,15.17
2012-04-13,50,14.82
2012-04-20,45,15.38
2012-04-27,54,16.51
2012-05-04,44,16.6
2012-05-11,47,17.13
2012-05-18,45,16.01
2012-05-25,49,17.01
2012-06-01,44,15.21
2012-06-08,51,15.97
2012-06-15,43,15.88
2012-06-22,49,16.41
2012-06-29,44,18.38
2012-07-06,46,18.76
2012-07-13,49,18.7
2012-07-20,46,18.88
2012-07-27,47,18.39
2012-08-03,44,17.35
2012-08-10,45,18.09
2012-08-17,45,18.98
2012-08-24,49,19.01
2012-08-31,50,18.99
2012-09-07,53,20.03
2012-09-14,50,21.99
2012-09-21,57,22.37
2012-09-28,45,20.63
2012-10-05,47,21.65
2012-10-12,42,19.96
2012-10-19,47,21.48
2012-10-26,46,20.76
2012-11-02,38,21.04
2012-11-09,42,20.6
2012-11-16,43,18.9
2012-11-23,41,19.53
2012-11-30,43,19.46
2012-12-07,44,18.85
2012-12-14,48,18.74
2012-12-21,43,19.75
2012-12-28,36,19.24
2013-01-04,40,20.72
2013-01-11,45,20.95
2013-01-18,50,21.52
2013-01-25,49,21.76
2013-02-01,47,23.35
2013-02-08,43,23.08
2013-02-15,48,23.66
2013-02-22,44,22.31
2013-03-01,49,22.51
2013-03-08,45,24.07
2013-03-15,47,24.34
2013-03-22,47,24.72
2013-04-05,42,23.08
2013-04-12,50,23.42
2013-04-19,53,21.98
2013-04-26,48,26.66
2013-05-03,46,26.45
2013-05-10,52,27.15
2013-05-17,49,27.23
2013-05-24,46,25.75
2013-05-31,48,24.36
2013-06-07,45,23.56
2013-06-14,52,23.89
2013-06-21,50,21.1
2013-06-28,48,21.28
2013-07-05,43,20.28
2013-07-12,47,22.76
2013-07-19,45,22.07
2013-07-26,52,19.33
2013-08-02,49,20.38
2013-08-09,46,18.89
2013-08-16,50,19
2013-08-23,50,18.73
2013-08-30,49,17.85
2013-09-06,45,18.1
2013-09-13,52,19.14
2013-09-20,45,20.2
2013-09-27,47,19.63
2013-10-04,44,18.54
2013-10-11,47,18.65
2013-10-18,45,19.02
2013-10-25,42,19.77
2013-11-01,45,18.51
2013-11-08,46,18.14
2013-11-15,48,19.59
2013-11-22,45,19.05
2013-11-29,43,19.88
2013-12-06,42,19.08
2013-12-13,42,18.96
2013-12-20,41,20.58
2013-12-27,38,21.67
2014-01-03,43,21.75
2014-01-10,47,22.15
2014-01-17,51,21.59
2014-01-24,45,20.88
2014-01-31,50,23.48
2014-02-07,49,23.89
2014-02-14,47,23.62
2014-02-21,46,23.65
2014-02-28,48,24.56
2014-03-07,46,23.47
2014-03-14,45,22.04
2014-03-21,49,21.42
2014-03-28,47,21.67
2014-04-04,49,22.31
2014-04-11,51,21.61
2014-04-25,54,22.49
