"Date","Campbell.Soup","Price"
2010-03-05,29,34.39
2010-03-12,24,34.49
2010-03-19,26,35.31
2010-03-26,30,34.92
2010-04-09,25,35.36
2010-04-16,26,35.71
2010-04-23,28,35.59
2010-04-30,26,35.86
2010-05-07,26,35.04
2010-05-14,27,35.34
2010-05-21,27,35.48
2010-05-28,22,35.81
2010-06-04,24,36
2010-06-11,26,36.47
2010-06-18,29,37.15
2010-06-25,25,36.11
2010-07-02,20,35.31
2010-07-09,16,36.3
2010-07-16,21,35.82
2010-07-23,21,36.25
2010-07-30,21,35.9
2010-08-06,21,36.18
2010-08-13,24,36.19
2010-08-20,20,36.64
2010-08-27,28,37.47
2010-09-03,25,36.21
2010-09-10,27,35.99
2010-09-17,30,36.3
2010-09-24,33,36.24
2010-10-01,35,36.09
2010-10-08,40,35.67
2010-10-15,38,36.61
2010-10-22,38,36.37
2010-10-29,37,36.25
2010-11-05,38,36.61
2010-11-12,36,34.52
2010-11-19,42,34.65
2010-11-26,41,34.14
2010-12-03,31,34.06
2010-12-10,30,34.48
2010-12-17,30,35.39
2010-12-31,27,34.75
2011-01-07,37,34.48
2011-01-14,37,34.95
2011-01-21,40,35.32
2011-01-28,31,34.45
2011-02-04,32,34.42
2011-02-11,31,34.43
2011-02-18,32,33.58
2011-02-25,33,33.58
2011-03-04,29,33.55
2011-03-11,32,34.28
2011-03-18,28,33.5
2011-03-25,33,33.56
2011-04-01,31,33.22
2011-04-08,34,33.27
2011-04-15,26,33.84
2011-04-29,27,33.59
2011-05-06,28,33.62
2011-05-13,26,35.19
2011-05-20,26,35.24
2011-05-27,26,34.64
2011-06-03,21,33.68
2011-06-10,20,33.71
2011-06-17,19,34.17
2011-06-24,20,33.9
2011-07-01,26,34.65
2011-07-08,18,34.17
2011-07-15,20,33.92
2011-07-22,20,33.81
2011-07-29,18,33.05
2011-08-05,20,31.89
2011-08-12,21,30.69
2011-08-19,19,30.03
2011-08-26,18,30.92
2011-09-02,21,31.46
2011-09-09,23,30.85
2011-09-16,27,31.36
2011-09-23,23,31.26
2011-09-30,27,32.37
2011-10-07,27,32.76
2011-10-14,35,33.49
2011-10-21,35,33.88
2011-10-28,35,33.47
2011-11-04,33,33.15
2011-11-11,35,33.79
2011-11-18,34,33.65
2011-11-25,39,31.85
2011-12-02,29,32.54
2011-12-09,28,32.84
2011-12-16,31,32.72
2011-12-23,28,33.16
2011-12-30,24,33.24
2012-01-06,32,31.45
2012-01-13,35,32.48
2012-01-20,34,31.75
2012-01-27,31,31.44
2012-02-03,26,31.9
2012-02-10,33,31.67
2012-02-17,28,32.9
2012-02-24,30,33.71
2012-03-02,29,33.19
2012-03-09,27,32.83
2012-03-16,27,32.8
2012-03-23,25,32.88
2012-03-30,23,33.85
2012-04-13,25,33.01
2012-04-20,22,33.83
2012-04-27,27,33.85
2012-05-04,28,33.82
2012-05-11,33,34.4
2012-05-18,24,33.4
2012-05-25,24,32.58
2012-06-01,20,31.33
2012-06-08,22,31.72
2012-06-15,19,31.78
2012-06-22,18,32.06
2012-06-29,20,33.38
2012-07-06,16,32.99
2012-07-13,20,33.35
2012-07-20,19,33.19
2012-07-27,21,33.12
2012-08-03,21,32.79
2012-08-10,23,33.31
2012-08-17,20,34.8
2012-08-24,24,34.99
2012-08-31,25,35.14
2012-09-07,37,35.04
2012-09-14,33,34.55
2012-09-21,36,35.1
2012-09-28,46,34.82
2012-10-05,39,35.32
2012-10-12,33,34.68
2012-10-19,36,35.22
2012-10-26,38,34.72
2012-11-02,33,35.23
2012-11-09,34,35.48
2012-11-16,38,36.64
2012-11-23,35,36.7
2012-11-30,31,36.75
2012-12-07,31,36.63
2012-12-14,33,35.58
2012-12-21,29,35.5
2012-12-28,29,34.56
2013-01-04,36,35.68
2013-01-11,33,35.22
2013-01-18,36,36.29
2013-01-25,31,36.53
2013-02-01,35,36.79
2013-02-08,32,37.93
2013-02-15,29,39.4
2013-02-22,28,40.13
2013-03-01,28,42.11
2013-03-08,31,41.38
2013-03-15,30,41.61
2013-03-22,28,43.35
2013-04-05,27,44.77
2013-04-12,26,45.5
2013-04-19,25,46.46
2013-04-26,23,46.2
2013-05-03,26,46.84
2013-05-10,23,46.29
2013-05-17,22,47.63
2013-05-24,22,45.64
2013-05-31,19,42.81
2013-06-07,21,44.67
2013-06-14,21,44.79
2013-06-21,17,43.57
2013-06-28,16,44.79
2013-07-05,17,44.56
2013-07-12,17,45.73
2013-07-19,18,47.27
2013-07-26,19,47.07
2013-08-02,22,47.41
2013-08-09,22,47.74
2013-08-16,20,46
2013-08-23,19,46.39
2013-08-30,22,43.18
2013-09-06,23,41.99
2013-09-13,28,42.28
2013-09-20,27,41.8
2013-09-27,27,40.96
2013-10-04,30,40.52
2013-10-11,30,40.88
2013-10-18,29,41.59
2013-10-25,29,42.56
2013-11-01,31,42.69
2013-11-08,31,41.93
2013-11-15,29,42.42
2013-11-22,31,39.37
2013-11-29,31,38.73
2013-12-06,27,42.43
2013-12-13,32,40.75
2013-12-20,29,42.7
2013-12-27,23,43.3
2014-01-03,27,42.42
2014-01-10,31,42.83
2014-01-17,28,41.79
2014-01-24,29,42.29
2014-01-31,29,41.21
2014-02-07,27,40.32
2014-02-14,26,43.01
2014-02-21,29,43.98
2014-02-28,27,43.31
2014-03-07,25,43.91
2014-03-14,22,44.05
2014-03-21,22,44.54
2014-03-28,22,44.56
2014-04-04,21,44.31
2014-04-11,22,44.26
2014-04-25,24,44.94
