"Date","LSI.Corporation","Price"
2011-07-29,45,7.36
2011-08-05,21,6.79
2011-08-12,21,6.99
2011-08-19,21,6.29
2011-08-26,31,6.76
2011-09-02,28,6.59
2011-09-09,31,6.55
2011-09-16,33,6.65
2011-09-23,29,5.79
2011-09-30,29,5.18
2011-10-07,25,5.39
2011-10-14,20,5.94
2011-10-21,25,5.86
2011-10-28,25,6.29
2011-11-04,30,6.28
2011-11-11,21,5.94
2011-11-18,35,5.66
2011-11-25,32,5.1
2011-12-02,28,5.77
2011-12-09,20,5.73
2011-12-16,20,5.42
2011-12-23,21,5.91
2011-12-30,21,5.95
2012-01-06,22,6.72
2012-01-13,23,6.65
2012-01-20,22,7.06
2012-01-27,33,7.74
2012-02-03,48,8.11
2012-02-10,24,8.33
2012-02-17,32,8.28
2012-02-24,34,8.5
2012-03-02,17,8.33
2012-03-09,31,8.73
2012-03-16,29,8.8
2012-03-23,21,8.66
2012-03-30,34,8.68
2012-04-13,25,8.13
2012-04-20,34,7.93
2012-04-27,18,7.89
2012-05-04,33,7.9
2012-05-11,20,7.74
2012-05-18,18,7.19
2012-05-25,27,6.9
2012-06-01,25,6.33
2012-06-08,22,6.6
2012-06-15,18,6.4
2012-06-22,21,6.37
2012-06-29,24,6.37
2012-07-06,27,6.2
2012-07-13,23,5.85
2012-07-20,19,6.16
2012-07-27,48,7.15
2012-08-03,27,7.29
2012-08-10,29,7.7
2012-08-17,29,7.85
2012-08-24,22,7.59
2012-08-31,33,7.79
2012-09-07,25,7.87
2012-09-14,31,7.89
2012-09-21,34,7.28
2012-09-28,47,6.91
2012-10-05,20,7.1
2012-10-12,18,6.45
2012-10-19,26,6.46
2012-10-26,35,6.88
2012-11-02,18,6.76
2012-11-09,21,6.74
2012-11-16,21,6.41
2012-11-23,23,6.71
2012-11-30,18,6.74
2012-12-07,16,6.96
2012-12-14,15,6.75
2012-12-21,29,7
2012-12-28,24,6.92
2013-01-04,24,7.3
2013-01-11,25,7.15
2013-01-18,17,7.33
2013-01-25,34,7.32
2013-02-01,25,7.38
2013-02-08,29,7.17
2013-02-15,31,7.11
2013-02-22,21,7.1
2013-03-01,32,6.89
2013-03-08,33,6.92
2013-03-15,23,6.86
2013-03-22,40,6.61
2013-04-05,42,6.45
2013-04-12,37,6.4
2013-04-19,30,6.1
2013-04-26,30,6.4
2013-05-03,34,6.72
2013-05-10,30,7.03
2013-05-17,22,7.23
2013-05-24,28,7.22
2013-05-31,16,7.41
2013-06-07,33,7.36
2013-06-14,34,7.31
2013-06-21,23,7.02
2013-06-28,27,7.14
2013-07-05,30,7.38
2013-07-12,15,7.54
2013-07-19,16,7.7
2013-07-26,29,7.67
2013-08-02,32,7.8
2013-08-09,28,7.65
2013-08-16,21,7.48
2013-08-23,20,7.59
2013-08-30,13,7.41
2013-09-06,20,7.76
2013-09-13,28,7.9
2013-09-20,36,7.88
2013-09-27,35,7.89
2013-10-04,27,7.88
2013-10-11,25,7.69
2013-10-18,22,7.99
2013-10-25,38,7.79
2013-11-01,27,8.45
2013-11-08,15,8.25
2013-11-15,19,8.22
2013-11-22,37,8.07
2013-11-29,15,8.07
2013-12-06,15,8.1
2013-12-13,16,7.91
2013-12-20,65,10.94
2013-12-27,22,11.01
2014-01-03,26,11.03
2014-01-10,28,10.97
2014-01-17,29,11
2014-01-24,24,11
2014-01-31,28,11.03
2014-02-07,31,11.06
2014-02-14,21,11.09
2014-02-21,26,11.08
2014-02-28,27,11.09
2014-03-07,20,11.08
2014-03-14,21,11.09
2014-03-21,36,11.05
2014-03-28,31,11.07
2014-04-04,24,11.07
2014-04-11,28,11.06
2014-04-25,32,11.13
