"Date","SYMC","Price"
2008-06-20,31,19.37
2008-06-27,29,19.48
2008-07-11,26,18.82
2008-07-18,27,19.14
2008-07-25,24,19.45
2008-08-01,50,21.7
2008-08-08,56,21.98
2008-08-15,41,22.27
2008-08-22,52,22.06
2008-08-29,40,22.31
2008-09-05,24,21.48
2008-09-12,26,20.57
2008-09-19,41,19.88
2008-09-26,25,19.8
2008-10-03,40,16.95
2008-10-10,53,13.67
2008-10-17,34,15.28
2008-10-24,34,13.68
2008-10-31,43,12.58
2008-11-07,25,13.2
2008-11-14,23,12.21
2008-11-21,36,10.95
2008-11-28,25,12.03
2008-12-05,30,12.04
2008-12-12,19,12.49
2008-12-19,19,13.45
2008-12-26,13,12.88
2009-01-02,22,14.8
2009-01-09,31,13.6
2009-01-16,23,13.49
2009-01-23,25,13.57
2009-01-30,39,15.33
2009-02-06,31,16.06
2009-02-13,33,14.8
2009-02-20,29,13.98
2009-02-27,23,13.83
2009-03-06,30,12.93
2009-03-13,23,13.77
2009-03-20,31,14.01
2009-03-27,28,14.95
2009-04-03,30,16.23
2009-04-17,30,17.27
2009-04-24,30,17.7
2009-05-01,28,17.81
2009-05-08,38,14.88
2009-05-15,32,14.82
2009-05-22,28,14.19
2009-05-29,23,15.63
2009-06-05,32,16.05
2009-06-12,30,16.49
2009-06-19,22,15.88
2009-06-26,19,15.91
2009-07-10,22,15.59
2009-07-17,32,16.41
2009-07-24,28,17.37
2009-07-31,38,14.93
2009-08-07,22,15.51
2009-08-14,26,15.25
2009-08-21,24,15.54
2009-08-28,14,15.24
2009-09-04,19,15.65
2009-09-11,17,15.97
2009-09-18,23,15.65
2009-09-25,12,15.63
2009-10-02,20,15.98
2009-10-09,16,16.63
2009-10-16,22,16.63
2009-10-23,18,16.66
2009-10-30,24,17.58
2009-11-06,21,17.42
2009-11-13,19,17.45
2009-11-20,24,17.72
2009-11-27,23,17.69
2009-12-04,23,17.88
2009-12-11,22,17.61
2009-12-18,25,17.61
2010-01-08,30,18.37
2010-01-15,24,18.85
2010-01-22,25,18.29
2010-01-29,38,16.95
2010-02-05,23,17.14
2010-02-12,29,16.83
2010-02-19,23,17.17
2010-02-26,29,16.55
2010-03-05,25,16.97
2010-03-12,20,17.47
2010-03-19,21,17.19
2010-03-26,23,16.84
2010-04-09,20,17.08
2010-04-16,18,16.68
2010-04-23,21,17.41
2010-04-30,25,16.77
2010-05-07,28,15.62
2010-05-14,19,16.12
2010-05-21,22,14.71
2010-05-28,19,14.17
2010-06-04,20,13.92
2010-06-11,34,14.67
2010-06-18,20,15.16
2010-06-25,12,14.42
2010-07-02,20,13.98
2010-07-09,17,14.4
2010-07-16,24,14.59
2010-07-23,28,15.19
2010-07-30,27,12.97
2010-08-06,28,13.04
2010-08-13,26,12.34
2010-08-20,43,13.8
2010-08-27,33,13.97
2010-09-03,22,13.98
2010-09-10,31,14.86
2010-09-17,26,14.98
2010-09-24,23,15.14
2010-10-01,28,15.4
2010-10-08,25,15.01
2010-10-15,21,15.73
2010-10-22,20,15.7
2010-10-29,32,16.19
2010-11-05,29,17.21
2010-11-12,31,17.23
2010-11-19,26,17.23
2010-11-26,28,16.99
2010-12-03,20,17.09
2010-12-10,23,17.2
2010-12-17,23,16.94
2010-12-31,19,16.74
2011-01-07,19,17.55
2011-01-14,25,17.52
2011-01-21,29,17.85
2011-01-28,34,17.46
2011-02-04,24,18.16
2011-02-11,24,18.44
2011-02-18,24,18.58
2011-02-25,22,18.15
2011-03-04,28,17.72
2011-03-11,25,18.12
2011-03-18,26,17.27
2011-03-25,23,18.11
2011-04-01,25,18.46
2011-04-08,22,18.21
2011-04-15,15,18.52
2011-04-29,19,19.65
2011-05-06,22,19.42
2011-05-13,37,20.06
2011-05-20,20,19.43
2011-05-27,18,19.22
2011-06-03,18,18.51
2011-06-10,21,18.5
2011-06-17,22,18.55
2011-06-24,16,18.75
2011-07-01,19,19.83
2011-07-08,22,19.73
2011-07-15,22,18.97
2011-07-22,25,19.06
2011-07-29,29,19.06
2011-08-05,24,17.1
2011-08-12,25,16.79
2011-08-19,25,15.42
2011-08-26,22,16.38
2011-09-02,23,16.36
2011-09-09,21,16.05
2011-09-16,23,17.54
2011-09-23,23,16.37
2011-09-30,17,16.3
2011-10-07,18,17.1
2011-10-14,21,17.99
2011-10-21,25,18.42
2011-10-28,27,17.99
2011-11-04,23,16.98
2011-11-11,19,17.12
2011-11-18,16,16.19
2011-11-25,12,15.33
2011-12-02,15,16.1
2011-12-09,22,16.19
2011-12-16,16,15.46
2011-12-23,20,15.79
2011-12-30,12,15.65
2012-01-06,13,15.78
2012-01-13,16,15.88
2012-01-20,23,16.79
2012-01-27,21,17.08
2012-02-03,20,17.62
2012-02-10,16,17.78
2012-02-17,23,17.95
2012-02-24,17,17.88
2012-03-02,20,17.74
2012-03-09,22,17.73
2012-03-16,22,18.17
2012-03-23,19,18.2
2012-03-30,19,18.7
2012-04-13,23,18.08
2012-04-20,20,18.14
2012-04-27,22,16.48
2012-05-04,18,15.82
2012-05-11,21,15.45
2012-05-18,17,14.74
2012-05-25,18,15.08
2012-06-01,18,14.37
2012-06-08,18,14.57
2012-06-15,17,14.76
2012-06-22,17,14.45
2012-06-29,14,14.61
2012-07-06,14,14.12
2012-07-13,20,13.46
2012-07-20,18,13.58
2012-07-27,31,15.93
2012-08-03,24,16.8
2012-08-10,25,17.28
2012-08-17,28,18.01
2012-08-24,24,17.73
2012-08-31,15,17.83
2012-09-07,27,18.92
2012-09-14,27,19.14
2012-09-21,20,18.53
2012-09-28,19,17.98
2012-10-05,15,18.03
2012-10-12,16,17.88
2012-10-19,17,17.43
2012-10-26,23,18.39
2012-11-02,14,18.8
2012-11-09,15,17.97
2012-11-16,17,17.97
2012-11-23,13,18.47
2012-11-30,19,18.76
2012-12-07,19,18.95
2012-12-14,15,18.68
2012-12-21,16,18.54
2012-12-28,12,18.16
2013-01-04,19,19.62
2013-01-11,23,19.94
2013-01-18,35,20.68
2013-01-25,46,22.13
2013-02-01,24,22.12
2013-02-08,24,22.59
2013-02-15,28,22.53
2013-02-22,25,22.93
2013-03-01,30,23.68
2013-03-08,30,24.57
2013-03-15,25,24.55
2013-03-22,24,24.63
2013-04-05,25,24.29
2013-04-12,18,24.25
2013-04-19,18,23.55
2013-04-26,17,24.42
2013-05-03,25,24.84
2013-05-10,31,24.35
2013-05-17,18,24.3
2013-05-24,21,22.85
2013-05-31,17,22.39
2013-06-07,21,22.19
2013-06-14,20,22.36
2013-06-21,24,22.23
2013-06-28,18,22.48
2013-07-05,15,23.02
2013-07-12,14,23.83
2013-07-19,17,24
2013-07-26,20,24.27
2013-08-02,32,26.52
2013-08-09,15,26.82
2013-08-16,20,26.24
2013-08-23,19,26.33
2013-08-30,17,25.61
2013-09-06,19,25.35
2013-09-13,15,25.07
2013-09-20,16,25.14
2013-09-27,14,24.73
2013-10-04,18,24.84
2013-10-11,16,25.08
2013-10-18,16,25.39
2013-10-25,26,22.03
2013-11-01,20,22.77
2013-11-08,14,23.16
2013-11-15,16,23.58
2013-11-22,13,23.34
2013-11-29,14,22.49
2013-12-06,12,22.78
2013-12-13,15,22.11
2013-12-20,13,22.51
2013-12-27,9,23.05
2014-01-03,11,23.11
2014-01-10,15,23.47
2014-01-17,14,23.27
2014-01-24,13,23.3
2014-01-31,22,21.41
2014-02-07,17,20.9
2014-02-14,17,21.35
2014-02-21,18,20.53
2014-02-28,19,21.48
2014-03-07,18,20.59
2014-03-14,17,20.16
2014-03-21,37,18.2
2014-03-28,33,19.79
2014-04-04,25,20.25
2014-04-11,18,20.01
2014-04-25,18,20.28
