"Date","The.Coca.Cola.Company","Price"
2009-01-16,41,43.84
2009-01-23,24,42.2
2009-01-30,30,42.72
2009-02-06,27,43.55
2009-02-13,28,43.85
2009-02-20,30,42.84
2009-02-27,35,40.85
2009-03-06,55,39.1
2009-03-13,44,41.22
2009-03-20,45,42.64
2009-03-27,49,45.1
2009-04-03,49,44.97
2009-04-17,35,45.02
2009-04-24,46,42.79
2009-05-01,39,42.47
2009-05-08,44,42.92
2009-05-15,42,44.96
2009-05-22,40,47.3
2009-05-29,28,49.16
2009-06-05,40,49.44
2009-06-12,31,48.89
2009-06-19,30,48.81
2009-06-26,25,48.13
2009-07-10,30,48.31
2009-07-17,33,50.32
2009-07-24,26,49.36
2009-07-31,27,49.84
2009-08-07,22,49.34
2009-08-14,42,48.47
2009-08-21,32,49.91
2009-08-28,40,49.06
2009-09-04,27,49.95
2009-09-11,36,51.51
2009-09-18,28,53.76
2009-09-25,44,52.97
2009-10-02,51,53.87
2009-10-09,50,54.65
2009-10-16,53,55.01
2009-10-23,41,53.24
2009-10-30,40,53.31
2009-11-06,29,54.49
2009-11-13,39,56.46
2009-11-20,40,57.48
2009-11-27,46,57.18
2009-12-04,47,57.49
2009-12-11,52,59.11
2009-12-18,34,56.92
2010-01-08,34,55.15
2010-01-15,49,56.29
2010-01-22,42,54.24
2010-01-29,34,54.25
2010-02-05,30,53.09
2010-02-12,41,53.98
2010-02-19,44,55.72
2010-02-26,48,52.72
2010-03-05,48,54.7
2010-03-12,46,53.35
2010-03-19,37,54.75
2010-03-26,31,54.65
2010-04-09,33,54.59
2010-04-16,52,54.97
2010-04-23,50,53.88
2010-04-30,49,53.45
2010-05-07,52,52.67
2010-05-14,45,53.34
2010-05-21,38,51.59
2010-05-28,38,51.4
2010-06-04,34,51.27
2010-06-11,47,51.65
2010-06-18,25,52.31
2010-06-25,35,50.26
2010-07-02,23,50.05
2010-07-09,35,52.4
2010-07-16,31,52.37
2010-07-23,35,54.75
2010-07-30,32,55.11
2010-08-06,14,56.75
2010-08-13,21,55.73
2010-08-20,37,55.3
2010-08-27,28,56.16
2010-09-03,39,57.56
2010-09-10,39,58.52
2010-09-17,33,57.56
2010-09-24,33,58.62
2010-10-01,41,59.12
2010-10-08,38,59.41
2010-10-15,29,59.94
2010-10-22,43,61.61
2010-10-29,31,61.32
2010-11-05,29,62.58
2010-11-12,41,62.92
2010-11-19,36,64.32
2010-11-26,40,64.11
2010-12-03,48,64.5
2010-12-10,39,64.65
2010-12-17,36,65.7
2010-12-31,18,65.77
2011-01-07,34,62.92
2011-01-14,30,63.13
2011-01-21,36,62.77
2011-01-28,29,62.21
2011-02-04,30,62.56
2011-02-11,40,63.57
2011-02-18,35,64.55
2011-02-25,39,64.31
2011-03-04,37,65.21
2011-03-11,46,64.81
2011-03-18,36,62.7
2011-03-25,34,65.22
2011-04-01,38,67.22
2011-04-08,40,67.27
2011-04-15,37,68.01
2011-04-29,39,67.46
2011-05-06,36,66.9
2011-05-13,37,68.18
2011-05-20,31,68.3
2011-05-27,31,66.51
2011-06-03,32,65.53
2011-06-10,33,65.39
2011-06-17,29,65.62
2011-06-24,34,64.93
2011-07-01,29,68.09
2011-07-08,27,68.68
2011-07-15,32,67.53
2011-07-22,25,69.73
2011-07-29,26,68.01
2011-08-05,21,66.77
2011-08-12,29,67.14
2011-08-19,25,67.1
2011-08-26,32,68.5
2011-09-02,36,69.74
2011-09-09,34,69.37
2011-09-16,36,71.23
2011-09-23,29,67.42
2011-09-30,43,67.56
2011-10-07,38,65.9
2011-10-14,38,67.85
2011-10-21,43,68.19
2011-10-28,35,68.93
2011-11-04,36,67.78
2011-11-11,34,68.12
2011-11-18,43,67.39
2011-11-25,40,64.74
2011-12-02,42,66.38
2011-12-09,46,67.57
2011-12-16,34,67.44
2011-12-23,29,69.94
2011-12-30,20,69.97
2012-01-06,35,68.93
2012-01-13,29,66.99
2012-01-20,34,68.09
2012-01-27,31,67.44
2012-02-03,32,68.08
2012-02-10,37,67.94
2012-02-17,30,69.05
2012-02-24,33,69
2012-03-02,42,69.18
2012-03-09,40,69.51
2012-03-16,43,70.16
2012-03-23,42,71.49
2012-03-30,36,74.01
2012-04-13,35,71.94
2012-04-20,40,74.13
2012-04-27,42,76.63
2012-05-04,44,77
2012-05-11,48,77.47
2012-05-18,43,74.05
2012-05-25,42,75.23
2012-06-01,40,73.09
2012-06-08,45,75.24
2012-06-15,38,76.09
2012-06-22,38,74.94
2012-06-29,41,78.19
2012-07-06,44,78.15
2012-07-13,41,77.28
2012-07-20,42,77.03
2012-07-27,48,80.01
2012-08-03,39,80.83
2012-08-10,44,78.79
2012-08-17,41,39.53
2012-08-24,38,38.47
2012-08-31,49,37.4
2012-09-07,45,37.9
2012-09-14,45,38.12
2012-09-21,54,38.03
2012-09-28,34,37.93
2012-10-05,43,38.58
2012-10-12,48,38.23
2012-10-19,60,37.4
2012-10-26,40,37.04
2012-11-02,37,37.08
2012-11-09,36,36.29
2012-11-16,42,36.56
2012-11-23,36,37.93
2012-11-30,45,37.92
2012-12-07,41,37.71
2012-12-14,30,37.66
2012-12-21,27,36.89
2012-12-28,16,35.97
2013-01-04,24,37.66
2013-01-11,34,36.91
2013-01-18,30,37.7
2013-01-25,36,37.05
2013-02-01,29,37.54
2013-02-08,28,38.77
2013-02-15,35,37.42
2013-02-22,30,38.52
2013-03-01,37,38.7
2013-03-08,31,39.22
2013-03-15,33,38.83
2013-03-22,34,40.04
2013-04-05,36,40.08
2013-04-12,36,41.08
2013-04-19,40,42.66
2013-04-26,46,42.1
2013-05-03,39,42.24
2013-05-10,28,42.15
2013-05-17,33,42.97
2013-05-24,35,42.24
2013-05-31,34,39.99
2013-06-07,23,41.41
2013-06-14,38,40.34
2013-06-21,29,39.76
2013-06-28,25,40.11
2013-07-05,25,40.52
2013-07-12,28,41.03
2013-07-19,28,41.09
2013-07-26,32,40.64
2013-08-02,30,40.22
2013-08-09,26,40.16
2013-08-16,30,39.05
2013-08-23,28,38.52
2013-08-30,24,38.18
2013-09-06,34,38.35
2013-09-13,33,38.69
2013-09-20,33,39.4
2013-09-27,35,38.4
2013-10-04,32,37.2
2013-10-11,40,37.77
2013-10-18,36,38.78
2013-10-25,36,39.03
2013-11-01,34,39.61
2013-11-08,32,40.05
2013-11-15,34,40.22
2013-11-22,41,40.43
2013-11-29,33,40.19
2013-12-06,31,40.46
2013-12-13,34,39.23
2013-12-20,22,40.04
2013-12-27,17,40.66
2014-01-03,20,40.46
2014-01-10,26,40.13
2014-01-17,34,39.28
2014-01-24,30,38.84
2014-01-31,23,37.82
2014-02-07,40,37.95
2014-02-14,40,38.93
2014-02-21,42,37.18
2014-02-28,32,38.2
2014-03-07,32,38.55
2014-03-14,42,38.17
2014-03-21,35,38.44
2014-03-28,34,38.95
2014-04-04,37,38.22
2014-04-11,32,38.63
2014-04-25,33,41.01
