"Date","sell.V","Price"
2011-05-20,8,78.23
2011-05-27,6,79.8
2011-06-03,8,79.13
2011-06-10,8,74.69
2011-06-17,5,74.43
2011-06-24,6,73.37
2011-07-01,7,87.97
2011-07-08,5,89.73
2011-07-15,5,88.75
2011-07-22,7,89.52
2011-07-29,8,85.54
2011-08-05,9,83.41
2011-08-12,7,83.83
2011-08-19,10,79.6
2011-08-26,9,85.85
2011-09-02,8,85.55
2011-09-09,6,86.35
2011-09-16,8,90.85
2011-09-23,5,90.08
2011-09-30,4,85.72
2011-10-07,7,86.25
2011-10-14,6,93.92
2011-10-21,5,93.43
2011-10-28,8,95.1
2011-11-04,5,92.64
2011-11-11,7,95.16
2011-11-18,8,90.81
2011-11-25,7,89.02
2011-12-02,9,97.2
2011-12-09,6,97.19
2011-12-16,8,97.44
2011-12-23,4,102.48
2011-12-30,7,101.53
2012-01-06,7,100.71
2012-01-13,7,100.74
2012-01-20,5,100.58
2012-01-27,7,101.05
2012-02-03,6,107.03
2012-02-10,8,113.9
2012-02-17,7,115.01
2012-02-24,5,117.54
2012-03-02,10,116.16
2012-03-09,8,117.17
2012-03-16,8,116.68
2012-03-23,8,118.78
2012-03-30,7,118
2012-04-13,6,123.16
2012-04-20,7,121.01
2012-04-27,6,123.52
2012-05-04,6,117.79
2012-05-11,8,117.92
2012-05-18,7,112.64
2012-05-25,7,119.37
2012-06-01,7,112.25
2012-06-08,8,116.58
2012-06-15,8,118.4
2012-06-22,7,124.95
2012-06-29,6,123.63
2012-07-06,9,125.28
2012-07-13,7,124.09
2012-07-20,9,125.75
2012-07-27,8,129.14
2012-08-03,8,130.98
2012-08-10,7,129.09
2012-08-17,11,128.69
2012-08-24,10,126.66
2012-08-31,7,128.25
2012-09-07,8,129.71
2012-09-14,8,134.25
2012-09-21,10,135
2012-09-28,7,134.28
2012-10-05,8,140.26
2012-10-12,10,139.12
2012-10-19,7,139.97
2012-10-26,6,138.31
2012-11-02,10,143.4
2012-11-09,9,142.93
2012-11-16,8,142.71
2012-11-23,8,148.12
2012-11-30,7,149.71
2012-12-07,7,148.55
2012-12-14,7,146.82
2012-12-21,6,150.77
2012-12-28,7,148.65
2013-01-04,10,156.77
2013-01-11,7,161.16
2013-01-18,8,158.27
2013-01-25,6,159.84
2013-02-01,8,158.56
2013-02-08,8,157.8
2013-02-15,8,157.99
2013-02-22,6,159.43
2013-03-01,19,158.08
2013-03-08,8,160.67
2013-03-15,8,158.55
2013-03-22,9,160.09
2013-04-05,7,165.16
2013-04-12,10,165.75
2013-04-19,6,163.96
2013-04-26,8,167.23
2013-05-03,7,179.54
2013-05-10,9,178.75
2013-05-17,9,184.57
2013-05-24,8,180.45
2013-05-31,6,178.14
2013-06-07,9,179.94
2013-06-14,9,180.93
2013-06-21,8,179.5
2013-06-28,8,182.75
2013-07-05,7,190.79
2013-07-12,10,190.72
2013-07-19,8,189.92
2013-07-26,7,193.2
2013-08-02,7,184
2013-08-09,11,179.81
2013-08-16,11,173.13
2013-08-23,9,179.1
2013-08-30,10,174.42
2013-09-06,8,176.67
2013-09-13,13,189
2013-09-20,46,198.83
2013-09-27,52,193.05
2013-10-04,58,190.48
2013-10-11,100,192.2
2013-10-18,98,200.45
2013-10-25,67,203.06
2013-11-01,66,199.16
2013-11-08,51,198.29
2013-11-15,41,202
2013-11-22,30,202.12
2013-11-29,32,203.46
2013-12-06,28,201.87
2013-12-13,27,207.36
2013-12-20,28,215.97
2013-12-27,23,219.67
2014-01-03,26,221.16
2014-01-10,23,221.13
2014-01-17,21,232.18
2014-01-24,23,221.25
2014-01-31,24,215.43
2014-02-07,19,221.78
2014-02-14,19,226
2014-02-21,22,223.36
2014-02-28,18,225.94
2014-03-07,28,225.56
2014-03-14,23,220.77
2014-03-21,17,223.37
2014-03-28,17,212.09
2014-04-04,14,207.7
2014-04-11,18,196.63
2014-04-25,13,198.93
