"Date","SRE","Price"
2008-01-11,57,62.57
2008-01-18,53,57.3
2008-01-25,57,54.09
2008-02-01,52,56.98
2008-02-08,49,55.61
2008-02-15,54,55.54
2008-02-22,65,54.45
2008-02-29,57,53.13
2008-03-07,50,52.1
2008-03-14,55,52.78
2008-03-28,59,52.98
2008-04-04,51,54.3
2008-04-11,50,55.02
2008-04-18,55,57.24
2008-04-25,56,57.04
2008-05-02,46,58.8
2008-05-09,53,57.16
2008-05-16,52,59.19
2008-05-23,63,57.54
2008-05-30,64,57.81
2008-06-06,58,56.26
2008-06-13,52,56.4
2008-06-20,55,55.37
2008-06-27,51,55.22
2008-07-11,63,55.9
2008-07-18,53,54.61
2008-07-25,56,54.48
2008-08-01,59,55.12
2008-08-08,60,57.17
2008-08-15,53,57.13
2008-08-22,50,57.41
2008-08-29,51,57.92
2008-09-05,57,56.08
2008-09-12,53,58.17
2008-09-19,49,53.49
2008-09-26,58,53.16
2008-10-03,56,49.37
2008-10-10,59,38
2008-10-17,52,38.9
2008-10-24,56,38.11
2008-10-31,54,42.61
2008-11-07,43,42.7
2008-11-14,57,42.09
2008-11-21,48,43.6
2008-11-28,55,46.67
2008-12-05,47,43.26
2008-12-12,56,42.43
2008-12-19,48,40.97
2008-12-26,35,40.21
2009-01-02,41,43.75
2009-01-09,64,43.59
2009-01-16,67,43.71
2009-01-23,64,43.18
2009-01-30,61,43.84
2009-02-06,53,46.53
2009-02-13,60,43.63
2009-02-20,54,39.37
2009-02-27,58,41.57
2009-03-06,58,38.22
2009-03-13,54,40.57
2009-03-20,47,42.81
2009-03-27,52,44.79
2009-04-03,49,46.85
2009-04-17,49,46.41
2009-04-24,52,45.03
2009-05-01,42,46.9
2009-05-08,45,46.4
2009-05-15,54,44.25
2009-05-22,46,44.56
2009-05-29,50,45.68
2009-06-05,51,46.64
2009-06-12,52,49.04
2009-06-19,53,48.84
2009-06-26,48,49.79
2009-07-10,59,47.55
2009-07-17,59,48.92
2009-07-24,56,52.03
2009-07-31,50,52.43
2009-08-07,51,50.6
2009-08-14,49,51.11
2009-08-21,49,51.5
2009-08-28,54,50.94
2009-09-04,58,49.43
2009-09-11,52,48.9
2009-09-18,46,50.92
2009-09-25,50,49.59
2009-10-02,56,49.87
2009-10-09,51,52.12
2009-10-16,55,52.91
2009-10-23,54,52.74
2009-10-30,43,51.45
2009-11-06,48,50.75
2009-11-13,50,52.23
2009-11-20,48,51.96
2009-11-27,49,52.68
2009-12-04,44,54.83
2009-12-11,41,55.35
2009-12-18,48,55.07
2010-01-08,54,53.81
2010-01-15,57,52.42
2010-01-22,55,51.55
2010-01-29,52,50.75
2010-02-05,50,49.68
2010-02-12,48,49.48
2010-02-19,46,48.95
2010-02-26,50,49.17
2010-03-05,51,49.73
2010-03-12,49,50.27
2010-03-19,47,50.5
2010-03-26,45,49.15
2010-04-09,43,50.49
2010-04-16,51,49.1
2010-04-23,50,50.49
2010-04-30,49,49.18
2010-05-07,48,46.44
2010-05-14,47,47.21
2010-05-21,50,46.1
2010-05-28,53,46
2010-06-04,47,44.51
2010-06-11,47,48.11
2010-06-18,49,50.1
2010-06-25,46,48.24
2010-07-02,50,46.51
2010-07-09,47,49.26
2010-07-16,55,48.54
2010-07-23,51,50.46
2010-07-30,51,49.75
2010-08-06,50,51.8
2010-08-13,47,51.15
2010-08-20,46,50.54
2010-08-27,47,51.97
2010-09-03,49,53.56
2010-09-10,50,53.29
2010-09-17,40,53.08
2010-09-24,51,53.88
2010-10-01,53,54.16
2010-10-08,54,53.75
2010-10-15,53,53.33
2010-10-22,59,53.52
2010-10-29,56,53.48
2010-11-05,50,54.06
2010-11-12,55,50.97
2010-11-19,50,50.47
2010-11-26,54,50.25
2010-12-03,56,50.99
2010-12-10,50,51.28
2010-12-17,52,52.47
2010-12-31,38,52.48
2011-01-07,57,51.65
2011-01-14,54,52.35
2011-01-21,54,52.43
2011-01-28,64,51.87
2011-02-04,63,52.12
2011-02-11,59,53.27
2011-02-18,59,53.3
2011-02-25,59,53.43
2011-03-04,60,53.64
2011-03-11,63,53.76
2011-03-18,60,51.4
2011-03-25,60,52.49
2011-04-01,65,53.81
2011-04-08,67,53.46
2011-04-15,65,53.77
2011-04-29,64,55.1
2011-05-06,62,54.86
2011-05-13,59,55.11
2011-05-20,67,55.36
2011-05-27,65,54.68
2011-06-03,59,53.32
2011-06-10,60,52.59
2011-06-17,63,53.21
2011-06-24,59,51.91
2011-07-01,60,53.42
2011-07-08,61,52.82
2011-07-15,59,52.1
2011-07-22,52,52.24
2011-07-29,51,50.69
2011-08-05,63,48.48
2011-08-12,59,47.78
2011-08-19,66,48.76
2011-08-26,61,51.04
2011-09-02,54,51.66
2011-09-09,57,50.31
2011-09-16,58,53.32
2011-09-23,68,50.18
2011-09-30,64,51.5
2011-10-07,72,50.93
2011-10-14,78,52.26
2011-10-21,80,54.53
2011-10-28,66,54.15
2011-11-04,60,53.58
2011-11-11,69,53.98
2011-11-18,65,53.18
2011-11-25,62,50.88
2011-12-02,64,52.92
2011-12-09,55,52.53
2011-12-16,56,52.84
2011-12-23,47,54.62
2011-12-30,48,55
2012-01-06,61,55.85
2012-01-13,63,55.42
2012-01-20,67,56.3
2012-01-27,68,57.67
2012-02-03,70,58.3
2012-02-10,72,57.5
2012-02-17,66,58.32
2012-02-24,64,58.04
2012-03-02,65,58.89
2012-03-09,69,59.17
2012-03-16,69,58.71
2012-03-23,62,58.13
2012-03-30,60,59.96
2012-04-13,60,62.39
2012-04-20,64,64.51
2012-04-27,62,64.8
2012-05-04,53,64.92
2012-05-11,60,64.89
2012-05-18,59,63.44
2012-05-25,60,64.35
2012-06-01,61,64.07
2012-06-08,58,66.73
2012-06-15,57,67.85
2012-06-22,62,67.2
2012-06-29,57,68.88
2012-07-06,63,68.71
2012-07-13,60,69.03
2012-07-20,57,70.69
2012-07-27,55,70.86
2012-08-03,57,70.22
2012-08-10,60,69.03
2012-08-17,62,68.74
2012-08-24,59,67.18
2012-08-31,54,66.2
2012-09-07,57,66.61
2012-09-14,60,65.79
2012-09-21,60,64.54
2012-09-28,69,64.49
2012-10-05,67,66.68
2012-10-12,67,66.88
2012-10-19,69,67.78
2012-10-26,63,68.98
2012-11-02,58,69.13
2012-11-09,61,65.79
2012-11-16,52,66.08
2012-11-23,53,66.05
2012-11-30,57,68.42
2012-12-07,56,71.34
2012-12-14,54,71.5
2012-12-21,48,71.96
2012-12-28,39,70.19
2013-01-04,50,72
2013-01-11,61,71.83
2013-01-18,65,73.19
2013-01-25,66,74.36
2013-02-01,68,75.73
2013-02-08,69,76.14
2013-02-15,59,75.62
2013-02-22,60,76.79
2013-03-01,64,78.45
2013-03-08,63,78.65
2013-03-15,59,79.02
2013-03-22,58,79.85
2013-04-05,59,81.56
2013-04-12,59,82.43
2013-04-19,62,82.55
2013-04-26,60,81.78
2013-05-03,57,83.9
2013-05-10,57,81.6
2013-05-17,63,84.45
2013-05-24,59,79.6
2013-05-31,54,81.3
2013-06-07,66,80.19
2013-06-14,57,80.35
2013-06-21,55,79.59
2013-06-28,57,81.76
2013-07-05,58,79.73
2013-07-12,59,83.78
2013-07-19,55,86.85
2013-07-26,49,87.24
2013-08-02,52,88.6
2013-08-09,58,86.43
2013-08-16,58,82.87
2013-08-23,57,84
2013-08-30,56,84.42
2013-09-06,59,83.6
2013-09-13,57,84.68
2013-09-20,60,86.75
2013-09-27,66,86.62
2013-10-04,68,85.49
2013-10-11,77,87.51
2013-10-18,74,90.43
2013-10-25,66,91.21
2013-11-01,63,91.72
2013-11-08,67,89.63
2013-11-15,61,91.16
2013-11-22,65,89.49
2013-11-29,63,88.44
2013-12-06,63,88.07
2013-12-13,58,86.49
2013-12-20,52,89.8
2013-12-27,43,89.19
2014-01-03,49,88.8
2014-01-10,64,91.93
2014-01-17,69,91.95
2014-01-24,72,90.28
2014-01-31,100,92.71
2014-02-07,86,92.24
2014-02-14,81,93.15
2014-02-21,75,93
2014-02-28,74,94.47
2014-03-07,69,93.67
2014-03-14,77,95.92
2014-03-21,71,96.3
2014-03-28,78,95.75
2014-04-04,76,96.44
2014-04-11,76,96.42
2014-04-25,70,98.66
