"Date","CBG","Price"
2012-09-14,36,20.36
2012-09-21,34,19.36
2012-09-28,38,18.41
2012-10-05,35,19.61
2012-10-12,29,18.82
2012-10-19,29,19.11
2012-10-26,28,18.25
2012-11-02,27,17.55
2012-11-09,34,17.5
2012-11-16,28,17.5
2012-11-23,31,17.87
2012-11-30,30,18.93
2012-12-07,30,18.99
2012-12-14,29,19.2
2012-12-21,29,19.64
2012-12-28,24,19.39
2013-01-04,23,20.72
2013-01-11,29,20.51
2013-01-18,31,20.55
2013-01-25,34,21.84
2013-02-01,36,21.87
2013-02-08,30,24.19
2013-02-15,29,24.28
2013-02-22,29,23.91
2013-03-01,32,24.36
2013-03-08,27,24.64
2013-03-15,37,24.93
2013-03-22,30,24.71
2013-04-05,25,24.22
2013-04-12,26,25.29
2013-04-19,29,23.83
2013-04-26,28,24.18
2013-05-03,24,24.15
2013-05-10,30,24.1
2013-05-17,31,24.78
2013-05-24,26,23.39
2013-05-31,28,23.18
2013-06-07,30,23.44
2013-06-14,32,22.67
2013-06-21,27,21.5
2013-06-28,28,23.36
2013-07-05,28,23.43
2013-07-12,27,24.07
2013-07-19,28,24.3
2013-07-26,27,24.09
2013-08-02,24,23.2
2013-08-09,25,23.31
2013-08-16,27,21.6
2013-08-23,30,21.91
2013-08-30,28,21.87
2013-09-06,26,22.37
2013-09-13,29,23.4
2013-09-20,30,23.81
2013-09-27,29,23.34
2013-10-04,25,22.55
2013-10-11,27,22.78
2013-10-18,24,22.87
2013-10-25,26,23.72
2013-11-01,28,23.03
2013-11-08,26,22.32
2013-11-15,29,22.97
2013-11-22,28,23.4
2013-11-29,24,24.24
2013-12-06,30,25.1
2013-12-13,28,24.77
2013-12-20,24,25.8
2013-12-27,23,26.24
2014-01-03,25,26.4
2014-01-10,28,26.38
2014-01-17,30,26.5
2014-01-24,30,25.47
2014-01-31,29,26.54
2014-02-07,29,26.32
2014-02-14,24,27.01
2014-02-21,29,27.44
2014-02-28,30,27.95
2014-03-07,31,28.09
2014-03-14,27,27.23
2014-03-21,30,28
2014-03-28,27,26.85
2014-04-04,33,27.44
2014-04-11,29,26.27
2014-04-25,31,26.08
