"Date","Helmerich...Payne","Price"
2009-05-29,29,34.97
2009-06-05,24,33.6
2009-06-12,34,34.92
2009-06-19,28,30.89
2009-06-26,28,31.53
2009-07-10,25,28.1
2009-07-17,42,32.07
2009-07-24,29,34.13
2009-07-31,29,34.36
2009-08-07,38,34.86
2009-08-14,42,33.05
2009-08-21,21,34.81
2009-08-28,36,34.18
2009-09-04,41,34.36
2009-09-11,25,37.68
2009-09-18,23,38.3
2009-09-25,36,36.95
2009-10-02,22,37.43
2009-10-09,30,41.52
2009-10-16,26,44.28
2009-10-23,20,43.07
2009-10-30,27,38.02
2009-11-06,21,38.08
2009-11-13,21,37.86
2009-11-20,20,37.41
2009-11-27,20,37.91
2009-12-04,33,36.8
2009-12-11,28,38.28
2009-12-18,32,40.23
2010-01-08,33,48
2010-01-15,42,47.49
2010-01-22,30,44.46
2010-01-29,30,41.83
2010-02-05,34,40.34
2010-02-12,29,41.64
2010-02-19,36,43.91
2010-02-26,35,40.52
2010-03-05,38,40.24
2010-03-12,41,40.88
2010-03-19,34,38.03
2010-03-26,35,36.5
2010-04-09,23,39
2010-04-16,41,39.75
2010-04-23,37,43.21
2010-04-30,47,40.62
2010-05-07,36,35.67
2010-05-14,23,37.56
2010-05-21,33,34.53
2010-05-28,33,37.68
2010-06-04,22,38.74
2010-06-11,34,41.97
2010-06-18,45,42.51
2010-06-25,76,39.07
2010-07-02,100,36.53
2010-07-09,49,40.45
2010-07-16,53,38.36
2010-07-23,42,41
2010-07-30,33,40.53
2010-08-06,36,40.62
2010-08-13,26,37.42
2010-08-20,36,36.33
2010-08-27,26,37.8
2010-09-03,31,39.39
2010-09-10,33,40.27
2010-09-17,34,38.56
2010-09-24,34,39.9
2010-10-01,19,40.26
2010-10-08,29,41.88
2010-10-15,33,44.14
2010-10-22,33,41.57
2010-10-29,35,42.78
2010-11-05,42,43.7
2010-11-12,35,45.69
2010-11-19,19,46.56
2010-11-26,27,45.39
2010-12-03,31,48.29
2010-12-10,20,47.74
2010-12-17,36,48.74
2010-12-31,21,48.48
2011-01-07,24,48.89
2011-01-14,31,50.76
2011-01-21,40,50.63
2011-01-28,37,56.37
2011-02-04,23,59.1
2011-02-11,47,59.24
2011-02-18,25,62.15
2011-02-25,39,64.78
2011-03-04,37,64.06
2011-03-11,37,61.65
2011-03-18,41,61.18
2011-03-25,20,65.43
2011-04-01,44,68.94
2011-04-08,33,68.94
2011-04-15,45,67.84
2011-04-29,45,66.34
2011-05-06,32,57.67
2011-05-13,31,59.03
2011-05-20,32,60.31
2011-05-27,41,62.57
2011-06-03,23,63.33
2011-06-10,27,60.54
2011-06-17,38,58.35
2011-06-24,32,60.68
2011-07-01,17,67.47
2011-07-08,30,68.45
2011-07-15,33,70.05
2011-07-22,36,72.56
2011-07-29,37,69.05
2011-08-05,32,56.84
2011-08-12,36,58.9
2011-08-19,30,49.34
2011-08-26,35,53.81
2011-09-02,40,54.71
2011-09-09,39,52.79
2011-09-16,30,53.5
2011-09-23,23,44.61
2011-09-30,25,40.6
2011-10-07,35,41.97
2011-10-14,34,48.52
2011-10-21,39,48.06
2011-10-28,21,56.89
2011-11-04,30,54.8
2011-11-11,27,55.34
2011-11-18,42,54.5
2011-11-25,31,50.7
2011-12-02,33,58.31
2011-12-09,27,60.58
2011-12-16,39,55.78
2011-12-23,27,59
2011-12-30,23,58.36
2012-01-06,39,63.62
2012-01-13,64,58.51
2012-01-20,38,59.54
2012-01-27,33,60.57
2012-02-03,49,61.62
2012-02-10,31,59.27
2012-02-17,33,63.28
2012-02-24,32,62.72
2012-03-02,29,60.77
2012-03-09,32,60.85
2012-03-16,29,59.32
2012-03-23,33,55.52
2012-03-30,37,53.95
2012-04-13,44,52.22
2012-04-20,33,51.5
2012-04-27,46,50.99
2012-05-04,28,47.47
2012-05-11,25,45.94
2012-05-18,36,43.47
2012-05-25,30,46.25
2012-06-01,41,44.32
2012-06-08,33,46.09
2012-06-15,39,44.52
2012-06-22,38,41.83
2012-06-29,31,43.48
2012-07-06,43,44
2012-07-13,26,43.19
2012-07-20,38,45.59
2012-07-27,25,48.59
2012-08-03,28,46.99
2012-08-10,32,49.92
2012-08-17,34,49.31
2012-08-24,38,46.87
2012-08-31,40,45.64
2012-09-07,29,48
2012-09-14,42,51.49
2012-09-21,39,49.15
2012-09-28,27,47.61
2012-10-05,39,47.05
2012-10-12,42,49.6
2012-10-19,33,50.17
2012-10-26,24,48.09
2012-11-02,34,47.65
2012-11-09,37,45.92
2012-11-16,29,49.92
2012-11-23,24,51.59
2012-11-30,17,52.2
2012-12-07,29,55.46
2012-12-14,31,53.67
2012-12-21,27,56.43
2012-12-28,21,54.56
2013-01-04,35,57.66
2013-01-11,42,58.54
2013-01-18,35,61
2013-01-25,25,62.2
2013-02-01,48,64.73
2013-02-08,32,64.39
2013-02-15,32,67.83
2013-02-22,29,65.54
2013-03-01,41,66.1
2013-03-08,40,64.28
2013-03-15,30,66.26
2013-03-22,37,60.57
2013-04-05,28,60.92
2013-04-12,39,61.35
2013-04-19,44,57.28
2013-04-26,41,57.99
2013-05-03,28,61.75
2013-05-10,34,62.46
2013-05-17,33,65.39
2013-05-24,41,63.02
2013-05-31,36,61.74
2013-06-07,36,64.12
2013-06-14,46,60.82
2013-06-21,29,61.69
2013-06-28,31,62.45
2013-07-05,36,65.48
2013-07-12,41,65.48
2013-07-19,42,67.39
2013-07-26,32,64.73
2013-08-02,33,65.59
2013-08-09,26,67.91
2013-08-16,37,64.76
2013-08-23,42,64.67
2013-08-30,38,63.04
2013-09-06,36,64.36
2013-09-13,36,68.99
2013-09-20,34,70.32
2013-09-27,30,69.07
2013-10-04,36,73.7
2013-10-11,30,73.98
2013-10-18,34,76.76
2013-10-25,31,76.57
2013-11-01,26,77.43
2013-11-08,31,78.02
2013-11-15,41,79.27
2013-11-22,33,78.97
2013-11-29,36,77
2013-12-06,39,79.83
2013-12-13,37,79.52
2013-12-20,24,82.03
2013-12-27,15,83.96
2014-01-03,23,83.05
2014-01-10,54,85.55
2014-01-17,43,85.65
2014-01-24,41,86.01
2014-01-31,26,88.04
2014-02-07,42,87.17
2014-02-14,31,90.59
2014-02-21,34,94.34
2014-02-28,40,98.75
2014-03-07,54,100.5
2014-03-14,43,97.95
2014-03-21,46,106.64
2014-03-28,47,107.7
2014-04-04,48,107.29
2014-04-11,38,105.91
2014-04-25,46,107
