"Date","CMS","Price"
2010-11-19,73,17.83
2010-11-26,65,17.88
2010-12-03,67,18.62
2010-12-10,68,18.76
2010-12-17,67,19.09
2010-12-31,53,18.6
2011-01-07,69,18.91
2011-01-14,81,19
2011-01-21,74,19.13
2011-01-28,72,19.34
2011-02-04,71,19.35
2011-02-11,74,19.27
2011-02-18,68,19.62
2011-02-25,68,19.13
2011-03-04,70,19.17
2011-03-11,69,19.23
2011-03-18,66,18.91
2011-03-25,69,19.13
2011-04-01,70,19.7
2011-04-08,72,19.26
2011-04-15,69,19.28
2011-04-29,66,19.8
2011-05-06,64,20.15
2011-05-13,71,20.21
2011-05-20,68,20.28
2011-05-27,69,19.7
2011-06-03,65,19.74
2011-06-10,68,19.46
2011-06-17,67,19.68
2011-06-24,65,19.5
2011-07-01,66,20.11
2011-07-08,66,20.06
2011-07-15,65,19.7
2011-07-22,66,19.93
2011-07-29,67,19.14
2011-08-05,66,18.27
2011-08-12,66,18.24
2011-08-19,65,18.88
2011-08-26,67,19.23
2011-09-02,63,19.3
2011-09-09,65,18.81
2011-09-16,68,20.31
2011-09-23,66,19.66
2011-09-30,70,19.79
2011-10-07,65,19.82
2011-10-14,66,20.48
2011-10-21,69,20.97
2011-10-28,67,21.11
2011-11-04,64,20.59
2011-11-11,67,21.21
2011-11-18,69,20.88
2011-11-25,62,19.71
2011-12-02,67,20.79
2011-12-09,64,20.75
2011-12-16,64,20.87
2011-12-23,56,22.02
2011-12-30,50,22.08
2012-01-06,62,21.63
2012-01-13,67,21.91
2012-01-20,65,21.48
2012-01-27,65,22.09
2012-02-03,63,22.03
2012-02-10,63,21.63
2012-02-17,62,21.54
2012-02-24,62,21.68
2012-03-02,65,21.41
2012-03-09,64,21.89
2012-03-16,62,21.65
2012-03-23,63,21.91
2012-03-30,62,22
2012-04-13,59,21.54
2012-04-20,61,22.3
2012-04-27,60,22.83
2012-05-04,58,22.47
2012-05-11,58,22.84
2012-05-18,58,22.68
2012-05-25,58,23.12
2012-06-01,57,23.07
2012-06-08,59,23.56
2012-06-15,58,23.74
2012-06-22,57,23.24
2012-06-29,55,23.5
2012-07-06,54,23.68
2012-07-13,58,24.32
2012-07-20,56,24.54
2012-07-27,57,24.8
2012-08-03,55,24.19
2012-08-10,58,23.89
2012-08-17,56,23.38
2012-08-24,62,22.86
2012-08-31,57,23.07
2012-09-07,58,23.34
2012-09-14,61,23.19
2012-09-21,61,23.14
2012-09-28,61,23.55
2012-10-05,59,23.82
2012-10-12,58,23.67
2012-10-19,59,24.3
2012-10-26,59,24.22
2012-11-02,55,23.98
2012-11-09,57,23
2012-11-16,56,23.22
2012-11-23,54,23.52
2012-11-30,58,24.43
2012-12-07,57,24.67
2012-12-14,56,24.03
2012-12-21,51,24.54
2012-12-28,38,24.05
2013-01-04,48,25.1
2013-01-11,57,24.89
2013-01-18,60,25.09
2013-01-25,60,25.23
2013-02-01,61,25.83
2013-02-08,59,25.66
2013-02-15,58,25.77
2013-02-22,56,26.4
2013-03-01,59,26.45
2013-03-08,60,27.08
2013-03-15,56,27.44
2013-03-22,58,27.33
2013-04-05,54,28.21
2013-04-12,60,28.73
2013-04-19,59,29.09
2013-04-26,56,29.43
2013-05-03,55,29.39
2013-05-10,55,28.42
2013-05-17,57,29.1
2013-05-24,55,27.53
2013-05-31,53,26.95
2013-06-07,56,27.04
2013-06-14,55,27.4
2013-06-21,56,26.4
2013-06-28,54,27.17
2013-07-05,52,26.7
2013-07-12,53,27.92
2013-07-19,55,28.48
2013-07-26,55,28.2
2013-08-02,53,28.52
2013-08-09,54,27.96
2013-08-16,54,26.87
2013-08-23,56,26.94
2013-08-30,57,26.53
2013-09-06,55,25.98
2013-09-13,59,26.19
2013-09-20,58,26.59
2013-09-27,60,26.21
2013-10-04,58,26.03
2013-10-11,58,27.06
2013-10-18,57,27.32
2013-10-25,58,28.03
2013-11-01,57,27.62
2013-11-08,58,27.28
2013-11-15,58,27.61
2013-11-22,59,27.31
2013-11-29,53,26.54
2013-12-06,57,26.49
2013-12-13,57,26.21
2013-12-20,56,26.92
2013-12-27,40,26.69
2014-01-03,41,26.29
2014-01-10,59,27.11
2014-01-17,61,26.43
2014-01-24,60,26.54
2014-01-31,65,27.79
2014-02-07,57,27.23
2014-02-14,63,28.53
2014-02-21,60,28.48
2014-02-28,58,28.43
2014-03-07,59,27.98
2014-03-14,56,28.8
2014-03-21,58,28.58
2014-03-28,58,28.83
2014-04-04,59,29.38
2014-04-11,59,29.45
2014-04-25,55,30.39
