"Date","PFE","Price"
2013-11-08,21,31.32
2013-11-15,20,32.2
2013-11-22,22,32.12
2013-11-29,21,31.73
2013-12-06,22,31.54
2013-12-13,22,30.25
2013-12-20,23,30.25
2013-12-27,16,30.64
2014-01-03,16,30.52
2014-01-10,20,30.69
2014-01-17,20,31.09
2014-01-24,22,30.09
2014-01-31,27,30.4
2014-02-07,25,31.22
2014-02-14,24,31.94
2014-02-21,22,31.46
2014-02-28,24,32.11
2014-03-07,21,32.43
2014-03-14,26,31.23
2014-03-21,24,32.18
2014-03-28,22,31.88
2014-04-04,24,32.16
2014-04-11,24,29.86
2014-04-25,25,30.75
