"Date","CFN","Price"
2011-04-08,39,27.84
2011-04-15,39,29.3
2011-04-29,37,29.37
2011-05-06,31,29.2
2011-05-13,36,29.82
2011-05-20,36,28.84
2011-05-27,43,28.7
2011-06-03,39,27.62
2011-06-10,42,27.66
2011-06-17,44,26.66
2011-06-24,42,26.4
2011-07-01,48,27.67
2011-07-08,36,28.1
2011-07-15,35,27.61
2011-07-22,39,27.9
2011-07-29,36,26.39
2011-08-05,36,24.02
2011-08-12,38,25.59
2011-08-19,43,23.86
2011-08-26,45,24.72
2011-09-02,45,24.56
2011-09-09,49,23.63
2011-09-16,54,24.72
2011-09-23,46,23.39
2011-09-30,49,23.95
2011-10-07,53,24.15
2011-10-14,44,24.92
2011-10-21,51,24.52
2011-10-28,51,25.97
2011-11-04,48,25.26
2011-11-11,58,24.83
2011-11-18,48,24.04
2011-11-25,47,23.2
2011-12-02,46,24.9
2011-12-09,40,24.81
2011-12-16,39,24.06
2011-12-23,34,25.25
2011-12-30,32,25.41
2012-01-06,30,25.48
2012-01-13,35,22.83
2012-01-20,26,23.51
2012-01-27,31,23.9
2012-02-03,31,25
2012-02-10,31,25.43
2012-02-17,30,26.05
2012-02-24,29,25.89
2012-03-02,33,25.31
2012-03-09,30,25.38
2012-03-16,30,25.71
2012-03-23,36,25.35
2012-03-30,32,25.93
2012-04-13,34,25.49
2012-04-20,28,25.9
2012-04-27,31,25.95
2012-05-04,28,27.09
2012-05-11,33,25.86
2012-05-18,33,24.66
2012-05-25,33,24.9
2012-06-01,37,24.01
2012-06-08,33,24.57
2012-06-15,34,24.74
2012-06-22,42,24.93
2012-06-29,42,25.68
2012-07-06,30,25.49
2012-07-13,31,25.39
2012-07-20,31,25.01
2012-07-27,36,24.39
2012-08-03,33,24.12
2012-08-10,36,26.29
2012-08-17,35,27.09
2012-08-24,36,26.43
2012-08-31,47,26.27
2012-09-07,43,27.75
2012-09-14,44,27.86
2012-09-21,50,28.51
2012-09-28,44,28.39
2012-10-05,49,28.61
2012-10-12,42,27.79
2012-10-19,50,27.24
2012-10-26,37,26.54
2012-11-02,35,26.69
2012-11-09,37,27.05
2012-11-16,42,26.77
2012-11-23,36,28.04
2012-11-30,37,27.92
2012-12-07,30,27.96
2012-12-14,30,28.08
2012-12-21,27,28.76
2012-12-28,30,28.34
2013-01-04,32,29.1
2013-01-11,29,29.4
2013-01-18,27,30.72
2013-01-25,29,31.44
2013-02-01,31,31.33
2013-02-08,26,31.85
2013-02-15,26,32.8
2013-02-22,28,32.72
2013-03-01,28,32.96
2013-03-08,26,33.46
2013-03-15,29,34.31
2013-03-22,28,34.68
2013-04-05,30,34.53
2013-04-12,30,35.29
2013-04-19,29,34.55
2013-04-26,27,33.76
2013-05-03,29,34.14
2013-05-10,28,33.59
2013-05-17,31,34.36
2013-05-24,28,34.41
2013-05-31,30,36.75
2013-06-07,34,38.17
2013-06-14,27,37.8
2013-06-21,34,37.01
2013-06-28,36,36.85
2013-07-05,26,37.58
2013-07-12,29,38.56
2013-07-19,30,38.79
2013-07-26,27,38.34
2013-08-02,28,36.61
2013-08-09,32,36.95
2013-08-16,30,35.82
2013-08-23,30,35.68
2013-08-30,36,35.85
2013-09-06,35,36.62
2013-09-13,34,37.18
2013-09-20,37,38.09
2013-09-27,34,36.94
2013-10-04,36,37.51
2013-10-11,36,38.03
2013-10-18,40,39.24
2013-10-25,37,38.94
2013-11-01,36,38.9
2013-11-08,41,37.65
2013-11-15,33,39.18
2013-11-22,32,39.37
2013-11-29,33,39.85
2013-12-06,28,39.67
2013-12-13,31,38.71
2013-12-20,31,39.4
2013-12-27,23,39.8
2014-01-03,30,39
2014-01-10,26,41.22
2014-01-17,28,40.75
2014-01-24,31,39.1
2014-01-31,24,40.77
2014-02-07,27,39.56
2014-02-14,24,40.95
2014-02-21,27,41.08
2014-02-28,26,40.53
2014-03-07,27,41.35
2014-03-14,30,40.24
2014-03-21,28,40.2
2014-03-28,28,39.47
2014-04-04,31,40.67
2014-04-11,27,38.34
2014-04-25,30,38.16
