"Date","BRCM","Price"
2007-12-21,17,26.47
2007-12-28,22,26.21
2008-01-04,21,24.8
2008-01-11,21,22.97
2008-01-18,25,23.5
2008-01-25,29,23.04
2008-02-01,22,23.43
2008-02-08,28,21.45
2008-02-15,19,20
2008-02-22,22,19.27
2008-02-29,21,18.91
2008-03-07,20,17.49
2008-03-14,20,17.03
2008-03-28,22,19.05
2008-04-04,20,21.41
2008-04-11,20,21
2008-04-18,22,23.07
2008-04-25,42,27.99
2008-05-02,27,26.49
2008-05-09,27,26.14
2008-05-16,26,28.76
2008-05-23,20,26.29
2008-05-30,15,28.69
2008-06-06,30,27.37
2008-06-13,17,25.79
2008-06-20,24,26.89
2008-06-27,21,27.44
2008-07-11,24,27.71
2008-07-18,24,28.79
2008-07-25,37,23.37
2008-08-01,23,23.99
2008-08-08,15,26.01
2008-08-15,23,27.46
2008-08-22,12,27.42
2008-08-29,16,24.06
2008-09-05,15,22.33
2008-09-12,15,22.15
2008-09-19,20,21.39
2008-09-26,19,19.08
2008-10-03,23,16.63
2008-10-10,25,14.86
2008-10-17,25,14.06
2008-10-24,22,15.64
2008-10-31,19,17.08
2008-11-07,12,16.59
2008-11-14,19,15.38
2008-11-21,17,14.09
2008-11-28,9,15.31
2008-12-05,16,14.94
2008-12-12,21,17.79
2008-12-19,15,17.59
2008-12-26,8,16.41
2009-01-02,14,17.57
2009-01-09,16,16.94
2009-01-16,10,17.13
2009-01-23,14,17.46
2009-01-30,20,15.85
2009-02-06,16,18.08
2009-02-13,10,18.1
2009-02-20,10,16.45
2009-02-27,12,16.45
2009-03-06,13,16.97
2009-03-13,13,19.11
2009-03-20,18,19.4
2009-03-27,20,20.66
2009-04-03,15,22.06
2009-04-17,21,22.93
2009-04-24,26,24.22
2009-05-01,19,23.06
2009-05-08,26,21.55
2009-05-15,14,20.83
2009-05-22,14,22.25
2009-05-29,13,25.48
2009-06-05,32,25.46
2009-06-12,24,26.3
2009-06-19,19,25.49
2009-06-26,14,24.62
2009-07-10,13,24.28
2009-07-17,19,27.47
2009-07-24,25,27.2
2009-07-31,16,28.23
2009-08-07,16,27.74
2009-08-14,11,26.67
2009-08-21,16,28.02
2009-08-28,12,28.78
2009-09-04,13,28.46
2009-09-11,12,30.19
2009-09-18,14,29.98
2009-09-25,10,29.15
2009-10-02,12,28.63
2009-10-09,12,29.54
2009-10-16,16,29.98
2009-10-23,18,28.5
2009-10-30,17,26.61
2009-11-06,10,26.88
2009-11-13,11,28.89
2009-11-20,11,28.76
2009-11-27,8,28.97
2009-12-04,9,30.77
2009-12-11,11,30.16
2009-12-18,12,31.55
2010-01-08,13,30.71
2010-01-15,8,29.51
2010-01-22,8,28.43
2010-01-29,10,26.72
2010-02-05,16,29.39
2010-02-12,11,30.95
2010-02-19,12,31.6
2010-02-26,11,31.32
2010-03-05,14,31.15
2010-03-12,14,32.63
2010-03-19,14,33.67
2010-03-26,13,33.12
2010-04-09,12,34.28
2010-04-16,20,35.11
2010-04-23,10,35.63
2010-04-30,19,34.5
2010-05-07,14,31.99
2010-05-14,12,32.29
2010-05-21,13,32.67
2010-05-28,12,34.5
2010-06-04,14,33.59
2010-06-11,11,33.88
2010-06-18,14,35.41
2010-06-25,14,34.42
2010-07-02,12,33.5
2010-07-09,15,36.3
2010-07-16,15,35.99
2010-07-23,13,37.76
2010-07-30,29,36.03
2010-08-06,21,36.46
2010-08-13,21,31.93
2010-08-20,12,32.97
2010-08-27,10,33.01
2010-09-03,12,33.23
2010-09-10,13,33.86
2010-09-17,16,34.16
2010-09-24,13,33.87
2010-10-01,11,34.72
2010-10-08,7,35.74
2010-10-15,17,37.73
2010-10-22,12,37.55
2010-10-29,29,40.83
2010-11-05,17,42.34
2010-11-12,20,41.34
2010-11-19,14,43.22
2010-11-26,12,44.95
2010-12-03,19,45.76
2010-12-10,16,46.05
2010-12-17,19,43.82
2010-12-31,13,43.55
2011-01-07,17,44.89
2011-01-14,15,47.34
2011-01-21,12,44.51
2011-01-28,12,44.32
2011-02-04,24,45.82
2011-02-11,16,43.63
2011-02-18,15,42.09
2011-02-25,15,42.11
2011-03-04,13,42.04
2011-03-11,13,40.15
2011-03-18,15,39.67
2011-03-25,14,40.95
2011-04-01,12,38.36
2011-04-08,13,39.9
2011-04-15,15,38.23
2011-04-29,29,35.19
2011-05-06,18,34.14
2011-05-13,17,34.45
2011-05-20,14,33.51
2011-05-27,13,36.52
2011-06-03,19,34.45
2011-06-10,16,33.1
2011-06-17,13,31.61
2011-06-24,15,32.22
2011-07-01,13,34.41
2011-07-08,11,34.62
2011-07-15,16,33.27
2011-07-22,16,35.47
2011-07-29,29,37.07
2011-08-05,16,33.87
2011-08-12,19,33.84
2011-08-19,14,31.29
2011-08-26,12,33.91
2011-09-02,14,34.57
2011-09-09,11,33.44
2011-09-16,15,35.67
2011-09-23,16,34.53
2011-09-30,12,33.29
2011-10-07,9,35.27
2011-10-14,14,37.93
2011-10-21,15,37.22
2011-10-28,14,36.64
2011-11-04,15,36.01
2011-11-11,14,35.33
2011-11-18,14,32.77
2011-11-25,14,29.58
2011-12-02,15,29.99
2011-12-09,14,30.29
2011-12-16,14,28.72
2011-12-23,11,29.77
2011-12-30,13,29.36
2012-01-06,13,30.14
2012-01-13,12,31.83
2012-01-20,15,35
2012-01-27,17,35.06
2012-02-03,24,37.68
2012-02-10,14,37
2012-02-17,14,37.66
2012-02-24,14,36.75
2012-03-02,13,36.18
2012-03-09,9,36.38
2012-03-16,13,37.81
2012-03-23,14,38.47
2012-03-30,16,39.3
2012-04-13,13,36.71
2012-04-20,16,34.77
2012-04-27,15,36.47
2012-05-04,22,34.63
2012-05-11,14,33.79
2012-05-18,15,31.32
2012-05-25,13,31.68
2012-06-01,10,31.74
2012-06-08,12,34.06
2012-06-15,14,34.28
2012-06-22,16,34.38
2012-06-29,11,33.76
2012-07-06,11,32.57
2012-07-13,12,31.02
2012-07-20,18,31.62
2012-07-27,22,33.72
2012-08-03,13,34.01
2012-08-10,13,35.35
2012-08-17,15,35.83
2012-08-24,10,35.35
2012-08-31,10,35.53
2012-09-07,11,36.11
2012-09-14,12,36.23
2012-09-21,14,36.24
2012-09-28,12,34.57
2012-10-05,8,34.28
2012-10-12,10,32.9
2012-10-19,9,33.33
2012-10-26,15,31.76
2012-11-02,13,31.45
2012-11-09,16,30.61
2012-11-16,15,30.47
2012-11-23,11,31.58
2012-11-30,11,32.38
2012-12-07,15,34.23
2012-12-14,15,32.06
2012-12-21,14,33.18
2012-12-28,10,32.48
2013-01-04,14,34.44
2013-01-11,16,34.82
2013-01-18,13,34.81
2013-01-25,14,34.25
2013-02-01,18,33.09
2013-02-08,13,33.24
2013-02-15,11,34.44
2013-02-22,16,34.53
2013-03-01,12,33.87
2013-03-08,13,33.5
2013-03-15,14,34.65
2013-03-22,12,34.42
2013-04-05,12,33.08
2013-04-12,9,33.87
2013-04-19,11,31.89
2013-04-26,17,34.54
2013-05-03,18,36.06
2013-05-10,15,36.62
2013-05-17,13,37.55
2013-05-24,13,36.59
2013-05-31,9,35.91
2013-06-07,11,35.39
2013-06-14,11,33.79
2013-06-21,11,33.24
2013-06-28,11,33.79
2013-07-05,8,33.77
2013-07-12,8,34.83
2013-07-19,13,33.69
2013-07-26,34,27.3
2013-08-02,18,26.89
2013-08-09,21,26.06
2013-08-16,18,25.91
2013-08-23,19,25.24
2013-08-30,19,25.26
2013-09-06,23,26.49
2013-09-13,15,26.1
2013-09-20,18,27.34
2013-09-27,18,25.84
2013-10-04,16,26.64
2013-10-11,14,26.51
2013-10-18,15,27.16
2013-10-25,29,26.41
2013-11-01,19,26.77
2013-11-08,17,26.5
2013-11-15,16,27.05
2013-11-22,12,26.35
2013-11-29,12,26.69
2013-12-06,13,27.53
2013-12-13,18,28.01
2013-12-20,15,28.57
2013-12-27,13,29.29
2014-01-03,15,28.97
2014-01-10,11,28.91
2014-01-17,12,29
2014-01-24,14,29.39
2014-01-31,19,29.76
2014-02-07,16,30.46
2014-02-14,17,31.3
2014-02-21,14,30.76
2014-02-28,14,29.71
2014-03-07,12,30.57
2014-03-14,11,29.94
2014-03-21,13,31.28
2014-03-28,15,31.03
2014-04-04,10,30.68
2014-04-11,10,29.32
2014-04-25,18,29.76
