"Date","Harris.Corporation","Price"
2006-10-06,59,42.99
2006-10-13,30,43.41
2006-10-20,24,43.39
2006-10-27,35,43
2006-11-03,36,40.4
2006-11-10,32,42.07
2006-11-17,38,42.58
2006-11-24,27,44.02
2006-12-01,49,42.58
2006-12-08,31,43.66
2006-12-15,34,45.04
2006-12-22,28,45.5
2006-12-29,28,45.86
2007-01-05,38,48.69
2007-01-12,19,51.2
2007-01-19,35,49.25
2007-01-26,38,47.67
2007-02-02,36,50.96
2007-02-09,41,52.76
2007-02-16,43,50.7
2007-02-23,33,50.37
2007-03-02,32,47.24
2007-03-09,45,47.93
2007-03-16,27,47.65
2007-03-23,40,50.26
2007-03-30,44,50.95
2007-04-13,42,50.6
2007-04-20,26,51.17
2007-04-27,23,52.58
2007-05-04,42,48.95
2007-05-11,44,49.74
2007-05-18,28,49.1
2007-05-25,29,49.08
2007-06-01,39,48.67
2007-06-08,35,51.94
2007-06-15,32,52.79
2007-06-22,39,54.38
2007-06-29,39,54.55
2007-07-06,25,55.91
2007-07-13,34,57.4
2007-07-20,47,58.79
2007-07-27,35,54.58
2007-08-03,28,54.7
2007-08-10,40,58.28
2007-08-17,35,57.6
2007-08-24,37,58.95
2007-08-31,36,60.83
2007-09-07,35,58.79
2007-09-14,25,58.03
2007-09-21,24,58.05
2007-09-28,41,57.79
2007-10-05,30,61.01
2007-10-12,38,60.81
2007-10-19,20,57.68
2007-10-26,37,60.5
2007-11-02,38,62.26
2007-11-09,37,62.41
2007-11-16,26,62.47
2007-11-23,22,60.66
2007-11-30,41,62.77
2007-12-07,37,63.57
2007-12-14,30,60.67
2007-12-21,26,62.11
2007-12-28,19,62.69
2008-01-04,36,60.57
2008-01-11,52,51.13
2008-01-18,32,49.13
2008-01-25,28,47.96
2008-02-01,35,54.24
2008-02-08,42,54.82
2008-02-15,37,53.82
2008-02-22,38,53.49
2008-02-29,32,48.83
2008-03-07,38,47.5
2008-03-14,32,46.85
2008-03-28,29,48.28
2008-04-04,41,50.88
2008-04-11,24,48.69
2008-04-18,36,50.82
2008-04-25,40,52.51
2008-05-02,34,52.83
2008-05-09,33,56.93
2008-05-16,47,63.86
2008-05-23,30,62.92
2008-05-30,46,65.78
2008-06-06,36,57.19
2008-06-13,19,55.81
2008-06-20,37,54.53
2008-06-27,33,51.18
2008-07-11,36,48.14
2008-07-18,26,50.24
2008-07-25,40,51.14
2008-08-01,26,48.57
2008-08-08,20,49.2
2008-08-15,29,53.91
2008-08-22,29,51.75
2008-08-29,30,52.36
2008-09-05,24,49.41
2008-09-12,36,49.49
2008-09-19,35,48.01
2008-09-26,31,47.7
2008-10-03,40,42.95
2008-10-10,35,35.1
2008-10-17,30,35.62
2008-10-24,32,31.5
2008-10-31,24,35.95
2008-11-07,27,36.52
2008-11-14,25,33.04
2008-11-21,21,30.06
2008-11-28,25,34.88
2008-12-05,33,32.99
2008-12-12,24,36.13
2008-12-19,28,37.27
2008-12-26,17,36.62
2009-01-02,18,40.3
2009-01-09,26,38.66
2009-01-16,29,41.54
2009-01-23,29,42.81
2009-01-30,32,43.29
2009-02-06,27,44.86
2009-02-13,36,42.29
2009-02-20,35,39.14
2009-02-27,27,37.28
2009-03-06,28,31.41
2009-03-13,19,31.46
2009-03-20,30,30.8
2009-03-27,31,29.22
2009-04-03,29,30.49
2009-04-17,40,28.78
2009-04-24,37,29.99
2009-05-01,28,31.17
2009-05-08,29,28.88
2009-05-15,32,29.68
2009-05-22,29,30.23
2009-05-29,36,31.08
2009-06-05,29,30.98
2009-06-12,34,30.27
2009-06-19,31,28.81
2009-06-26,32,28.35
2009-07-10,29,27.59
2009-07-17,29,30.09
2009-07-24,36,31.45
2009-07-31,38,31.31
2009-08-07,40,31.36
2009-08-14,34,33.38
2009-08-21,34,35.23
2009-08-28,31,35.04
2009-09-04,25,34.99
2009-09-11,24,36.47
2009-09-18,46,36.57
2009-09-25,33,37.21
2009-10-02,35,36
2009-10-09,37,38.15
2009-10-16,31,39.88
2009-10-23,38,39.45
2009-10-30,41,41.72
2009-11-06,32,44.4
2009-11-13,36,44.43
2009-11-20,31,43.07
2009-11-27,22,43.84
2009-12-04,29,45.75
2009-12-11,25,45.44
2009-12-18,26,45.06
2010-01-08,33,48.69
2010-01-15,34,48
2010-01-22,35,45.78
2010-01-29,39,42.92
2010-02-05,33,44.73
2010-02-12,37,44.98
2010-02-19,33,47.23
2010-02-26,31,45.22
2010-03-05,40,46.35
2010-03-12,33,45.12
2010-03-19,37,46.05
2010-03-26,30,46.2
2010-04-09,26,48.88
2010-04-16,33,49.26
2010-04-23,38,50.3
2010-04-30,26,51.48
2010-05-07,25,46.8
2010-05-14,30,48.12
2010-05-21,30,46.18
2010-05-28,29,46.91
2010-06-04,31,45.58
2010-06-11,34,46.56
2010-06-18,26,48.49
2010-06-25,32,44.78
2010-07-02,31,41.18
2010-07-09,26,42.9
2010-07-16,31,43.34
2010-07-23,35,45.8
2010-07-30,30,44.53
2010-08-06,37,46.88
2010-08-13,27,43.82
2010-08-20,35,42.76
2010-08-27,34,42.87
2010-09-03,33,43.83
2010-09-10,34,42.92
2010-09-17,36,44.74
2010-09-24,31,45.37
2010-10-01,28,44.7
2010-10-08,33,43.73
2010-10-15,37,44.47
2010-10-22,23,43.8
2010-10-29,30,45.19
2010-11-05,36,47.33
2010-11-12,29,46.18
2010-11-19,33,46.43
2010-11-26,19,46.1
2010-12-03,31,45.57
2010-12-10,27,46.17
2010-12-17,20,46.4
2010-12-31,14,45.3
2011-01-07,29,46.36
2011-01-14,29,48.33
2011-01-21,29,47.56
2011-01-28,35,46.36
2011-02-04,34,47.36
2011-02-11,28,49.21
2011-02-18,30,48.65
2011-02-25,26,46.45
2011-03-04,25,46.18
2011-03-11,29,45.58
2011-03-18,21,46.52
2011-03-25,31,48.06
2011-04-01,25,50.05
2011-04-08,22,50.8
2011-04-15,22,50.05
2011-04-29,21,53.13
2011-05-06,27,48.16
2011-05-13,29,48.88
2011-05-20,23,49.48
2011-05-27,22,48.96
2011-06-03,20,46.75
2011-06-10,27,45.23
2011-06-17,23,44.34
2011-06-24,24,44.03
2011-07-01,19,45.55
2011-07-08,21,44.55
2011-07-15,31,42.52
2011-07-22,28,43.36
2011-07-29,36,39.87
2011-08-05,30,37.51
2011-08-12,34,36.7
2011-08-19,23,34.78
2011-08-26,31,37.69
2011-09-02,25,38.23
2011-09-09,24,38.51
2011-09-16,32,40.72
2011-09-23,33,35.54
2011-09-30,30,34.17
2011-10-07,31,34.54
2011-10-14,24,36.74
2011-10-21,24,36.79
2011-10-28,30,38.85
2011-11-04,25,37.99
2011-11-11,27,38.29
2011-11-18,27,36.53
2011-11-25,19,33.26
2011-12-02,21,35.87
2011-12-09,27,35.51
2011-12-16,18,34.29
2011-12-23,19,36.88
2011-12-30,16,36.04
2012-01-06,22,37.18
2012-01-13,24,38.41
2012-01-20,19,39.4
2012-01-27,24,39.7
2012-02-03,22,41.93
2012-02-10,22,42.18
2012-02-17,23,42.66
2012-02-24,23,43.11
2012-03-02,25,43.79
2012-03-09,22,43.62
2012-03-16,19,44.4
2012-03-23,26,44.05
2012-03-30,20,45.08
2012-04-13,15,44.42
2012-04-20,20,44.1
2012-04-27,22,45.64
2012-05-04,28,41.02
2012-05-11,19,41.23
2012-05-18,19,38.43
2012-05-25,21,39.37
2012-06-01,15,39.1
2012-06-08,17,40.86
2012-06-15,21,41.23
2012-06-22,18,41.39
2012-06-29,27,41.85
2012-07-06,21,41.96
2012-07-13,20,40.85
2012-07-20,26,41.25
2012-07-27,18,42.51
2012-08-03,22,43.27
2012-08-10,19,45.64
2012-08-17,22,46.35
2012-08-24,22,46.53
2012-08-31,25,47.03
2012-09-07,20,47.1
2012-09-14,23,50.52
2012-09-21,30,51.16
2012-09-28,20,51.22
2012-10-05,20,51.97
2012-10-12,19,48.84
2012-10-19,21,46.33
2012-10-26,13,47.14
2012-11-02,18,47.46
2012-11-09,16,48.65
2012-11-16,19,46.42
2012-11-23,14,46.83
2012-11-30,16,47.13
2012-12-07,24,48.49
2012-12-14,17,48.17
2012-12-21,17,49.67
2012-12-28,11,48.31
2013-01-04,16,49.88
2013-01-11,19,49.75
2013-01-18,23,49.94
2013-01-25,23,49.49
2013-02-01,19,46.28
2013-02-08,21,46.62
2013-02-15,16,47.61
2013-02-22,21,47.98
2013-03-01,19,47.71
2013-03-08,17,45.42
2013-03-15,17,44.36
2013-03-22,20,43.99
2013-04-05,17,44.52
2013-04-12,20,44.06
2013-04-19,19,41.98
2013-04-26,21,43.93
2013-05-03,15,46.47
2013-05-10,17,48.79
2013-05-17,17,50.46
2013-05-24,16,50.37
2013-05-31,15,50.13
2013-06-07,20,50.35
2013-06-14,14,49.82
2013-06-21,18,48.58
2013-06-28,18,49.25
2013-07-05,12,49.56
2013-07-12,22,51.76
2013-07-19,16,52.7
2013-07-26,14,52.74
2013-08-02,23,57.12
2013-08-09,18,57.65
2013-08-16,22,57.29
2013-08-23,15,56.97
2013-08-30,21,56.63
2013-09-06,16,57.28
2013-09-13,20,57.93
2013-09-20,15,58.15
2013-09-27,23,59.23
2013-10-04,22,59.59
2013-10-11,17,59.3
2013-10-18,21,59.5
2013-10-25,22,59.61
2013-11-01,17,61.72
2013-11-08,19,63.62
2013-11-15,15,64.42
2013-11-22,12,65.49
2013-11-29,13,64.51
2013-12-06,15,66.42
2013-12-13,15,65.55
2013-12-20,15,68.74
2013-12-27,8,70.16
2014-01-03,13,69.3
2014-01-10,17,68.96
2014-01-17,20,70.54
2014-01-24,20,68.06
2014-01-31,17,69.34
2014-02-07,14,70.92
2014-02-14,17,72
2014-02-21,18,72.85
2014-02-28,17,73.82
2014-03-07,19,74.72
2014-03-14,18,72.56
2014-03-21,20,73.55
2014-03-28,16,71.88
2014-04-04,15,72.43
2014-04-11,15,69.58
2014-04-25,18,71.62
