"Date","NSC","Price"
2005-10-21,74,38.83
2005-10-28,72,39.76
2005-11-04,60,41.55
2005-11-11,66,42.39
2005-11-18,73,43.87
2005-11-25,75,43.89
2005-12-02,82,44.13
2005-12-09,74,42.91
2005-12-16,74,43.01
2005-12-23,78,45.2
2005-12-30,67,44.83
2006-01-06,81,42.16
2006-01-13,83,42.48
2006-01-20,76,44.27
2006-01-27,73,49.48
2006-02-03,81,49.24
2006-02-10,95,49
2006-02-17,85,49.35
2006-02-24,81,49.96
2006-03-03,61,52.12
2006-03-10,74,50.83
2006-03-17,64,53.94
2006-03-24,62,53.3
2006-03-31,65,54.07
2006-04-07,74,54.4
2006-04-21,66,56.18
2006-04-28,76,54
2006-05-05,67,56.2
2006-05-12,79,54.37
2006-05-19,80,50.52
2006-05-26,76,52.94
2006-06-02,72,53.6
2006-06-09,74,48.54
2006-06-16,72,50.42
2006-06-23,61,50.89
2006-06-30,54,53.22
2006-07-07,55,51.55
2006-07-14,65,49.3
2006-07-21,69,46.37
2006-07-28,79,43.76
2006-08-04,76,41.93
2006-08-11,79,40.93
2006-08-18,68,44.29
2006-08-25,78,42.4
2006-09-01,67,42.61
2006-09-08,70,41.31
2006-09-15,63,43.05
2006-09-22,69,41.77
2006-09-29,64,44.05
2006-10-06,50,45.7
2006-10-13,65,46.82
2006-10-20,64,48.2
2006-10-27,76,53.33
2006-11-03,57,51.83
2006-11-10,70,52.61
2006-11-17,64,51.09
2006-11-24,77,49.77
2006-12-01,57,48.94
2006-12-08,64,50.65
2006-12-15,73,51.13
2006-12-22,52,48.93
2006-12-29,66,50.29
2007-01-05,68,49.2
2007-01-12,84,50.3
2007-01-19,70,52.98
2007-01-26,77,48
2007-02-02,82,50.88
2007-02-09,67,48.94
2007-02-16,70,51.18
2007-02-23,77,50.95
2007-03-02,74,46.34
2007-03-09,75,48.54
2007-03-16,72,48.77
2007-03-23,65,51.97
2007-03-30,67,50.6
2007-04-13,75,53.89
2007-04-20,70,56.06
2007-04-27,70,53.62
2007-05-04,72,53.92
2007-05-11,70,55.22
2007-05-18,72,58.13
2007-05-25,73,57.23
2007-06-01,69,58.64
2007-06-08,65,54.89
2007-06-15,82,55.88
2007-06-22,67,53.91
2007-06-29,67,52.57
2007-07-06,66,54.02
2007-07-13,75,55.85
2007-07-20,58,56.84
2007-07-27,71,52.34
2007-08-03,85,50.84
2007-08-10,68,51.3
2007-08-17,65,50.97
2007-08-24,62,51.53
2007-08-31,65,51.21
2007-09-07,63,49.66
2007-09-14,67,50.91
2007-09-21,65,51.25
2007-09-28,72,51.91
2007-10-05,65,53.4
2007-10-12,59,53.6
2007-10-19,64,51.91
2007-10-26,66,51.15
2007-11-02,73,50.84
2007-11-09,65,50.47
2007-11-16,64,50.44
2007-11-23,64,49.55
2007-11-30,68,51.21
2007-12-07,68,53.32
2007-12-14,62,50.64
2007-12-21,59,49.99
2007-12-28,71,51
2008-01-04,76,47.88
2008-01-11,72,46.46
2008-01-18,71,44.15
2008-01-25,71,50.74
2008-02-01,72,56.29
2008-02-08,72,54.41
2008-02-15,77,53.94
2008-02-22,68,53.18
2008-02-29,62,52.89
2008-03-07,76,51.94
2008-03-14,69,52.93
2008-03-28,62,54.25
2008-04-04,69,56.8
2008-04-11,66,54.99
2008-04-18,70,61.64
2008-04-25,65,60.13
2008-05-02,65,60.19
2008-05-09,70,61.9
2008-05-16,58,64.31
2008-05-23,67,62.74
2008-05-30,70,67.38
2008-06-06,65,64.18
2008-06-13,62,63.42
2008-06-20,64,63.74
2008-06-27,62,61.04
2008-07-11,68,61.78
2008-07-18,64,63.42
2008-07-25,75,70.11
2008-08-01,65,70.62
2008-08-08,73,73.55
2008-08-15,67,70.58
2008-08-22,71,70.99
2008-08-29,68,73.53
2008-09-05,67,66.39
2008-09-12,69,67.97
2008-09-19,74,70.36
2008-09-26,67,69.93
2008-10-03,64,56.17
2008-10-10,62,52.05
2008-10-17,66,52.54
2008-10-24,65,53.12
2008-10-31,68,59.94
2008-11-07,67,53.72
2008-11-14,67,51.98
2008-11-21,64,45.68
2008-11-28,60,49.47
2008-12-05,67,46.14
2008-12-12,75,44.52
2008-12-19,64,44.56
2008-12-26,54,44.36
2009-01-02,70,49.07
2009-01-09,71,46.55
2009-01-16,62,37.81
2009-01-23,76,34.15
2009-01-30,75,38.36
2009-02-06,74,41.27
2009-02-13,76,37.73
2009-02-20,66,33.97
2009-02-27,66,31.72
2009-03-06,72,27.41
2009-03-13,70,29.28
2009-03-20,66,30.46
2009-03-27,64,34.88
2009-04-03,63,37.45
2009-04-17,64,37.79
2009-04-24,68,37.79
2009-05-01,57,35.8
2009-05-08,71,38.01
2009-05-15,66,35.08
2009-05-22,74,35.21
2009-05-29,65,37.2
2009-06-05,67,40.7
2009-06-12,72,41.23
2009-06-19,62,38.46
2009-06-26,61,39.19
2009-07-10,59,36.65
2009-07-17,66,41.39
2009-07-24,79,44.84
2009-07-31,79,43.25
2009-08-07,70,46.37
2009-08-14,65,47.27
2009-08-21,69,47.54
2009-08-28,69,46.91
2009-09-04,77,47.96
2009-09-11,68,48.68
2009-09-18,65,46.34
2009-09-25,60,43.96
2009-10-02,61,43.26
2009-10-09,65,46.16
2009-10-16,64,49.15
2009-10-23,59,46.88
2009-10-30,66,46.62
2009-11-06,64,52.07
2009-11-13,62,51.67
2009-11-20,61,51.4
2009-11-27,61,51.19
2009-12-04,58,52.84
2009-12-11,67,52.22
2009-12-18,60,52.04
2010-01-08,82,54.36
2010-01-15,77,52.78
2010-01-22,75,49.65
2010-01-29,69,47.06
2010-02-05,69,47.1
2010-02-12,74,48.48
2010-02-19,66,51.01
2010-02-26,60,51.43
2010-03-05,65,52.97
2010-03-12,70,54.45
2010-03-19,67,55.33
2010-03-26,68,54.83
2010-04-09,65,57.91
2010-04-16,63,59.47
2010-04-23,67,60.88
2010-04-30,66,59.33
2010-05-07,65,55.22
2010-05-14,66,58.29
2010-05-21,66,54.81
2010-05-28,64,56.46
2010-06-04,64,53.4
2010-06-11,60,56.8
2010-06-18,62,59.09
2010-06-25,65,56.68
2010-07-02,63,50.91
2010-07-09,64,53.81
2010-07-16,66,53.36
2010-07-23,69,56.46
2010-07-30,71,56.27
2010-08-06,66,57.06
2010-08-13,62,54.68
2010-08-20,72,54.44
2010-08-27,62,54.55
2010-09-03,65,57.91
2010-09-10,71,58.85
2010-09-17,69,58.45
2010-09-24,70,59.88
2010-10-01,59,59.02
2010-10-08,70,60.53
2010-10-15,66,61.51
2010-10-22,68,62.1
2010-10-29,74,61.49
2010-11-05,66,62.31
2010-11-12,69,60.96
2010-11-19,58,61.38
2010-11-26,60,60.84
2010-12-03,64,62.88
2010-12-10,66,62.69
2010-12-17,65,62.67
2010-12-31,67,62.82
2011-01-07,82,65.04
2011-01-14,73,65.4
2011-01-21,75,63.77
2011-01-28,69,60.38
2011-02-04,64,61.07
2011-02-11,70,64.1
2011-02-18,70,65
2011-02-25,66,64.66
2011-03-04,64,65.3
2011-03-11,66,66.53
2011-03-18,69,66.28
2011-03-25,66,68.68
2011-04-01,64,69.32
2011-04-08,68,67.69
2011-04-15,63,67.74
2011-04-29,67,74.68
2011-05-06,67,72.95
2011-05-13,74,71.57
2011-05-20,65,72.26
2011-05-27,72,72.57
2011-06-03,65,70.72
2011-06-10,62,70.37
2011-06-17,59,70.97
2011-06-24,65,71.67
2011-07-01,62,76.93
2011-07-08,62,75.68
2011-07-15,64,73.91
2011-07-22,70,76.21
2011-07-29,67,75.7
2011-08-05,68,69.19
2011-08-12,67,68.17
2011-08-19,59,63.06
2011-08-26,68,65.18
2011-09-02,63,65.12
2011-09-09,66,64.83
2011-09-16,68,70.42
2011-09-23,70,61.53
2011-09-30,65,61.02
2011-10-07,64,64.87
2011-10-14,65,68.17
2011-10-21,69,70.9
2011-10-28,71,74.98
2011-11-04,66,73.54
2011-11-11,67,75.69
2011-11-18,69,73.29
2011-11-25,58,70.44
2011-12-02,66,75.01
2011-12-09,67,73.79
2011-12-16,64,69.82
2011-12-23,59,72.76
2011-12-30,64,72.86
2012-01-06,84,75.31
2012-01-13,70,76.5
2012-01-20,69,77.26
2012-01-27,67,73.94
2012-02-03,71,73.61
2012-02-10,71,71.53
2012-02-17,64,68.81
2012-02-24,66,70.03
2012-03-02,71,68.1
2012-03-09,66,66.48
2012-03-16,65,68.98
2012-03-23,70,64.45
2012-03-30,66,65.83
2012-04-13,57,67.44
2012-04-20,68,69.53
2012-04-27,69,73.37
2012-05-04,66,71.63
2012-05-11,57,68.44
2012-05-18,63,65.34
2012-05-25,68,66.43
2012-06-01,64,64.29
2012-06-08,64,66.44
2012-06-15,66,68.97
2012-06-22,65,70
2012-06-29,59,71.77
2012-07-06,61,72.2
2012-07-13,62,73.69
2012-07-20,63,72.99
2012-07-27,65,74.69
2012-08-03,59,74.94
2012-08-10,56,74.56
2012-08-17,60,75.1
2012-08-24,64,73.6
2012-08-31,66,72.46
2012-09-07,70,71.92
2012-09-14,64,74.69
2012-09-21,69,65
2012-09-28,62,63.63
2012-10-05,66,66.9
2012-10-12,67,67.28
2012-10-19,65,65.64
2012-10-26,69,62.77
2012-11-02,62,61.13
2012-11-09,62,58
2012-11-16,62,56.34
2012-11-23,58,57.76
2012-11-30,61,60.38
2012-12-07,61,61.51
2012-12-14,60,61.36
2012-12-21,58,62.55
2012-12-28,61,61.07
2013-01-04,81,65.37
2013-01-11,72,64.04
2013-01-18,65,66.7
2013-01-25,71,69.69
2013-02-01,71,69.6
2013-02-08,66,69
2013-02-15,73,71.5
2013-02-22,68,73.11
2013-03-01,66,73.75
2013-03-08,62,74.77
2013-03-15,61,75.62
2013-03-22,66,74.65
2013-04-05,59,74.52
2013-04-12,60,76.81
2013-04-19,63,74.75
2013-04-26,62,75.56
2013-05-03,65,77.81
2013-05-10,66,79.01
2013-05-17,65,80.23
2013-05-24,65,77.64
2013-05-31,66,76.59
2013-06-07,67,77.41
2013-06-14,64,76.17
2013-06-21,70,72.9
2013-06-28,63,72.65
2013-07-05,61,72.33
2013-07-12,58,75.2
2013-07-19,65,78.08
2013-07-26,63,73.92
2013-08-02,64,75.5
2013-08-09,57,73.98
2013-08-16,63,74
2013-08-23,69,74.46
2013-08-30,66,72.16
2013-09-06,67,74.39
2013-09-13,63,75.64
2013-09-20,65,77.72
2013-09-27,68,77.79
2013-10-04,63,77.51
2013-10-11,59,78.75
2013-10-18,66,79.89
2013-10-25,69,87.65
2013-11-01,81,87
2013-11-08,78,85.62
2013-11-15,67,87.15
2013-11-22,73,87.12
2013-11-29,79,87.69
2013-12-06,73,89.67
2013-12-13,67,87.97
2013-12-20,66,91.32
2013-12-27,63,92.33
2014-01-03,73,91.37
2014-01-10,89,91.59
2014-01-17,73,88.99
2014-01-24,69,89.61
2014-01-31,71,92.59
2014-02-07,71,94.74
2014-02-14,69,92.84
2014-02-21,66,90.47
2014-02-28,65,91.91
2014-03-07,69,94.29
2014-03-14,68,94.53
2014-03-21,66,96.47
2014-03-28,66,96.35
2014-04-04,71,96.64
2014-04-11,66,93.15
2014-04-25,66,94.03
