"Date","Public.Storage","Price"
2007-02-23,58,106.37
2007-03-02,74,97.68
2007-03-09,77,99.18
2007-03-16,54,95.79
2007-03-23,59,97.48
2007-03-30,74,94.67
2007-04-13,70,93.97
2007-04-20,60,95.71
2007-04-27,83,95.31
2007-05-04,94,89.89
2007-05-11,78,87.98
2007-05-18,67,83.18
2007-05-25,67,82.57
2007-06-01,91,89.25
2007-06-08,83,84.25
2007-06-15,68,83.05
2007-06-22,68,79.05
2007-06-29,84,76.82
2007-07-06,84,80.48
2007-07-13,69,78.75
2007-07-20,73,76.14
2007-07-27,73,69.7
2007-08-03,100,71.92
2007-08-10,79,71.58
2007-08-17,62,75.17
2007-08-24,58,75.37
2007-08-31,90,75.78
2007-09-07,78,74.23
2007-09-14,62,76.59
2007-09-21,50,77.67
2007-09-28,61,78.65
2007-10-05,81,85.45
2007-10-12,56,82.65
2007-10-19,49,75.67
2007-10-26,55,78.48
2007-11-02,65,75.77
2007-11-09,62,75.08
2007-11-16,49,75.19
2007-11-23,43,76.25
2007-11-30,58,77.34
2007-12-07,64,79.22
2007-12-14,52,73.01
2007-12-21,45,76.98
2007-12-28,44,73.16
2008-01-04,73,69.91
2008-01-11,59,71.86
2008-01-18,51,72.02
2008-01-25,48,76.92
2008-02-01,66,81.07
2008-02-08,65,73.74
2008-02-15,47,74.01
2008-02-22,46,76.96
2008-02-29,71,81.36
2008-03-07,65,78.92
2008-03-14,60,85.03
2008-03-28,61,88.2
2008-04-04,77,90.76
2008-04-11,65,89.79
2008-04-18,56,94.46
2008-04-25,66,96.79
2008-05-02,96,92.1
2008-05-09,85,86.26
2008-05-16,72,89.52
2008-05-23,65,85.59
2008-05-30,81,88.13
2008-06-06,79,85.73
2008-06-13,68,85.85
2008-06-20,59,82.14
2008-06-27,71,79.59
2008-07-11,74,78.39
2008-07-18,62,84.39
2008-07-25,79,81.97
2008-08-01,90,81.32
2008-08-08,89,87
2008-08-15,70,88.44
2008-08-22,61,88.19
2008-08-29,73,88.32
2008-09-05,76,88.52
2008-09-12,54,89.51
2008-09-19,49,100.77
2008-09-26,54,97.67
2008-10-03,76,88.02
2008-10-10,59,84.8
2008-10-17,46,77.07
2008-10-24,48,70.13
2008-10-31,59,81.5
2008-11-07,69,76
2008-11-14,55,64.46
2008-11-21,45,60
2008-11-28,43,69.89
2008-12-05,76,69.51
2008-12-12,55,68.78
2008-12-19,44,75.31
2008-12-26,38,74.75
2009-01-02,67,75.58
2009-01-09,66,65.61
2009-01-16,47,67.34
2009-01-23,50,63.87
2009-01-30,59,61.87
2009-02-06,72,65.01
2009-02-13,56,57.52
2009-02-20,50,55.07
2009-02-27,61,55.48
2009-03-06,71,48.83
2009-03-13,56,56.77
2009-03-20,49,51.54
2009-03-27,54,54.14
2009-04-03,76,62.11
2009-04-17,55,64.83
2009-04-24,60,67.06
2009-05-01,78,64.66
2009-05-08,75,66.32
2009-05-15,66,61.4
2009-05-22,52,64.05
2009-05-29,65,66.61
2009-06-05,88,66.48
2009-06-12,57,67.66
2009-06-19,53,64.71
2009-06-26,52,64.66
2009-07-10,68,62.42
2009-07-17,53,66.06
2009-07-24,65,69.72
2009-07-31,75,72.57
2009-08-07,75,77.38
2009-08-14,62,71.49
2009-08-21,45,70.33
2009-08-28,59,71.46
2009-09-04,77,69.65
2009-09-11,61,69.89
2009-09-18,51,77.71
2009-09-25,45,74.18
2009-10-02,69,71.68
2009-10-09,58,72.48
2009-10-16,46,73.23
2009-10-23,39,74.75
2009-10-30,45,73.6
2009-11-06,58,75.98
2009-11-13,43,79.94
2009-11-20,36,78.6
2009-11-27,37,76.44
2009-12-04,63,79.81
2009-12-11,46,77.7
2009-12-18,34,79.36
2010-01-08,61,78.73
2010-01-15,41,78.97
2010-01-22,44,77.67
2010-01-29,47,79.18
2010-02-05,67,77.63
2010-02-12,46,76.55
2010-02-19,39,81.7
2010-02-26,45,82.19
2010-03-05,65,87.42
2010-03-12,48,88.99
2010-03-19,40,90.91
2010-03-26,42,92.14
2010-04-09,66,94.63
2010-04-16,46,91.86
2010-04-23,48,96.14
2010-04-30,62,96.91
2010-05-07,72,92.96
2010-05-14,50,93.84
2010-05-21,46,90.47
2010-05-28,57,92.69
2010-06-04,71,87.72
2010-06-11,55,91.27
2010-06-18,48,93.82
2010-06-25,50,93.28
2010-07-02,69,86.68
2010-07-09,74,92.38
2010-07-16,51,91.38
2010-07-23,54,96.66
2010-07-30,72,98.12
2010-08-06,85,99.34
2010-08-13,58,98.16
2010-08-20,54,97.75
2010-08-27,58,97.93
2010-09-03,76,103.62
2010-09-10,69,102.16
2010-09-17,52,102.71
2010-09-24,52,100.97
2010-10-01,71,97.98
2010-10-08,64,97.67
2010-10-15,47,100.96
2010-10-22,47,103.08
2010-10-29,53,99.22
2010-11-05,75,104.74
2010-11-12,57,101.16
2010-11-19,48,97.06
2010-11-26,44,98.01
2010-12-03,75,99.18
2010-12-10,67,100.4
2010-12-17,49,98.2
2010-12-31,70,101.42
2011-01-07,82,101.74
2011-01-14,56,103.72
2011-01-21,49,105.52
2011-01-28,55,106.47
2011-02-04,77,109.11
2011-02-11,58,111.36
2011-02-18,49,111.65
2011-02-25,50,110.57
2011-03-04,77,109.11
2011-03-11,59,110.78
2011-03-18,46,107.62
2011-03-25,48,108.05
2011-04-01,77,111
2011-04-08,76,108.5
2011-04-15,57,111.47
2011-04-29,70,117.31
2011-05-06,89,116.03
2011-05-13,62,116.33
2011-05-20,55,116.08
2011-05-27,60,115.97
2011-06-03,88,115.92
2011-06-10,79,112.22
2011-06-17,62,111.77
2011-06-24,60,110.73
2011-07-01,89,115.81
2011-07-08,86,119.4
2011-07-15,69,119.19
2011-07-22,66,123.23
2011-07-29,78,119.63
2011-08-05,97,110.31
2011-08-12,69,116.97
2011-08-19,62,113.95
2011-08-26,65,120.11
2011-09-02,88,118.59
2011-09-09,77,120.66
2011-09-16,55,122.94
2011-09-23,54,113.7
2011-09-30,78,111.35
2011-10-07,80,108.23
2011-10-14,55,114.91
2011-10-21,51,119.66
2011-10-28,57,131.52
2011-11-04,87,124.82
2011-11-11,65,125.66
2011-11-18,53,125.11
2011-11-25,45,122.3
2011-12-02,72,129.55
2011-12-09,70,130.17
2011-12-16,48,128.39
2011-12-23,47,134.51
2011-12-30,63,134.46
2012-01-06,81,132.28
2012-01-13,54,134.94
2012-01-20,48,135.83
2012-01-27,52,137.52
2012-02-03,74,141.34
2012-02-10,65,137.71
2012-02-17,43,138.74
2012-02-24,51,137.12
2012-03-02,71,133.4
2012-03-09,68,130.72
2012-03-16,49,136.52
2012-03-23,46,137.07
2012-03-30,56,138.17
2012-04-13,52,136.78
2012-04-20,46,139.72
2012-04-27,56,143.91
2012-05-04,84,140.49
2012-05-11,66,139.42
2012-05-18,51,130.51
2012-05-25,53,133.29
2012-06-01,74,132
2012-06-08,78,138.71
2012-06-15,55,137.78
2012-06-22,55,137.99
2012-06-29,70,144.41
2012-07-06,83,144.61
2012-07-13,56,146.67
2012-07-20,54,145.76
2012-07-27,62,149.37
2012-08-03,93,147.9
2012-08-10,75,144.56
2012-08-17,53,145.39
2012-08-24,60,142.68
2012-08-31,79,145.56
2012-09-07,86,146.82
2012-09-14,60,148.77
2012-09-21,53,141.51
2012-09-28,65,139.17
2012-10-05,84,139.19
2012-10-12,56,136.54
2012-10-19,47,138.02
2012-10-26,48,136.56
2012-11-02,70,140.3
2012-11-09,67,145.7
2012-11-16,48,143.86
2012-11-23,38,145.27
2012-11-30,67,140.64
2012-12-07,69,142.32
2012-12-14,44,140.1
2012-12-21,40,145.23
2012-12-28,41,143.46
2013-01-04,77,146.22
2013-01-11,59,147.05
2013-01-18,41,150.26
2013-01-25,44,152.7
2013-02-01,65,155.5
2013-02-08,65,157.4
2013-02-15,44,151.26
2013-02-22,43,152.41
2013-03-01,61,151.95
2013-03-08,65,150.47
2013-03-15,45,148.25
2013-03-22,42,150.71
2013-04-05,76,155.1
2013-04-12,55,158.51
2013-04-19,44,158.8
2013-04-26,51,159.97
2013-05-03,82,166.48
2013-05-10,68,164.27
2013-05-17,49,167.45
2013-05-24,54,162.59
2013-05-31,70,151.8
2013-06-07,80,153.78
2013-06-14,59,151.8
2013-06-21,54,149.73
2013-06-28,63,153.33
2013-07-05,88,152.87
2013-07-12,63,159.08
2013-07-19,55,162.54
2013-07-26,59,161
2013-08-02,85,160.73
2013-08-09,74,163.15
2013-08-16,54,153.95
2013-08-23,55,157.68
2013-08-30,71,152.67
2013-09-06,91,153.02
2013-09-13,60,156.03
2013-09-20,56,163.83
2013-09-27,57,162.59
2013-10-04,82,162.76
2013-10-11,61,168.41
2013-10-18,48,172.16
2013-10-25,51,174.26
2013-11-01,70,168.99
2013-11-08,73,159.91
2013-11-15,50,162.41
2013-11-22,52,154.86
2013-11-29,54,152.7
2013-12-06,76,154
2013-12-13,49,149.54
2013-12-20,45,151.82
2013-12-27,45,151.12
2014-01-03,82,150.11
2014-01-10,69,154.26
2014-01-17,45,154.97
2014-01-24,49,152.42
2014-01-31,67,157.59
2014-02-07,67,160.25
2014-02-14,51,165.75
2014-02-21,48,166.44
2014-02-28,67,169
2014-03-07,78,167.55
2014-03-14,56,168.17
2014-03-21,47,169.36
2014-03-28,59,168.03
2014-04-04,89,169.55
2014-04-11,65,168.48
2014-04-25,54,173.58
