"Date","Texas.Instruments","Price"
2006-07-28,35,29.35
2006-08-04,38,30.03
2006-08-11,41,30.52
2006-08-18,49,33.09
2006-08-25,51,31.44
2006-09-01,56,31.93
2006-09-08,64,31
2006-09-15,59,31.93
2006-09-22,50,32.01
2006-09-29,51,33.25
2006-10-06,44,31.31
2006-10-13,52,32.81
2006-10-20,43,31.37
2006-10-27,44,29.9
2006-11-03,44,29.57
2006-11-10,41,28.74
2006-11-17,41,30.04
2006-11-24,35,30.02
2006-12-01,38,29.13
2006-12-08,39,29.4
2006-12-15,41,29.67
2006-12-22,36,28.55
2006-12-29,25,28.8
2007-01-05,29,28.76
2007-01-12,40,29.06
2007-01-19,40,28.39
2007-01-26,49,31.02
2007-02-02,43,31.39
2007-02-09,41,30.92
2007-02-16,39,30.78
2007-02-23,36,32.21
2007-03-02,35,30.76
2007-03-09,36,32.46
2007-03-16,31,31.28
2007-03-23,36,31.36
2007-03-30,36,30.1
2007-04-13,33,30.83
2007-04-20,29,32.5
2007-04-27,33,34.83
2007-05-04,28,35.16
2007-05-11,33,36.7
2007-05-18,33,35.87
2007-05-25,33,34.89
2007-06-01,32,35.92
2007-06-08,32,35.97
2007-06-15,33,36.86
2007-06-22,32,37.11
2007-06-29,28,37.63
2007-07-06,30,38.34
2007-07-13,30,38.7
2007-07-20,30,38.01
2007-07-27,32,35.13
2007-08-03,29,33.74
2007-08-10,34,33.09
2007-08-17,37,33.09
2007-08-24,41,35.05
2007-08-31,47,34.24
2007-09-07,43,35.3
2007-09-14,45,34.68
2007-09-21,41,36.62
2007-09-28,40,36.59
2007-10-05,40,36.54
2007-10-12,34,35.39
2007-10-19,34,33.92
2007-10-26,36,31.72
2007-11-02,31,32.11
2007-11-09,30,31.77
2007-11-16,29,31.74
2007-11-23,28,30.91
2007-11-30,32,31.57
2007-12-07,31,32.48
2007-12-14,32,33.29
2007-12-21,26,33.8
2007-12-28,21,33.49
2008-01-04,23,30.53
2008-01-11,31,29.9
2008-01-18,30,29.46
2008-01-25,34,29.79
2008-02-01,31,31.52
2008-02-08,30,29.6
2008-02-15,30,30.13
2008-02-22,28,30.17
2008-02-29,29,29.96
2008-03-07,26,29.3
2008-03-14,32,28.21
2008-03-28,25,28.34
2008-04-04,28,29.89
2008-04-11,27,29.42
2008-04-18,25,29.6
2008-04-25,27,29.56
2008-05-02,27,29.7
2008-05-09,25,29.81
2008-05-16,23,31.79
2008-05-23,24,31.75
2008-05-30,24,32.48
2008-06-06,25,31.24
2008-06-13,26,30.17
2008-06-20,25,29.4
2008-06-27,20,28.51
2008-07-11,21,27.5
2008-07-18,24,28.82
2008-07-25,24,24
2008-08-01,23,24.14
2008-08-08,26,25.74
2008-08-15,30,25.52
2008-08-22,32,24.65
2008-08-29,37,24.51
2008-09-05,36,22.64
2008-09-12,38,22.15
2008-09-19,31,23.6
2008-09-26,30,23.26
2008-10-03,29,21.06
2008-10-10,28,19.16
2008-10-17,26,17.65
2008-10-24,30,16.95
2008-10-31,25,19.56
2008-11-07,26,17.22
2008-11-14,25,16.11
2008-11-21,27,14.67
2008-11-28,21,15.57
2008-12-05,23,14.56
2008-12-12,25,15.59
2008-12-19,20,15.08
2008-12-26,14,14.35
2009-01-02,15,16.04
2009-01-09,22,14.96
2009-01-16,27,15.02
2009-01-23,27,14.99
2009-01-30,33,14.95
2009-02-06,27,17.38
2009-02-13,24,16.95
2009-02-20,23,15.04
2009-02-27,23,14.35
2009-03-06,24,14.71
2009-03-13,23,16.21
2009-03-20,21,15.78
2009-03-27,23,17.12
2009-04-03,23,16.96
2009-04-17,20,17.97
2009-04-24,21,17.88
2009-05-01,20,17.95
2009-05-08,23,17.3
2009-05-15,21,17.63
2009-05-22,21,18.5
2009-05-29,21,19.4
2009-06-05,20,19.68
2009-06-12,22,20.79
2009-06-19,23,21.66
2009-06-26,21,21.45
2009-07-10,20,20.45
2009-07-17,20,23.01
2009-07-24,23,24.09
2009-07-31,21,24.05
2009-08-07,24,24.1
2009-08-14,27,23.96
2009-08-21,28,24.54
2009-08-28,33,24.97
2009-09-04,30,24.86
2009-09-11,33,24.39
2009-09-18,30,24.06
2009-09-25,30,23.35
2009-10-02,29,22.49
2009-10-09,28,23.64
2009-10-16,26,22.75
2009-10-23,28,23.5
2009-10-30,26,23.45
2009-11-06,25,24.04
2009-11-13,24,25.44
2009-11-20,25,24.74
2009-11-27,22,25.25
2009-12-04,24,26.85
2009-12-11,24,25.64
2009-12-18,22,25.46
2010-01-08,23,26.34
2010-01-15,24,24.5
2010-01-22,26,23.11
2010-01-29,25,22.5
2010-02-05,24,22.97
2010-02-12,23,24.03
2010-02-19,22,25.01
2010-02-26,23,24.38
2010-03-05,22,24.97
2010-03-12,23,24
2010-03-19,21,24.36
2010-03-26,22,24.75
2010-04-09,20,24.94
2010-04-16,20,26.58
2010-04-23,21,26.67
2010-04-30,20,26.01
2010-05-07,22,24.74
2010-05-14,20,24.88
2010-05-21,20,24.57
2010-05-28,19,24.42
2010-06-04,20,24.18
2010-06-11,21,24.45
2010-06-18,17,25.45
2010-06-25,18,24.04
2010-07-02,17,23.11
2010-07-09,15,24.48
2010-07-16,18,24.77
2010-07-23,19,25.38
2010-07-30,18,24.69
2010-08-06,19,25.46
2010-08-13,22,24.28
2010-08-20,24,24.7
2010-08-27,27,24.15
2010-09-03,28,24.33
2010-09-10,27,23.7
2010-09-17,25,25.72
2010-09-24,24,26.93
2010-10-01,22,27.25
2010-10-08,21,28.73
2010-10-15,19,28.72
2010-10-22,21,28.66
2010-10-29,19,29.57
2010-11-05,20,31.47
2010-11-12,19,30.95
2010-11-19,20,31.94
2010-11-26,16,32.2
2010-12-03,19,32.82
2010-12-10,17,32.8
2010-12-17,17,32.53
2010-12-31,12,32.5
2011-01-07,16,33.22
2011-01-14,18,34.04
2011-01-21,21,33.91
2011-01-28,19,34.27
2011-02-04,19,35.44
2011-02-11,19,35.62
2011-02-18,19,36.23
2011-02-25,18,35.62
2011-03-04,17,36.27
2011-03-11,17,34.39
2011-03-18,17,33.36
2011-03-25,17,34.64
2011-04-01,18,34.23
2011-04-08,24,35.17
2011-04-15,17,34.99
2011-04-29,16,35.53
2011-05-06,17,35.23
2011-05-13,17,35.18
2011-05-20,17,35
2011-05-27,16,34.72
2011-06-03,15,33.5
2011-06-10,16,32.15
2011-06-17,14,31.24
2011-06-24,16,31.53
2011-07-01,15,33.52
2011-07-08,14,32.88
2011-07-15,15,30.82
2011-07-22,15,31.78
2011-07-29,15,29.75
2011-08-05,17,27.19
2011-08-12,18,27.18
2011-08-19,20,24.82
2011-08-26,23,25.52
2011-09-02,21,25.08
2011-09-09,23,26.08
2011-09-16,22,27.82
2011-09-23,21,27.22
2011-09-30,22,26.65
2011-10-07,19,28.95
2011-10-14,19,30.93
2011-10-21,20,30.46
2011-10-28,20,31.5
2011-11-04,17,31.79
2011-11-11,18,31.5
2011-11-18,17,30.05
2011-11-25,16,27.79
2011-12-02,17,29.97
2011-12-09,18,29.94
2011-12-16,17,28.69
2011-12-23,13,29.73
2011-12-30,10,29.11
2012-01-06,13,29.78
2012-01-13,16,30.95
2012-01-20,18,33.64
2012-01-27,19,32.61
2012-02-03,17,33.93
2012-02-10,17,33.36
2012-02-17,17,33.59
2012-02-24,15,33.32
2012-03-02,15,32.82
2012-03-09,17,32.27
2012-03-16,14,33.02
2012-03-23,16,33.35
2012-03-30,14,33.61
2012-04-13,14,32.18
2012-04-20,15,32.47
2012-04-27,16,32.17
2012-05-04,15,30.59
2012-05-11,16,30.74
2012-05-18,14,28.73
2012-05-25,16,28.94
2012-06-01,15,27
2012-06-08,15,28.52
2012-06-15,14,27.86
2012-06-22,14,28.05
2012-06-29,12,28.69
2012-07-06,12,27.72
2012-07-13,12,27.02
2012-07-20,13,27.25
2012-07-27,13,27.34
2012-08-03,14,28.27
2012-08-10,15,29.75
2012-08-17,17,29.86
2012-08-24,20,29.56
2012-08-31,20,29.04
2012-09-07,22,29.18
2012-09-14,21,29.56
2012-09-21,19,28.99
2012-09-28,18,27.56
2012-10-05,17,28.16
2012-10-12,16,27.28
2012-10-19,17,27.81
2012-10-26,15,28.92
2012-11-02,14,28.53
2012-11-09,15,29.51
2012-11-16,17,28.32
2012-11-23,14,29.59
2012-11-30,15,29.47
2012-12-07,14,29.85
2012-12-14,14,30.8
2012-12-21,12,30.93
2012-12-28,9,30.47
2013-01-04,10,31.82
2013-01-11,15,32.42
2013-01-18,15,33.52
2013-01-25,15,32.8
2013-02-01,16,33.72
2013-02-08,16,34.28
2013-02-15,14,33.59
2013-02-22,13,34.18
2013-03-01,14,34.52
2013-03-08,14,35.29
2013-03-15,13,35.08
2013-03-22,14,34.46
2013-04-05,12,34.2
2013-04-12,13,35.85
2013-04-19,13,34.25
2013-04-26,13,35.74
2013-05-03,12,37.01
2013-05-10,12,37.04
2013-05-17,12,36.77
2013-05-24,12,35.99
2013-05-31,11,35.91
2013-06-07,12,36.18
2013-06-14,12,35.48
2013-06-21,12,34.95
2013-06-28,11,34.85
2013-07-05,10,36
2013-07-12,10,37.49
2013-07-19,11,37.26
2013-07-26,12,39.11
2013-08-02,12,39.94
2013-08-09,13,39.78
2013-08-16,16,38.74
2013-08-23,17,39.07
2013-08-30,18,38.2
2013-09-06,18,39.18
2013-09-13,18,40.28
2013-09-20,18,40.52
2013-09-27,16,40.16
2013-10-04,14,39.93
2013-10-11,13,40.38
2013-10-18,14,40.71
2013-10-25,14,40.23
2013-11-01,14,42.03
2013-11-08,14,41.98
2013-11-15,14,42.55
2013-11-22,13,42.64
2013-11-29,11,43
2013-12-06,13,43.49
2013-12-13,13,41.95
2013-12-20,11,42.84
2013-12-27,7,43.67
2014-01-03,8,43.29
2014-01-10,12,43.11
2014-01-17,14,43.45
2014-01-24,15,42.95
2014-01-31,14,42.4
2014-02-07,14,41.95
2014-02-14,13,43.86
2014-02-21,13,44.15
2014-02-28,13,44.96
2014-03-07,12,45.85
2014-03-14,12,44.31
2014-03-21,12,47.15
2014-03-28,12,46.64
2014-04-04,12,46.34
2014-04-11,11,44.98
2014-04-25,11,46.34
