"Date","Dun...Bradstreet","Price"
2006-05-12,39,74.9
2006-05-19,45,74.18
2006-05-26,41,73.26
2006-06-02,44,73.37
2006-06-09,41,70.94
2006-06-16,40,68.91
2006-06-23,39,68.27
2006-06-30,39,69.68
2006-07-07,39,68.26
2006-07-14,43,65.68
2006-07-21,42,65.5
2006-07-28,40,65.95
2006-08-04,42,67.73
2006-08-11,38,67.92
2006-08-18,43,69.57
2006-08-25,45,69.22
2006-09-01,42,70.77
2006-09-08,40,69.97
2006-09-15,39,74.02
2006-09-22,41,74.98
2006-09-29,40,74.99
2006-10-06,44,74.51
2006-10-13,41,74.93
2006-10-20,44,75.68
2006-10-27,38,76.76
2006-11-03,38,75.9
2006-11-10,40,79.94
2006-11-17,43,83.02
2006-11-24,41,82.7
2006-12-01,39,82.6
2006-12-08,37,83.07
2006-12-15,40,84.25
2006-12-22,37,82.78
2006-12-29,35,82.79
2007-01-05,40,82.69
2007-01-12,40,85
2007-01-19,42,84.8
2007-01-26,41,83.55
2007-02-02,41,84.53
2007-02-09,40,87.6
2007-02-16,41,89.77
2007-02-23,41,90.82
2007-03-02,40,88.45
2007-03-09,41,88.55
2007-03-16,37,88.87
2007-03-23,38,91
2007-03-30,43,91.2
2007-04-13,40,90.55
2007-04-20,41,90.3
2007-04-27,37,90.82
2007-05-04,41,95.1
2007-05-11,41,95.05
2007-05-18,42,95.28
2007-05-25,41,98.02
2007-06-01,42,100.88
2007-06-08,43,102.31
2007-06-15,39,100.17
2007-06-22,39,99.71
2007-06-29,43,102.98
2007-07-06,43,104.93
2007-07-13,40,105.78
2007-07-20,40,104.79
2007-07-27,39,96.11
2007-08-03,39,95.83
2007-08-10,41,91.02
2007-08-17,41,92.2
2007-08-24,41,97.7
2007-08-31,41,97.55
2007-09-07,36,96.33
2007-09-14,41,97.76
2007-09-21,38,99.75
2007-09-28,42,98.61
2007-10-05,40,99.15
2007-10-12,38,92.98
2007-10-19,42,91.88
2007-10-26,37,96.3
2007-11-02,40,95
2007-11-09,40,87.22
2007-11-16,41,89.49
2007-11-23,42,87.47
2007-11-30,43,89.23
2007-12-07,42,91.24
2007-12-14,38,91.4
2007-12-21,37,89.76
2007-12-28,32,88.75
2008-01-04,37,83.9
2008-01-11,41,86.03
2008-01-18,40,82.92
2008-01-25,41,86.94
2008-02-01,40,93.94
2008-02-08,40,88.4
2008-02-15,41,89.32
2008-02-22,41,91.17
2008-02-29,42,87.34
2008-03-07,42,84.18
2008-03-14,41,81.95
2008-03-28,41,82.39
2008-04-04,41,83.47
2008-04-11,42,80.44
2008-04-18,42,85.86
2008-04-25,40,85.42
2008-05-02,40,85.94
2008-05-09,40,86.96
2008-05-16,40,91.63
2008-05-23,39,90.94
2008-05-30,40,91.62
2008-06-06,41,90.65
2008-06-13,38,91.87
2008-06-20,39,89.6
2008-06-27,39,87.19
2008-07-11,37,89.91
2008-07-18,39,95.94
2008-07-25,40,94.85
2008-08-01,39,96.71
2008-08-08,37,98.71
2008-08-15,39,96.92
2008-08-22,42,94.78
2008-08-29,40,91.97
2008-09-05,37,92.62
2008-09-12,39,96.29
2008-09-19,40,95.72
2008-09-26,39,92.94
2008-10-03,39,88.35
2008-10-10,37,77.8
2008-10-17,39,76
2008-10-24,38,70.75
2008-10-31,40,73.69
2008-11-07,39,76.16
2008-11-14,39,72.73
2008-11-21,38,70.12
2008-11-28,36,80
2008-12-05,37,75.59
2008-12-12,36,71.73
2008-12-19,35,73.59
2008-12-26,33,73.21
2009-01-02,33,77.81
2009-01-09,40,75.14
2009-01-16,39,74
2009-01-23,39,71.98
2009-01-30,39,76
2009-02-06,39,81.4
2009-02-13,38,77.71
2009-02-20,40,73.82
2009-02-27,38,73.97
2009-03-06,40,71.76
2009-03-13,39,74.57
2009-03-20,39,73.77
2009-03-27,42,75.97
2009-04-03,39,78.44
2009-04-17,39,81.07
2009-04-24,38,80.67
2009-05-01,38,80.72
2009-05-08,39,82.01
2009-05-15,42,80.48
2009-05-22,39,80.74
2009-05-29,37,81.79
2009-06-05,36,84
2009-06-12,36,83.55
2009-06-19,36,80.11
2009-06-26,37,80.15
2009-07-10,36,78.33
2009-07-17,39,80.03
2009-07-24,38,80.9
2009-07-31,38,71.99
2009-08-07,35,74.09
2009-08-14,37,74.94
2009-08-21,37,74.63
2009-08-28,42,72.95
2009-09-04,38,74.55
2009-09-11,36,73.97
2009-09-18,39,74.26
2009-09-25,36,73.9
2009-10-02,36,73.26
2009-10-09,39,75.52
2009-10-16,39,75.99
2009-10-23,37,78.75
2009-10-30,36,76.56
2009-11-06,37,79.31
2009-11-13,37,80.8
2009-11-20,37,79.87
2009-11-27,36,78.67
2009-12-04,35,79.93
2009-12-11,34,81.85
2009-12-18,34,82.02
2010-01-08,36,81.74
2010-01-15,41,82.15
2010-01-22,38,79.77
2010-01-29,37,78.97
2010-02-05,38,73.92
2010-02-12,37,70.39
2010-02-19,35,71.32
2010-02-26,37,70.16
2010-03-05,36,69.95
2010-03-12,37,70.73
2010-03-19,33,74.25
2010-03-26,36,73.5
2010-04-09,34,74.49
2010-04-16,37,76.31
2010-04-23,37,78.82
2010-04-30,35,76.97
2010-05-07,35,74.1
2010-05-14,36,74.98
2010-05-21,36,73.33
2010-05-28,42,72.99
2010-06-04,37,70.49
2010-06-11,37,71.84
2010-06-18,35,73.23
2010-06-25,33,70.48
2010-07-02,36,66.37
2010-07-09,34,67.46
2010-07-16,41,67.94
2010-07-23,60,70.34
2010-07-30,42,68.36
2010-08-06,38,68.96
2010-08-13,37,67.57
2010-08-20,37,67.97
2010-08-27,38,67.37
2010-09-03,38,68.79
2010-09-10,38,68.45
2010-09-17,38,69.65
2010-09-24,40,73.8
2010-10-01,38,74.65
2010-10-08,40,75.08
2010-10-15,38,76.03
2010-10-22,40,75.22
2010-10-29,38,74.41
2010-11-05,42,76.94
2010-11-12,39,76.54
2010-11-19,38,76.2
2010-11-26,40,75.29
2010-12-03,39,77.8
2010-12-10,38,79.06
2010-12-17,35,81.56
2010-12-31,36,82.09
2011-01-07,39,82.87
2011-01-14,40,84.38
2011-01-21,41,85.15
2011-01-28,42,84.12
2011-02-04,40,85.36
2011-02-11,39,85.57
2011-02-18,39,85.03
2011-02-25,39,80.8
2011-03-04,40,79.87
2011-03-11,37,79.57
2011-03-18,36,77.84
2011-03-25,38,79.28
2011-04-01,37,80.91
2011-04-08,39,80.73
2011-04-15,41,81.46
2011-04-29,38,82.18
2011-05-06,37,81.83
2011-05-13,39,81.68
2011-05-20,38,81.03
2011-05-27,39,79.62
2011-06-03,37,76.78
2011-06-10,38,75.74
2011-06-17,41,74.99
2011-06-24,100,74.25
2011-07-01,43,76.17
2011-07-08,40,76.04
2011-07-15,40,74.54
2011-07-22,38,74.46
2011-07-29,38,72.55
2011-08-05,40,70.3
2011-08-12,39,66.64
2011-08-19,38,62.32
2011-08-26,38,65.56
2011-09-02,36,63.66
2011-09-09,37,61.76
2011-09-16,39,66.59
2011-09-23,40,61.61
2011-09-30,41,61.26
2011-10-07,39,61.76
2011-10-14,38,63.87
2011-10-21,39,64.36
2011-10-28,39,68.02
2011-11-04,38,66.45
2011-11-11,38,67.91
2011-11-18,39,67.92
2011-11-25,38,65.14
2011-12-02,39,70.64
2011-12-09,36,71.72
2011-12-16,38,70.77
2011-12-23,36,74.75
2011-12-30,35,74.83
2012-01-06,38,75.9
2012-01-13,39,78.78
2012-01-20,40,81.4
2012-01-27,39,82.66
2012-02-03,40,84.97
2012-02-10,39,78.77
2012-02-17,39,78.71
2012-02-24,39,82.36
2012-03-02,40,82.61
2012-03-09,39,84.63
2012-03-16,39,85.72
2012-03-23,39,83.82
2012-03-30,38,84.73
2012-04-13,38,82.16
2012-04-20,38,79.05
2012-04-27,40,78.81
2012-05-04,38,76.43
2012-05-11,38,66.59
2012-05-18,39,68.24
2012-05-25,37,67.14
2012-06-01,37,65.65
2012-06-08,37,66.98
2012-06-15,36,67.39
2012-06-22,36,68.44
2012-06-29,37,71.17
2012-07-06,37,70.61
2012-07-13,36,70.45
2012-07-20,38,71.07
2012-07-27,37,72.25
2012-08-03,37,74.49
2012-08-10,37,79.02
2012-08-17,37,82.14
2012-08-24,38,82.33
2012-08-31,37,80.95
2012-09-07,37,82.25
2012-09-14,36,84.16
2012-09-21,40,82.55
2012-09-28,38,79.62
2012-10-05,38,82.95
2012-10-12,37,82.01
2012-10-19,37,80.84
2012-10-26,36,81.58
2012-11-02,36,81.98
2012-11-09,38,81.33
2012-11-16,38,74.98
2012-11-23,37,78.06
2012-11-30,37,79.18
2012-12-07,36,81.05
2012-12-14,36,80.5
2012-12-21,35,82.28
2012-12-28,31,78.27
2013-01-04,35,78.17
2013-01-11,36,80.62
2013-01-18,37,79.98
2013-01-25,38,79.9
2013-02-01,39,82.71
2013-02-08,36,84.49
2013-02-15,38,81.75
2013-02-22,40,81.38
2013-03-01,36,80.46
2013-03-08,36,79.96
2013-03-15,37,81.98
2013-03-22,38,80.82
2013-04-05,37,82.75
2013-04-12,40,86
2013-04-19,48,84.72
2013-04-26,43,87.89
2013-05-03,44,90
2013-05-10,54,92.46
2013-05-17,41,98.98
2013-05-24,36,97.59
2013-05-31,36,98.14
2013-06-07,37,99.24
2013-06-14,36,98.76
2013-06-21,41,95.69
2013-06-28,38,97.45
2013-07-05,36,99.22
2013-07-12,39,107.59
2013-07-19,44,107
2013-07-26,39,103.12
2013-08-02,38,107.04
2013-08-09,41,107.11
2013-08-16,40,102.28
2013-08-23,36,104.12
2013-08-30,37,99.48
2013-09-06,37,100.74
2013-09-13,36,104.86
2013-09-20,36,103.87
2013-09-27,39,104.17
2013-10-04,38,103.57
2013-10-11,37,104.51
2013-10-18,38,106.57
2013-10-25,37,108.45
2013-11-01,37,108.49
2013-11-08,39,111.45
2013-11-15,38,113.43
2013-11-22,38,116.56
2013-11-29,36,116.85
2013-12-06,35,119.44
2013-12-13,35,115.19
2013-12-20,36,120.61
2013-12-27,33,123.42
2014-01-03,37,121.95
2014-01-10,39,122.98
2014-01-17,39,118.97
2014-01-24,38,113.3
2014-01-31,39,110
2014-02-07,38,97.76
2014-02-14,41,97.26
2014-02-21,41,95.54
2014-02-28,39,99.21
2014-03-07,39,99.24
2014-03-14,41,98.19
2014-03-21,41,101.59
2014-03-28,42,99.37
2014-04-04,39,101.27
2014-04-11,38,98.21
2014-04-25,38,103.99
