"Date","sell.MS","Price"
2012-10-26,37,17.04
2012-11-02,77,17.78
2012-11-09,83,16.61
2012-11-16,55,16.18
2012-11-23,41,16.43
2012-11-30,62,16.87
2012-12-07,76,16.97
2012-12-14,60,18.05
2012-12-21,69,18.92
2012-12-28,61,18.62
2013-01-04,49,20.19
2013-01-11,88,20.17
2013-01-18,55,22.38
2013-01-25,81,22.7
2013-02-01,72,23.51
2013-02-08,74,23.32
2013-02-15,62,23.87
2013-02-22,73,23.58
2013-03-01,74,22.43
2013-03-08,81,23.03
2013-03-15,75,23.59
2013-03-22,61,22.18
2013-04-05,75,21.56
2013-04-12,63,21.82
2013-04-19,84,20.58
2013-04-26,76,21.4
2013-05-03,63,22.76
2013-05-10,73,23.94
2013-05-17,72,25.19
2013-05-24,49,24.35
2013-05-31,80,25.9
2013-06-07,86,27
2013-06-14,82,25.83
2013-06-21,60,24.91
2013-06-28,64,24.43
2013-07-05,70,24.57
2013-07-12,53,26.13
2013-07-19,89,27.6
2013-07-26,74,27.7
2013-08-02,86,27.85
2013-08-09,74,26.76
2013-08-16,81,26.47
2013-08-23,81,26.32
2013-08-30,94,25.76
2013-09-06,68,26.81
2013-09-13,100,28.13
2013-09-20,74,28.19
2013-09-27,81,27.08
2013-10-04,64,26.99
2013-10-11,65,27.95
2013-10-18,86,29.69
2013-10-25,71,29.23
2013-11-01,86,29.2
2013-11-08,66,29.44
2013-11-15,68,30.3
2013-11-22,62,31.34
2013-11-29,56,31.3
2013-12-06,76,30.46
2013-12-13,78,31.09
2013-12-20,51,30.93
2013-12-27,74,31.06
2014-01-03,92,31.51
2014-01-10,80,31.3
2014-01-17,71,33.4
2014-01-24,83,30.45
2014-01-31,65,29.51
2014-02-07,98,29.69
2014-02-14,97,29.69
2014-02-21,70,29.62
2014-02-28,69,30.8
2014-03-07,59,32.21
2014-03-14,59,31.1
2014-03-21,59,32.6
2014-03-28,98,30.91
2014-04-04,76,30.37
2014-04-11,74,28.47
2014-04-25,81,30.58
