"Date","sell.HD","Price"
2011-03-11,41,37.14
2011-03-18,32,36
2011-03-25,23,37.42
2011-04-01,35,37.56
2011-04-08,26,37.46
2011-04-15,37,38.17
2011-04-29,26,37.15
2011-05-06,29,36.99
2011-05-13,30,37.01
2011-05-20,44,37.05
2011-05-27,28,36
2011-06-03,42,34.63
2011-06-10,28,33.47
2011-06-17,29,34.53
2011-06-24,23,35.08
2011-07-01,36,36.73
2011-07-08,32,36.62
2011-07-15,37,35.91
2011-07-22,53,36.52
2011-07-29,23,34.93
2011-08-05,41,30.74
2011-08-12,49,30.58
2011-08-19,42,31.88
2011-08-26,35,34
2011-09-02,38,32.18
2011-09-09,36,31.87
2011-09-16,40,34.61
2011-09-23,34,33.72
2011-09-30,34,32.87
2011-10-07,31,33.92
2011-10-14,27,35.05
2011-10-21,29,36.86
2011-10-28,22,36.12
2011-11-04,23,36.39
2011-11-11,26,38.06
2011-11-18,32,37.88
2011-11-25,38,36.47
2011-12-02,46,39.94
2011-12-09,43,40.23
2011-12-16,30,40.42
2011-12-23,34,42.09
2011-12-30,43,42.04
2012-01-06,31,43.2
2012-01-13,38,43.51
2012-01-20,38,44.51
2012-01-27,31,44.87
2012-02-03,31,45.17
2012-02-10,39,45.33
2012-02-17,26,46.71
2012-02-24,40,46.98
2012-03-02,35,47.41
2012-03-09,37,48.1
2012-03-16,31,49.05
2012-03-23,36,49.54
2012-03-30,33,50.31
2012-04-13,39,50.96
2012-04-20,28,51.46
2012-04-27,27,51.95
2012-05-04,31,51.96
2012-05-11,44,50.34
2012-05-18,44,47.05
2012-05-25,46,49.44
2012-06-01,33,47.96
2012-06-08,44,52.35
2012-06-15,49,51.87
2012-06-22,33,52.02
2012-06-29,32,52.99
2012-07-06,35,52.15
2012-07-13,29,52.09
2012-07-20,37,50.7
2012-07-27,42,53.71
2012-08-03,47,52.29
2012-08-10,27,53.06
2012-08-17,53,56.73
2012-08-24,34,56.96
2012-08-31,47,56.75
2012-09-07,49,57.26
2012-09-14,61,59.46
2012-09-21,50,59.42
2012-09-28,53,60.37
2012-10-05,45,63.2
2012-10-12,55,59.56
2012-10-19,54,61.89
2012-10-26,52,60.04
2012-11-02,57,62.02
2012-11-09,54,60.96
2012-11-16,71,62.12
2012-11-23,81,64.82
2012-11-30,56,65.07
2012-12-07,79,64.45
2012-12-14,68,62.06
2012-12-21,74,61.32
2012-12-28,100,60.65
2013-01-04,76,63.18
2013-01-11,65,63.7
2013-01-18,61,65.47
2013-01-25,52,67.82
2013-02-01,44,67.3
2013-02-08,52,67.01
2013-02-15,59,67.52
2013-02-22,45,65.58
2013-03-01,55,69.03
2013-03-08,61,71.37
2013-03-15,45,69.05
2013-03-22,50,69.56
2013-04-05,54,70.06
2013-04-12,49,73.62
2013-04-19,49,74
2013-04-26,35,73.35
2013-05-03,57,73.96
2013-05-10,50,76.01
2013-05-17,59,76.86
2013-05-24,60,78.99
2013-05-31,58,78.66
2013-06-07,48,78.74
2013-06-14,57,76.59
2013-06-21,48,73.82
2013-06-28,47,77.47
2013-07-05,39,78.29
2013-07-12,51,80.54
2013-07-19,61,79.89
2013-07-26,59,78.74
2013-08-02,58,80.23
2013-08-09,60,78.97
2013-08-16,56,75.38
2013-08-23,63,73.89
2013-08-30,42,74.49
2013-09-06,63,72.7
2013-09-13,54,75.11
2013-09-20,53,77
2013-09-27,56,75.96
2013-10-04,57,75.78
2013-10-11,47,76.32
2013-10-18,62,74.69
2013-10-25,52,76.25
2013-11-01,51,76.99
2013-11-08,54,75.48
2013-11-15,59,80.03
2013-11-22,57,79.18
2013-11-29,82,80.67
2013-12-06,66,79.84
2013-12-13,47,79.01
2013-12-20,62,80.04
2013-12-27,77,81.64
2014-01-03,62,81.89
2014-01-10,71,82.01
2014-01-17,56,81
2014-01-24,62,79.16
2014-01-31,44,76.85
2014-02-07,57,76.45
2014-02-14,60,77.93
2014-02-21,50,77.74
2014-02-28,52,82.03
2014-03-07,51,82.55
2014-03-14,52,79.38
2014-03-21,46,80.42
2014-03-28,53,78.72
2014-04-04,61,78.72
2014-04-11,46,75.7
2014-04-25,63,79.38
