"Date","CMCSA","Price"
2008-08-15,37,22.28
2008-08-22,40,21.71
2008-08-29,30,21.18
2008-09-05,29,20.61
2008-09-12,29,21.71
2008-09-19,39,20.71
2008-09-26,32,20.7
2008-10-03,34,18.42
2008-10-10,36,15.36
2008-10-17,20,15.23
2008-10-24,21,13.07
2008-10-31,38,15.76
2008-11-07,22,17.41
2008-11-14,24,15.53
2008-11-21,26,14.07
2008-11-28,23,17.34
2008-12-05,19,16.16
2008-12-12,25,15.65
2008-12-19,24,15.76
2008-12-26,24,15.6
2009-01-02,24,17.99
2009-01-09,24,16.33
2009-01-16,18,15.33
2009-01-23,25,14.99
2009-01-30,27,14.65
2009-02-06,28,14.17
2009-02-13,22,13.66
2009-02-20,22,12.84
2009-02-27,33,13.06
2009-03-06,19,11.63
2009-03-13,30,13.03
2009-03-20,17,12.72
2009-03-27,30,14.54
2009-04-03,32,14.5
2009-04-17,22,14.48
2009-04-24,27,13.89
2009-05-01,34,16.36
2009-05-08,34,15.75
2009-05-15,20,14.42
2009-05-22,21,14.22
2009-05-29,21,13.77
2009-06-05,21,14.11
2009-06-12,26,14.35
2009-06-19,21,13.87
2009-06-26,21,14.22
2009-07-10,18,13.26
2009-07-17,18,14.15
2009-07-24,28,14.5
2009-07-31,25,14.86
2009-08-07,34,14.96
2009-08-14,17,14.81
2009-08-21,18,15.07
2009-08-28,16,15.71
2009-09-04,22,16.33
2009-09-11,28,17.21
2009-09-18,29,17.29
2009-09-25,29,16.69
2009-10-02,25,15.24
2009-10-09,18,15.55
2009-10-16,18,15.26
2009-10-23,14,15.06
2009-10-30,23,14.5
2009-11-06,29,14.59
2009-11-13,21,15.43
2009-11-20,30,15.01
2009-11-27,39,14.88
2009-12-04,48,16.13
2009-12-11,48,17.64
2009-12-18,30,17.24
2010-01-08,33,16.92
2010-01-15,23,16.63
2010-01-22,13,15.85
2010-01-29,21,15.83
2010-02-05,22,15.42
2010-02-12,25,15.34
2010-02-19,28,16
2010-02-26,23,16.44
2010-03-05,30,17.43
2010-03-12,25,17.42
2010-03-19,18,17.53
2010-03-26,32,18.34
2010-04-09,28,18.5
2010-04-16,22,18.32
2010-04-23,31,18.96
2010-04-30,41,19.77
2010-05-07,25,18.36
2010-05-14,30,17.6
2010-05-21,14,17.03
2010-05-28,28,18.09
2010-06-04,13,17.79
2010-06-11,16,18.19
2010-06-18,16,18.51
2010-06-25,16,17.67
2010-07-02,17,17.46
2010-07-09,17,18.07
2010-07-16,17,18.54
2010-07-23,18,19.32
2010-07-30,16,19.47
2010-08-06,16,18.64
2010-08-13,16,17.87
2010-08-20,16,17.81
2010-08-27,13,17.25
2010-09-03,14,18.21
2010-09-10,15,18.4
2010-09-17,16,17.64
2010-09-24,14,18.57
2010-10-01,16,17.82
2010-10-08,17,17.99
2010-10-15,27,18.95
2010-10-22,25,19.46
2010-10-29,43,20.63
2010-11-05,36,21.04
2010-11-12,28,20.43
2010-11-19,31,20.56
2010-11-26,18,20.22
2010-12-03,22,20.71
2010-12-10,21,21.31
2010-12-17,33,21.42
2010-12-31,30,21.97
2011-01-07,27,22.7
2011-01-14,24,22.72
2011-01-21,49,23.53
2011-01-28,36,22.84
2011-02-04,25,23.27
2011-02-11,31,24
2011-02-18,57,25.67
2011-02-25,40,25.26
2011-03-04,49,25.55
2011-03-11,35,24.95
2011-03-18,33,23.86
2011-03-25,15,25.02
2011-04-01,22,25.21
2011-04-08,20,24.68
2011-04-15,20,24.49
2011-04-29,24,26.21
2011-05-06,31,25.44
2011-05-13,15,25.13
2011-05-20,15,25.12
2011-05-27,15,24.89
2011-06-03,16,24.23
2011-06-10,11,23.89
2011-06-17,11,23.65
2011-06-24,16,23.58
2011-07-01,21,25.73
2011-07-08,14,25.51
2011-07-15,16,24.13
2011-07-22,23,24.85
2011-07-29,24,24.02
2011-08-05,37,21.88
2011-08-12,26,20.64
2011-08-19,23,19.96
2011-08-26,22,20.57
2011-09-02,19,21
2011-09-09,17,20.91
2011-09-16,14,22.94
2011-09-23,14,21.4
2011-09-30,18,20.92
2011-10-07,19,22.06
2011-10-14,27,23.94
2011-10-21,21,24.33
2011-10-28,24,23.85
2011-11-04,28,22.75
2011-11-11,17,22.52
2011-11-18,11,21.43
2011-11-25,11,21
2011-12-02,14,23.36
2011-12-09,23,22.68
2011-12-16,17,23.33
2011-12-23,17,23.84
2011-12-30,18,23.71
2012-01-06,19,24.69
2012-01-13,23,25.38
2012-01-20,22,26.07
2012-01-27,19,26.33
2012-02-03,16,27.15
2012-02-10,20,27.18
2012-02-17,41,29.17
2012-02-24,30,29.19
2012-03-02,29,29.24
2012-03-09,29,29.84
2012-03-16,23,29.5
2012-03-23,19,29.99
2012-03-30,24,30.01
2012-04-13,19,29.5
2012-04-20,16,29.45
2012-04-27,21,30.28
2012-05-04,24,29.45
2012-05-11,11,29.38
2012-05-18,13,28.28
2012-05-25,15,28.85
2012-06-01,14,28.63
2012-06-08,21,30.27
2012-06-15,15,31.09
2012-06-22,18,30.83
2012-06-29,12,31.97
2012-07-06,17,31.36
2012-07-13,19,31.87
2012-07-20,19,32.18
2012-07-27,13,32.29
2012-08-03,25,34.61
2012-08-10,16,34.73
2012-08-17,12,34.02
2012-08-24,12,33.95
2012-08-31,12,33.53
2012-09-07,17,34.46
2012-09-14,18,35.3
2012-09-21,18,36.22
2012-09-28,16,35.74
2012-10-05,19,36.54
2012-10-12,11,35.78
2012-10-19,20,36.95
2012-10-26,27,37.56
2012-11-02,23,37.61
2012-11-09,17,36.12
2012-11-16,16,35.45
2012-11-23,13,36.91
2012-11-30,29,37.2
2012-12-07,25,37.03
2012-12-14,10,36.54
2012-12-21,24,37.23
2012-12-28,12,36.54
2013-01-04,24,38.07
2013-01-11,14,38.46
2013-01-18,18,40.27
2013-01-25,18,39.76
2013-02-01,22,38.6
2013-02-08,22,38.75
2013-02-15,51,41.24
2013-02-22,29,39.91
2013-03-01,20,40.03
2013-03-08,29,41
2013-03-15,21,40.71
2013-03-22,18,41.22
2013-04-05,29,41.56
2013-04-12,17,42
2013-04-19,22,40.56
2013-04-26,24,41.37
2013-05-03,31,42.54
2013-05-10,29,43.08
2013-05-17,25,42.64
2013-05-24,16,41.95
2013-05-31,17,40.17
2013-06-07,19,41.18
2013-06-14,19,39.74
2013-06-21,27,39.77
2013-06-28,26,41.75
2013-07-05,20,41.7
2013-07-12,27,44.68
2013-07-19,28,44.57
2013-07-26,28,43.73
2013-08-02,38,45.72
2013-08-09,32,44.62
2013-08-16,23,42.54
2013-08-23,16,41.86
2013-08-30,24,42.09
2013-09-06,6,42.48
2013-09-13,20,43.97
2013-09-20,20,44.4
2013-09-27,18,44.74
2013-10-04,23,45.64
2013-10-11,18,46.06
2013-10-18,29,47.04
2013-10-25,28,48.17
2013-11-01,27,48.65
2013-11-08,26,48.18
2013-11-15,22,47.73
2013-11-22,30,49.52
2013-11-29,28,49.87
2013-12-06,22,49.27
2013-12-13,21,49.01
2013-12-20,25,50.94
2013-12-27,18,51.79
2014-01-03,29,51.07
2014-01-10,35,53.54
2014-01-17,35,53.54
2014-01-24,26,52.4
2014-01-31,33,54.45
2014-02-07,24,54.64
2014-02-14,71,53.7
2014-02-21,40,51.05
2014-02-28,44,51.69
2014-03-07,38,51.63
2014-03-14,28,50.64
2014-03-21,30,50
2014-03-28,33,49.56
2014-04-04,42,50.18
2014-04-11,32,47.96
2014-04-25,48,50.97
