"Date","Becton.Dickinson","Price"
2006-03-24,39,63.13
2006-03-31,47,61.58
2006-04-07,34,63.56
2006-04-21,43,64.78
2006-04-28,44,63.04
2006-05-05,40,62.63
2006-05-12,28,61.41
2006-05-19,36,60.09
2006-05-26,33,61.2
2006-06-02,42,60.87
2006-06-09,41,59.52
2006-06-16,45,61.06
2006-06-23,35,60.05
2006-06-30,37,61.13
2006-07-07,49,60.07
2006-07-14,40,58.86
2006-07-21,45,61.62
2006-07-28,27,65.41
2006-08-04,36,66
2006-08-11,37,66.32
2006-08-18,30,68.51
2006-08-25,33,68.95
2006-09-01,33,70.2
2006-09-08,27,68.6
2006-09-15,39,69.08
2006-09-22,39,68.91
2006-09-29,39,70.67
2006-10-06,39,71.82
2006-10-13,42,73.58
2006-10-20,35,72.19
2006-10-27,44,70.69
2006-11-03,35,70.52
2006-11-10,36,71.18
2006-11-17,43,71.24
2006-11-24,34,71.02
2006-12-01,33,71.7
2006-12-08,28,72.88
2006-12-15,31,71.98
2006-12-22,30,70.89
2006-12-29,13,70.15
2007-01-05,32,70
2007-01-12,36,71.97
2007-01-19,28,73.99
2007-01-26,34,74.48
2007-02-02,39,77.13
2007-02-09,36,77.5
2007-02-16,34,77.93
2007-02-23,36,77.58
2007-03-02,30,74.87
2007-03-09,36,75
2007-03-16,36,74.4
2007-03-23,31,75.37
2007-03-30,36,76.89
2007-04-13,33,78.28
2007-04-20,34,79.05
2007-04-27,29,78.66
2007-05-04,31,79.78
2007-05-11,37,78.28
2007-05-18,30,77.79
2007-05-25,28,77.13
2007-06-01,28,76.02
2007-06-08,35,75.38
2007-06-15,33,76.24
2007-06-22,34,75.19
2007-06-29,25,74.5
2007-07-06,34,75.16
2007-07-13,34,76.09
2007-07-20,23,74.24
2007-07-27,38,76.73
2007-08-03,33,76.2
2007-08-10,27,77.74
2007-08-17,24,76.89
2007-08-24,27,77.49
2007-08-31,28,76.94
2007-09-07,27,76.77
2007-09-14,33,78.8
2007-09-21,28,81.86
2007-09-28,30,82.05
2007-10-05,30,83.31
2007-10-12,27,83.7
2007-10-19,26,81.74
2007-10-26,31,84.33
2007-11-02,26,82.78
2007-11-09,29,81.45
2007-11-16,28,83.48
2007-11-23,21,83.52
2007-11-30,19,82.73
2007-12-07,24,82.68
2007-12-14,25,82.46
2007-12-21,26,84.32
2007-12-28,10,84.95
2008-01-04,25,87.76
2008-01-11,32,91.21
2008-01-18,31,87.62
2008-01-25,30,86.6
2008-02-01,29,87.17
2008-02-08,32,89.95
2008-02-15,28,90.36
2008-02-22,29,89.91
2008-02-29,26,90.42
2008-03-07,29,86.1
2008-03-14,28,85.38
2008-03-28,29,87.23
2008-04-04,28,86.07
2008-04-11,21,85.05
2008-04-18,28,84.32
2008-04-25,26,88.2
2008-05-02,31,88.27
2008-05-09,27,86.99
2008-05-16,23,84.65
2008-05-23,25,83.58
2008-05-30,26,84.45
2008-06-06,23,82.53
2008-06-13,24,82.56
2008-06-20,27,79.04
2008-06-27,28,79.8
2008-07-11,33,81.17
2008-07-18,26,84.63
2008-07-25,24,85.01
2008-08-01,21,83.86
2008-08-08,23,87.41
2008-08-15,27,87.55
2008-08-22,23,88.49
2008-08-29,27,87.38
2008-09-05,30,85.04
2008-09-12,28,81.96
2008-09-19,26,82.5
2008-09-26,24,82.36
2008-10-03,22,80.24
2008-10-10,24,67.5
2008-10-17,28,71.34
2008-10-24,32,66.94
2008-10-31,25,69.4
2008-11-07,26,70.73
2008-11-14,27,67.69
2008-11-21,29,61.13
2008-11-28,23,63.53
2008-12-05,22,65.25
2008-12-12,21,63.99
2008-12-19,24,66.74
2008-12-26,12,66.41
2009-01-02,12,69.86
2009-01-09,22,71.28
2009-01-16,33,72.52
2009-01-23,24,71.43
2009-01-30,26,72.67
2009-02-06,32,74.09
2009-02-13,28,70.64
2009-02-20,30,69.61
2009-02-27,31,61.89
2009-03-06,29,64.15
2009-03-13,31,65.18
2009-03-20,29,64.57
2009-03-27,27,68.2
2009-04-03,26,65.97
2009-04-17,33,68.28
2009-04-24,25,62.47
2009-05-01,25,61.18
2009-05-08,26,62.82
2009-05-15,29,65.16
2009-05-22,25,65.9
2009-05-29,24,67.68
2009-06-05,26,67.32
2009-06-12,22,68.35
2009-06-19,24,69.15
2009-06-26,22,70.94
2009-07-10,27,67.73
2009-07-17,25,69.49
2009-07-24,25,71.74
2009-07-31,25,65.15
2009-08-07,24,64.42
2009-08-14,29,66.39
2009-08-21,28,68.85
2009-08-28,25,70.51
2009-09-04,28,70.3
2009-09-11,23,71.34
2009-09-18,28,70.26
2009-09-25,22,68.5
2009-10-02,27,67.3
2009-10-09,28,68.75
2009-10-16,25,69.26
2009-10-23,26,67.5
2009-10-30,31,68.36
2009-11-06,24,70.54
2009-11-13,23,72.72
2009-11-20,25,73.7
2009-11-27,20,74.72
2009-12-04,23,78.05
2009-12-11,22,77.45
2009-12-18,21,74.86
2010-01-08,26,77.91
2010-01-15,23,76.29
2010-01-22,27,75.08
2010-01-29,29,75.37
2010-02-05,25,74.89
2010-02-12,22,75.84
2010-02-19,27,77.54
2010-02-26,27,77.87
2010-03-05,24,78.6
2010-03-12,25,78.37
2010-03-19,22,79.1
2010-03-26,27,78.51
2010-04-09,23,78.91
2010-04-16,24,77.74
2010-04-23,24,77.55
2010-04-30,19,76.37
2010-05-07,20,73.66
2010-05-14,26,73.26
2010-05-21,28,71.49
2010-05-28,18,71.3
2010-06-04,20,70.08
2010-06-11,24,69.69
2010-06-18,25,71.32
2010-06-25,21,69.05
2010-07-02,18,67.97
2010-07-09,20,69.46
2010-07-16,20,67.75
2010-07-23,22,66.89
2010-07-30,20,68.8
2010-08-06,16,71.68
2010-08-13,19,70.96
2010-08-20,22,70.82
2010-08-27,20,69.72
2010-09-03,22,70.62
2010-09-10,20,71.27
2010-09-17,20,73.48
2010-09-24,20,74.28
2010-10-01,21,74.3
2010-10-08,20,74.75
2010-10-15,25,76.13
2010-10-22,22,76.4
2010-10-29,22,75.52
2010-11-05,20,77.54
2010-11-12,18,77.27
2010-11-19,20,77.84
2010-11-26,18,78.16
2010-12-03,16,81.53
2010-12-10,19,82.03
2010-12-17,21,85.21
2010-12-31,10,84.52
2011-01-07,21,83.23
2011-01-14,15,82.7
2011-01-21,22,83.2
2011-01-28,20,82.56
2011-02-04,23,84.5
2011-02-11,23,81.29
2011-02-18,20,81.28
2011-02-25,19,80.17
2011-03-04,23,80.21
2011-03-11,21,78.87
2011-03-18,19,76.9
2011-03-25,23,78.65
2011-04-01,21,80.57
2011-04-08,20,80.76
2011-04-15,22,83.45
2011-04-29,19,85.94
2011-05-06,18,86.42
2011-05-13,17,88.11
2011-05-20,20,88.9
2011-05-27,18,87.04
2011-06-03,18,85.76
2011-06-10,21,84.92
2011-06-17,20,85.13
2011-06-24,19,84.84
2011-07-01,17,89.3
2011-07-08,14,89.3
2011-07-15,17,87.09
2011-07-22,19,87.16
2011-07-29,17,83.61
2011-08-05,18,79.23
2011-08-12,17,80.28
2011-08-19,20,76.92
2011-08-26,15,79.73
2011-09-02,16,78.49
2011-09-09,17,76.02
2011-09-16,18,77.25
2011-09-23,21,73.74
2011-09-30,22,73.32
2011-10-07,17,72.86
2011-10-14,18,74.29
2011-10-21,18,76.43
2011-10-28,17,79.64
2011-11-04,21,72.68
2011-11-11,20,74.12
2011-11-18,16,73.15
2011-11-25,13,71.11
2011-12-02,19,73.64
2011-12-09,19,72.92
2011-12-16,14,70.65
2011-12-23,14,74.44
2011-12-30,8,74.72
2012-01-06,15,73.03
2012-01-13,19,74.91
2012-01-20,20,78.15
2012-01-27,20,79.09
2012-02-03,20,79.91
2012-02-10,20,76.42
2012-02-17,16,77.4
2012-02-24,18,77.28
2012-03-02,18,76.67
2012-03-09,17,76.82
2012-03-16,19,78.11
2012-03-23,16,76.4
2012-03-30,19,77.65
2012-04-13,19,74.79
2012-04-20,20,76.43
2012-04-27,15,77.97
2012-05-04,17,76.69
2012-05-11,17,76.76
2012-05-18,16,74.19
2012-05-25,20,74.42
2012-06-01,18,72.2
2012-06-08,18,73.26
2012-06-15,16,73.59
2012-06-22,18,73.99
2012-06-29,17,74.75
2012-07-06,15,75.14
2012-07-13,16,74.42
2012-07-20,18,74.79
2012-07-27,17,75.94
2012-08-03,15,74.35
2012-08-10,17,75.89
2012-08-17,14,76.55
2012-08-24,19,75.93
2012-08-31,16,75.98
2012-09-07,18,77.88
2012-09-14,16,79.16
2012-09-21,17,79.32
2012-09-28,18,78.56
2012-10-05,16,79.45
2012-10-12,17,76.62
2012-10-19,17,75.65
2012-10-26,18,75.34
2012-11-02,12,75.67
2012-11-09,18,75.23
2012-11-16,17,75.59
2012-11-23,12,77.73
2012-11-30,16,76.67
2012-12-07,14,77.63
2012-12-14,16,77.72
2012-12-21,12,78.86
2012-12-28,8,77.34
2013-01-04,11,80.35
2013-01-11,16,81.76
2013-01-18,15,83.94
2013-01-25,19,84.59
2013-02-01,17,85.15
2013-02-08,16,88.25
2013-02-15,15,88.49
2013-02-22,15,87.91
2013-03-01,16,88.75
2013-03-08,16,88.84
2013-03-15,17,92.3
2013-03-22,16,92.72
2013-04-05,15,96.11
2013-04-12,17,96.36
2013-04-19,15,94.56
2013-04-26,15,94.62
2013-05-03,15,97.43
2013-05-10,17,99.61
2013-05-17,15,101.78
2013-05-24,15,100.83
2013-05-31,14,98.62
2013-06-07,17,98.69
2013-06-14,14,98.64
2013-06-21,14,96.03
2013-06-28,16,98.83
2013-07-05,15,98.67
2013-07-12,16,102.01
2013-07-19,16,103.64
2013-07-26,15,103.25
2013-08-02,14,101.51
2013-08-09,15,99.94
2013-08-16,15,97.35
2013-08-23,14,99.02
2013-08-30,14,97.38
2013-09-06,13,99.38
2013-09-13,18,99.99
2013-09-20,15,102.06
2013-09-27,19,99.89
2013-10-04,16,100.42
2013-10-11,14,102.81
2013-10-18,15,104.81
2013-10-25,14,105.55
2013-11-01,13,105.17
2013-11-08,16,107.71
2013-11-15,15,109.12
2013-11-22,15,109.11
2013-11-29,13,108.59
2013-12-06,13,108.35
2013-12-13,14,105.45
2013-12-20,13,108.88
2013-12-27,6,110.35
2014-01-03,9,109.37
2014-01-10,14,112.54
2014-01-17,15,111.31
2014-01-24,16,107.75
2014-01-31,15,108.12
2014-02-07,15,110.12
2014-02-14,14,114.4
2014-02-21,17,114.98
2014-02-28,15,115.22
2014-03-07,14,115.57
2014-03-14,15,115.35
2014-03-21,15,114.57
2014-03-28,14,115.54
2014-04-04,14,116.34
2014-04-11,13,111.18
2014-04-25,14,112.56
