"Date","Dollar.General","Price"
2012-12-28,79,42.7
2013-01-04,63,44.6
2013-01-11,55,43.34
2013-01-18,52,44.65
2013-01-25,56,46.84
2013-02-01,52,46.28
2013-02-08,52,46
2013-02-15,57,44.37
2013-02-22,52,46.03
2013-03-01,53,47.57
2013-03-08,54,47.79
2013-03-15,55,48.18
2013-03-22,57,50.07
2013-04-05,61,50.4
2013-04-12,57,50.31
2013-04-19,60,51.82
2013-04-26,59,52.83
2013-05-03,66,52.49
2013-05-10,64,52.8
2013-05-17,67,54.08
2013-05-24,66,54.42
2013-05-31,71,52.8
2013-06-07,68,51.09
2013-06-14,70,51.18
2013-06-21,68,50.21
2013-06-28,70,50.43
2013-07-05,75,52.01
2013-07-12,71,53.77
2013-07-19,71,53.3
2013-07-26,70,53.78
2013-08-02,72,55.79
2013-08-09,71,54.25
2013-08-16,74,52.47
2013-08-23,72,55.05
2013-08-30,74,53.97
2013-09-06,70,56.96
2013-09-13,70,56.83
2013-09-20,70,57.65
2013-09-27,67,56.59
2013-10-04,67,58.77
2013-10-11,65,57.83
2013-10-18,67,58.89
2013-10-25,67,59.5
2013-11-01,72,57.77
2013-11-08,70,57.28
2013-11-15,73,59.26
2013-11-22,76,58.4
2013-11-29,96,56.94
2013-12-06,82,60.2
2013-12-13,79,60.48
2013-12-20,85,60.08
2013-12-27,100,60.11
2014-01-03,74,60.98
2014-01-10,72,62.87
2014-01-17,66,60.1
2014-01-24,65,57.35
2014-01-31,70,56.32
2014-02-07,64,57.1
2014-02-14,75,57.26
2014-02-21,62,57.49
2014-02-28,65,59.9
2014-03-07,68,59.39
2014-03-14,65,57.19
2014-03-21,69,58.03
2014-03-28,68,55.4
2014-04-04,71,56.68
2014-04-11,68,54.74
2014-04-25,78,56.33
