"Date","HCBK","Price"
2010-03-26,15,13.99
2010-04-09,18,14.43
2010-04-16,18,14.4
2010-04-23,18,13.62
2010-04-30,21,13.32
2010-05-07,24,12.73
2010-05-14,18,13.01
2010-05-21,24,12.68
2010-05-28,18,12.61
2010-06-04,18,12.59
2010-06-11,18,13.06
2010-06-18,18,13.38
2010-06-25,16,12.7
2010-07-02,16,12.09
2010-07-09,16,12.48
2010-07-16,16,12.44
2010-07-23,16,12.1
2010-07-30,16,12.42
2010-08-06,19,12.14
2010-08-13,20,11.56
2010-08-20,29,11.96
2010-08-27,14,11.62
2010-09-03,14,11.94
2010-09-10,14,12.25
2010-09-17,14,12.03
2010-09-24,18,12.25
2010-10-01,13,12.19
2010-10-08,13,12
2010-10-15,13,11.7
2010-10-22,22,11.53
2011-01-21,23,11.25
2011-01-28,14,10.95
2011-02-04,26,11.14
2011-02-11,27,11.48
2011-02-18,28,11.41
2011-02-25,29,11.38
2011-03-04,31,9.88
2011-03-11,13,9.92
2011-03-18,18,9.89
2011-03-25,23,9.87
2011-04-01,29,9.72
2011-04-08,18,9.87
2011-04-15,14,9.68
2011-04-29,23,9.53
2011-05-06,16,9.44
2011-05-13,16,9.26
2011-05-20,14,9.2
2011-05-27,14,9.06
2011-06-03,13,8.6
2011-06-10,13,8.17
2011-06-17,13,8.17
2011-06-24,13,7.94
2011-07-01,13,8.25
2011-07-08,13,8.28
2011-07-15,14,8.25
2011-07-22,14,8.33
2011-07-29,13,8.25
2011-08-05,16,7.36
2011-08-12,19,6.23
2011-08-19,10,5.65
2011-08-26,10,5.92
2011-09-02,12,5.77
2011-09-09,13,5.53
2011-09-16,13,6.03
2011-09-23,15,5.62
2011-09-30,13,5.66
2011-10-07,13,5.44
2011-10-14,12,5.85
2011-10-21,13,6.18
2011-10-28,13,6.29
2011-11-04,10,5.75
2011-11-11,12,5.75
2011-11-18,10,5.48
2011-11-25,10,5.13
2011-12-02,11,5.84
2011-12-09,11,5.93
2011-12-16,12,6
2011-12-23,12,6.29
2011-12-30,11,6.25
2012-01-06,11,6.83
2012-01-13,25,7.01
2012-01-20,10,7.1
2012-01-27,15,6.83
2012-02-03,16,7.19
2012-02-10,12,7.02
2012-02-17,10,7.01
2012-02-24,10,6.89
2012-03-02,11,6.82
2012-03-09,12,6.79
2012-03-16,15,7.49
2012-03-23,18,7.3
2012-03-30,10,7.32
2012-04-13,14,6.64
2012-04-20,13,6.66
2012-04-27,11,7.16
2012-05-04,12,6.77
2012-05-11,12,6.47
2012-05-18,13,6.08
2012-05-25,9,6.33
2012-06-01,9,5.88
2012-06-08,9,6.04
2012-06-15,11,6.16
2012-06-22,9,6.34
2012-06-29,10,6.37
2012-07-06,10,6.24
2012-07-13,11,6.15
2012-07-20,11,5.87
2012-07-27,11,6.02
2012-08-03,11,6.34
2012-08-10,11,6.61
2012-08-17,12,6.65
2012-08-24,13,6.44
2012-08-31,33,7.19
2012-09-07,15,7.55
2012-09-14,12,7.94
2012-09-21,12,7.91
2012-09-28,15,7.95
2012-10-05,10,8.19
2012-10-12,14,8
2012-10-19,16,8.64
2012-10-26,9,8.62
2012-11-02,9,8.57
2012-11-09,9,8.03
2013-01-11,8,8.58
2013-03-22,8,8.63
2013-04-05,8,8.47
2013-04-12,12,8.29
2013-04-19,10,8.08
2013-04-26,9,8.22
2013-05-03,11,8.29
2013-06-21,7,8.64
2013-06-28,12,9.18
2013-07-05,10,9.57
2013-07-12,10,9.73
2013-07-19,14,9.66
2013-07-26,15,9.58
2013-08-02,17,9.77
2013-08-09,12,9.6
2013-08-16,11,9.55
2013-08-23,9,9.62
2013-08-30,12,9.19
2013-09-06,9,9.25
2013-09-13,12,9.03
2013-09-20,11,9.05
2013-09-27,11,9.12
2013-10-04,11,9.25
2013-10-11,11,9.34
2013-10-18,11,9.3
2013-10-25,10,8.99
2013-11-01,9,8.96
2013-11-08,7,9.18
2013-11-15,8,9.14
2013-11-22,9,9.3
2013-11-29,10,9.34
2013-12-06,11,9.23
2013-12-13,7,9.16
2013-12-20,8,9.2
2013-12-27,9,9.38
2014-02-07,9,9.18
2014-02-14,7,9.27
2014-02-21,7,9.22
2014-02-28,7,9.5
2014-03-07,6,9.7
2014-03-14,6,9.56
2014-04-25,7,9.92
