"Date","buy.K","Price"
2005-11-25,37,45.18
2005-12-02,54,44.56
2005-12-09,46,43.89
2005-12-16,63,44.63
2005-12-23,63,44.13
2005-12-30,36,43.22
2006-01-06,28,44.4
2006-01-13,40,43.76
2006-01-20,30,43.33
2006-01-27,40,43.75
2006-02-03,30,43.29
2006-02-10,28,43.01
2006-02-17,35,44.5
2006-02-24,37,44.93
2006-03-03,19,44.23
2006-03-10,23,45.28
2006-03-17,35,45.48
2006-03-24,36,44.98
2006-03-31,31,44.04
2006-04-07,29,43.9
2006-04-21,26,44.2
2006-04-28,26,46.31
2006-05-05,27,46.39
2006-05-12,19,46.06
2006-05-19,27,45.89
2006-05-26,27,47.31
2006-06-02,35,47.67
2006-06-09,26,47
2006-06-16,33,47.37
2006-06-23,35,47.83
2006-06-30,22,48.43
2006-07-07,22,47.53
2006-07-14,20,48.07
2006-07-21,34,48.74
2006-07-28,31,48.38
2006-08-04,30,48.28
2006-08-11,46,48.94
2006-08-18,43,49.67
2006-08-25,30,49.8
2006-09-01,25,50.52
2006-09-08,31,49.96
2006-09-15,15,49.71
2006-09-22,27,49.92
2006-09-29,31,49.52
2006-10-06,29,49.69
2006-10-13,27,47.9
2006-10-20,26,49.39
2006-10-27,30,50
2006-11-03,32,49.37
2006-11-10,28,49.36
2006-11-17,45,50.15
2006-11-24,67,50.1
2006-12-01,52,49.6
2006-12-08,47,49.92
2006-12-15,56,50.58
2006-12-22,72,50.11
2006-12-29,47,50.06
2007-01-05,38,49.72
2007-01-12,36,50.23
2007-01-19,39,50
2007-01-26,29,50.32
2007-02-02,38,48.98
2007-02-09,43,48.89
2007-02-16,42,49.78
2007-02-23,30,49.84
2007-03-02,30,49.24
2007-03-09,24,50.47
2007-03-16,34,50.55
2007-03-23,31,51.74
2007-03-30,34,51.43
2007-04-13,24,51.56
2007-04-20,25,52.54
2007-04-27,37,53.08
2007-05-04,27,53.21
2007-05-11,39,53.07
2007-05-18,36,53.65
2007-05-25,34,53.49
2007-06-01,36,54.32
2007-06-08,39,52.05
2007-06-15,31,52.17
2007-06-22,35,51.36
2007-06-29,45,51.79
2007-07-06,47,51.69
2007-07-13,48,52.23
2007-07-20,34,51.76
2007-07-27,31,51.95
2007-08-03,38,52.58
2007-08-10,35,53.32
2007-08-17,29,54.2
2007-08-24,37,54.6
2007-08-31,37,54.93
2007-09-07,35,54.6
2007-09-14,33,56.15
2007-09-21,30,55.99
2007-09-28,33,56
2007-10-05,27,55.13
2007-10-12,40,54.99
2007-10-19,24,53.5
2007-10-26,38,54.44
2007-11-02,43,52.58
2007-11-09,32,52.39
2007-11-16,46,52.77
2007-11-23,100,52.96
2007-11-30,78,54.04
2007-12-07,83,54.22
2007-12-14,57,53.62
2007-12-21,63,53.54
2007-12-28,65,52.92
2008-01-04,36,51.17
2008-01-11,43,50.89
2008-01-18,39,48.56
2008-01-25,33,47.59
2008-02-01,38,49.02
2008-02-08,36,49.18
2008-02-15,30,51.73
2008-02-22,32,51.04
2008-02-29,32,50.72
2008-03-07,31,49.45
2008-03-14,34,49.89
2008-03-28,30,52.48
2008-04-04,32,53.15
2008-04-11,42,51.95
2008-04-18,35,52.66
2008-04-25,24,51.37
2008-05-02,33,52.4
2008-05-09,30,50.87
2008-05-16,39,51.49
2008-05-23,35,50.56
2008-05-30,28,51.81
2008-06-06,47,50.05
2008-06-13,36,52
2008-06-20,37,51
2008-06-27,46,47.96
2008-07-11,46,50.87
2008-07-18,45,51.6
2008-07-25,45,52.27
2008-08-01,42,52.46
2008-08-08,54,55.71
2008-08-15,37,55.5
2008-08-22,39,54.39
2008-08-29,45,54.44
2008-09-05,35,55.01
2008-09-12,32,56.21
2008-09-19,33,56.68
2008-09-26,35,57.39
2008-10-03,41,57.21
2008-10-10,39,48.49
2008-10-17,30,50.46
2008-10-24,37,48.22
2008-10-31,40,50.42
2008-11-07,38,49.54
2008-11-14,43,46.93
2008-11-21,53,43.02
2008-11-28,71,43.43
2008-12-05,62,42.73
2008-12-12,54,42.53
2008-12-19,58,42.63
2008-12-26,74,42.3
2009-01-02,51,45.05
2009-01-09,39,43.54
2009-01-16,36,44.63
2009-01-23,37,44.23
2009-01-30,33,43.69
2009-02-06,36,43.58
2009-02-13,27,41.38
2009-02-20,41,40.17
2009-02-27,42,38.92
2009-03-06,41,37.16
2009-03-13,36,36.99
2009-03-20,35,36.43
2009-03-27,38,36.89
2009-04-03,34,38.01
2009-04-17,31,40.1
2009-04-24,42,38.94
2009-05-01,38,43.4
2009-05-08,31,42.83
2009-05-15,30,43.19
2009-05-22,30,43.68
2009-05-29,38,43.25
2009-06-05,31,43.78
2009-06-12,39,44.55
2009-06-19,35,45.09
2009-06-26,32,46.23
2009-07-10,36,47.24
2009-07-17,38,47.18
2009-07-24,39,47.92
2009-07-31,38,47.5
2009-08-07,39,46.16
2009-08-14,40,46.06
2009-08-21,43,47.35
2009-08-28,34,46.52
2009-09-04,41,47.22
2009-09-11,32,48.39
2009-09-18,38,48.82
2009-09-25,37,49.09
2009-10-02,33,48.66
2009-10-09,30,49.82
2009-10-16,38,50.48
2009-10-23,38,50.2
2009-10-30,35,51.54
2009-11-06,29,52.2
2009-11-13,39,53.37
2009-11-20,39,53.12
2009-11-27,65,52.97
2009-12-04,46,52.96
2009-12-11,52,53.7
2009-12-18,46,52.27
2010-01-08,45,53.38
2010-01-15,34,54.34
2010-01-22,34,54.34
2010-01-29,40,54.42
2010-02-05,37,52.72
2010-02-12,33,52.34
2010-02-19,40,53.2
2010-02-26,32,52.15
2010-03-05,31,52.93
2010-03-12,30,52.49
2010-03-19,34,53.43
2010-03-26,31,53.76
2010-04-09,32,52.81
2010-04-16,32,54.04
2010-04-23,37,53.62
2010-04-30,34,54.94
2010-05-07,36,52.84
2010-05-14,34,54.5
2010-05-21,32,54.08
2010-05-28,31,53.43
2010-06-04,29,53.22
2010-06-11,42,53.66
2010-06-18,34,54.47
2010-06-25,32,52.42
2010-07-02,36,50.67
2010-07-09,28,51.77
2010-07-16,32,51.05
2010-07-23,38,51.1
2010-07-30,36,50.05
2010-08-06,34,50.15
2010-08-13,33,50.64
2010-08-20,36,49.75
2010-08-27,43,50.49
2010-09-03,29,50.41
2010-09-10,37,51.27
2010-09-17,34,50.58
2010-09-24,43,51
2010-10-01,35,50.91
2010-10-08,41,49.97
2010-10-15,31,50.08
2010-10-22,34,49.55
2010-10-29,35,50.26
2010-11-05,30,49.32
2010-11-12,44,48.95
2010-11-19,45,48.98
2010-11-26,61,49.48
2010-12-03,52,49.5
2010-12-10,50,49.78
2010-12-17,56,51.23
2010-12-31,77,51.08
2011-01-07,59,51
2011-01-14,42,51
2011-01-21,46,51.95
2011-01-28,50,50.49
2011-02-04,45,53.42
2011-02-11,42,53.09
2011-02-18,43,53.01
2011-02-25,43,53.15
2011-03-04,41,54.33
2011-03-11,41,55.04
2011-03-18,40,54.17
2011-03-25,42,53.39
2011-04-01,42,54
2011-04-08,39,53.94
2011-04-15,40,55.37
2011-04-29,42,57.27
2011-05-06,42,56.75
2011-05-13,47,57.56
2011-05-20,33,57.14
2011-05-27,42,56.44
2011-06-03,42,54.92
2011-06-10,38,54.89
2011-06-17,42,54.92
2011-06-24,43,54.76
2011-07-01,43,55.4
2011-07-08,30,55.17
2011-07-15,41,55.24
2011-07-22,47,55.91
2011-07-29,45,55.78
2011-08-05,44,53.36
2011-08-12,40,52.89
2011-08-19,47,52.26
2011-08-26,50,53.18
2011-09-02,51,53.61
2011-09-09,47,53.09
2011-09-16,42,53.99
2011-09-23,41,52.6
2011-09-30,44,53.19
2011-10-07,42,53.61
2011-10-14,34,54.84
2011-10-21,37,54.98
2011-10-28,40,54.78
2011-11-04,49,49.91
2011-11-11,50,49.72
2011-11-18,54,49.37
2011-11-25,84,48.75
2011-12-02,61,49.12
2011-12-09,60,49.81
2011-12-16,68,48.77
2011-12-23,76,50.34
2011-12-30,80,50.57
2012-01-06,57,50.51
2012-01-13,51,50.81
2012-01-20,43,51.07
2012-01-27,46,49.73
2012-02-03,41,50.84
2012-02-10,46,49.81
2012-02-17,45,52.53
2012-02-24,38,52.75
2012-03-02,39,52.11
2012-03-09,43,52.44
2012-03-16,43,52.62
2012-03-23,36,52.41
2012-03-30,37,53.63
2012-04-13,35,53.24
2012-04-20,34,53.99
2012-04-27,34,50.35
2012-05-04,39,50.39
2012-05-11,41,50.99
2012-05-18,37,50.37
2012-05-25,37,50.27
2012-06-01,40,48.22
2012-06-08,38,48.63
2012-06-15,40,49.25
2012-06-22,37,48.97
2012-06-29,46,49.33
2012-07-06,34,49.12
2012-07-13,40,49.5
2012-07-20,39,47.64
2012-07-27,40,47.19
2012-08-03,48,50.35
2012-08-10,43,50.98
2012-08-17,46,51.1
2012-08-24,47,51.48
2012-08-31,38,50.65
2012-09-07,41,50.39
2012-09-14,39,50.19
2012-09-21,38,51.45
2012-09-28,37,51.66
2012-10-05,41,51.95
2012-10-12,40,51.73
2012-10-19,39,52.09
2012-10-26,40,52.9
2012-11-02,42,53.69
2012-11-09,44,53.48
2012-11-16,47,54.17
2012-11-23,69,55.26
2012-11-30,57,55.46
2012-12-07,54,55.97
2012-12-14,55,56.72
2012-12-21,50,56.18
2012-12-28,67,55.33
2013-01-04,54,56.64
2013-01-11,48,57.02
2013-01-18,45,58.21
2013-01-25,38,58.84
2013-02-01,40,58.65
2013-02-08,39,58.91
2013-02-15,38,59.77
2013-02-22,40,60.01
2013-03-01,37,60.58
2013-03-08,36,61.52
2013-03-15,35,62.2
2013-03-22,37,63.39
2013-04-05,38,63.64
2013-04-12,34,64.7
2013-04-19,44,66.1
2013-04-26,34,65.7
2013-05-03,35,63.66
2013-05-10,37,64.29
2013-05-17,37,65.66
2013-05-24,35,64.45
2013-05-31,38,62.05
2013-06-07,34,63.39
2013-06-14,36,64.24
2013-06-21,36,63.25
2013-06-28,32,64.23
2013-07-05,42,65.34
2013-07-12,32,66.5
2013-07-19,40,67.32
2013-07-26,41,66.98
2013-08-02,39,65.23
2013-08-09,39,65.68
2013-08-16,43,62.95
2013-08-23,38,62.73
2013-08-30,36,60.71
2013-09-06,34,60.23
2013-09-13,36,60.64
2013-09-20,36,60.57
2013-09-27,37,59.02
2013-10-04,32,59.36
2013-10-11,34,60.76
2013-10-18,38,61.45
2013-10-25,36,62.43
2013-11-01,31,62.29
2013-11-08,35,62.19
2013-11-15,45,62.61
2013-11-22,47,62.47
2013-11-29,53,60.64
2013-12-06,50,61.64
2013-12-13,53,60.5
2013-12-20,68,60.52
2013-12-27,67,60.98
2014-01-03,50,60.58
2014-01-10,47,60.78
2014-01-17,42,60.47
2014-01-24,36,59.83
2014-01-31,40,57.98
2014-02-07,39,58.36
2014-02-14,40,60.19
2014-02-21,38,59.95
2014-02-28,34,60.69
2014-03-07,38,61.6
2014-03-14,37,60.9
2014-03-21,39,61.58
2014-03-28,38,62.13
2014-04-04,35,63.77
2014-04-11,38,65.68
2014-04-25,38,66.71
