"Date","buy.L","Price"
2008-07-11,62,45.36
2008-07-18,72,42.94
2008-07-25,57,41.92
2008-08-01,72,44.37
2008-08-08,68,43.5
2008-08-15,70,42.38
2008-08-22,73,42.08
2008-08-29,64,43.43
2008-09-05,55,42.29
2008-09-12,60,41.85
2008-09-19,61,40.98
2008-09-26,60,42.99
2008-10-03,56,35.82
2008-10-10,44,26.1
2008-10-17,60,31.41
2008-10-24,63,31.31
2008-10-31,58,33.2
2008-11-07,43,30.19
2008-11-14,71,27.94
2008-11-21,42,22.34
2008-11-28,58,27.39
2008-12-05,65,25.98
2008-12-12,67,27.42
2008-12-19,68,27.98
2008-12-26,76,26.76
2009-01-02,60,29.77
2009-01-09,83,27.5
2009-01-16,61,25.09
2009-01-23,81,24.53
2009-01-30,63,24.4
2009-02-06,78,24.98
2009-02-13,71,22.82
2009-02-20,58,20.15
2009-02-27,64,19.85
2009-03-06,66,18.13
2009-03-13,61,20.32
2009-03-20,62,22.7
2009-03-27,62,22.34
2009-04-03,73,23.49
2009-04-17,59,25.18
2009-04-24,60,25.02
2009-05-01,50,25.19
2009-05-08,77,29.01
2009-05-15,70,25.21
2009-05-22,67,25.76
2009-05-29,59,27.05
2009-06-05,68,27.69
2009-06-12,66,28.13
2009-06-19,66,27.43
2009-06-26,55,27.17
2009-07-10,60,25.75
2009-07-17,52,27.39
2009-07-24,61,29.34
2009-07-31,65,30.02
2009-08-07,66,31.71
2009-08-14,52,32.01
2009-08-21,72,33.15
2009-08-28,58,34.13
2009-09-04,71,32.82
2009-09-11,57,33.78
2009-09-18,53,34.79
2009-09-25,50,33.52
2009-10-02,52,33.52
2009-10-09,57,34.81
2009-10-16,64,35.89
2009-10-23,62,35.88
2009-10-30,56,33.1
2009-11-06,73,34.6
2009-11-13,62,35.48
2009-11-20,66,35.5
2009-11-27,75,35
2009-12-04,67,35.45
2009-12-11,73,35.58
2009-12-18,71,36.12
2010-01-08,72,37.89
2010-01-15,75,37.21
2010-01-22,65,35.73
2010-01-29,58,35.77
2010-02-05,78,35.37
2010-02-12,61,35.17
2010-02-19,71,36.55
2010-02-26,57,36.46
2010-03-05,52,37.5
2010-03-12,66,37.56
2010-03-19,49,37.17
2010-03-26,50,37.24
2010-04-09,68,38.44
2010-04-16,63,37.8
2010-04-23,57,38.37
2010-04-30,53,37.24
2010-05-07,59,33.6
2010-05-14,85,34.1
2010-05-21,61,31.97
2010-05-28,64,32.51
2010-06-04,58,31.6
2010-06-11,70,32.55
2010-06-18,66,33.9
2010-06-25,59,33.88
2010-07-02,65,33.57
2010-07-09,79,35.7
2010-07-16,42,35.56
2010-07-23,72,37.17
2010-07-30,60,37.15
2010-08-06,81,37.98
2010-08-13,69,37.05
2010-08-20,63,36.29
2010-08-27,72,35.96
2010-09-03,59,36.9
2010-09-10,80,36.51
2010-09-17,73,37.23
2010-09-24,76,37.62
2010-10-01,76,38.02
2010-10-08,66,38.91
2010-10-15,61,39.66
2010-10-22,78,39.7
2010-10-29,62,39.49
2010-11-05,60,40.08
2010-11-12,79,39.23
2010-11-19,70,38.3
2010-11-26,90,37.54
2010-12-03,82,38.13
2010-12-10,88,38.77
2010-12-17,89,38.65
2010-12-31,73,38.91
2011-01-07,84,39.98
2011-01-14,79,40.35
2011-01-21,80,40.23
2011-01-28,70,39.96
2011-02-04,94,41.4
2011-02-11,88,43.03
2011-02-18,84,43.19
2011-02-25,78,42.91
2011-03-04,76,42.77
2011-03-11,71,41.97
2011-03-18,73,42.14
2011-03-25,72,43.04
2011-04-01,70,43.51
2011-04-08,75,43
2011-04-15,69,42.48
2011-04-29,59,44.26
2011-05-06,72,41.72
2011-05-13,82,41.65
2011-05-20,73,41.74
2011-05-27,69,41.84
2011-06-03,67,41.31
2011-06-10,73,40.7
2011-06-17,61,40.56
2011-06-24,56,40.79
2011-07-01,67,42.12
2011-07-08,64,42.36
2011-07-15,76,40.77
2011-07-22,77,40.9
2011-07-29,77,39.87
2011-08-05,83,37.58
2011-08-12,65,36.26
2011-08-19,74,35.25
2011-08-26,75,35.88
2011-09-02,76,36.07
2011-09-09,68,35.96
2011-09-16,74,37.57
2011-09-23,76,34.4
2011-09-30,64,34.55
2011-10-07,81,34.67
2011-10-14,71,36.56
2011-10-21,84,38.66
2011-10-28,76,41.28
2011-11-04,72,39.28
2011-11-11,62,39.5
2011-11-18,67,38.18
2011-11-25,89,35.85
2011-12-02,81,38.25
2011-12-09,81,38.58
2011-12-16,96,36.96
2011-12-23,91,38.22
2011-12-30,92,37.65
2012-01-06,84,37.72
2012-01-13,81,38.23
2012-01-20,77,38.56
2012-01-27,72,37.63
2012-02-03,83,38.61
2012-02-10,77,38.1
2012-02-17,85,38.3
2012-02-24,83,39.14
2012-03-02,76,38.87
2012-03-09,72,38.65
2012-03-16,81,39.48
2012-03-23,82,39.19
2012-03-30,80,39.87
2012-04-13,68,38.91
2012-04-20,72,39.84
2012-04-27,74,41.01
2012-05-04,62,40.77
2012-05-11,76,40.64
2012-05-18,80,38.32
2012-05-25,82,39.22
2012-06-01,76,38.36
2012-06-08,77,39.87
2012-06-15,76,40.46
2012-06-22,74,40.07
2012-06-29,77,40.91
2012-07-06,87,40.5
2012-07-13,73,40.9
2012-07-20,80,40.55
2012-07-27,86,41.7
2012-08-03,90,40.35
2012-08-10,92,40.51
2012-08-17,81,40.48
2012-08-24,88,40.23
2012-08-31,83,40.65
2012-09-07,87,41.18
2012-09-14,76,42.69
2012-09-21,83,41.43
2012-09-28,80,41.26
2012-10-05,75,41.96
2012-10-12,74,41.48
2012-10-19,81,42.51
2012-10-26,87,42.39
2012-11-02,65,42.16
2012-11-09,69,41.13
2012-11-16,79,40.72
2012-11-23,87,41.3
2012-11-30,82,40.88
2012-12-07,86,41.28
2012-12-14,72,40.65
2012-12-21,85,40.9
2012-12-28,84,40.18
2013-01-04,96,42.06
2013-01-11,77,42.65
2013-01-18,71,42.82
2013-01-25,77,43.47
2013-02-01,82,44.08
2013-02-08,74,43.85
2013-02-15,72,43.91
2013-02-22,71,43.68
2013-03-01,83,43.18
2013-03-08,71,43.58
2013-03-15,79,44.6
2013-03-22,78,43.98
2013-04-05,72,43.8
2013-04-12,77,43.99
2013-04-19,61,43.18
2013-04-26,79,44.44
2013-05-03,74,45.42
2013-05-10,76,45.45
2013-05-17,72,46.44
2013-05-24,68,45.95
2013-05-31,76,45.82
2013-06-07,84,45.74
2013-06-14,86,44.58
2013-06-21,74,43.58
2013-06-28,83,44.4
2013-07-05,94,44.87
2013-07-12,73,45.68
2013-07-19,88,46.51
2013-07-26,90,46.05
2013-08-02,86,46.29
2013-08-09,93,46.18
2013-08-16,86,46.41
2013-08-23,78,45.95
2013-08-30,76,44.46
2013-09-06,84,44.69
2013-09-13,87,46.23
2013-09-20,84,47.44
2013-09-27,80,46.95
2013-10-04,88,47.06
2013-10-11,80,48.33
2013-10-18,79,49.07
2013-10-25,75,48.81
2013-11-01,89,48.34
2013-11-08,76,48.57
2013-11-15,88,48.07
2013-11-22,90,48.24
2013-11-29,86,47.35
2013-12-06,96,47.29
2013-12-13,100,46.56
2013-12-20,95,47.62
2013-12-27,99,47.67
2014-01-03,91,47.26
2014-01-10,81,46.86
2014-01-17,82,47.33
2014-01-24,87,44.65
2014-01-31,79,44.59
2014-02-07,74,45.18
2014-02-14,79,44.03
2014-02-21,81,43.5
2014-02-28,73,43.48
2014-03-07,88,45.05
2014-03-14,79,43.97
2014-03-21,75,44.23
2014-03-28,79,43.42
2014-04-04,70,44.7
2014-04-11,72,43.44
2014-04-25,77,44.14
