"Date","CMA","Price"
2006-12-08,8,59.14
2006-12-15,8,59.3
2006-12-22,7,58.87
2006-12-29,6,58.68
2007-01-05,8,58.55
2007-01-12,9,58.05
2007-01-19,8,59.6
2007-01-26,8,58.64
2007-02-02,9,60.48
2007-02-09,9,60.68
2007-02-16,8,62.08
2007-02-23,8,63
2007-03-02,8,59.9
2007-03-09,9,60.17
2007-03-16,9,58.67
2007-03-23,8,60.6
2007-03-30,8,59.12
2007-04-13,8,59.5
2007-04-20,10,63.46
2007-04-27,8,62.81
2007-05-04,8,62.48
2007-05-11,9,62.45
2007-05-18,14,63.43
2007-05-25,9,62.63
2007-06-01,8,63.72
2007-06-08,10,62.41
2007-06-15,9,62.05
2007-06-22,8,60.01
2007-06-29,9,59.47
2007-07-06,8,60.83
2007-07-13,9,60.26
2007-07-20,9,56.28
2007-07-27,11,52.99
2007-08-03,8,50.26
2007-08-10,8,53.64
2007-08-17,8,58.54
2007-08-24,8,58.67
2007-08-31,10,55.78
2007-09-07,9,54.23
2007-09-14,9,53.74
2007-09-21,9,53.63
2007-09-28,9,51.28
2007-10-05,8,54.31
2007-10-12,8,52.71
2007-10-19,9,46.53
2007-10-26,9,47.26
2007-11-02,10,44.61
2007-11-09,49,44.94
2007-11-16,12,43.54
2007-11-23,10,43.09
2007-11-30,10,45.78
2007-12-07,9,45.61
2007-12-14,7,41.17
2007-12-21,7,44.2
2007-12-28,6,44.13
2008-01-04,7,39.92
2008-01-11,8,42.38
2008-01-18,8,36.64
2008-01-25,9,39.85
2008-02-01,8,45.14
2008-02-08,8,40.86
2008-02-15,8,39.2
2008-02-22,8,39.25
2008-02-29,8,36.24
2008-03-07,9,36.25
2008-03-14,9,36.77
2008-03-28,8,35.06
2008-04-04,9,36.1
2008-04-11,9,34.5
2008-04-18,11,34.02
2008-04-25,9,34.72
2008-05-02,9,37.89
2008-05-09,8,38.86
2008-05-16,9,38.34
2008-05-23,15,36.88
2008-05-30,10,37.18
2008-06-06,11,35.31
2008-06-13,10,30.77
2008-06-20,9,29.51
2008-06-27,8,26.9
2008-07-11,8,23.85
2008-07-18,8,28.97
2008-07-25,9,27.86
2008-08-01,8,29.5
2008-08-08,8,31.41
2008-08-15,8,30.41
2008-08-22,8,26.9
2008-08-29,8,28.09
2008-09-05,8,30.15
2008-09-12,13,32.49
2008-09-19,9,42
2008-09-26,9,34.3
2008-10-03,8,33.42
2008-10-10,9,24.33
2008-10-17,8,29.32
2008-10-24,9,24.41
2008-10-31,9,27.59
2008-11-07,10,24.55
2008-11-14,53,21.95
2008-11-21,14,17.13
2008-11-28,9,22.55
2008-12-05,9,21.72
2008-12-12,8,19.21
2008-12-19,8,19.01
2008-12-26,6,19.13
2009-01-02,6,20.95
2009-01-09,8,17.9
2009-01-16,8,14.38
2009-01-23,8,17.1
2009-01-30,8,16.66
2009-02-06,9,18.95
2009-02-13,8,15.49
2009-02-20,9,13.57
2009-02-27,8,15.01
2009-03-06,8,12.84
2009-03-13,8,17.82
2009-03-20,8,17.86
2009-03-27,8,19.6
2009-04-03,9,19.54
2009-04-17,9,21.75
2009-04-24,8,22.08
2009-05-01,8,20.96
2009-05-08,8,22.97
2009-05-15,8,20.45
2009-05-22,8,20.33
2009-05-29,9,21.68
2009-06-05,9,21.75
2009-06-12,12,22.63
2009-06-19,12,21.54
2009-06-26,8,21.33
2009-07-10,8,20.31
2009-07-17,8,22.15
2009-07-24,8,22.32
2009-07-31,8,23.84
2009-08-07,8,27.61
2009-08-14,8,27.57
2009-08-21,8,27.09
2009-08-28,8,26.73
2009-09-04,11,25.42
2009-09-11,10,27.6
2009-09-18,10,30.65
2009-09-25,8,28.56
2009-10-02,8,28.78
2009-10-09,8,30.33
2009-10-16,8,29.95
2009-10-23,9,30.79
2009-10-30,9,27.75
2009-11-06,10,27.57
2009-11-13,59,27.91
2009-11-20,13,27.91
2009-11-27,10,27.8
2009-12-04,9,28.28
2009-12-11,8,28.88
2009-12-18,8,28.25
2010-01-08,8,32.57
2010-01-15,8,32.86
2010-01-22,8,35.62
2010-01-29,8,34.51
2010-02-05,8,34.03
2010-02-12,8,35
2010-02-19,8,35.55
2010-02-26,8,36.08
2010-03-05,8,36.74
2010-03-12,8,36.86
2010-03-19,8,38.14
2010-03-26,8,37.56
2010-04-09,8,41.56
2010-04-16,9,40.77
2010-04-23,16,44.28
2010-04-30,9,42
2010-05-07,9,40.29
2010-05-14,8,42.22
2010-05-21,9,38.65
2010-05-28,9,38.1
2010-06-04,9,36.25
2010-06-11,17,37.44
2010-06-18,10,39.22
2010-06-25,8,38.43
2010-07-02,8,35.28
2010-07-09,8,39.15
2010-07-16,8,36.17
2010-07-23,8,37.74
2010-07-30,8,38.36
2010-08-06,8,37.16
2010-08-13,8,35.87
2010-08-20,8,35.34
2010-08-27,8,34.06
2010-09-03,14,36.93
2010-09-10,9,36.7
2010-09-17,9,36.88
2010-09-24,8,36.33
2010-10-01,8,37.16
2010-10-08,8,38.7
2010-10-15,8,38.18
2010-10-22,9,36.26
2010-10-29,8,35.78
2010-11-05,10,38.64
2010-11-12,53,37.27
2010-11-19,13,37.12
2010-11-26,9,36.47
2010-12-03,9,39.58
2010-12-10,8,40.97
2010-12-17,8,41.34
2010-12-31,7,42.24
2011-01-07,8,41.01
2011-01-14,8,42.25
2011-01-21,8,39.5
2011-01-28,8,37.99
2011-02-04,7,38.6
2011-02-11,8,39.82
2011-02-18,8,39.65
2011-02-25,8,38.83
2011-03-04,8,38.36
2011-03-11,8,39.14
2011-03-18,7,37.79
2011-03-25,8,36.79
2011-04-01,8,36.95
2011-04-08,15,37.83
2011-04-15,9,37.94
2011-04-29,8,37.93
2011-05-06,8,37.47
2011-05-13,8,36.39
2011-05-20,8,36.47
2011-05-27,9,35.91
2011-06-03,9,34.14
2011-06-10,16,33.78
2011-06-17,10,34.41
2011-06-24,8,33.74
2011-07-01,8,35.39
2011-07-08,8,33.79
2011-07-15,7,32.59
2011-07-22,7,33.78
2011-07-29,8,32.03
2011-08-05,7,29.13
2011-08-12,7,24.41
2011-08-19,13,22.58
2011-08-26,7,24.01
2011-09-02,7,23.44
2011-09-09,9,22.31
2011-09-16,8,24.93
2011-09-23,8,22.49
2011-09-30,8,22.97
2011-10-07,7,23.51
2011-10-14,8,25.66
2011-10-21,8,24.38
2011-10-28,8,25.92
2011-11-04,9,25.68
2011-11-11,56,26.47
2011-11-18,12,24.9
2011-11-25,9,23.02
2011-12-02,10,25.21
2011-12-09,9,26.5
2011-12-16,8,24.74
2011-12-23,7,26.23
2011-12-30,6,25.8
2012-01-06,7,27.92
2012-01-13,8,29.44
2012-01-20,8,29.58
2012-01-27,8,28.02
2012-02-03,8,30.08
2012-02-10,8,30.14
2012-02-17,7,31.15
2012-02-24,7,29.32
2012-03-02,8,29.57
2012-03-09,7,30.44
2012-03-16,8,33.2
2012-03-23,8,32.29
2012-03-30,8,32.36
2012-04-13,8,30.55
2012-04-20,8,31.6
2012-04-27,8,32.51
2012-05-04,8,31.77
2012-05-11,8,31.51
2012-05-18,8,29.25
2012-05-25,9,30.4
2012-06-01,9,28.68
2012-06-08,15,29.49
2012-06-15,9,29.96
2012-06-22,7,30.28
2012-06-29,7,30.71
2012-07-06,7,30.59
2012-07-13,7,30.69
2012-07-20,7,30.66
2012-07-27,7,30.82
2012-08-03,7,30.66
2012-08-10,7,30.81
2012-08-17,7,31.5
2012-08-24,7,30.75
2012-08-31,7,30.71
2012-09-07,9,32.23
2012-09-14,8,33.03
2012-09-21,14,31.27
2012-09-28,8,31.05
2012-10-05,8,31.8
2012-10-12,8,30.89
2012-10-19,8,29.43
2012-10-26,8,29.22
2012-11-02,45,30.23
2012-11-09,13,28.44
2012-11-16,8,28.05
2012-11-23,8,29.19
2012-11-30,7,29.59
2012-12-07,8,29.13
2012-12-14,9,28.66
2012-12-21,8,30.18
2012-12-28,6,30.13
2013-01-04,6,32.59
2013-01-11,7,31.83
2013-01-18,7,33.66
2013-01-25,7,33.71
2013-02-01,7,35.06
2013-02-08,7,35.37
2013-02-15,7,34.83
2013-02-22,7,34.3
2013-03-01,7,34.48
2013-03-08,8,36.29
2013-03-15,7,36.77
2013-03-22,7,36.25
2013-04-05,7,34.51
2013-04-12,14,35.05
2013-04-19,8,34.86
2013-04-26,7,35.91
2013-05-03,7,37.07
2013-05-10,7,37.95
2013-05-17,8,39.88
2013-05-24,8,38.96
2013-05-31,9,39.49
2013-06-07,16,38.86
2013-06-14,9,37.35
2013-06-21,7,38.64
2013-06-28,7,39.83
2013-07-05,7,42.57
2013-07-12,7,41.69
2013-07-19,7,42.18
2013-07-26,7,42.38
2013-08-02,7,43.12
2013-08-09,7,42.32
2013-08-16,18,42.57
2013-08-23,8,42.83
2013-08-30,9,40.84
2013-09-06,7,41.25
2013-09-13,9,40.51
2013-09-20,7,39.73
2013-09-27,7,39.19
2013-10-04,7,39.62
2013-10-11,7,40.63
2013-10-18,7,42.06
2013-10-25,8,42.72
2013-11-01,8,43.04
2013-11-08,68,45.2
2013-11-15,12,44.9
2013-11-22,8,45.59
2013-11-29,8,45.35
2013-12-06,9,45.85
2013-12-13,7,45.04
2013-12-20,7,46.73
2013-12-27,5,47.47
2014-01-03,6,47.08
2014-01-10,8,47.8
2014-01-17,7,47.65
2014-01-24,7,47.23
2014-01-31,8,45.8
2014-02-07,7,45.75
2014-02-14,7,47.63
2014-02-21,8,46.74
2014-02-28,8,48.18
2014-03-07,7,49.49
2014-03-14,7,48.6
2014-03-21,8,52.37
2014-03-28,8,51.09
2014-04-04,8,51.09
2014-04-11,14,48.25
2014-04-25,7,47.93
