"Date","Sempra.Energy","Price"
2010-01-15,31,52.42
2010-01-22,27,51.55
2010-01-29,37,50.75
2010-02-05,26,49.68
2010-02-12,26,49.48
2010-02-19,36,48.95
2010-02-26,25,49.17
2010-03-05,30,49.73
2010-03-12,19,50.27
2010-03-19,30,50.5
2010-03-26,24,49.15
2010-04-09,23,50.49
2010-04-16,25,49.1
2010-04-23,19,50.49
2010-04-30,28,49.18
2010-05-07,30,46.44
2010-05-14,27,47.21
2010-05-21,37,46.1
2010-05-28,26,46
2010-06-04,18,44.51
2010-06-11,20,48.11
2010-06-18,20,50.1
2010-06-25,24,48.24
2010-07-02,28,46.51
2010-07-09,20,49.26
2010-07-16,26,48.54
2010-07-23,28,50.46
2010-07-30,28,49.75
2010-08-06,15,51.8
2010-08-13,20,51.15
2010-08-20,17,50.54
2010-08-27,30,51.97
2010-09-03,21,53.56
2010-09-10,22,53.29
2010-09-17,25,53.08
2010-09-24,25,53.88
2010-10-01,24,54.16
2010-10-08,25,53.75
2010-10-15,23,53.33
2010-10-22,23,53.52
2010-10-29,18,53.48
2010-11-05,22,54.06
2010-11-12,18,50.97
2010-11-19,22,50.47
2010-11-26,15,50.25
2010-12-03,22,50.99
2010-12-10,18,51.28
2010-12-17,16,52.47
2010-12-31,17,52.48
2011-01-07,16,51.65
2011-01-14,16,52.35
2011-01-21,20,52.43
2011-01-28,13,51.87
2011-02-04,31,52.12
2011-02-11,16,53.27
2011-02-18,27,53.3
2011-02-25,19,53.43
2011-03-04,18,53.64
2011-03-11,17,53.76
2011-03-18,19,51.4
2011-03-25,32,52.49
2011-04-01,18,53.81
2011-04-08,22,53.46
2011-04-15,20,53.77
2011-04-29,17,55.1
2011-05-06,16,54.86
2011-05-13,21,55.11
2011-05-20,19,55.36
2011-05-27,16,54.68
2011-06-03,11,53.32
2011-06-10,16,52.59
2011-06-17,25,53.21
2011-06-24,21,51.91
2011-07-01,20,53.42
2011-07-08,14,52.82
2011-07-15,21,52.1
2011-07-22,21,52.24
2011-07-29,17,50.69
2011-08-05,19,48.48
2011-08-12,15,47.78
2011-08-19,18,48.76
2011-08-26,15,51.04
2011-09-02,18,51.66
2011-09-09,19,50.31
2011-09-16,19,53.32
2011-09-23,15,50.18
2011-09-30,24,51.5
2011-10-07,18,50.93
2011-10-14,13,52.26
2011-10-21,13,54.53
2011-10-28,11,54.15
2011-11-04,16,53.58
2011-11-11,19,53.98
2011-11-18,16,53.18
2011-11-25,13,50.88
2011-12-02,15,52.92
2011-12-09,14,52.53
2011-12-16,16,52.84
2011-12-23,11,54.62
2011-12-30,9,55
2012-01-06,15,55.85
2012-01-13,14,55.42
2012-01-20,14,56.3
2012-01-27,16,57.67
2012-02-03,17,58.3
2012-02-10,20,57.5
2012-02-17,13,58.32
2012-02-24,12,58.04
2012-03-02,21,58.89
2012-03-09,17,59.17
2012-03-16,13,58.71
2012-03-23,19,58.13
2012-03-30,16,59.96
2012-04-13,13,62.39
2012-04-20,16,64.51
2012-04-27,17,64.8
2012-05-04,19,64.92
2012-05-11,18,64.89
2012-05-18,15,63.44
2012-05-25,17,64.35
2012-06-01,14,64.07
2012-06-08,16,66.73
2012-06-15,14,67.85
2012-06-22,21,67.2
2012-06-29,16,68.88
2012-07-06,15,68.71
2012-07-13,20,69.03
2012-07-20,19,70.69
2012-07-27,10,70.86
2012-08-03,18,70.22
2012-08-10,13,69.03
2012-08-17,14,68.74
2012-08-24,17,67.18
2012-08-31,12,66.2
2012-09-07,15,66.61
2012-09-14,13,65.79
2012-09-21,18,64.54
2012-09-28,15,64.49
2012-10-05,17,66.68
2012-10-12,15,66.88
2012-10-19,21,67.78
2012-10-26,14,68.98
2012-11-02,16,69.13
2012-11-09,13,65.79
2012-11-16,15,66.08
2012-11-23,11,66.05
2012-11-30,16,68.42
2012-12-07,11,71.34
2012-12-14,15,71.5
2012-12-21,16,71.96
2012-12-28,10,70.19
2013-01-04,13,72
2013-01-11,15,71.83
2013-01-18,13,73.19
2013-01-25,17,74.36
2013-02-01,16,75.73
2013-02-08,16,76.14
2013-02-15,13,75.62
2013-02-22,17,76.79
2013-03-01,15,78.45
2013-03-08,20,78.65
2013-03-15,14,79.02
2013-03-22,20,79.85
2013-04-05,16,81.56
2013-04-12,16,82.43
2013-04-19,20,82.55
2013-04-26,11,81.78
2013-05-03,19,83.9
2013-05-10,18,81.6
2013-05-17,21,84.45
2013-05-24,17,79.6
2013-05-31,12,81.3
2013-06-07,11,80.19
2013-06-14,17,80.35
2013-06-21,14,79.59
2013-06-28,13,81.76
2013-07-05,8,79.73
2013-07-12,13,83.78
2013-07-19,17,86.85
2013-07-26,17,87.24
2013-08-02,14,88.6
2013-08-09,13,86.43
2013-08-16,13,82.87
2013-08-23,15,84
2013-08-30,12,84.42
2013-09-06,10,83.6
2013-09-13,13,84.68
2013-09-20,9,86.75
2013-09-27,15,86.62
2013-10-04,13,85.49
2013-10-11,15,87.51
2013-10-18,15,90.43
2013-10-25,10,91.21
2013-11-01,12,91.72
2013-11-08,16,89.63
2013-11-15,15,91.16
2013-11-22,13,89.49
2013-11-29,9,88.44
2013-12-06,8,88.07
2013-12-13,12,86.49
2013-12-20,13,89.8
2013-12-27,8,89.19
2014-01-03,9,88.8
2014-01-10,15,91.93
2014-01-17,20,91.95
2014-01-24,10,90.28
2014-01-31,11,92.71
2014-02-07,13,92.24
2014-02-14,14,93.15
2014-02-21,12,93
2014-02-28,14,94.47
2014-03-07,15,93.67
2014-03-14,16,95.92
2014-03-21,11,96.3
2014-03-28,17,95.75
2014-04-04,9,96.44
2014-04-11,11,96.42
2014-04-25,15,98.66
