"Date","sell.BEN","Price"
2013-10-18,44,53.85
2013-10-25,38,54.5
2013-11-01,43,53.98
2013-11-08,47,52.27
2013-11-15,45,54.15
2013-11-22,42,55.65
2013-11-29,34,55.39
2013-12-06,20,54.58
2013-12-13,44,54.02
2013-12-20,50,56.25
2013-12-27,45,57.23
2014-01-03,45,57.08
2014-01-10,32,57.8
2014-01-17,31,58.51
2014-01-24,44,53.6
2014-01-31,36,52.01
2014-02-07,34,52.15
2014-02-14,50,52.81
2014-02-21,21,52.48
2014-02-28,47,53.25
2014-03-07,33,53.81
2014-03-14,30,51.12
2014-03-21,44,52.34
2014-03-28,49,53.67
2014-04-04,36,53.41
2014-04-11,55,51.8
2014-04-25,53,52.77
