"Date","buy.F","Price"
2007-05-25,35,8.45
2007-06-01,43,8.35
2007-06-08,31,8.24
2007-06-15,29,8.92
2007-06-22,29,9.13
2007-06-29,42,9.42
2007-07-06,37,9.11
2007-07-13,41,8.97
2007-07-20,43,8.4
2007-07-27,35,8.23
2007-08-03,29,8.06
2007-08-10,29,8.23
2007-08-17,42,7.83
2007-08-24,30,7.9
2007-08-31,31,7.81
2007-09-07,20,7.52
2007-09-14,38,8.03
2007-09-21,30,8.23
2007-09-28,37,8.49
2007-10-05,31,8.37
2007-10-12,32,9.2
2007-10-19,44,8.37
2007-10-26,29,8.67
2007-11-02,33,8.95
2007-11-09,27,8.2
2007-11-16,36,7.7
2007-11-23,48,7.19
2007-11-30,34,7.51
2007-12-07,51,7.06
2007-12-14,51,6.89
2007-12-21,47,6.79
2007-12-28,34,6.7
2008-01-04,22,6.13
2008-01-11,38,6.06
2008-01-18,36,5.92
2008-01-25,49,6.58
2008-02-01,24,6.85
2008-02-08,33,6.08
2008-02-15,35,6.45
2008-02-22,29,6.25
2008-02-29,39,6.53
2008-03-07,37,5.78
2008-03-14,40,5.29
2008-03-28,38,5.59
2008-04-04,34,6.49
2008-04-11,27,6.69
2008-04-18,41,7.45
2008-04-25,56,7.5
2008-05-02,41,8.27
2008-05-09,48,8.1
2008-05-16,38,8.11
2008-05-23,39,6.87
2008-05-30,26,6.8
2008-06-06,51,6.04
2008-06-13,34,6.27
2008-06-20,33,5.81
2008-06-27,39,4.98
2008-07-11,31,4.86
2008-07-18,38,5.44
2008-07-25,41,5.05
2008-08-01,61,4.65
2008-08-08,35,5.26
2008-08-15,33,5.11
2008-08-22,38,4.47
2008-08-29,41,4.46
2008-09-05,45,4.41
2008-09-12,44,4.91
2008-09-19,33,5.29
2008-09-26,55,4.81
2008-10-03,45,4.05
2008-10-10,45,1.99
2008-10-17,49,2.43
2008-10-24,47,2.01
2008-10-31,53,2.19
2008-11-07,39,2.02
2008-11-14,44,1.8
2008-11-21,38,1.43
2008-11-28,52,2.69
2008-12-05,58,2.72
2008-12-12,56,3.04
2008-12-19,58,2.95
2008-12-26,46,2.29
2009-01-02,49,2.46
2009-01-09,40,2.63
2009-01-16,39,2.19
2009-01-23,43,1.8
2009-01-30,51,1.87
2009-02-06,52,1.94
2009-02-13,41,1.76
2009-02-20,33,1.58
2009-02-27,51,2
2009-03-06,39,1.7
2009-03-13,50,2.19
2009-03-20,42,2.75
2009-03-27,46,2.84
2009-04-03,56,3.25
2009-04-17,38,4
2009-04-24,33,5
2009-05-01,45,5.69
2009-05-08,44,6.24
2009-05-15,40,5.49
2009-05-22,43,5.26
2009-05-29,50,5.75
2009-06-05,43,6.36
2009-06-12,43,6.11
2009-06-19,38,5.72
2009-06-26,44,5.61
2009-07-10,51,5.72
2009-07-17,51,6.14
2009-07-24,59,6.78
2009-07-31,56,8
2009-08-07,54,8.01
2009-08-14,50,7.83
2009-08-21,55,7.74
2009-08-28,57,7.73
2009-09-04,48,7.43
2009-09-11,46,7.33
2009-09-18,43,6.94
2009-09-25,45,7.29
2009-10-02,48,6.84
2009-10-09,52,7.12
2009-10-16,44,7.42
2009-10-23,39,7.63
2009-10-30,38,7
2009-11-06,49,7.75
2009-11-13,55,8.41
2009-11-20,49,8.64
2009-11-27,50,8.73
2009-12-04,64,8.94
2009-12-11,36,9
2009-12-18,48,9.68
2010-01-08,49,11.69
2010-01-15,59,11.6
2010-01-22,46,10.52
2010-01-29,49,10.84
2010-02-05,54,10.91
2010-02-12,50,11.12
2010-02-19,54,11.29
2010-02-26,48,11.74
2010-03-05,44,13
2010-03-12,37,13.34
2010-03-19,47,13.29
2010-03-26,47,13.86
2010-04-09,50,12.72
2010-04-16,49,13.42
2010-04-23,45,14.21
2010-04-30,50,13.02
2010-05-07,61,11.51
2010-05-14,47,12.11
2010-05-21,57,11.26
2010-05-28,50,11.73
2010-06-04,48,11.5
2010-06-11,45,11.4
2010-06-18,48,11.46
2010-06-25,47,10.75
2010-07-02,41,10.28
2010-07-09,54,10.85
2010-07-16,42,11.34
2010-07-23,51,12.72
2010-07-30,50,12.77
2010-08-06,55,13.04
2010-08-13,50,12.15
2010-08-20,49,11.77
2010-08-27,50,11.56
2010-09-03,51,12.07
2010-09-10,57,11.79
2010-09-17,56,12.49
2010-09-24,60,12.56
2010-10-01,53,12.26
2010-10-08,64,13.66
2010-10-15,54,13.8
2010-10-22,67,13.95
2010-10-29,61,14.13
2010-11-05,58,16.21
2010-11-12,66,16.3
2010-11-19,59,16.28
2010-11-26,79,16.1
2010-12-03,66,16.8
2010-12-10,77,16.73
2010-12-17,67,16.8
2010-12-31,82,16.79
2011-01-07,65,18.27
2011-01-14,61,18.65
2011-01-21,74,17.95
2011-01-28,66,16.27
2011-02-04,82,15.72
2011-02-11,61,16.38
2011-02-18,60,15.77
2011-02-25,65,15.07
2011-03-04,58,14.42
2011-03-11,66,14.36
2011-03-18,59,14.49
2011-03-25,68,15.01
2011-04-01,56,15.16
2011-04-08,65,15.33
2011-04-15,54,14.71
2011-04-29,59,15.47
2011-05-06,60,15.11
2011-05-13,64,15.08
2011-05-20,59,15
2011-05-27,57,14.6
2011-06-03,74,14.01
2011-06-10,56,13.35
2011-06-17,64,12.77
2011-06-24,68,13.24
2011-07-01,72,14.02
2011-07-08,70,13.88
2011-07-15,60,13.09
2011-07-22,67,13.31
2011-07-29,71,12.21
2011-08-05,67,10.84
2011-08-12,72,11.06
2011-08-19,83,9.99
2011-08-26,70,10.4
2011-09-02,73,10.42
2011-09-09,65,10.05
2011-09-16,68,10.62
2011-09-23,72,9.86
2011-09-30,65,9.67
2011-10-07,70,10.69
2011-10-14,64,11.56
2011-10-21,64,12.26
2011-10-28,67,12
2011-11-04,66,11.27
2011-11-11,66,11.14
2011-11-18,76,10.1
2011-11-25,92,9.75
2011-12-02,76,10.9
2011-12-09,79,11.03
2011-12-16,88,10.25
2011-12-23,100,10.95
2011-12-30,98,10.76
2012-01-06,87,11.71
2012-01-13,77,12.04
2012-01-20,75,12.59
2012-01-27,74,12.21
2012-02-03,79,12.79
2012-02-10,75,12.44
2012-02-17,68,12.75
2012-02-24,65,12.23
2012-03-02,63,12.72
2012-03-09,72,12.58
2012-03-16,73,12.51
2012-03-23,71,12.32
2012-03-30,61,12.48
2012-04-13,60,11.92
2012-04-20,68,11.41
2012-04-27,56,11.6
2012-05-04,55,10.67
2012-05-11,54,10.58
2012-05-18,59,10.01
2012-05-25,63,10.6
2012-06-01,59,10.12
2012-06-08,63,10.66
2012-06-15,63,10.35
2012-06-22,71,10.19
2012-06-29,66,9.59
2012-07-06,54,9.5
2012-07-13,70,9.27
2012-07-20,59,9.21
2012-07-27,66,9
2012-08-03,62,9.09
2012-08-10,67,9.35
2012-08-17,64,9.63
2012-08-24,68,9.49
2012-08-31,66,9.34
2012-09-07,66,10.14
2012-09-14,60,10.53
2012-09-21,73,10.4
2012-09-28,61,9.86
2012-10-05,64,10.16
2012-10-12,57,10.12
2012-10-19,56,10.18
2012-10-26,72,10.36
2012-11-02,61,11.17
2012-11-09,65,10.93
2012-11-16,64,10.5
2012-11-23,79,11.1
2012-11-30,68,11.45
2012-12-07,65,11.48
2012-12-14,67,11.1
2012-12-21,67,11.86
2012-12-28,76,12.87
2013-01-04,64,13.57
2013-01-11,67,14
2013-01-18,64,14.11
2013-01-25,61,13.68
2013-02-01,67,13.02
2013-02-08,55,13.1
2013-02-15,67,13.02
2013-02-22,56,12.48
2013-03-01,62,12.61
2013-03-08,64,12.98
2013-03-15,54,13.45
2013-03-22,71,13.26
2013-04-05,66,12.44
2013-04-12,58,13.53
2013-04-19,62,12.93
2013-04-26,58,13.67
2013-05-03,61,13.83
2013-05-10,60,14.11
2013-05-17,55,15.08
2013-05-24,58,14.79
2013-05-31,60,15.68
2013-06-07,62,15.73
2013-06-14,56,15.37
2013-06-21,58,15
2013-06-28,57,15.47
2013-07-05,56,16.7
2013-07-12,68,17.11
2013-07-19,59,16.76
2013-07-26,60,17.02
2013-08-02,60,17.5
2013-08-09,71,17.02
2013-08-16,59,16.3
2013-08-23,61,16.45
2013-08-30,63,16.19
2013-09-06,71,17
2013-09-13,62,17.35
2013-09-20,63,17.39
2013-09-27,65,17.05
2013-10-04,50,17.09
2013-10-11,56,17.11
2013-10-18,59,17.53
2013-10-25,61,17.6
2013-11-01,53,16.89
2013-11-08,58,16.85
2013-11-15,64,17.07
2013-11-22,68,17.01
2013-11-29,81,17.08
2013-12-06,67,16.7
2013-12-13,62,16.59
2013-12-20,61,15.42
2013-12-27,70,15.3
2014-01-03,65,15.51
2014-01-10,64,16.07
2014-01-17,62,16.52
2014-01-24,63,15.83
2014-01-31,53,14.96
2014-02-07,54,14.97
2014-02-14,55,15.24
2014-02-21,57,15.16
2014-02-28,59,15.39
2014-03-07,60,15.62
2014-03-14,59,15.08
2014-03-21,57,15.47
2014-03-28,59,15.45
2014-04-04,59,16.13
2014-04-11,51,15.63
2014-04-25,66,15.78
