"Date","Wyndham.Worldwide","Price"
2011-02-04,31,29.96
2011-02-11,46,30.15
2011-02-18,40,32.07
2011-02-25,23,31.36
2011-03-04,34,31.7
2011-03-11,27,31.29
2011-03-18,31,30.45
2011-03-25,29,31.82
2011-04-01,32,32.32
2011-04-08,38,31.76
2011-04-15,42,31.18
2011-04-29,29,34.61
2011-05-06,20,33.62
2011-05-13,27,34.05
2011-05-20,39,34.36
2011-05-27,28,34.74
2011-06-03,24,33.5
2011-06-10,33,31.5
2011-06-17,41,31.57
2011-06-24,41,32.04
2011-07-01,33,35.2
2011-07-08,30,34.76
2011-07-15,32,33.3
2011-07-22,39,34.27
2011-07-29,32,34.59
2011-08-05,51,28.86
2011-08-12,37,30.22
2011-08-19,37,27.57
2011-08-26,22,29.78
2011-09-02,30,30.66
2011-09-09,13,29.21
2011-09-16,33,32.15
2011-09-23,28,30.06
2011-09-30,43,28.51
2011-10-07,31,28.96
2011-10-14,38,31.18
2011-10-21,36,30.96
2011-10-28,26,34.63
2011-11-04,29,34.05
2011-11-11,28,34.53
2011-11-18,29,33.92
2011-11-25,28,32.9
2011-12-02,39,35.85
2011-12-09,35,36.07
2011-12-16,39,34.84
2011-12-23,18,37.46
2011-12-30,22,37.83
2012-01-06,26,37.64
2012-01-13,31,39.08
2012-01-20,29,39.9
2012-01-27,33,39.92
2012-02-03,42,41.48
2012-02-10,30,44.15
2012-02-17,34,43.99
2012-02-24,27,44.02
2012-03-02,42,44.19
2012-03-09,46,44.15
2012-03-16,38,45.24
2012-03-23,47,44.64
2012-03-30,28,46.51
2012-04-13,40,46.63
2012-04-20,42,47.51
2012-04-27,34,50.61
2012-05-04,36,51.15
2012-05-11,38,51.64
2012-05-18,24,46.78
2012-05-25,28,49.43
2012-06-01,34,47.35
2012-06-08,29,50.73
2012-06-15,15,51.33
2012-06-22,53,51.26
2012-06-29,51,52.74
2012-07-06,32,52.75
2012-07-13,28,50.22
2012-07-20,38,50.76
2012-07-27,43,52.28
2012-08-03,37,52.48
2012-08-10,35,51.3
2012-08-17,39,52.52
2012-08-24,39,51.43
2012-08-31,30,52.14
2012-09-07,35,54.32
2012-09-14,41,53.75
2012-09-21,33,53
2012-09-28,29,52.48
2012-10-05,26,54.6
2012-10-12,33,53.27
2012-10-19,28,54.12
2012-10-26,25,50.66
2012-11-02,24,50.51
2012-11-09,25,51.37
2012-11-16,33,48.89
2012-11-23,23,50.16
2012-11-30,25,49.09
2012-12-07,30,49.64
2012-12-14,29,50.26
2012-12-21,30,53.38
2012-12-28,23,52.13
2013-01-04,21,56.14
2013-01-11,28,56.02
2013-01-18,34,56.1
2013-01-25,42,57.13
2013-02-01,23,56.19
2013-02-08,44,59.89
2013-02-15,35,59.41
2013-02-22,29,58.38
2013-03-01,40,60.67
2013-03-08,36,63.54
2013-03-15,52,62.97
2013-03-22,39,62.52
2013-04-05,43,62.1
2013-04-12,41,65.26
2013-04-19,37,63.33
2013-04-26,32,61.26
2013-05-03,29,62.57
2013-05-10,40,64.68
2013-05-17,29,60.99
2013-05-24,34,60.48
2013-05-31,33,58.12
2013-06-07,30,58.32
2013-06-14,31,58.79
2013-06-21,31,55.15
2013-06-28,31,57.23
2013-07-05,25,58.94
2013-07-12,31,59.97
2013-07-19,26,59.84
2013-07-26,39,61.77
2013-08-02,39,63.65
2013-08-09,26,60.78
2013-08-16,31,59.32
2013-08-23,24,60.42
2013-08-30,27,59.36
2013-09-06,29,60.33
2013-09-13,38,62.09
2013-09-20,23,62.43
2013-09-27,27,61.65
2013-10-04,26,60.84
2013-10-11,25,61.56
2013-10-18,25,64.21
2013-10-25,22,67.35
2013-11-01,24,66.8
2013-11-08,31,66.2
2013-11-15,33,68.92
2013-11-22,25,70.95
2013-11-29,17,71.71
2013-12-06,42,72.4
2013-12-13,29,70.59
2013-12-20,31,72.97
2013-12-27,19,73.01
2014-01-03,18,72.49
2014-01-10,32,72.97
2014-01-17,43,74.37
2014-01-24,29,71.85
2014-01-31,34,70.94
2014-02-07,40,70.34
2014-02-14,28,71.05
2014-02-21,36,69.96
2014-02-28,38,72.88
2014-03-07,27,75.7
2014-03-14,26,72.13
2014-03-21,29,72.93
2014-03-28,30,72.67
2014-04-04,24,72.39
2014-04-11,38,69.43
2014-04-25,31,72.65
