"Date","PLD","Price"
2008-01-18,38,49.33
2008-01-25,35,52.51
2008-02-01,38,52.4
2008-02-08,35,50.07
2008-02-15,35,50.57
2008-02-22,42,49.31
2008-02-29,31,50.18
2008-03-07,32,47.67
2008-03-14,30,49.53
2008-03-28,36,54.32
2008-04-04,38,55.61
2008-04-11,34,53.65
2008-04-18,40,57.19
2008-04-25,37,59.5
2008-05-02,31,58.45
2008-05-09,38,56.98
2008-05-16,77,59.32
2008-05-23,47,56.44
2008-05-30,29,58.94
2008-06-06,32,56.25
2008-06-13,31,55.21
2008-06-20,27,53.2
2008-06-27,31,50.28
2008-07-11,30,48.7
2008-07-18,29,49.77
2008-07-25,32,49.38
2008-08-01,25,49.37
2008-08-08,28,49.28
2008-08-15,32,48.48
2008-08-22,26,44.83
2008-08-29,27,45.39
2008-09-05,29,47.14
2008-09-12,32,47.44
2008-09-19,31,47.01
2008-09-26,25,44.2
2008-10-03,30,37.56
2008-10-10,28,34.25
2008-10-17,30,25.98
2008-10-24,29,17.91
2008-10-31,31,24.03
2008-11-07,29,22.53
2008-11-14,36,14.75
2008-11-21,39,11.23
2008-11-28,32,17.22
2008-12-05,34,19.08
2008-12-12,39,18.54
2008-12-19,33,22.2
2008-12-26,32,22.53
2009-01-02,30,23.07
2009-01-09,28,22.81
2009-01-16,33,19.58
2009-01-23,31,19
2009-01-30,26,16.12
2009-02-06,30,17.47
2009-02-13,32,14.61
2009-02-20,32,13.51
2009-02-27,30,11.91
2009-03-06,28,9.72
2009-03-13,31,13.37
2009-03-20,38,12.05
2009-03-27,31,14.32
2009-04-03,35,17.86
2009-04-17,28,18.56
2009-04-24,32,18.6
2009-05-01,27,17.92
2009-05-08,29,19.57
2009-05-15,29,16.32
2009-05-22,32,16.91
2009-05-29,31,17.85
2009-06-05,29,20.21
2009-06-12,34,19.6
2009-06-19,27,18.66
2009-06-26,28,18.41
2009-07-10,28,16.61
2009-07-17,30,17.39
2009-07-24,30,19.06
2009-07-31,25,19.81
2009-08-07,28,23.78
2009-08-14,25,22.21
2009-08-21,30,22.73
2009-08-28,27,23.42
2009-09-04,31,20.84
2009-09-11,31,22.27
2009-09-18,26,24.85
2009-09-25,30,22.56
2009-10-02,27,21.21
2009-10-09,32,22.19
2009-10-16,32,22.6
2009-10-23,30,23.2
2009-10-30,33,21.98
2009-11-06,29,21.89
2009-11-13,32,24.53
2009-11-20,38,24.04
2009-11-27,59,22.71
2009-12-04,58,25.04
2009-12-11,30,24.82
2009-12-18,32,25.38
2010-01-08,23,25.65
2010-01-15,28,25.57
2010-01-22,22,23.68
2010-01-29,25,24
2010-02-05,23,23.15
2010-02-12,25,22.63
2010-02-19,26,23.76
2010-02-26,30,24.34
2010-03-05,28,25.41
2010-03-12,27,27.27
2010-03-19,31,28.06
2010-03-26,26,28.86
2010-04-09,26,27.9
2010-04-16,33,26.86
2010-04-23,28,28.31
2010-04-30,28,27.86
2010-05-07,27,25.47
2010-05-14,43,26.61
2010-05-21,55,25.57
2010-05-28,27,25.93
2010-06-04,25,24.15
2010-06-11,25,26.82
2010-06-18,26,26.7
2010-06-25,26,25.43
2010-07-02,24,22.75
2010-07-09,22,24.56
2010-07-16,21,23
2010-07-23,23,23.4
2010-07-30,22,24.96
2010-08-06,22,25.63
2010-08-13,24,24.19
2010-08-20,23,23.92
2010-08-27,24,23.88
2010-09-03,23,25.76
2010-09-10,21,25.4
2010-09-17,23,25.7
2010-09-24,20,25.86
2010-10-01,23,26.6
2010-10-08,21,26.67
2010-10-15,25,26.93
2010-10-22,20,27.87
2010-10-29,24,28.19
2010-11-05,23,30.15
2010-11-12,27,29.17
2010-11-19,23,29.26
2010-11-26,21,29.76
2010-12-03,26,30.76
2010-12-10,24,31.76
2010-12-17,24,30.65
2010-12-31,18,31.71
2011-01-07,22,32.5
2011-01-14,22,32.5
2011-01-21,26,33.31
2011-01-28,26,32.93
2011-02-04,25,33.1
2011-02-11,22,34.3
2011-02-18,20,35.4
2011-02-25,24,35.67
2011-03-04,23,35.63
2011-03-11,23,34.95
2011-03-18,24,33.39
2011-03-25,24,34.78
2011-04-01,22,36.04
2011-04-08,25,35.06
2011-04-15,29,36.41
2011-04-29,22,36.4
2011-05-06,23,35.53
2011-05-13,25,34.85
2011-05-20,22,35.31
2011-05-27,23,36.49
2011-06-03,20,34
2011-06-10,24,32.09
2011-06-17,23,33.7
2011-06-24,29,34.16
2011-07-01,44,36.2
2011-07-08,17,36.78
2011-07-15,20,34.79
2011-07-22,21,35.85
2011-07-29,19,35.63
2011-08-05,21,28.76
2011-08-12,20,27.76
2011-08-19,21,26.62
2011-08-26,20,25.14
2011-09-02,18,26.15
2011-09-09,20,25.65
2011-09-16,23,28.32
2011-09-23,22,25.51
2011-09-30,21,24.25
2011-10-07,20,23.52
2011-10-14,21,25.78
2011-10-21,24,27.6
2011-10-28,24,29.93
2011-11-04,23,29.27
2011-11-11,24,28.48
2011-11-18,22,27.54
2011-11-25,26,25.21
2011-12-02,25,27.8
2011-12-09,25,28.7
2011-12-16,25,27.51
2011-12-23,21,28.92
2011-12-30,21,28.59
2012-01-06,25,28.79
2012-01-13,25,29.57
2012-01-20,23,31.78
2012-01-27,21,32.52
2012-02-03,25,33.16
2012-02-10,26,33.07
2012-02-17,27,34
2012-02-24,27,33.88
2012-03-02,26,33.74
2012-03-09,27,34.14
2012-03-16,27,35.26
2012-03-23,26,35.2
2012-03-30,26,36.02
2012-04-13,28,33.48
2012-04-20,29,34.78
2012-04-27,27,35.4
2012-05-04,26,35.04
2012-05-11,34,34.63
2012-05-18,52,30.93
2012-05-25,60,31.5
2012-06-01,22,30.56
2012-06-08,24,31.87
2012-06-15,23,31.75
2012-06-22,25,31.54
2012-06-29,25,33.23
2012-07-06,22,33.08
2012-07-13,22,32.79
2012-07-20,21,32.11
2012-07-27,22,32.52
2012-08-03,22,33.66
2012-08-10,20,33.2
2012-08-17,24,33.8
2012-08-24,24,33.43
2012-08-31,22,34.17
2012-09-07,24,35.73
2012-09-14,25,36.89
2012-09-21,22,34.99
2012-09-28,23,35.03
2012-10-05,20,34.9
2012-10-12,20,34.84
2012-10-19,22,35.57
2012-10-26,21,33.91
2012-11-02,21,34.37
2012-11-09,23,33.39
2012-11-16,20,32.68
2012-11-23,26,34.09
2012-11-30,25,33.94
2012-12-07,23,35.24
2012-12-14,22,35.1
2012-12-21,22,36.46
2012-12-28,19,35.77
2013-01-04,20,37.71
2013-01-11,23,38.28
2013-01-18,24,39.5
2013-01-25,25,40.64
2013-02-01,26,40.48
2013-02-08,23,39.47
2013-02-15,24,38.84
2013-02-22,23,39.42
2013-03-01,23,39.29
2013-03-08,24,39.21
2013-03-15,22,38.79
2013-03-22,24,38.89
2013-04-05,23,39.35
2013-04-12,25,41.11
2013-04-19,27,41.59
2013-04-26,21,41.6
2013-05-03,22,42.74
2013-05-10,25,43.32
2013-05-17,24,43.87
2013-05-24,23,42.45
2013-05-31,22,40.3
2013-06-07,24,39.03
2013-06-14,24,38.48
2013-06-21,22,36.36
2013-06-28,22,37.72
2013-07-05,21,37.5
2013-07-12,24,38.96
2013-07-19,28,40.36
2013-07-26,24,39.65
2013-08-02,22,38.15
2013-08-09,23,38.31
2013-08-16,23,35.08
2013-08-23,22,36.08
2013-08-30,27,35.24
2013-09-06,25,36.55
2013-09-13,26,36.97
2013-09-20,27,38.09
2013-09-27,25,38.3
2013-10-04,25,38.1
2013-10-11,28,39.1
2013-10-18,25,39.82
2013-10-25,26,40.92
2013-11-01,27,40.57
2013-11-08,27,38.95
2013-11-15,33,39.18
2013-11-22,28,38.44
2013-11-29,29,37.93
2013-12-06,28,37.84
2013-12-13,28,36.29
2013-12-20,26,36.83
2013-12-27,27,37.19
2014-01-03,29,37.24
2014-01-10,44,37.6
2014-01-17,68,36.98
2014-01-24,32,36.74
2014-01-31,32,38.76
2014-02-07,31,39.93
2014-02-14,27,40.67
2014-02-21,26,40.61
2014-02-28,25,41.19
2014-03-07,26,40.87
2014-03-14,27,40.19
2014-03-21,24,40.59
2014-03-28,29,40.54
2014-04-04,27,41.04
2014-04-11,25,40.05
2014-04-25,28,40.73
