"Date","GPS","Price"
2006-08-11,66,16.9
2006-08-18,62,16.65
2006-08-25,62,16.61
2006-09-01,61,16.9
2006-09-08,59,16.9
2006-09-15,55,17.92
2006-09-22,54,18.39
2006-09-29,58,18.95
2006-10-06,58,19.07
2006-10-13,59,19.85
2006-10-20,60,19.3
2006-10-27,58,20.72
2006-11-03,59,19.57
2006-11-10,59,20.19
2006-11-17,62,19.81
2006-11-24,73,19.3
2006-12-01,71,18.68
2006-12-08,73,19.66
2006-12-15,77,20.39
2006-12-22,75,19.95
2006-12-29,81,19.5
2007-01-05,67,18.89
2007-01-12,63,20.3
2007-01-19,59,20
2007-01-26,58,19.04
2007-02-02,57,19.47
2007-02-09,57,19.55
2007-02-16,57,20.02
2007-02-23,63,19.81
2007-03-02,58,18.4
2007-03-09,61,17.84
2007-03-16,61,17.5
2007-03-23,58,17.85
2007-03-30,62,17.21
2007-04-13,63,18.47
2007-04-20,63,18.96
2007-04-27,64,18.31
2007-05-04,65,18.5
2007-05-11,66,18.32
2007-05-18,67,18.44
2007-05-25,69,18.18
2007-06-01,72,18.51
2007-06-08,74,18.47
2007-06-15,73,18.97
2007-06-22,71,19.34
2007-06-29,74,19.1
2007-07-06,75,19.22
2007-07-13,75,18.56
2007-07-20,75,18.63
2007-07-27,74,17.79
2007-08-03,72,16.44
2007-08-10,70,16.75
2007-08-17,66,17.27
2007-08-24,68,18.51
2007-08-31,67,18.76
2007-09-07,63,17.94
2007-09-14,61,18
2007-09-21,60,18.55
2007-09-28,62,18.44
2007-10-05,60,18.91
2007-10-12,60,19.01
2007-10-19,58,17.75
2007-10-26,58,18.61
2007-11-02,62,18.21
2007-11-09,62,19.38
2007-11-16,66,20.09
2007-11-23,100,18.89
2007-11-30,94,20.4
2007-12-07,90,21.57
2007-12-14,82,21.18
2007-12-21,80,21.76
2007-12-28,93,21.36
2008-01-04,73,19.66
2008-01-11,67,17.2
2008-01-18,63,17.23
2008-01-25,60,17.8
2008-02-01,58,19.34
2008-02-08,60,19.78
2008-02-15,60,19.7
2008-02-22,64,19.71
2008-02-29,60,20.17
2008-03-07,61,19.58
2008-03-14,61,19.81
2008-03-28,63,19.52
2008-04-04,60,19.05
2008-04-11,61,17.95
2008-04-18,60,19
2008-04-25,62,19.34
2008-05-02,64,18.68
2008-05-09,64,17.94
2008-05-16,63,18.43
2008-05-23,64,17.94
2008-05-30,65,18.25
2008-06-06,67,17.17
2008-06-13,70,18
2008-06-20,68,17.45
2008-06-27,65,16.74
2008-07-11,71,15.25
2008-07-18,73,16.6
2008-07-25,71,16.29
2008-08-01,68,16.34
2008-08-08,70,18.09
2008-08-15,67,19.4
2008-08-22,63,19.88
2008-08-29,64,19.45
2008-09-05,63,19.19
2008-09-12,60,19.37
2008-09-19,58,19.08
2008-09-26,58,18.37
2008-10-03,57,16.83
2008-10-10,56,13.82
2008-10-17,56,13.42
2008-10-24,55,11.21
2008-10-31,55,12.94
2008-11-07,55,12.82
2008-11-14,59,11.55
2008-11-21,60,12.1
2008-11-28,77,13.02
2008-12-05,72,14.01
2008-12-12,72,13.19
2008-12-19,70,13.57
2008-12-26,77,12.97
2009-01-02,70,14.07
2009-01-09,59,12.99
2009-01-16,56,12.14
2009-01-23,54,12
2009-01-30,53,11.28
2009-02-06,56,11.94
2009-02-13,55,11.62
2009-02-20,58,11.55
2009-02-27,55,10.79
2009-03-06,56,9.85
2009-03-13,54,11.99
2009-03-20,56,11.98
2009-03-27,57,13.06
2009-04-03,57,15.25
2009-04-17,61,15.12
2009-04-24,59,15.28
2009-05-01,58,15.77
2009-05-08,60,16.55
2009-05-15,60,15.16
2009-05-22,60,16.39
2009-05-29,61,17.85
2009-06-05,61,16.63
2009-06-12,63,16.37
2009-06-19,66,15.8
2009-06-26,64,16.06
2009-07-10,67,14.96
2009-07-17,65,16.17
2009-07-24,64,15.94
2009-07-31,66,16.32
2009-08-07,66,18.58
2009-08-14,66,18.78
2009-08-21,65,19.48
2009-08-28,62,19.93
2009-09-04,57,21.12
2009-09-11,56,21.6
2009-09-18,56,22.02
2009-09-25,54,21.48
2009-10-02,52,20.81
2009-10-09,51,22.24
2009-10-16,52,22.96
2009-10-23,51,22.02
2009-10-30,52,21.34
2009-11-06,50,23.03
2009-11-13,51,22.42
2009-11-20,54,21.95
2009-11-27,68,22.03
2009-12-04,61,21.77
2009-12-11,60,21.46
2009-12-18,62,20.89
2010-01-08,52,20.4
2010-01-15,50,19.56
2010-01-22,52,18.86
2010-01-29,50,19.08
2010-02-05,51,19.88
2010-02-12,50,19.95
2010-02-19,50,19.85
2010-02-26,51,21.5
2010-03-05,52,22.32
2010-03-12,50,22.8
2010-03-19,52,23.22
2010-03-26,54,23.42
2010-04-09,54,24.85
2010-04-16,52,25
2010-04-23,52,26.06
2010-04-30,52,24.73
2010-05-07,54,22.27
2010-05-14,52,22.96
2010-05-21,53,22.15
2010-05-28,54,21.8
2010-06-04,54,20.96
2010-06-11,56,21.99
2010-06-18,55,21.24
2010-06-25,55,20.2
2010-07-02,54,19.48
2010-07-09,56,18.53
2010-07-16,56,18.13
2010-07-23,59,18.41
2010-07-30,59,18.11
2010-08-06,62,18.28
2010-08-13,58,17.67
2010-08-20,60,17.32
2010-08-27,55,17.03
2010-09-03,55,17.65
2010-09-10,53,17.37
2010-09-17,52,18.91
2010-09-24,51,18.83
2010-10-01,50,18.51
2010-10-08,50,18.21
2010-10-15,50,19.52
2010-10-22,49,19.15
2010-10-29,46,19.01
2010-11-05,48,20.81
2010-11-12,49,20.49
2010-11-19,50,20.7
2010-11-26,54,20.9
2010-12-03,50,21.44
2010-12-10,52,21.48
2010-12-17,53,21.19
2010-12-31,52,22.14
2011-01-07,51,20.51
2011-01-14,47,20.41
2011-01-21,47,20.1
2011-01-28,45,19.2
2011-02-04,45,20.1
2011-02-11,47,21.4
2011-02-18,45,23.05
2011-02-25,47,22.75
2011-03-04,47,21.59
2011-03-11,45,21.97
2011-03-18,46,21.87
2011-03-25,45,22.56
2011-04-01,46,22.63
2011-04-08,47,22.25
2011-04-15,49,22.47
2011-04-29,49,23.24
2011-05-06,47,22.6
2011-05-13,48,23.05
2011-05-20,49,19.22
2011-05-27,49,19.2
2011-06-03,49,17.92
2011-06-10,49,17.72
2011-06-17,51,17.83
2011-06-24,49,17.66
2011-07-01,50,18.28
2011-07-08,50,18.98
2011-07-15,53,18.91
2011-07-22,51,19.66
2011-07-29,53,19.29
2011-08-05,50,16.75
2011-08-12,50,16.49
2011-08-19,49,15.69
2011-08-26,48,16.28
2011-09-02,46,15.6
2011-09-09,45,16
2011-09-16,46,17.04
2011-09-23,45,16.31
2011-09-30,44,16.24
2011-10-07,44,17.3
2011-10-14,43,17.78
2011-10-21,44,18.71
2011-10-28,44,19.33
2011-11-04,41,19.65
2011-11-11,43,20.33
2011-11-18,43,18.76
2011-11-25,47,17.62
2011-12-02,47,18.7
2011-12-09,44,18.85
2011-12-16,47,18.3
2011-12-23,45,18.61
2011-12-30,50,18.55
2012-01-06,44,18
2012-01-13,43,18.26
2012-01-20,41,18.63
2012-01-27,41,18.93
2012-02-03,40,21.71
2012-02-10,39,21.59
2012-02-17,40,22.72
2012-02-24,40,22.57
2012-03-02,40,24.41
2012-03-09,40,25
2012-03-16,40,25.39
2012-03-23,43,26.46
2012-03-30,40,26.14
2012-04-13,43,26.56
2012-04-20,42,27.85
2012-04-27,41,28.53
2012-05-04,42,28.2
2012-05-11,41,28
2012-05-18,41,25.71
2012-05-25,42,27.16
2012-06-01,42,25.26
2012-06-08,42,26.24
2012-06-15,44,26.73
2012-06-22,43,27.36
2012-06-29,44,27.36
2012-07-06,45,27.88
2012-07-13,44,27.9
2012-07-20,46,29.2
2012-07-27,45,29.91
2012-08-03,44,33.46
2012-08-10,44,34.21
2012-08-17,46,35.99
2012-08-24,45,35.12
2012-08-31,42,35.82
2012-09-07,41,35.93
2012-09-14,40,35.2
2012-09-21,41,36.19
2012-09-28,40,35.78
2012-10-05,39,37.1
2012-10-12,37,36.1
2012-10-19,38,36.37
2012-10-26,37,35.41
2012-11-02,35,35.11
2012-11-09,36,33.62
2012-11-16,37,33.59
2012-11-23,40,35.5
2012-11-30,38,34.46
2012-12-07,38,31.81
2012-12-14,38,31.45
2012-12-21,37,31.37
2012-12-28,40,30.43
2013-01-04,37,32.1
2013-01-11,37,31.71
2013-01-18,36,32.96
2013-01-25,35,33.54
2013-02-01,35,32.97
2013-02-08,34,32.23
2013-02-15,36,32.88
2013-02-22,36,31.96
2013-03-01,35,33.87
2013-03-08,36,36.23
2013-03-15,37,36.39
2013-03-22,36,35.66
2013-04-05,36,36.65
2013-04-12,36,38.18
2013-04-19,37,37
2013-04-26,36,37.49
2013-05-03,37,38.81
2013-05-10,37,40.99
2013-05-17,37,40.96
2013-05-24,38,40.64
2013-05-31,38,40.55
2013-06-07,38,42.09
2013-06-14,39,41.48
2013-06-21,39,41.32
2013-06-28,38,41.73
2013-07-05,39,43.3
2013-07-12,40,45.1
2013-07-19,42,45.03
2013-07-26,41,45.48
2013-08-02,41,46.48
2013-08-09,41,44.1
2013-08-16,43,43.12
2013-08-23,40,41.97
2013-08-30,40,40.44
2013-09-06,38,40.39
2013-09-13,37,41.64
2013-09-20,36,41.55
2013-09-27,35,40.67
2013-10-04,36,40.51
2013-10-11,36,36.83
2013-10-18,36,37.22
2013-10-25,35,36.66
2013-11-01,34,36.78
2013-11-08,34,41.43
2013-11-15,34,42.15
2013-11-22,36,41.31
2013-11-29,38,40.97
2013-12-06,36,39.46
2013-12-13,36,38.49
2013-12-20,39,38.57
2013-12-27,37,38.62
2014-01-03,36,39.52
2014-01-10,36,39.84
2014-01-17,36,37.3
2014-01-24,34,37.21
2014-01-31,33,38.08
2014-02-07,33,42
2014-02-14,33,42.34
2014-02-21,35,42.77
2014-02-28,35,43.75
2014-03-07,33,42.38
2014-03-14,35,42.08
2014-03-21,34,41.69
2014-03-28,34,40.17
2014-04-04,34,41.37
2014-04-11,35,38.4
2014-04-25,36,38.78
