"Date","DFS","Price"
2012-05-11,36,34.12
2012-05-18,33,31.52
2012-05-25,28,32.73
2012-06-01,29,30.72
2012-06-08,35,32.82
2012-06-15,32,32.99
2012-06-22,32,33.61
2012-06-29,31,34.58
2012-07-06,35,35.31
2012-07-13,36,34.96
2012-07-20,35,34.91
2012-07-27,32,36.41
2012-08-03,35,36.49
2012-08-10,35,36.84
2012-08-17,38,37.77
2012-08-24,42,38.6
2012-08-31,42,38.73
2012-09-07,35,38.47
2012-09-14,37,39.31
2012-09-21,38,38.62
2012-09-28,39,39.73
2012-10-05,38,40.39
2012-10-12,39,38.79
2012-10-19,40,39.62
2012-10-26,42,40.25
2012-11-02,38,40.98
2012-11-09,37,41.08
2012-11-16,37,39.46
2012-11-23,35,41.46
2012-11-30,35,41.61
2012-12-07,32,41.15
2012-12-14,27,39.54
2012-12-21,28,38.5
2012-12-28,64,37.99
2013-01-04,57,40.04
2013-01-11,42,40.39
2013-01-18,36,38.55
2013-01-25,35,39.09
2013-02-01,35,38.8
2013-02-08,36,39.88
2013-02-15,34,39.15
2013-02-22,35,38.89
2013-03-01,33,39.08
2013-03-08,34,41.37
2013-03-15,41,44.14
2013-03-22,39,45
2013-04-05,38,43.07
2013-04-12,34,43.31
2013-04-19,34,43.34
2013-04-26,34,43.92
2013-05-03,35,45.93
2013-05-10,33,45.59
2013-05-17,33,47.7
2013-05-24,34,47.68
2013-05-31,35,47.41
2013-06-07,29,48.66
2013-06-14,33,47.34
2013-06-21,32,46.39
2013-06-28,34,47.64
2013-07-05,32,49.99
2013-07-12,29,50.89
2013-07-19,29,50.62
2013-07-26,33,49.45
2013-08-02,32,51.13
2013-08-09,35,50.18
2013-08-16,37,49.78
2013-08-23,37,49.54
2013-08-30,38,47.25
2013-09-06,35,48.59
2013-09-13,36,50.98
2013-09-20,37,52.12
2013-09-27,36,51.29
2013-10-04,36,50.57
2013-10-11,36,51.78
2013-10-18,40,53.95
2013-10-25,38,51
2013-11-01,38,52
2013-11-08,38,52.26
2013-11-15,36,52.39
2013-11-22,34,52.4
2013-11-29,32,53.3
2013-12-06,31,52.77
2013-12-13,28,53.02
2013-12-20,26,54
2013-12-27,62,54.5
2014-01-03,66,55.07
2014-01-10,44,55.41
2014-01-17,37,53.41
2014-01-24,35,53.88
2014-01-31,35,53.65
2014-02-07,34,55.25
2014-02-14,32,56.92
2014-02-21,35,56.71
2014-02-28,31,57.38
2014-03-07,33,59.28
2014-03-14,29,57.17
2014-03-21,31,57.76
2014-03-28,32,57.51
2014-04-04,38,58.39
2014-04-11,36,55.15
2014-04-25,37,55.53
