"Date","FITB","Price"
2009-06-12,44,8.03
2009-06-19,40,7.34
2009-06-26,30,6.95
2009-07-10,29,6.54
2009-07-17,36,7.01
2009-07-24,43,8.49
2009-07-31,41,9.5
2009-08-07,42,9.71
2009-08-14,36,10.53
2009-08-21,28,10.91
2009-08-28,26,10.82
2009-09-04,29,10.52
2009-09-11,23,9.78
2009-09-18,22,10.24
2009-09-25,26,9.59
2009-10-02,16,9.36
2009-10-09,18,10.24
2009-10-16,16,9.98
2009-10-23,27,10.34
2009-10-30,26,8.94
2009-11-06,22,9.17
2009-11-13,19,9.74
2009-11-20,17,9.97
2009-11-27,12,9.57
2009-12-04,11,10.44
2009-12-11,14,10.18
2009-12-18,14,9.82
2010-01-08,15,11.09
2010-01-15,14,11.36
2010-01-22,18,12.1
2010-01-29,15,12.44
2010-02-05,10,11.26
2010-02-12,14,11.61
2010-02-19,7,12.23
2010-02-26,12,12.21
2010-03-05,13,12.73
2010-03-12,11,13.15
2010-03-19,11,13.3
2010-03-26,22,13.2
2010-04-09,17,14.1
2010-04-16,13,14.2
2010-04-23,19,15.12
2010-04-30,9,14.92
2010-05-07,18,13.31
2010-05-14,11,14.08
2010-05-21,13,13.19
2010-05-28,8,13
2010-06-04,10,12.5
2010-06-11,10,13.36
2010-06-18,10,13.58
2010-06-25,5,13.37
2010-07-02,5,11.82
2010-07-09,7,13.48
2010-07-16,8,12.17
2010-07-23,15,12.29
2010-07-30,11,12.71
2010-08-06,15,12.69
2010-08-13,11,12.13
2010-08-20,9,11.56
2010-08-27,12,11.18
2010-09-03,11,11.93
2010-09-10,9,12.09
2010-09-17,13,12.23
2010-09-24,11,12.24
2010-10-01,14,11.9
2010-10-08,11,12.38
2010-10-15,9,12.13
2010-10-22,11,12.86
2010-10-29,13,12.56
2010-11-05,15,13.03
2010-11-12,9,12.87
2010-11-19,9,12.26
2010-11-26,7,11.86
2010-12-03,12,13.27
2010-12-10,13,14.57
2010-12-17,13,14.07
2010-12-31,7,14.68
2011-01-07,10,14.68
2011-01-14,12,14.95
2011-01-21,13,14.6
2011-01-28,10,14.64
2011-02-04,10,15.39
2011-02-11,11,15.46
2011-02-18,12,14.99
2011-02-25,10,14.6
2011-03-04,8,13.9
2011-03-11,11,13.89
2011-03-18,6,14.03
2011-03-25,8,13.85
2011-04-01,6,13.99
2011-04-08,8,13.7
2011-04-15,6,13.8
2011-04-29,7,13.27
2011-05-06,12,12.99
2011-05-13,5,12.49
2011-05-20,8,12.72
2011-05-27,6,12.93
2011-06-03,7,12.39
2011-06-10,4,12.25
2011-06-17,5,12.55
2011-06-24,7,12.18
2011-07-01,6,12.97
2011-07-08,4,12.56
2011-07-15,7,12.05
2011-07-22,6,12.81
2011-07-29,10,12.65
2011-08-05,6,11.26
2011-08-12,12,9.55
2011-08-19,6,9.28
2011-08-26,8,10.05
2011-09-02,4,9.62
2011-09-09,5,9.81
2011-09-16,6,10.67
2011-09-23,7,9.84
2011-09-30,6,10.1
2011-10-07,5,10.58
2011-10-14,8,11.34
2011-10-21,6,11.66
2011-10-28,6,12.31
2011-11-04,4,12.01
2011-11-11,9,12.18
2011-11-18,6,11.89
2011-11-25,4,10.97
2011-12-02,5,12.12
2011-12-09,7,12.51
2011-12-16,5,12.07
2011-12-23,10,12.84
2011-12-30,5,12.72
2012-01-06,3,13.49
2012-01-13,6,14.03
2012-01-20,6,13.17
2012-01-27,5,13.23
2012-02-03,6,13.59
2012-02-10,7,13.35
2012-02-17,6,13.8
2012-02-24,6,13.6
2012-03-02,7,13.61
2012-03-09,9,13.76
2012-03-16,11,14.33
2012-03-23,14,14.14
2012-03-30,17,14.05
2012-04-13,8,14.02
2012-04-20,9,13.95
2012-04-27,7,14.39
2012-05-04,5,13.99
2012-05-11,7,14.07
2012-05-18,6,13.35
2012-05-25,6,13.52
2012-06-01,3,12.52
2012-06-08,4,12.93
2012-06-15,5,13.18
2012-06-22,6,13.27
2012-06-29,6,13.4
2012-07-06,5,13.38
2012-07-13,6,13.69
2012-07-20,5,13.64
2012-07-27,6,14.24
2012-08-03,6,14.07
2012-08-10,4,14.29
2012-08-17,3,14.4
2012-08-24,7,14.81
2012-08-31,5,15.14
2012-09-07,7,15.31
2012-09-14,5,15.78
2012-09-21,5,15.58
2012-09-28,4,15.51
2012-10-05,4,15.99
2012-10-12,4,15.27
2012-10-19,5,15.02
2012-10-26,2,14.49
2012-11-02,4,14.38
2012-11-09,7,14.16
2012-11-16,3,14.1
2012-11-23,4,14.89
2012-11-30,4,14.64
2012-12-07,5,14.54
2012-12-14,5,14.36
2012-12-21,4,15.12
2012-12-28,3,14.99
2013-01-04,5,15.69
2013-01-11,5,15.47
2013-01-18,7,16.38
2013-01-25,6,16.37
2013-02-01,6,16.49
2013-02-08,5,16.61
2013-02-15,3,16.05
2013-02-22,3,15.8
2013-03-01,3,15.83
2013-03-08,4,16.34
2013-03-15,5,16.61
2013-03-22,6,16.29
2013-04-05,4,16.02
2013-04-12,7,16.49
2013-04-19,4,16.4
2013-04-26,4,16.76
2013-05-03,5,17.1
2013-05-10,6,17.71
2013-05-17,6,18.25
2013-05-24,5,18.25
2013-05-31,9,18.2
2013-06-07,7,18.42
2013-06-14,4,18.31
2013-06-21,4,17.7
2013-06-28,3,18.05
2013-07-05,3,18.67
2013-07-12,8,18.98
2013-07-19,7,19.02
2013-07-26,6,19.37
2013-08-02,6,19.69
2013-08-09,4,19.3
2013-08-16,5,19.16
2013-08-23,6,19.2
2013-08-30,5,18.29
2013-09-06,6,18.47
2013-09-13,5,18.38
2013-09-20,5,18.39
2013-09-27,6,18.08
2013-10-04,5,18.19
2013-10-11,4,18.2
2013-10-18,4,19.28
2013-10-25,5,19.08
2013-11-01,6,18.99
2013-11-08,7,20.01
2013-11-15,6,19.94
2013-11-22,7,20.58
2013-11-29,7,20.32
2013-12-06,5,20.34
2013-12-13,4,20.09
2013-12-20,4,20.81
2013-12-27,7,20.92
2014-01-03,6,20.92
2014-01-10,8,21.53
2014-01-17,8,21.55
2014-01-24,8,21.32
2014-01-31,9,21.02
2014-02-07,7,21.1
2014-02-14,8,21.63
2014-02-21,8,21.44
2014-02-28,7,21.7
2014-03-07,8,22.63
2014-03-14,7,22.34
2014-03-21,8,23.39
2014-03-28,11,22.72
2014-04-04,9,22.92
2014-04-11,14,21.56
2014-04-25,8,20.75
