"Date","STZ","Price"
2007-01-26,68,25.13
2007-02-02,60,24.67
2007-02-09,77,24.13
2007-02-16,55,24.01
2007-02-23,64,23.95
2007-03-02,87,19.49
2007-03-09,63,19.19
2007-03-16,64,19.27
2007-03-23,69,20.35
2007-03-30,53,21.18
2007-04-13,55,21.82
2007-04-20,72,22.49
2007-04-27,64,22.78
2007-05-04,67,22.48
2007-05-11,69,23.64
2007-05-18,47,24.39
2007-05-25,67,24.2
2007-06-01,55,24.27
2007-06-08,61,23.39
2007-06-15,67,24.01
2007-06-22,89,24.15
2007-06-29,97,24.28
2007-07-06,69,24.32
2007-07-13,55,23.44
2007-07-20,73,22.97
2007-07-27,68,21.93
2007-08-03,54,22.05
2007-08-10,46,24.25
2007-08-17,80,23.39
2007-08-24,49,24.36
2007-08-31,61,24.18
2007-09-07,43,23.94
2007-09-14,63,23.7
2007-09-21,65,24.05
2007-09-28,49,24.21
2007-10-05,51,25
2007-10-12,44,25.77
2007-10-19,49,24.74
2007-10-26,55,25.19
2007-11-02,68,24.4
2007-11-09,58,22.99
2007-11-16,61,23.27
2007-11-23,50,23.51
2007-11-30,59,23.55
2007-12-07,55,23.92
2007-12-14,65,24.4
2007-12-21,64,24.37
2007-12-28,51,24.16
2008-01-04,35,22.78
2008-01-11,64,21.69
2008-01-18,80,20.25
2008-01-25,85,20.5
2008-02-01,88,21.75
2008-02-08,72,20.23
2008-02-15,69,20.58
2008-02-22,65,20.05
2008-02-29,59,19.21
2008-03-07,61,18.31
2008-03-14,92,18.27
2008-03-28,56,17.66
2008-04-04,72,19.89
2008-04-11,67,18.13
2008-04-18,78,18.31
2008-04-25,74,18.18
2008-05-02,67,18.52
2008-05-09,64,18.09
2008-05-16,69,20.92
2008-05-23,71,21.3
2008-05-30,71,21.32
2008-06-06,67,20.56
2008-06-13,74,19.95
2008-06-20,73,19.8
2008-06-27,62,19.66
2008-07-11,78,20.81
2008-07-18,81,21.81
2008-07-25,72,21.97
2008-08-01,61,21.35
2008-08-08,70,22.56
2008-08-15,74,22.06
2008-08-22,76,21.51
2008-08-29,70,21.11
2008-09-05,62,21.42
2008-09-12,88,22.73
2008-09-19,84,22.21
2008-09-26,49,22.11
2008-10-03,60,19.44
2008-10-10,86,15.4
2008-10-17,63,14.29
2008-10-24,68,12.72
2008-10-31,72,12.54
2008-11-07,67,12.65
2008-11-14,80,11.49
2008-11-21,73,12.12
2008-11-28,73,12.76
2008-12-05,64,13.54
2008-12-12,75,14.53
2008-12-19,67,15.56
2008-12-26,37,15.49
2009-01-02,52,16.45
2009-01-09,66,14.89
2009-01-16,65,15.21
2009-01-23,75,13.95
2009-01-30,66,14.52
2009-02-06,53,15.7
2009-02-13,54,15.01
2009-02-20,69,13.84
2009-02-27,61,13.05
2009-03-06,84,12.46
2009-03-13,68,13.05
2009-03-20,71,12.69
2009-03-27,78,12.05
2009-04-03,57,12.2
2009-04-17,74,11.66
2009-04-24,68,11.05
2009-05-01,73,11.61
2009-05-08,94,12.5
2009-05-15,74,11.9
2009-05-22,100,11.26
2009-05-29,63,11.56
2009-06-05,84,12.21
2009-06-12,89,13.43
2009-06-19,74,12.98
2009-06-26,76,12.28
2009-07-10,82,12.45
2009-07-17,73,12.6
2009-07-24,73,13.38
2009-07-31,66,13.66
2009-08-07,49,14.05
2009-08-14,74,14.56
2009-08-21,83,14.82
2009-08-28,70,15.11
2009-09-04,76,15.25
2009-09-11,58,14.93
2009-09-18,87,15.55
2009-09-25,77,15.3
2009-10-02,67,15.77
2009-10-09,80,16.42
2009-10-16,69,16.45
2009-10-23,73,16.25
2009-10-30,83,15.82
2009-11-06,82,16.07
2009-11-13,71,16.92
2009-11-20,72,17.09
2009-11-27,91,16.99
2009-12-04,89,16.74
2009-12-11,76,15.98
2009-12-18,65,15.35
2010-01-08,66,15.66
2010-01-15,55,16.41
2010-01-22,60,16.61
2010-01-29,53,16.08
2010-02-05,61,15.33
2010-02-12,66,15.36
2010-02-19,61,15.6
2010-02-26,46,15.04
2010-03-05,49,15.81
2010-03-12,70,16.11
2010-03-19,73,16
2010-03-26,58,16.01
2010-04-09,71,16.43
2010-04-16,73,17.02
2010-04-23,69,18.34
2010-04-30,58,18.27
2010-05-07,60,16.71
2010-05-14,66,17.8
2010-05-21,61,16.3
2010-05-28,59,16.66
2010-06-04,62,15.86
2010-06-11,75,16.86
2010-06-18,64,16.3
2010-06-25,62,16.01
2010-07-02,73,15.39
2010-07-09,59,16.07
2010-07-16,75,16.34
2010-07-23,84,17.06
2010-07-30,66,17.06
2010-08-06,73,17.25
2010-08-13,71,16.7
2010-08-20,62,16.66
2010-08-27,75,16.84
2010-09-03,63,17.41
2010-09-10,66,17.08
2010-09-17,68,17.96
2010-09-24,62,18.11
2010-10-01,69,17.77
2010-10-08,68,18.71
2010-10-15,66,19.02
2010-10-22,63,19.29
2010-10-29,58,19.73
2010-11-05,60,20.07
2010-11-12,72,19.85
2010-11-19,68,20.74
2010-11-26,64,20.73
2010-12-03,78,21.8
2010-12-10,83,21.46
2010-12-17,71,22.15
2010-12-31,65,22.15
2011-01-07,78,19.49
2011-01-14,58,19.32
2011-01-21,57,19
2011-01-28,64,19.14
2011-02-04,68,19.76
2011-02-11,63,20.12
2011-02-18,64,20.95
2011-02-25,68,20.34
2011-03-04,62,19.87
2011-03-11,64,19.36
2011-03-18,70,18.37
2011-03-25,59,19.42
2011-04-01,62,20.5
2011-04-08,71,21.53
2011-04-15,64,22.03
2011-04-29,72,22.39
2011-05-06,68,22.34
2011-05-13,67,22.71
2011-05-20,69,21.85
2011-05-27,75,21.68
2011-06-03,63,20.88
2011-06-10,75,21
2011-06-17,69,21.13
2011-06-24,69,20.82
2011-07-01,69,21.81
2011-07-08,75,21.38
2011-07-15,68,20.75
2011-07-22,68,21.46
2011-07-29,66,20.39
2011-08-05,54,18.34
2011-08-12,58,18.87
2011-08-19,63,18.96
2011-08-26,73,19.06
2011-09-02,57,19.14
2011-09-09,61,18.37
2011-09-16,58,19.14
2011-09-23,56,17.62
2011-09-30,57,18
2011-10-07,61,20.37
2011-10-14,64,20.3
2011-10-21,63,20.15
2011-10-28,72,20.57
2011-11-04,57,19.94
2011-11-11,54,20.47
2011-11-18,61,19.35
2011-11-25,72,17.98
2011-12-02,78,19.07
2011-12-09,57,19.79
2011-12-16,62,19.53
2011-12-23,55,20.75
2011-12-30,46,20.67
2012-01-06,71,19.66
2012-01-13,64,20.7
2012-01-20,63,21.03
2012-01-27,67,20.92
2012-02-03,71,21.87
2012-02-10,55,21.45
2012-02-17,69,22.22
2012-02-24,61,21.57
2012-03-02,63,22.23
2012-03-09,65,22.34
2012-03-16,51,22.77
2012-03-23,48,23.53
2012-03-30,61,23.59
2012-04-13,59,21.59
2012-04-20,66,21.24
2012-04-27,60,21.77
2012-05-04,74,20.81
2012-05-11,59,19.95
2012-05-18,72,18.79
2012-05-25,62,19.34
2012-06-01,59,18.76
2012-06-08,70,19.15
2012-06-15,68,19.66
2012-06-22,63,19.37
2012-06-29,61,27.06
2012-07-06,65,28.46
2012-07-13,83,29.29
2012-07-20,76,28.44
2012-07-27,71,29.02
2012-08-03,53,29.92
2012-08-10,50,29.94
2012-08-17,61,32.5
2012-08-24,82,32.72
2012-08-31,69,32.94
2012-09-07,65,33.65
2012-09-14,60,32.19
2012-09-21,65,33.26
2012-09-28,65,32.35
2012-10-05,59,36.2
2012-10-12,81,35
2012-10-19,65,35.65
2012-10-26,81,35.55
2012-11-02,57,35.81
2012-11-09,66,35.42
2012-11-16,64,34.14
2012-11-23,61,35.11
2012-11-30,65,35.88
2012-12-07,64,36
2012-12-14,67,35.3
2012-12-21,68,35.2
2012-12-28,50,34.37
2013-01-04,48,36.75
2013-01-11,74,35.63
2013-01-18,65,38.74
2013-01-25,67,38.5
2013-02-01,75,32.68
2013-02-08,67,31.85
2013-02-15,80,43.39
2013-02-22,58,43.96
2013-03-01,65,43.84
2013-03-08,56,43.99
2013-03-15,68,45.75
2013-03-22,72,46.59
2013-04-05,63,47.84
2013-04-12,67,49.19
2013-04-19,68,48.52
2013-04-26,63,47.79
2013-05-03,57,50.21
2013-05-10,64,49.35
2013-05-17,68,52.21
2013-05-24,56,53
2013-05-31,63,53.01
2013-06-07,66,53.34
2013-06-14,66,52.02
2013-06-21,69,50.49
2013-06-28,66,52.12
2013-07-05,67,50.59
2013-07-12,68,52.31
2013-07-19,65,52.02
2013-07-26,63,50.6
2013-08-02,57,53.42
2013-08-09,64,54.26
2013-08-16,69,53.94
2013-08-23,59,55.86
2013-08-30,56,54.25
2013-09-06,54,57.68
2013-09-13,61,58.7
2013-09-20,53,57.24
2013-09-27,70,56.98
2013-10-04,65,61.97
2013-10-11,68,62.99
2013-10-18,70,64.33
2013-10-25,56,63.91
2013-11-01,51,65.6
2013-11-08,64,66.76
2013-11-15,59,69.14
2013-11-22,60,70.36
2013-11-29,56,70.41
2013-12-06,61,70.65
2013-12-13,59,69.32
2013-12-20,54,69.7
2013-12-27,52,70.07
2014-01-03,45,69.39
2014-01-10,69,80.05
2014-01-17,51,79.54
2014-01-24,56,75.8
2014-01-31,62,76.67
2014-02-07,53,77.5
2014-02-14,58,79.37
2014-02-21,53,80.35
2014-02-28,52,81.03
2014-03-07,54,83.91
2014-03-14,52,82.5
2014-03-21,58,83.06
2014-03-28,48,83.21
2014-04-04,50,84.33
2014-04-11,59,78.03
2014-04-25,51,79.04
