"Date","ADM","Price"
2011-06-17,77,30.17
2011-06-24,74,29.3
2011-07-01,74,30.83
2011-07-08,73,31.04
2011-07-15,74,30.3
2011-07-22,70,32.12
2011-07-29,72,30.38
2011-08-05,74,28.64
2011-08-12,73,27.28
2011-08-19,76,27.52
2011-08-26,76,27.8
2011-09-02,71,27.43
2011-09-09,71,27.11
2011-09-16,72,28.62
2011-09-23,76,25.19
2011-09-30,73,24.81
2011-10-07,74,25.45
2011-10-14,70,27.75
2011-10-21,71,28.59
2011-10-28,69,30.34
2011-11-04,65,29.05
2011-11-11,71,29.69
2011-11-18,68,28.9
2011-11-25,69,27.9
2011-12-02,71,29.99
2011-12-09,71,29.12
2011-12-16,66,27.7
2011-12-23,58,29.06
2011-12-30,53,28.6
2012-01-06,60,29.07
2012-01-13,67,29.17
2012-01-20,68,30.04
2012-01-27,70,29.82
2012-02-03,72,29.55
2012-02-10,73,30.57
2012-02-17,69,31.35
2012-02-24,66,31.96
2012-03-02,76,31.64
2012-03-09,71,31.13
2012-03-16,68,31.8
2012-03-23,70,31.86
2012-03-30,69,31.66
2012-04-13,69,30.75
2012-04-20,69,30.71
2012-04-27,67,31.08
2012-05-04,62,32.25
2012-05-11,67,32.85
2012-05-18,66,31.82
2012-05-25,71,32.25
2012-06-01,66,30.92
2012-06-08,66,31.85
2012-06-15,66,31.45
2012-06-22,64,29.28
2012-06-29,64,29.52
2012-07-06,65,28.39
2012-07-13,63,27.39
2012-07-20,64,27
2012-07-27,66,27.54
2012-08-03,66,25.54
2012-08-10,65,25.94
2012-08-17,68,26.17
2012-08-24,71,26.38
2012-08-31,71,26.75
2012-09-07,65,27.29
2012-09-14,70,27.19
2012-09-21,69,27.03
2012-09-28,71,27.18
2012-10-05,69,28.21
2012-10-12,62,28.05
2012-10-19,67,28.52
2012-10-26,66,27.05
2012-11-02,63,26.85
2012-11-09,64,25.39
2012-11-16,63,24.96
2012-11-23,60,26.74
2012-11-30,66,26.7
2012-12-07,62,27.18
2012-12-14,64,27.09
2012-12-21,60,27.78
2012-12-28,49,27.06
2013-01-04,50,29.22
2013-01-11,66,28.34
2013-01-18,64,28.64
2013-01-25,63,28.97
2013-02-01,65,28.67
2013-02-08,65,30.22
2013-02-15,60,32.57
2013-02-22,67,32.1
2013-03-01,66,31.97
2013-03-08,67,32.54
2013-03-15,65,33
2013-03-22,65,32.78
2013-04-05,63,33.17
2013-04-12,67,32.64
2013-04-19,67,32.18
2013-04-26,66,33.47
2013-05-03,62,34.2
2013-05-10,64,34.06
2013-05-17,62,35
2013-05-24,62,33.88
2013-05-31,59,32.23
2013-06-07,65,32.91
2013-06-14,67,33.08
2013-06-21,63,33.09
2013-06-28,64,33.91
2013-07-05,62,34.88
2013-07-12,61,36.31
2013-07-19,61,36.68
2013-07-26,58,36.67
2013-08-02,58,37.57
2013-08-09,64,38.38
2013-08-16,61,37.25
2013-08-23,63,36.28
2013-08-30,64,35.21
2013-09-06,60,35.79
2013-09-13,59,36.22
2013-09-20,62,37.24
2013-09-27,66,37.12
2013-10-04,67,36.7
2013-10-11,69,36.59
2013-10-18,64,38.02
2013-10-25,63,39.93
2013-11-01,61,40.9
2013-11-08,63,41.44
2013-11-15,59,40.56
2013-11-22,64,41.86
2013-11-29,63,40.25
2013-12-06,59,41.94
2013-12-13,62,40.34
2013-12-20,60,43.36
2013-12-27,47,43.76
2014-01-03,47,43.19
2014-01-10,60,41.98
2014-01-17,63,41.01
2014-01-24,60,39.57
2014-01-31,64,39.48
2014-02-07,65,39.89
2014-02-14,62,40.78
2014-02-21,64,39.99
2014-02-28,64,40.6
2014-03-07,61,41.33
2014-03-14,63,42.51
2014-03-21,66,42.67
2014-03-28,63,43.21
2014-04-04,64,43.05
2014-04-11,64,44.41
2014-04-25,60,44.42
