"Date","Stanley.Black...Decker","Price"
2012-03-02,31,76.08
2012-03-09,31,77.63
2012-03-16,35,80.21
2012-03-23,32,78.2
2012-03-30,34,76.96
2012-04-13,33,76.66
2012-04-20,40,73.41
2012-04-27,32,74.44
2012-05-04,28,72.22
2012-05-11,34,70.77
2012-05-18,28,66
2012-05-25,33,68.53
2012-06-01,35,63.68
2012-06-08,40,64.67
2012-06-15,48,63.31
2012-06-22,32,61.65
2012-06-29,28,64.36
2012-07-06,31,62.55
2012-07-13,34,60.19
2012-07-20,39,66.45
2012-07-27,37,68.65
2012-08-03,36,68.01
2012-08-10,31,68.39
2012-08-17,33,68.38
2012-08-24,39,67.46
2012-08-31,35,65.78
2012-09-07,30,71.88
2012-09-14,33,76.7
2012-09-21,34,78.25
2012-09-28,34,76.25
2012-10-05,34,75.03
2012-10-12,38,70.06
2012-10-19,36,70.27
2012-10-26,34,67.54
2012-11-02,35,69.87
2012-11-09,36,68.73
2012-11-16,37,67.41
2012-11-23,40,71.39
2012-11-30,34,71.91
2012-12-07,38,71.19
2012-12-14,30,71.31
2012-12-21,31,73.44
2012-12-28,21,72.06
2013-01-04,28,74.76
2013-01-11,30,75.21
2013-01-18,28,76.95
2013-01-25,34,76.87
2013-02-01,38,77.37
2013-02-08,27,76.24
2013-02-15,33,78.46
2013-02-22,36,77.44
2013-03-01,36,77.59
2013-03-08,30,78.96
2013-03-15,31,81.17
2013-03-22,34,81.57
2013-04-05,34,77.56
2013-04-12,30,79.24
2013-04-19,31,76.4
2013-04-26,32,74.4
2013-05-03,36,76.65
2013-05-10,32,79.73
2013-05-17,39,80.94
2013-05-24,33,78.74
2013-05-31,39,79.22
2013-06-07,39,79.69
2013-06-14,52,79.42
2013-06-21,46,76
2013-06-28,62,77.3
2013-07-05,31,79.07
2013-07-12,38,82.3
2013-07-19,30,83.12
2013-07-26,32,84.02
2013-08-02,30,87.62
2013-08-09,31,85.6
2013-08-16,33,86.8
2013-08-23,32,87.6
2013-08-30,32,85.26
2013-09-06,25,87.27
2013-09-13,33,89.26
2013-09-20,33,90.13
2013-09-27,28,90.59
2013-10-04,34,91.14
2013-10-11,33,91.3
2013-10-18,42,77.16
2013-10-25,42,78.46
2013-11-01,37,79.05
2013-11-08,35,80.88
2013-11-15,35,82.64
2013-11-22,37,82.05
2013-11-29,45,81.39
2013-12-06,33,80.71
2013-12-13,32,80.48
2013-12-20,36,80.56
2013-12-27,28,81.01
2014-01-03,32,80.38
2014-01-10,33,81.42
2014-01-17,39,81.17
2014-01-24,35,77.81
2014-01-31,33,77.4
2014-02-07,31,78.8
2014-02-14,32,81.32
2014-02-21,34,81.74
2014-02-28,30,83.04
2014-03-07,29,82.51
2014-03-14,32,79.02
2014-03-21,33,79.71
2014-03-28,36,80.69
2014-04-04,27,80.75
2014-04-11,32,77.58
2014-04-25,35,85.23
